ID;SizeClassInStorageCapacity;Periods;BatteriesNumberOfSystems_1;BatteriesPower_2;BatteriesCapacity_3;BatteriesGrossProduction_4;BatteriesOwnUse_5;BatteriesChargingInput_6
0;Total all size classes for batteries;2022;23.0;132.0;157.0;73170.0;1419.0;79174.0
1;Total all size classes for batteries;2023;40.0;229.0;343.0;87794.0;2661.0;100812.0
2;From more than 1 MWh to 10 MWh;2022;19.0;75.0;75.0;29134.0;477.0;32072.0
3;From more than 1 MWh to 10 MWh;2023;31.0;86.0;88.0;41532.0;1682.0;47217.0
4;From more than 10 MWh to 100 MWh;2022;4.0;57.0;82.0;44036.0;942.0;47102.0
5;From more than 10 MWh to 100 MWh;2023;9.0;143.0;255.0;46262.0;979.0;53595.0
6;100 MWh and more;2022;;;;;;
7;100 MWh and more;2023;;;;;;
