ID;SBI93;Perioden;Bedrijven_1;TotaalNettoOmzetUitHoofdactiviteit_2;LogiesInclusiefArrangementen_3;Dranken_4;KeukenInclusiefOntbijt_5;IJsSorbets_6;VerhuurVanZalenBanenEnDergelijke_7;OverigeHorecaActiviteitenNietEld_8;OverigeDienstverleningNietElders_9;TotaalInkoopwaarde_10;DrankenHorecaActiviteit_11;DrankenHandel_12;Keuken_13;IJsSorbets_14;Shopartikelen_15;UitbesteedWerk_16;OverigeDirecteKostenDienstverleni_17;Bedrijven_18;TotaalNettoOmzetUitHoofdactiviteit_19;VerhuurVanCaravansEnBungalows_20;VerhuurVanToerStandplaatsen_21;VerhuurVanSeizoenEnJaarplaatsen_22;Groepsverblijven_23;VerhuurVanLigplaatsenBootverhuur_24;OverigeVerhuur_25;OverigeDienstverleningNietElders_26;TotaalNettoOmzetUitNevenactiviteit_27;VerkopenDrankenIjs_28;VerkopenMaaltijdenSnacksHoreca_29;OpbrengstenAttracties_30;Shopverkopen_31;OverigeDienstverlening_32;TotaalInkoopwaarde_33;Verhuur_34;DrankenIjs_35;MaaltijdenSnacksHorecaActiviteiten_36;Shopartikelen_37;OverigeDirecteKostenDienstverlening_38;Bedrijven_39;TotaalNettoOmzetUitHoofdactiviteit_40;CateringVanDranken_41;CateringVanFood_42;CateringVanNonFood_43;DoorberekendePersoneelskosten_44;ManagementFee_45;OverigeDoorberekendeKosten_46;BijdragenSuppleties_47;UitbesteedWerk_48;OverigeDienstverlening_49;TotaalNettoOmzetUitHoofdactiviteit_50;Particulier_51;Zakelijk_52;TotaalNettoOmzetUitHoofdactiviteit_53;Contractcatering_54;Partycatering_55;Inflightcatering_56;OverigeCateringNietEldersGenoemd_57;TotaalInkoopwaarde_58;DrankenCatering_59;FoodCatering_60;NonFoodCatering_61;UitbesteedWerkInVerbandMetCatering_62;OverigeDoorberekendeKosten_63;OverigeDirecteKostenDienstverleni_64
0;551 Hotels, pensions en ..;2002;2430.0;2847.0;1466.0;349.0;781.0;13.0;114.0;59.0;65.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;551 Hotels, pensions en ..;2003;2400.0;2755.0;1299.0;353.0;827.0;11.0;123.0;68.0;74.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;551 Hotels, pensions en ..;2004;2400.0;2813.0;1319.0;388.0;833.0;5.0;127.0;54.0;87.0;436.0;87.0;4.0;265.0;2.0;4.0;5.0;68.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;551 Hotels, pensions en ..;2005;2385.0;2984.0;1428.0;411.0;864.0;4.0;125.0;66.0;88.0;464.0;95.0;3.0;275.0;1.0;5.0;11.0;73.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;552 Kampeerterreinen en overige ..;2002;;;;;;;;;;;;;;;;;;2540.0;860.0;407.0;138.0;229.0;24.0;6.0;29.0;28.0;320.0;69.0;95.0;30.0;68.0;57.0;167.0;24.0;52.0;40.0;50.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;
5;552 Kampeerterreinen en overige ..;2003;;;;;;;;;;;;;;;;;;2435.0;921.0;459.0;131.0;200.0;41.0;7.0;42.0;42.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;552 Kampeerterreinen en overige ..;2004;;;;;;;;;;;;;;;;;;2440.0;933.0;522.0;146.0;154.0;29.0;7.0;32.0;44.0;327.0;79.0;104.0;22.0;59.0;63.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;552 Kampeerterreinen en overige ..;2005;;;;;;;;;;;;;;;;;;2380.0;946.0;508.0;138.0;176.0;29.0;7.0;16.0;73.0;308.0;64.0;89.0;25.0;52.0;77.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;55301 Restaurants;2002;9460.0;3567.0;35.0;951.0;2450.0;24.0;20.0;40.0;46.0;1171.0;252.0;42.0;758.0;14.0;43.0;1.0;62.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;55301 Restaurants;2003;10085.0;3516.0;21.0;993.0;2333.0;40.0;27.0;80.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;55301 Restaurants;2004;9585.0;3484.0;49.0;943.0;2379.0;40.0;24.0;25.0;24.0;1054.0;250.0;24.0;702.0;14.0;45.0;2.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;55301 Restaurants;2005;10060.0;3713.0;46.0;1029.0;2498.0;38.0;28.0;40.0;33.0;1127.0;261.0;23.0;757.0;13.0;46.0;5.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;5530b Cafetaria's en dergelijke en ..;2002;9045.0;2110.0;28.0;350.0;1506.0;96.0;12.0;80.0;38.0;717.0;95.0;16.0;485.0;27.0;27.0;0.0;68.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;5530b Cafetaria's en dergelijke en ..;2003;9055.0;2027.0;1.0;295.0;1549.0;99.0;1.0;52.0;30.0;695.0;84.0;18.0;511.0;24.0;9.0;3.0;46.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;5530b Cafetaria's en dergelijke en ..;2004;8625.0;1990.0;2.0;293.0;1508.0;105.0;1.0;54.0;27.0;662.0;85.0;15.0;485.0;24.0;9.0;3.0;41.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;5530b Cafetaria's en dergelijke en ..;2005;8675.0;2026.0;1.0;319.0;1527.0;98.0;2.0;53.0;26.0;620.0;79.0;17.0;447.0;22.0;8.0;3.0;45.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;5540 Cafés en dergelijke;2002;11055.0;2566.0;19.0;1761.0;540.0;11.0;27.0;131.0;77.0;795.0;484.0;40.0;190.0;9.0;16.0;3.0;53.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;5540 Cafés en dergelijke;2003;10980.0;2446.0;10.0;1647.0;583.0;13.0;36.0;90.0;69.0;770.0;464.0;42.0;202.0;6.0;12.0;6.0;38.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;5540 Cafés en dergelijke;2004;10480.0;2379.0;12.0;1520.0;530.0;8.0;37.0;153.0;119.0;765.0;;39.0;196.0;3.0;28.0;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;5540 Cafés en dergelijke;2005;10345.0;2490.0;32.0;1545.0;524.0;7.0;56.0;143.0;182.0;779.0;430.0;40.0;178.0;3.0;19.0;5.0;104.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;555 Kantines en catering;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2610.0;2084.0;280.0;1024.0;71.0;507.0;45.0;120.0;1.0;4.0;31.0;2084.0;290.0;1795.0;2084.0;1326.0;316.0;201.0;241.0;831.0;125.0;573.0;37.0;25.0;46.0;24.0
21;555 Kantines en catering;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2595.0;2124.0;391.0;949.0;94.0;483.0;36.0;96.0;9.0;3.0;63.0;2124.0;275.0;1849.0;2125.0;1352.0;350.0;202.0;221.0;;;;;;;
22;555 Kantines en catering;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2795.0;;;;;;;;;;;;;;;;;;;;;;;;;
23;555 Kantines en catering;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2790.0;1934.0;347.0;870.0;73.0;441.0;30.0;85.0;1.0;9.0;78.0;1934.0;287.0;1646.0;;;;;;;;;;;;
