ID;Perioden;Consumentenprijsindex1969100_1;Consumentenprijsindex1975100_2;Consumentenprijsindex1980100_3;Consumentenprijsindex1985100_4;Consumentenprijsindex1990100_5;Consumentenprijsindex1995100_6;Consumentenprijsindex2000100_7;Consumentenprijsindex2006100_8;Consumentenprijsindex2015100_9
0;1969;100.0;;;;;;;;
1;1970 januari;100.8;;;;;;;;
2;1970 februari;101.5;;;;;;;;
3;1970 maart;102.3;;;;;;;;
4;1970 april;103.0;;;;;;;;
5;1970 mei;103.1;;;;;;;;
6;1970 juni;103.4;;;;;;;;
7;1970 juli;103.6;;;;;;;;
8;1970 augustus;104.2;;;;;;;;
9;1970 september;105.1;;;;;;;;
10;1970 oktober;105.5;;;;;;;;
11;1970 november;105.8;;;;;;;;
12;1970 december;106.0;;;;;;;;
13;1970;103.7;;;;;;;;
14;1971 januari;107.3;;;;;;;;
15;1971 februari;108.6;;;;;;;;
16;1971 maart;109.3;;;;;;;;
17;1971 april;110.7;;;;;;;;
18;1971 mei;111.2;;;;;;;;
19;1971 juni;111.4;;;;;;;;
20;1971 juli;111.7;;;;;;;;
21;1971 augustus;112.3;;;;;;;;
22;1971 september;113.3;;;;;;;;
23;1971 oktober;114.2;;;;;;;;
24;1971 november;114.6;;;;;;;;
25;1971 december;115.1;;;;;;;;
26;1971;111.6;;;;;;;;
27;1972 januari;116.2;;;;;;;;
28;1972 februari;117.1;;;;;;;;
29;1972 maart;118.1;;;;;;;;
30;1972 april;119.8;;;;;;;;
31;1972 mei;120.1;;;;;;;;
32;1972 juni;120.4;;;;;;;;
33;1972 juli;120.0;;;;;;;;
34;1972 augustus;120.9;;;;;;;;
35;1972 september;122.0;;;;;;;;
36;1972 oktober;123.5;;;;;;;;
37;1972 november;124.0;;;;;;;;
38;1972 december;124.4;;;;;;;;
39;1972;120.5;;;;;;;;
40;1973 januari;125.5;;;;;;;;
41;1973 februari;126.0;;;;;;;;
42;1973 maart;127.2;;;;;;;;
43;1973 april;129.2;;;;;;;;
44;1973 mei;130.0;;;;;;;;
45;1973 juni;130.3;;;;;;;;
46;1973 juli;130.1;;;;;;;;
47;1973 augustus;130.7;;;;;;;;
48;1973 september;132.2;;;;;;;;
49;1973 oktober;133.4;;;;;;;;
50;1973 november;134.3;;;;;;;;
51;1973 december;134.9;;;;;;;;
52;1973;130.3;;;;;;;;
53;1974 januari;136.0;;;;;;;;
54;1974 februari;137.2;;;;;;;;
55;1974 maart;139.4;;;;;;;;
56;1974 april;141.3;;;;;;;;
57;1974 mei;141.9;;;;;;;;
58;1974 juni;142.4;;;;;;;;
59;1974 juli;142.8;;;;;;;;
60;1974 augustus;143.8;;;;;;;;
61;1974 september;146.0;;;;;;;;
62;1974 oktober;147.9;;;;;;;;
63;1974 november;149.0;;;;;;;;
64;1974 december;149.5;;;;;;;;
65;1974;143.1;;;;;;;;
66;1975 januari;150.6;;;;;;;;
67;1975 februari;150.9;;;;;;;;
68;1975 maart;153.2;;;;;;;;
69;1975 april;155.2;;;;;;;;
70;1975 mei;156.2;;;;;;;;
71;1975 juni;156.6;;;;;;;;
72;1975 juli;157.3;;;;;;;;
73;1975 augustus;158.7;;;;;;;;
74;1975 september;160.8;;;;;;;;
75;1975 oktober;162.1;;;;;;;;
76;1975 november;162.6;;;;;;;;
77;1975 december;163.0;;;;;;;;
78;1975;157.3;100.0;;;;;;;
79;1976 januari;163.9;104.8;;;;;;;
80;1976 februari;165.4;105.7;;;;;;;
81;1976 maart;166.9;106.2;;;;;;;
82;1976 april;170.4;108.3;;;;;;;
83;1976 mei;171.2;108.9;;;;;;;
84;1976 juni;171.3;109.0;;;;;;;
85;1976 juli;170.6;108.7;;;;;;;
86;1976 augustus;172.2;109.4;;;;;;;
87;1976 september;174.0;110.4;;;;;;;
88;1976 oktober;176.4;111.9;;;;;;;
89;1976 november;176.8;112.2;;;;;;;
90;1976 december;176.7;112.2;;;;;;;
91;1976;171.3;109.0;;;;;;;
92;1977 januari;176.6;112.3;;;;;;;
93;1977 februari;177.8;113.0;;;;;;;
94;1977 maart;179.2;113.5;;;;;;;
95;1977 april;182.2;115.6;;;;;;;
96;1977 mei;183.1;116.0;;;;;;;
97;1977 juni;183.6;116.2;;;;;;;
