ID;TaxesAndSocialContributions;Periods;TaxesAndSocialContributions_1
0;Total taxes and social contributions;1995;122590.0
1;Total taxes and social contributions;1996;128452.0
2;Total taxes and social contributions;1997;134809.0
3;Total taxes and social contributions;1998;143015.0
4;Total taxes and social contributions;1999 1st quarter;36972.0
5;Total taxes and social contributions;1999 2nd quarter;39598.0
6;Total taxes and social contributions;1999 3rd quarter;37369.0
7;Total taxes and social contributions;1999 4th quarter;42287.0
8;Total taxes and social contributions;1999;156226.0
9;Total taxes and social contributions;2000 1st quarter;38224.0
10;Total taxes and social contributions;2000 2nd quarter;43671.0
11;Total taxes and social contributions;2000 3rd quarter;38969.0
12;Total taxes and social contributions;2000 4th quarter;45957.0
13;Total taxes and social contributions;2000;166821.0
14;Total taxes and social contributions;2001 1st quarter;41193.0
15;Total taxes and social contributions;2001 2nd quarter;43961.0
16;Total taxes and social contributions;2001 3rd quarter;41205.0
17;Total taxes and social contributions;2001 4th quarter;46302.0
18;Total taxes and social contributions;2001;172661.0
19;Total taxes and social contributions;2002 1st quarter;43208.0
20;Total taxes and social contributions;2002 2nd quarter;45663.0
21;Total taxes and social contributions;2002 3rd quarter;41424.0
22;Total taxes and social contributions;2002 4th quarter;47092.0
23;Total taxes and social contributions;2002;177387.0
24;Total taxes and social contributions;2003 1st quarter;44361.0
25;Total taxes and social contributions;2003 2nd quarter;46428.0
26;Total taxes and social contributions;2003 3rd quarter;41519.0
27;Total taxes and social contributions;2003 4th quarter;48351.0
28;Total taxes and social contributions;2003;180659.0
29;Total taxes and social contributions;2004 1st quarter;44367.0
30;Total taxes and social contributions;2004 2nd quarter;46966.0
31;Total taxes and social contributions;2004 3rd quarter;43804.0
32;Total taxes and social contributions;2004 4th quarter;51132.0
33;Total taxes and social contributions;2004;186269.0
34;Total taxes and social contributions;2005 1st quarter;46360.0
35;Total taxes and social contributions;2005 2nd quarter;48683.0
36;Total taxes and social contributions;2005 3rd quarter;46311.0
37;Total taxes and social contributions;2005 4th quarter;53782.0
38;Total taxes and social contributions;2005;195136.0
39;Total taxes and social contributions;2006 1st quarter;50678.0
40;Total taxes and social contributions;2006 2nd quarter;52462.0
41;Total taxes and social contributions;2006 3rd quarter;50336.0
42;Total taxes and social contributions;2006 4th quarter;59139.0
43;Total taxes and social contributions;2006;212615.0
44;Total taxes and social contributions;2007 1st quarter;53709.0
45;Total taxes and social contributions;2007 2nd quarter;55425.0
46;Total taxes and social contributions;2007 3rd quarter;50542.0
47;Total taxes and social contributions;2007 4th quarter;62080.0
48;Total taxes and social contributions;2007;221756.0
49;Total taxes and social contributions;2008 1st quarter;57942.0
50;Total taxes and social contributions;2008 2nd quarter;59243.0
51;Total taxes and social contributions;2008 3rd quarter;54644.0
52;Total taxes and social contributions;2008 4th quarter;63172.0
53;Total taxes and social contributions;2008;235001.0
54;Total taxes and social contributions;2009 1st quarter;57113.0
