ID;Beroep;BedrijfstakkenBranchesSBI2008;Perioden;WerkzamePersonenTotaal_1;WerkzameMannen_2;WerkzameVrouwen_3;Arbeidsjaren_4
0;Totaal R&D personeel;A-U Alle economische activiteiten;2011;121051.0;99093.0;21957.0;74011.0
1;Totaal R&D personeel;A-U Alle economische activiteiten;2012;129978.0;106132.0;23846.0;76767.0
2;Totaal R&D personeel;A-U Alle economische activiteiten;2013;130094.0;105460.0;24633.0;77399.0
3;Totaal R&D personeel;A-U Alle economische activiteiten;2014;132409.0;107171.0;25238.0;76708.0
4;Totaal R&D personeel;A-U Alle economische activiteiten;2015;128611.0;105441.0;23170.0;81108.0
5;Totaal R&D personeel;A-U Alle economische activiteiten;2016;126461.0;102840.0;23621.0;83827.0
6;Totaal R&D personeel;A Landbouw, bosbouw en visserij;2011;4698.0;3542.0;1155.0;2263.0
7;Totaal R&D personeel;A Landbouw, bosbouw en visserij;2012;4071.0;3387.0;685.0;1796.0
8;Totaal R&D personeel;A Landbouw, bosbouw en visserij;2013;4802.0;3932.0;870.0;1897.0
9;Totaal R&D personeel;A Landbouw, bosbouw en visserij;2014;5748.0;4412.0;1335.0;2075.0
10;Totaal R&D personeel;A Landbouw, bosbouw en visserij;2015;4655.0;3435.0;1221.0;2153.0
11;Totaal R&D personeel;A Landbouw, bosbouw en visserij;2016;207.0;180.0;27.0;118.0
12;Totaal R&D personeel;B-E Nijverheid (geen bouw) en energie;2011;50641.0;41910.0;8732.0;35138.0
13;Totaal R&D personeel;B-E Nijverheid (geen bouw) en energie;2012;51213.0;42155.0;9058.0;35770.0
14;Totaal R&D personeel;B-E Nijverheid (geen bouw) en energie;2013;51745.0;43038.0;8707.0;36157.0
15;Totaal R&D personeel;B-E Nijverheid (geen bouw) en energie;2014;51403.0;42698.0;8705.0;35546.0
16;Totaal R&D personeel;B-E Nijverheid (geen bouw) en energie;2015;52563.0;44047.0;8516.0;37134.0
17;Totaal R&D personeel;B-E Nijverheid (geen bouw) en energie;2016;344.0;344.0;;89.0
18;Totaal R&D personeel;B Delfstoffenwinning;2011;124.0;106.0;18.0;114.0
19;Totaal R&D personeel;B Delfstoffenwinning;2012;209.0;187.0;22.0;84.0
20;Totaal R&D personeel;B Delfstoffenwinning;2013;232.0;202.0;30.0;115.0
21;Totaal R&D personeel;B Delfstoffenwinning;2014;265.0;236.0;29.0;108.0
22;Totaal R&D personeel;B Delfstoffenwinning;2015;189.0;164.0;25.0;101.0
23;Totaal R&D personeel;B Delfstoffenwinning;2016;;;;
24;Totaal R&D personeel;C Industrie;2011;49605.0;41071.0;8534.0;34570.0
25;Totaal R&D personeel;C Industrie;2012;50115.0;41235.0;8880.0;35340.0
26;Totaal R&D personeel;C Industrie;2013;50814.0;42279.0;8535.0;35776.0
27;Totaal R&D personeel;C Industrie;2014;50063.0;41606.0;8457.0;34936.0
28;Totaal R&D personeel;C Industrie;2015;51257.0;42963.0;8294.0;36446.0
29;Totaal R&D personeel;C Industrie;2016;130.0;37.0;93.0;41.0
30;Totaal R&D personeel;10-12 Voedings-, genotmiddelenindustrie;2011;4118.0;2832.0;1286.0;3082.0
31;Totaal R&D personeel;10-12 Voedings-, genotmiddelenindustrie;2012;4702.0;3211.0;1491.0;3324.0
32;Totaal R&D personeel;10-12 Voedings-, genotmiddelenindustrie;2013;4625.0;2930.0;1695.0;3249.0
33;Totaal R&D personeel;10-12 Voedings-, genotmiddelenindustrie;2014;4211.0;2627.0;1584.0;2973.0
34;Totaal R&D personeel;10-12 Voedings-, genotmiddelenindustrie;2015;4942.0;3194.0;1748.0;3031.0
35;Totaal R&D personeel;10-12 Voedings-, genotmiddelenindustrie;2016;59.0;52.0;7.0;27.0
36;Totaal R&D personeel;10 Voedingsmiddelenindustrie;2011;3807.0;2584.0;1224.0;2888.0
37;Totaal R&D personeel;10 Voedingsmiddelenindustrie;2012;4479.0;3039.0;1440.0;3199.0
38;Totaal R&D personeel;10 Voedingsmiddelenindustrie;2013;4418.0;2772.0;1646.0;3126.0
39;Totaal R&D personeel;10 Voedingsmiddelenindustrie;2014;4035.0;2491.0;1544.0;2856.0
40;Totaal R&D personeel;10 Voedingsmiddelenindustrie;2015;4758.0;3047.0;1711.0;2918.0
41;Totaal R&D personeel;10 Voedingsmiddelenindustrie;2016;8843.0;6153.0;2690.0;7307.0
42;Totaal R&D personeel;11 Drankenindustrie;2011;229.0;171.0;58.0;161.0
43;Totaal R&D personeel;11 Drankenindustrie;2012;183.0;;;108.0
44;Totaal R&D personeel;11 Drankenindustrie;2013;175.0;;;107.0
45;Totaal R&D personeel;11 Drankenindustrie;2014;139.0;;;96.0
46;Totaal R&D personeel;11 Drankenindustrie;2015;141.0;;;92.0
47;Totaal R&D personeel;11 Drankenindustrie;2016;4984.0;;;4249.0
48;Totaal R&D personeel;12 Tabaksindustrie;2011;82.0;78.0;4.0;33.0
49;Totaal R&D personeel;12 Tabaksindustrie;2012;40.0;;;17.0
