ID;SectorenActiva;TegensectorenPassiva;BalansstandenEnTransacties;Perioden;SpaartegoedenEnDepositoS_1;KortlopendeSchuldbewijzen_2;LanglopendeSchuldbewijzen_3;KortlopendeLeningen_4;LanglopendeLeningen_5;Woninghypotheken_6;BeursgenoteerdeAandelen_7;AandelenInBeleggingsfondsen_8
0;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;1999 1e kwartaal;302528.0;;;125186.0;778433.0;;;
1;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;1999 2e kwartaal;309626.0;;;131674.0;789070.0;;;
2;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;1999 3e kwartaal;321659.0;;;133712.0;801232.0;;;
3;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;1999 4e kwartaal;321585.0;;;137744.0;815893.0;;;
4;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;1999;302528.0;;;125186.0;778433.0;;;
5;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2000 1e kwartaal;327383.0;;;138250.0;831990.0;;;
6;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2000 2e kwartaal;347773.0;;;147430.0;836494.0;;;
7;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2000 3e kwartaal;337833.0;;;152825.0;843876.0;;;
8;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2000 4e kwartaal;360873.0;;;158810.0;853193.0;;;
9;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2000;327383.0;;;138250.0;831990.0;;;
10;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2001 1e kwartaal;357346.0;;;159878.0;859084.0;;;
11;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2001 2e kwartaal;377942.0;;;152314.0;867199.0;;;
12;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2001 3e kwartaal;377729.0;;;151952.0;880160.0;;;
13;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2001 4e kwartaal;386924.0;;;156243.0;890449.0;;;
14;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2001;357346.0;;;159878.0;859084.0;;;
15;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2002 1e kwartaal;405324.0;;;154708.0;902482.0;;;
16;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2002 2e kwartaal;417529.0;;;159866.0;908482.0;;;
17;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2002 3e kwartaal;423412.0;;;156373.0;913294.0;;;
18;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2002 4e kwartaal;429402.0;;;167526.0;924294.0;;;
19;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2002;405324.0;;;154708.0;902482.0;;;
20;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2003 1e kwartaal;431431.0;;;159127.0;939991.0;;;
21;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2003 2e kwartaal;457340.0;;;155456.0;950682.0;;;
22;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2003 3e kwartaal;456099.0;;;152588.0;972051.0;;;
23;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2003 4e kwartaal;471931.0;;;150063.0;990762.0;;;
24;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2003;431431.0;;;159127.0;939991.0;;;
25;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2004 1e kwartaal;475861.0;;;149963.0;1010873.0;;;
26;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2004 2e kwartaal;475307.0;;;151930.0;1020719.0;;;
27;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2004 3e kwartaal;504326.0;;;157921.0;1023322.0;;;
28;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2004 4e kwartaal;495836.0;;;163205.0;1036750.0;;;
29;Totale binnenlandse sectoren;Totale binnenlandse sectoren;Beginbalans;2004;475861.0;;;149963.0;1010873.0;;;
