ID;MeansOfTransport;Periods;CarbonDioxideCO2_1;DinitrogenOxideN2O_2;MethaneCH4_3;CarbonMonoxideCO_4;NMVOC_5;NitrogenOxidesNOx_6;Soot_7;PM10TotalParticulateMatter_8;PM10CombustionParticulateMatter_9;PM10WearParticulateMatter_10;PM25TotalParticulateMatter_11;PM25CombustionParticulateMatter_12;PM25WearParticulateMatter_13;AmmoniaNH3_14;SulphurDioxideSO2_15;CarbonDioxideCO2_16;DinitrogenOxideN2O_17;MethaneCH4_18;CarbonMonoxideCO_19;NMVOC_20;NitrogenOxidesNOx_21;Soot_22;PM10TotalParticulateMatter_23;PM10CombustionParticulateMatter_24;PM10WearParticulateMatter_25;PM25TotalParticulateMatter_26;PM25CombustionParticulateMatter_27;PM25WearParticulateMatter_28;AmmoniaNH3_29;SulphurDioxideSO2_30
0;Total motor vehicles;1990;23986;0.31;7.02;698.45;174.81;257.17;7.43;17.24;15.17;2.07;15.52;15.17;0.34;0.92;13.3;;;;;;;;;;;;;;;
1;Total motor vehicles;1991;24171;0.41;6.14;609.06;153.03;248.42;7.17;16.59;14.55;2.05;14.89;14.55;0.34;1.2;13.55;;;;;;;;;;;;;;;
2;Total motor vehicles;1992;25336;0.53;5.83;584.89;142.9;241.63;7.02;16.21;14.07;2.14;14.43;14.07;0.36;1.5;14.1;;;;;;;;;;;;;;;
3;Total motor vehicles;1993;25305;0.61;5.29;537.18;128.24;223.85;6.56;15.06;12.94;2.13;13.29;12.94;0.35;1.67;13.93;;;;;;;;;;;;;;;
4;Total motor vehicles;1994;25637;0.7;4.92;504.72;117.51;208.72;6.2;14.15;12.0;2.15;12.36;12.0;0.36;1.86;13.47;;;;;;;;;;;;;;;
5;Total motor vehicles;1995;25625;0.76;4.64;481.68;107.05;195.64;5.83;13.21;11.04;2.17;11.4;11.04;0.36;2.18;12.42;;;;;;;;;;;;;;;
6;Total motor vehicles;1996;25885;0.79;4.38;464.19;98.07;184.52;5.47;12.29;10.12;2.18;10.48;10.12;0.36;2.59;9.28;;;;;;;;;;;;;;;
7;Total motor vehicles;1997;26414;0.81;4.06;438.64;88.48;174.19;5.2;11.56;9.35;2.21;9.72;9.35;0.37;3.0;4.33;;;;;;;;;;;;;;;
8;Total motor vehicles;1998;27081;0.82;3.79;417.1;80.28;166.36;5.09;11.08;8.83;2.25;9.21;8.83;0.37;3.31;4.52;;;;;;;;;;;;;;;
9;Total motor vehicles;1999;28394;0.84;3.59;406.08;73.48;165.91;5.21;11.08;8.74;2.34;9.13;8.74;0.39;3.74;4.88;;;;;;;;;;;;;;;
10;Total motor vehicles;2000;28405;0.87;3.25;387.48;61.63;157.23;5.05;10.53;8.19;2.35;8.58;8.19;0.39;4.42;3.07;;;;;;;;;;;;;;;
11;Total motor vehicles;2001;28708;0.86;3.13;384.0;54.73;150.04;4.85;10.05;7.69;2.36;8.08;7.69;0.39;4.78;0.76;;;;;;;;;;;;;;;
12;Total motor vehicles;2002;29134;0.84;3.05;386.08;49.21;144.11;4.59;9.52;7.12;2.4;7.52;7.12;0.4;5.08;0.78;;;;;;;;;;;;;;;
13;Total motor vehicles;2003;29403;0.82;2.97;386.35;44.51;139.07;4.36;9.05;6.63;2.42;7.03;6.63;0.4;5.22;0.52;;;;;;;;;;;;;;;
14;Total motor vehicles;2004;30056;0.81;2.88;385.65;40.42;136.53;4.23;8.79;6.31;2.48;6.72;6.31;0.41;5.39;0.57;237.0;0.006;0.023;3.04;0.32;1.08;0.033;0.069;0.05;0.02;0.053;0.05;0.003;0.042;0.004
15;Total motor vehicles;2005;29266;0.86;2.6;371.76;35.95;129.43;3.84;8.16;5.7;2.46;6.11;5.7;0.41;5.11;0.24;231.0;0.007;0.02;2.93;0.28;1.02;0.03;0.064;0.045;0.019;0.048;0.045;0.003;0.04;0.002
16;Total motor vehicles;2006;29030;0.89;2.38;350.94;32.55;122.41;3.39;7.51;5.03;2.48;5.45;5.03;0.41;4.73;0.27;228.0;0.007;0.019;2.75;0.26;0.96;0.027;0.059;0.039;0.019;0.043;0.039;0.003;0.037;0.002
17;Total motor vehicles;2007;29203;0.94;2.19;335.32;29.92;116.79;3.0;6.98;4.44;2.54;4.87;4.44;0.42;4.42;0.27;225.0;0.007;0.017;2.58;0.23;0.9;0.023;0.054;0.034;0.02;0.037;0.034;0.003;0.034;0.002
18;Total motor vehicles;2008;28867;0.97;1.98;313.73;27.25;109.7;2.55;6.33;3.77;2.56;4.2;3.77;0.43;4.02;0.18;223.0;0.007;0.015;2.42;0.21;0.85;0.02;0.049;0.029;0.02;0.032;0.029;0.003;0.031;0.001
19;Total motor vehicles;2009;28374;1.0;1.76;299.02;24.29;99.85;2.03;5.56;3.0;2.56;3.43;3.0;0.43;3.72;0.18;219.0;0.008;0.014;2.31;0.19;0.77;0.016;0.043;0.023;0.02;0.026;0.023;0.003;0.029;0.001
20;Total motor vehicles;2010;28199;1.02;1.82;285.19;23.15;96.04;1.78;5.23;2.66;2.56;3.09;2.66;0.43;3.63;0.17;217.0;0.008;0.014;2.19;0.18;0.74;0.014;0.04;0.02;0.02;0.024;0.02;0.003;0.028;0.001
21;Total motor vehicles;2011;27912;1.03;1.95;269.93;23.13;92.65;1.5;4.85;2.29;2.56;2.72;2.29;0.43;3.53;0.17;214.0;0.008;0.015;2.07;0.18;0.71;0.011;0.037;0.018;0.02;0.021;0.018;0.003;0.027;0.001
