ID;BedrijfstakkenBranchesSBI2008;RegioS;Perioden;ProductieBasisprijzen_1;IntermediairVerbruik_2;BrutoToegevoegdeWaardeBasisprijzen_3;BeloningVanWerknemers_4;NietProductgebondenBelastingen_5;NietProductgebondenSubsidies_6;ExploitatieoverschotBruto_7;ArbeidsvolumeWerkzamePersonen_8;ArbeidsvolumeWerknemers_9
0;A-U Alle economische activiteiten;Nederland;1995;588983.0;294109.0;294874.0;164700.0;3220.0;1509.0;128463.0;5959.3;4996.4
1;A-U Alle economische activiteiten;Nederland;1996;625178.0;317563.0;307615.0;171076.0;3297.0;2208.0;135450.0;6098.4;5108.4
2;A-U Alle economische activiteiten;Nederland;1997;673217.0;344740.0;328477.0;180613.0;3295.0;2730.0;147299.0;6286.2;5275.0
3;A-U Alle economische activiteiten;Nederland;1998;716022.0;366113.0;349909.0;193708.0;3443.0;3472.0;156230.0;6464.4;5468.3
4;A-U Alle economische activiteiten;Nederland;1999;764029.0;392224.0;371805.0;208602.0;3865.0;4087.0;163425.0;6628.8;5640.9
5;A-U Alle economische activiteiten;Nederland;2000;840047.0;438055.0;401992.0;225800.0;4152.0;4099.0;176139.0;6728.2;5766.3
6;A-U Alle economische activiteiten;Nederland;2001;889272.0;464668.0;424604.0;238391.0;4586.0;4596.0;186223.0;6832.5;5886.5
7;A-U Alle economische activiteiten;Nederland;2002;909727.0;468139.0;441588.0;250067.0;4789.0;4652.0;191384.0;6819.4;5883.2
8;A-U Alle economische activiteiten;Nederland;2003;922895.0;469995.0;452900.0;256910.0;4823.0;4486.0;195653.0;6740.4;5810.2
9;A-U Alle economische activiteiten;Nederland;2004;956562.0;489023.0;467539.0;260672.0;5025.0;5034.0;206876.0;6693.1;5739.8
10;A-U Alle economische activiteiten;Nederland;2005;1005072.0;518669.0;486403.0;264776.0;5405.0;4493.0;220715.0;6711.5;5734.9
11;A-U Alle economische activiteiten;Nederland;2006;1065771.0;549785.0;515986.0;274119.0;5458.0;4758.0;241167.0;6859.7;5837.8
12;A-U Alle economische activiteiten;Nederland;2007;1132245.0;584727.0;547518.0;290933.0;5589.0;5652.0;256648.0;7050.7;5980.5
13;A-U Alle economische activiteiten;Nederland;2008;1191757.0;620870.0;570887.0;307355.0;6053.0;6224.0;263703.0;7181.0;6095.3
14;A-U Alle economische activiteiten;Nederland;2009;1142123.0;588434.0;553689.0;311679.0;6548.0;7628.0;243090.0;7098.8;6012.8
15;A-U Alle economische activiteiten;Nederland;2010;1178924.0;611167.0;567757.0;310471.0;6762.0;7742.0;258266.0;7055.8;5955.3
16;A-U Alle economische activiteiten;Nederland;2011;1238414.0;658824.0;579590.0;318040.0;6985.0;7248.0;261813.0;7098.6;5958.2
17;A-U Alle economische activiteiten;Nederland;2012;1255794.0;671962.0;583832.0;322825.0;7218.0;6512.0;260301.0;7055.1;5900.9
18;A-U Alle economische activiteiten;Nederland;2013;1253792.0;665257.0;588535.0;324595.0;8024.0;6113.0;262029.0;6971.6;5807.0
19;A-U Alle economische activiteiten;Nederland;2014;1267298.0;669884.0;597414.0;327963.0;10472.0;5801.0;264780.0;6964.0;5774.2
20;A-U Alle economische activiteiten;Nederland;2015;1297667.0;682681.0;614986.0;330060.0;9111.0;5685.0;281500.0;7037.3;5827.0
21;A-U Alle economische activiteiten;Noord-Nederland (LD);1995;51298.0;24035.0;27263.0;13704.0;280.0;116.0;13395.0;559.4;435.9
22;A-U Alle economische activiteiten;Noord-Nederland (LD);1996;55136.0;26014.0;29122.0;14123.0;285.0;176.0;14890.0;568.4;443.8
23;A-U Alle economische activiteiten;Noord-Nederland (LD);1997;58356.0;28180.0;30176.0;14805.0;283.0;213.0;15301.0;581.4;455.4
24;A-U Alle economische activiteiten;Noord-Nederland (LD);1998;60801.0;29617.0;31184.0;15704.0;295.0;266.0;15451.0;592.7;467.5
25;A-U Alle economische activiteiten;Noord-Nederland (LD);1999;62323.0;30641.0;31682.0;16782.0;324.0;320.0;14896.0;602.7;478.9
26;A-U Alle economische activiteiten;Noord-Nederland (LD);2000;68496.0;33580.0;34916.0;18013.0;344.0;310.0;16869.0;605.8;485.9
