ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;TotWerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;FTEWerknmersOpEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaalNettoOmzet_7;OmzetHoofdactiviteit_8;OmzetUitNevenactiviteiten_9;TotaalOverigeBedrijfsopbrengsten_10;VoorraadmutGereedProdOnderhWerk_11;EindvoorraadGereedProdOnderhWerk_12;BegVoorraadGereedProdOnderhWerk_13;VergoedingenUitgeleendPersoneel_14;GeactiveerdeKostenZelfvervActiva_15;OntvangenRestitutieSubsidiebedragen_16;BedrijfsschadeUitkeringen_17;OverigeOpbrengstenNEG_18;TotaleBedrijfslasten_19;TotaalInkoopwaardeOmzet_20;InkoopwrdeGrondHulpstofVerpakMid_21;BegVoorraadGrondHulpstofVerpak_22;InkopenGrondHulpstoffenVerpakMid_23;EindvoorraadGrondHulpstofVerpak_24;InkoopwaardeHandelsgoederen_25;BeginvoorraadHandelsgoederen_26;InkoopkostenVanHandelsgoederen_27;EindvoorraadHandelsgoederen_28;TotaalOverigeInkoopwaarde_29;KostenUitbesteedWerk_30;InkoopwaardeNietEldersGenoemd_31;TotaalArbeidskosten_32;BrutoLonenEnSalarissen_33;WerkgeversdeelSocVerzekeringspremies_34;PremiesPensioenVUTInkoopsommenEnz_35;OverigeSocialeLasten_36;TotaalOverigeBedrijfslasten_37;TotaalOverigeKostenMBTPersoneel_38;BetaaldeBedragenAanUitzendbedrijven_39;KostenIngehuurdPersoneel_40;KostenStudieOfOpleiding_41;OverigePersoneelskosten_42;TotaalKostenVervoermiddelen_43;KostenHuurEnLeaseVanVervoermiddelen_44;KostenReparatieOnderhoudVervoermid_45;BrandstofkostenVervoermiddelen_46;Motorrijtuigenbelasting_47;KostenVerzekeringVervoermiddelen_48;OverigeAutokosten_49;TotaalKostenEnergieverbruik_50;KostenAardgasverbruik_51;KostenElektriciteitsverbruik_52;KostenVerbruikOverigeEnergiedragers_53;TotaalKostenVanHuisvesting_54;KostenHuurLeaseGebouwenTerreinen_55;KostenOnderhoudRepGebouwenTerreinen_56;SchoonmaakkostenVanGebouwenEnTerrein_57;MilieuheffingenEnZuiveringslasten_58;Onroerendezaakbelasting_59;KostenVerzekeringGebouwenEnTerreinen_60;OverigeHuisvestingskosten_61;TotaalKostenMachinesInstallatiesED_62;KostenHuurLeaseMachInstallatED_63;KostenReparatieMachinesED_64;OverigeMachineEnInventariskosten_65;TotaalVerkoopkosten_66;ReclameBeursEnRepresentatiekosten_67;Agentenprovisie_68;KostenReisVerblijfEnRepresentatie_69;KostenResearchEnOntwikkeling_70;OverigeVerkoopkosten_71;Communicatiekosten_72;TotaalKnDienstverleningDoorDerden_73;Bankzaken_74;OverigeVerzekeringspremies_75;AccountantsEnAdvieskosten_76;Automatiseringskosten_77;KostenVuilafvoerEnVuilverwerking_78;OvKostenDienstverleningDoorDerden_79;TotaalOverigeBedrijfslastenNEG_80;OctrooirechtenLicenties_81;BetalingenIntraconcerndienstenBeheer_82;KantoorbehoeftenContributiesAbonnement_83;KostenOverigeHuurOperationeleLease_84;KostenOnderhoudRepOverigeActiva_85;OverigeKostprijsverhogendeBelastingen_86;OngespecificeerdeAlgemeneKosten_87;AfschrijvingenOpVasteActiva_88;Bedrijfsresultaat_89;FinancieelResultaat_90;FinancieleBaten_91;FinancieleLasten_92;SaldoVoorzieningen_93;OnttrekkingenVrijvalVanVoorzieningen_94;ToevoegingenAanVoorzieningen_95;SaldoBuitengewoneBatenMinusLasten_96;BuitengewoneBaten_97;BuitengewoneLasten_98;ResultaatVoorBelastingen_99
0;C Winning van delfstoffen;2000;20;69.6;68.4;62.1;61.0;14813.0;14768.0;5594.0;9174.0;45.0;16.0;41.0;25.0;3.0;19.0;1.0;1.0;5.0;11600.0;9156.0;256.0;8.0;256.0;8.0;8624.0;3.0;8624.0;3.0;276.0;276.0;0.0;341.0;287.0;27.0;12.0;14.0;1482.0;83.0;44.0;22.0;5.0;13.0;21.0;15.0;0.0;0.0;0.0;0.0;5.0;58.0;16.0;24.0;18.0;41.0;23.0;2.0;1.0;2.0;5.0;1.0;7.0;189.0;110.0;63.0;16.0;21.0;1.0;2.0;9.0;7.0;2.0;11.0;120.0;0.0;10.0;2.0;27.0;1.0;79.0;938.0;14.0;17.0;3.0;8.0;11.0;795.0;90.0;621.0;3213.0;-164.0;25.0;189.0;5.0;9.0;4.0;18.0;19.0;2.0;3072.0
1;C Winning van delfstoffen;2001;15;70.0;68.3;62.4;61.2;19483.0;19146.0;6860.0;12286.0;337.0;-14.0;27.0;42.0;1.0;19.0;1.0;1.0;330.0;15432.0;12329.0;285.0;14.0;286.0;16.0;11685.0;4.0;11686.0;5.0;360.0;353.0;7.0;352.0;286.0;28.0;27.0;12.0;2037.0;107.0;46.0;31.0;6.0;24.0;22.0;20.0;0.0;0.0;0.0;0.0;1.0;58.0;10.0;28.0;20.0;45.0;19.0;5.0;2.0;2.0;5.0;1.0;12.0;177.0;103.0;60.0;13.0;32.0;2.0;3.0;15.0;6.0;7.0;10.0;149.0;1.0;17.0;4.0;34.0;2.0;91.0;1437.0;34.0;17.0;5.0;33.0;0.0;1252.0;95.0;714.0;4051.0;-113.0;57.0;170.0;-83.0;7.0;90.0;-14.0;25.0;40.0;3840.0
2;C Winning van delfstoffen;2002;15;70.6;68.9;64.6;62.9;17547.0;17160.0;6177.0;10983.0;387.0;-1.0;19.0;20.0;4.0;29.0;1.0;0.0;354.0;14222.0;11017.0;254.0;16.0;264.0;25.0;10387.0;4.0;10392.0;9.0;376.0;337.0;39.0;472.0;336.0;33.0;54.0;49.0;2035.0;162.0;72.0;34.0;9.0;46.0;21.0;19.0;0.0;1.0;0.0;0.0;1.0;69.0;9.0;34.0;25.0;47.0;22.0;6.0;3.0;2.0;4.0;1.0;9.0;214.0;105.0;91.0;17.0;37.0;1.0;3.0;14.0;12.0;7.0;14.0;187.0;1.0;24.0;9.0;38.0;4.0;112.0;1284.0;28.0;18.0;9.0;22.0;14.0;1070.0;122.0;700.0;3325.0;-142.0;76.0;217.0;13.0;41.0;27.0;20.0;28.0;8.0;3217.0
3;C Winning van delfstoffen;2003;15;70.6;68.9;62.5;60.9;18742.0;18397.0;;;345.0;5.0;20.0;15.0;4.0;32.0;1.0;1.0;302.0;15147.0;11760.0;298.0;12.0;306.0;20.0;10982.0;8.0;10977.0;4.0;480.0;415.0;65.0;433.0;332.0;28.0;62.0;11.0;2174.0;134.0;69.0;15.0;9.0;41.0;14.0;12.0;0.0;0.0;0.0;0.0;1.0;73.0;11.0;32.0;29.0;42.0;17.0;6.0;3.0;2.0;4.0;3.0;7.0;202.0;84.0;106.0;12.0;35.0;2.0;3.0;17.0;10.0;4.0;16.0;218.0;1.0;26.0;14.0;38.0;4.0;134.0;1440.0;26.0;24.0;9.0;1.0;1.0;1339.0;40.0;781.0;3596.0;-78.0;77.0;155.0;-190.0;4.0;193.0;-41.0;5.0;46.0;3287.0
4;CA Winning van energiehoudende delfst.;2000;15;61.9;60.8;54.7;53.7;14529.0;14480.0;5307.0;9174.0;48.0;19.0;25.0;6.0;3.0;19.0;1.0;1.0;5.0;11333.0;9015.0;124.0;0.0;124.0;0.0;8615.0;3.0;8615.0;3.0;276.0;276.0;0.0;301.0;257.0;19.0;11.0;14.0;1419.0;80.0;42.0;22.0;4.0;13.0;20.0;14.0;0.0;0.0;0.0;0.0;5.0;26.0;1.0;15.0;9.0;38.0;21.0;2.0;1.0;2.0;5.0;1.0;7.0;179.0;110.0;55.0;15.0;18.0;1.0;0.0;8.0;7.0;2.0;10.0;115.0;0.0;9.0;2.0;24.0;1.0;79.0;933.0;14.0;17.0;2.0;8.0;11.0;795.0;86.0;598.0;3196.0;-163.0;24.0;186.0;5.0;7.0;2.0;18.0;18.0;0.0;3057.0
5;CA Winning van energiehoudende delfst.;2001;10;60.2;58.6;53.8;52.9;19146.0;18819.0;6549.0;12270.0;328.0;-15.0;12.0;27.0;0.0;19.0;0.0;1.0;321.0;15137.0;12171.0;141.0;0.0;141.0;0.0;11672.0;3.0;11672.0;3.0;358.0;352.0;7.0;308.0;252.0;23.0;24.0;10.0;1967.0;102.0;43.0;31.0;5.0;23.0;20.0;19.0;0.0;0.0;0.0;0.0;1.0;32.0;2.0;19.0;11.0;39.0;18.0;1.0;2.0;1.0;4.0;1.0;12.0;165.0;100.0;52.0;12.0;27.0;2.0;0.0;13.0;5.0;7.0;9.0;143.0;0.0;17.0;3.0;31.0;2.0;91.0;1430.0;34.0;16.0;4.0;33.0;0.0;1252.0;90.0;689.0;4009.0;-115.0;53.0;168.0;-83.0;6.0;89.0;-5.0;20.0;25.0;3807.0
6;CA Winning van energiehoudende delfst.;2002;10;61.5;59.9;56.2;54.7;17192.0;16808.0;5857.0;10952.0;384.0;-1.0;3.0;4.0;3.0;29.0;1.0;0.0;351.0;13899.0;10852.0;117.0;0.0;117.0;0.0;10361.0;3.0;10365.0;8.0;374.0;335.0;39.0;421.0;297.0;26.0;48.0;49.0;1951.0;156.0;69.0;34.0;8.0;44.0;18.0;17.0;0.0;0.0;0.0;0.0;1.0;43.0;2.0;24.0;17.0;40.0;20.0;2.0;2.0;1.0;4.0;1.0;9.0;202.0;102.0;83.0;17.0;28.0;1.0;0.0;12.0;9.0;6.0;13.0;172.0;1.0;23.0;8.0;30.0;3.0;107.0;1279.0;26.0;18.0;8.0;22.0;14.0;1070.0;121.0;676.0;3293.0;-143.0;72.0;215.0;-19.0;8.0;27.0;17.0;20.0;3.0;3148.0
7;CA Winning van energiehoudende delfst.;2003;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;10 Turfwinning;2000;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;10 Turfwinning;2001;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
