ID;Landen;Perioden;GebruikskostenVanKantoorruimte_1
0;Australië - Sydney;2001 januari;374.0
1;Australië - Sydney;2001 juli;373.0
2;Australië - Sydney;2002 januari;360.0
3;Australië - Sydney;2002 juli;414.0
4;Australië - Sydney;2003 januari;397.0
5;Australië - Sydney;2003 augustus;472.0
6;Australië - Sydney;2004 januari;527.0
7;Australië - Sydney;2004 augustus;490.0
8;Australië - Sydney;2005 januari;540.0
9;Australië - Sydney;2005 augustus;435.0
10;Australië - Sydney;2006 mei;426.0
11;Australië - Sydney;2006 november;462.0
12;Australië - Sydney;2007 mei;529.0
13;Australië - Sydney;2007 november;563.0
14;Australië - Sydney;2008 mei;738.0
15;Australië - Sydney;2008 november;639.0
16;Australië - Sydney;2009 mei;456.0
17;Australië - Sydney;2009 november;560.0
18;Australië - Sydney;2010 mei;574.0
19;Australië - Sydney;2010 november;615.0
20;Australië - Sydney;2012 april;1269.0
21;Australië - Sydney;2013 april;1283.0
22;België - Brussel;2001 januari;291.0
23;België - Brussel;2001 juli;297.0
24;België - Brussel;2002 januari;313.0
25;België - Brussel;2002 juli;366.0
26;België - Brussel;2003 januari;426.0
27;België - Brussel;2003 augustus;471.0
28;België - Brussel;2004 januari;510.0
29;België - Brussel;2004 augustus;534.0
30;België - Brussel;2005 januari;583.0
31;België - Brussel;2005 augustus;531.0
32;België - Brussel;2006 mei;544.0
33;België - Brussel;2006 november;571.0
34;België - Brussel;2007 mei;600.0
35;België - Brussel;2007 november;642.0
36;België - Brussel;2008 mei;697.0
37;België - Brussel;2008 november;618.0
38;België - Brussel;2009 mei;543.0
39;België - Brussel;2009 november;582.0
40;België - Brussel;2010 mei;537.0
41;België - Brussel;2010 november;595.0
42;België - Brussel;2012 april;581.0
43;België - Brussel;2013 april;559.0
44;Canada - Calgary;2001 januari;
45;Canada - Calgary;2001 juli;
46;Canada - Calgary;2002 januari;
47;Canada - Calgary;2002 juli;
48;Canada - Calgary;2003 januari;
49;Canada - Calgary;2003 augustus;
50;Canada - Calgary;2004 januari;
51;Canada - Calgary;2004 augustus;
52;Canada - Calgary;2005 januari;
53;Canada - Calgary;2005 augustus;
54;Canada - Calgary;2006 mei;
55;Canada - Calgary;2006 november;576.0
56;Canada - Calgary;2007 mei;597.0
57;Canada - Calgary;2007 november;693.0
58;Canada - Calgary;2008 mei;713.0
59;Canada - Calgary;2008 november;
60;Canada - Calgary;2009 mei;
61;Canada - Calgary;2009 november;
62;Canada - Calgary;2010 mei;
63;Canada - Calgary;2010 november;
64;Canada - Calgary;2012 april;
65;Canada - Calgary;2013 april;
66;Canada - Toronto (CBD);2001 januari;408.0
67;Canada - Toronto (CBD);2001 juli;383.0
68;Canada - Toronto (CBD);2002 januari;367.0
69;Canada - Toronto (CBD);2002 juli;376.0
70;Canada - Toronto (CBD);2003 januari;371.0
71;Canada - Toronto (CBD);2003 augustus;386.0
72;Canada - Toronto (CBD);2004 januari;449.0
73;Canada - Toronto (CBD);2004 augustus;385.0
74;Canada - Toronto (CBD);2005 januari;465.0
75;Canada - Toronto (CBD);2005 augustus;406.0
76;Canada - Toronto (CBD);2006 mei;543.0
