ID;RegioS;Perioden;TotaalOnroerendeZaken_1;Woningen_2;NietWoningen_3;GemiddeldeWoningwaarde_4
0;Nederland;1997;717184.0;497622.0;215785.0;79.0
1;Nederland;1998;731200.0;506831.0;223365.0;79.0
2;Nederland;1999;749842.0;518055.0;229691.0;80.0
3;Nederland;2000;764649.0;528177.0;234894.0;80.0
4;Nederland;2001;1177383.0;878075.0;289358.0;131.0
5;Nederland;2002;1196690.0;890944.0;305746.0;132.0
6;Nederland;2003;1217238.0;903745.0;313493.0;133.0
7;Nederland;2004;1235520.0;915686.0;319834.0;134.0
8;Nederland;2005;1761074.0;1384175.0;376899.0;200.0
9;Nederland;2006;1783492.0;1401463.0;382029.0;201.0
10;Nederland;2007;1933086.0;1527304.0;405782.0;216.0
11;Nederland;2008;2081041.0;1653070.0;427971.0;232.0
12;Nederland;2009;2191169.0;1735392.0;455777.0;241.0
13;Nederland;2010;2229722.0;1759443.0;470279.0;242.0
14;Nederland;2011;2207980.0;1732458.0;475522.0;236.0
15;Nederland;2012;2179596.0;1705138.0;474458.0;232.0
16;Nederland;2013;2117493.0;1650448.0;467045.0;223.0
17;Nederland;2014;2021806.0;1570636.0;451170.0;211.0
18;Nederland;2015;1982439.0;1540222.0;442217.0;206.0
19;Nederland;2016;2013303.0;1576705.0;436598.0;208.0
20;Nederland;2017;2072534.0;1648006.0;424528.0;217.0
21;Nederland;2018;2195621.0;1761731.0;433890.0;230.0
22;Nederland;2019;2369203.0;1929566.0;439637.0;248.0
23;Nederland;2020;2581157.0;2122054.0;459101.0;270.0
24;Noord-Nederland (LD);1997;60053.0;41039.0;19014.0;62.0
25;Noord-Nederland (LD);1998;61810.0;42095.0;19709.0;62.0
26;Noord-Nederland (LD);1999;63282.0;43071.0;20189.0;63.0
27;Noord-Nederland (LD);2000;64800.0;43975.0;20782.0;64.0
28;Noord-Nederland (LD);2001;95432.0;69440.0;25730.0;100.0
29;Noord-Nederland (LD);2002;97205.0;70711.0;26494.0;100.0
30;Noord-Nederland (LD);2003;99058.0;71852.0;27206.0;102.0
31;Noord-Nederland (LD);2004;100321.0;72929.0;27392.0;102.0
32;Noord-Nederland (LD);2005;144513.0;113087.0;31427.0;157.0
33;Noord-Nederland (LD);2006;146736.0;114554.0;32183.0;158.0
34;Noord-Nederland (LD);2007;163302.0;128387.0;34915.0;175.0
35;Noord-Nederland (LD);2008;177209.0;140265.0;36944.0;189.0
36;Noord-Nederland (LD);2009;185376.0;146184.0;39192.0;196.0
37;Noord-Nederland (LD);2010;187929.0;147272.0;40657.0;197.0
38;Noord-Nederland (LD);2011;187190.0;145863.0;41327.0;194.0
39;Noord-Nederland (LD);2012;184981.0;143341.0;41640.0;189.0
40;Noord-Nederland (LD);2013;178519.0;137734.0;40785.0;181.0
41;Noord-Nederland (LD);2014;169319.0;130352.0;38967.0;170.0
42;Noord-Nederland (LD);2015;164893.0;126846.0;38048.0;165.0
43;Noord-Nederland (LD);2016;166306.0;128382.0;37924.0;165.0
44;Noord-Nederland (LD);2017;167427.0;131780.0;35647.0;170.0
45;Noord-Nederland (LD);2018;174660.0;138201.0;36459.0;176.0
46;Noord-Nederland (LD);2019;183098.0;147455.0;35643.0;184.0
47;Noord-Nederland (LD);2020;195500.0;158573.0;36927.0;199.0
48;Oost-Nederland (LD);1997;133777.0;97267.0;36235.0;80.0
49;Oost-Nederland (LD);1998;137375.0;99438.0;37913.0;81.0
50;Oost-Nederland (LD);1999;141055.0;101935.0;39064.0;81.0
51;Oost-Nederland (LD);2000;144932.0;104318.0;40452.0;81.0
52;Oost-Nederland (LD);2001;227340.0;174416.0;51931.0;134.0
53;Oost-Nederland (LD);2002;231878.0;177614.0;54264.0;134.0
54;Oost-Nederland (LD);2003;236201.0;180313.0;55887.0;135.0
55;Oost-Nederland (LD);2004;240388.0;183038.0;57349.0;136.0
56;Oost-Nederland (LD);2005;348208.0;279684.0;68524.0;204.0
57;Oost-Nederland (LD);2006;353010.0;283357.0;69653.0;205.0
58;Oost-Nederland (LD);2007;382850.0;308199.0;74651.0;220.0
59;Oost-Nederland (LD);2008;409834.0;330619.0;79215.0;234.0
60;Oost-Nederland (LD);2009;427562.0;343930.0;83632.0;240.0
61;Oost-Nederland (LD);2010;436384.0;348988.0;87396.0;242.0
62;Oost-Nederland (LD);2011;432209.0;343586.0;88623.0;236.0
63;Oost-Nederland (LD);2012;426311.0;337216.0;89095.0;229.0
64;Oost-Nederland (LD);2013;414521.0;326754.0;87767.0;221.0
65;Oost-Nederland (LD);2014;394323.0;309622.0;84701.0;208.0
66;Oost-Nederland (LD);2015;385861.0;303284.0;82577.0;203.0
67;Oost-Nederland (LD);2016;389175.0;307594.0;81582.0;203.0
68;Oost-Nederland (LD);2017;393525.0;315474.0;78051.0;207.0
69;Oost-Nederland (LD);2018;412490.0;332072.0;80418.0;217.0
70;Oost-Nederland (LD);2019;440985.0;360473.0;80512.0;231.0
71;Oost-Nederland (LD);2020;474179.0;391187.0;82985.0;249.0
