ID;RegioS;BevolkingUltimo2004_1;PersonenMet52WekenInkomen_2;PersonenMet52WkInkomenBevolking_3;PerInwoner_4;RangnummerInkomenPerInwoner_5;PerPersoonMet52WekenInkomen_6;RangnummerInkomenPersMet52WkInk_7
0;Nederland;16305.5;10773.4;66;12.2;0;17.7;0
1;Noord-Nederland (LD);1701.4;1125.9;66;11.3;4;16.3;4
2;Oost-Nederland (LD);3447.3;2255.4;65;11.7;3;17.1;3
3;West-Nederland (LD);7608.8;5010.8;66;12.8;1;18.5;1
4;Zuid-Nederland (LD);3548.1;2381.3;67;12.1;2;17.2;2
5;Groningen (PV);575.1;380.6;66;11.3;10;16.2;12
6;Friesland (PV);643.0;420.8;65;11.1;12;16.2;11
7;Drenthe (PV);483.4;324.5;67;11.6;8;16.7;8
8;Overijssel (PV);1109.4;726.0;65;11.3;9;16.6;10
9;Flevoland (PV);365.9;225.1;62;11.1;11;17.2;7
10;Gelderland (PV);1972.0;1304.2;66;12.0;7;17.3;5
11;Utrecht (PV);1171.3;772.4;66;13.1;1;19.1;1
12;Noord-Holland (PV);2599.1;1728.8;67;13.0;2;18.7;2
13;Zuid-Holland (PV);3458.4;2258.1;65;12.5;3;18.3;3
14;Zeeland (PV);380.0;251.6;66;12.1;5;17.3;6
15;Noord-Brabant (PV);2411.4;1616.6;67;12.2;4;17.5;4
16;Limburg (PV);1136.7;764.7;67;12.0;6;16.7;9
17;Oost-Groningen (CR);153.9;103.0;67;10.8;40;15.5;40
18;Delfzijl en omgeving (CR);51.9;34.1;66;11.1;35;16.2;37
19;Overig Groningen (CR);369.2;243.5;66;11.5;31;16.5;32
20;Noord-Friesland (CR);331.6;216.4;65;11.0;39;16.0;38
21;Zuidwest-Friesland (CR);105.1;68.4;65;11.1;38;16.3;36
22;Zuidoost-Friesland (CR);206.2;136.0;66;11.3;34;16.4;34
23;Noord-Drenthe (CR);185.1;124.2;67;12.1;18;17.5;17
24;Zuidoost-Drenthe (CR);171.0;115.2;67;11.1;37;15.8;39
25;Zuidwest-Drenthe (CR);127.3;85.1;67;11.6;29;16.7;29
26;Noord-Overijssel (CR);342.6;223.2;65;11.4;32;16.8;28
27;Zuidwest-Overijssel (CR);149.9;99.4;66;11.6;30;16.8;27
28;Twente (CR);616.9;403.4;65;11.3;33;16.5;33
29;Veluwe (CR);644.0;419.3;65;11.9;24;17.6;14
30;Achterhoek (CR);402.8;270.6;67;11.7;27;16.7;30
31;Arnhem/Nijmegen (CR);692.8;465.6;67;12.2;16;17.4;20
32;Zuidwest-Gelderland (CR);232.4;148.7;64;11.8;26;17.7;12
33;Utrecht (CR);1171.3;772.4;66;13.1;3;19.1;4
34;Kop van Noord-Holland (CR);364.9;243.6;67;11.8;25;17.1;25
35;Alkmaar en omgeving (CR);227.1;153.8;68;12.7;8;18.1;9
36;IJmond (CR);187.7;128.5;68;13.0;7;18.4;8
37;Agglomeratie Haarlem (CR);216.8;149.7;69;14.1;2;19.8;2
38;Zaanstreek (CR);155.7;105.9;68;12.3;13;17.4;19
39;Groot-Amsterdam (CR);1204.5;783.8;65;13.0;6;18.9;6
40;Het Gooi en Vechtstreek (CR);242.4;163.6;68;14.7;1;21.1;1
41;Agglomeratie Leiden en Bollenstreek (CR);389.2;256.3;66;13.1;4;19.0;5
42;Agglomeratie 's-Gravenhage (CR);774.5;503.3;65;13.0;5;19.2;3
43;Delft en Westland (CR);209.9;139.8;67;12.2;17;17.5;18
44;Oost-Zuid-Holland (CR);322.3;211.2;66;12.7;9;18.7;7
45;Groot-Rijnmond (CR);1361.8;887.5;65;12.2;14;17.8;10
46;Zuidoost-Zuid-Holland (CR);400.6;260.0;65;12.1;20;17.8;11
