ID;RegioS;BevolkingUltimo2005_1;PersonenMet52WekenInkomen_2;PersonenMet52WkInkomenBevolking_3;PerInwoner_4;RangnummerInkomenPerInwoner_5;PerPersoonMet52WekenInkomen_6;RangnummerInkomenPersMet52WkInk_7
0;Nederland;16334.2;10894.4;67;12.7;0;18.2;0
1;Noord-Nederland (LD);1700.8;1132.9;67;11.6;4;16.6;4
2;Oost-Nederland (LD);3459.9;2281.3;66;12.1;3;17.5;3
3;West-Nederland (LD);7625.7;5067.6;66;13.3;1;19.1;1
4;Zuid-Nederland (LD);3547.9;2412.5;68;12.6;2;17.7;2
5;Groningen (PV);574.0;381.1;66;11.5;11;16.4;12
6;Friesland (PV);642.2;423.9;66;11.5;12;16.6;11
7;Drenthe (PV);484.5;327.9;68;11.9;8;16.9;10
8;Overijssel (PV);1113.5;734.6;66;11.7;9;16.9;9
9;Flevoland (PV);370.7;229.7;62;11.6;10;17.8;5
10;Gelderland (PV);1975.7;1317.0;67;12.3;6;17.7;6
11;Utrecht (PV);1180.0;786.3;67;13.6;1;19.6;1
12;Noord-Holland (PV);2606.6;1747.6;67;13.6;2;19.4;2
13;Zuid-Holland (PV);3458.9;2278.8;66;13.0;3;18.8;3
14;Zeeland (PV);380.2;254.9;67;12.4;5;17.6;7
15;Noord-Brabant (PV);2415.9;1640.4;68;12.7;4;18.0;4
16;Limburg (PV);1131.9;772.1;68;12.3;7;17.0;8
17;Oost-Groningen (CR);154.3;101.9;66;11.0;40;15.8;40
18;Delfzijl en omgeving (CR);51.2;34.1;67;11.5;37;16.4;37
19;Overig Groningen (CR);368.5;245.1;66;11.8;31;16.7;34
20;Noord-Friesland (CR);331.1;217.6;66;11.4;38;16.4;38
21;Zuidwest-Friesland (CR);105.2;68.9;65;11.7;33;17.0;30
22;Zuidoost-Friesland (CR);205.9;137.4;67;11.6;34;16.7;36
23;Noord-Drenthe (CR);185.7;126.0;68;12.4;19;17.7;21
24;Zuidoost-Drenthe (CR);171.0;115.8;68;11.3;39;15.9;39
25;Zuidwest-Drenthe (CR);127.7;86.1;67;12.0;29;17.0;31
26;Noord-Overijssel (CR);344.8;226.1;66;11.8;32;17.2;27
27;Zuidwest-Overijssel (CR);151.0;100.6;67;11.9;30;17.2;28
28;Twente (CR);617.7;407.8;66;11.6;35;16.7;35
29;Veluwe (CR);645.4;422.4;65;12.3;24;18.1;16
30;Achterhoek (CR);402.7;273.2;68;12.1;28;17.1;29
31;Arnhem/Nijmegen (CR);694.6;470.5;68;12.5;18;17.6;24
32;Zuidwest-Gelderland (CR);233.1;150.9;65;12.4;21;18.5;10
33;Utrecht (CR);1180.0;786.3;67;13.6;3;19.6;5
34;Kop van Noord-Holland (CR);365.4;244.6;67;12.4;23;17.7;20
35;Alkmaar en omgeving (CR);228.4;154.4;68;13.2;9;18.7;9
36;IJmond (CR);188.6;128.3;68;13.4;7;19.0;8
37;Agglomeratie Haarlem (CR);216.9;149.3;69;14.8;2;20.6;2
38;Zaanstreek (CR);156.1;105.8;68;12.7;14;17.9;18
39;Groot-Amsterdam (CR);1209.5;801.0;66;13.6;5;19.5;6
40;Het Gooi en Vechtstreek (CR);241.8;164.2;68;15.3;1;21.9;1
41;Agglomeratie Leiden en Bollenstreek (CR);389.5;258.5;66;13.6;4;19.6;4
42;Agglomeratie 's-Gravenhage (CR);780.2;509.6;65;13.5;6;19.7;3
43;Delft en Westland (CR);210.9;142.0;67;12.8;12;18.2;13
44;Oost-Zuid-Holland (CR);322.2;212.8;66;13.2;8;19.3;7
45;Groot-Rijnmond (CR);1355.8;892.5;66;12.6;16;18.3;12
46;Zuidoost-Zuid-Holland (CR);400.3;263.4;66;12.6;17;18.4;11
47;Zeeuwsch-Vlaanderen (CR);107.7;72.4;67;12.7;15;17.5;25
48;Overig Zeeland (CR);272.5;182.5;67;12.3;25;17.6;22
49;West-Noord-Brabant (CR);607.7;413.5;68;12.9;10;18.1;14
50;Midden-Noord-Brabant (CR);452.2;306.2;68;12.4;20;17.6;23
51;Noordoost-Noord-Brabant (CR);628.4;427.1;68;12.7;13;18.1;17
52;Zuidoost-Noord-Brabant (CR);727.7;493.7;68;12.8;11;18.1;15
53;Noord-Limburg (CR);278.4;190.0;68;12.1;27;16.9;32
54;Midden-Limburg (CR);234.2;159.3;68;12.4;22;17.3;26
55;Zuid-Limburg (CR);619.4;422.8;68;12.3;26;16.9;33
56;Flevoland (CR);370.7;229.7;62;11.6;36;17.8;19
57;Groningen (GA);199.8;134.7;67;12.1;19;16.7;19
58;Leeuwarden (GA);91.8;61.7;67;11.8;21;16.4;20
59;Zwolle (GA);113.1;76.9;68;12.6;12;17.7;13
60;Enschede (GA);154.4;100.5;65;11.1;22;15.8;22
61;Apeldoorn (GA);156.1;105.9;68;12.8;10;18.0;11
62;Arnhem (GA);143.7;97.2;68;12.3;15;17.2;15
63;Nijmegen (GA);159.5;108.8;68;12.2;16;16.9;17
64;Amersfoort (GA);165.9;110.2;66;13.5;4;19.6;4
65;Utrecht (GA);416.1;280.7;67;13.2;8;18.5;8
66;Amsterdam (GA);1021.3;675.0;66;13.4;6;19.2;5
67;Haarlem (GA);189.6;130.4;69;14.7;1;20.6;1
68;Leiden (GA);249.8;164.2;66;13.6;2;19.8;2
69;'s-Gravenhage (GA);621.5;404.3;65;13.5;3;19.8;3
70;Rotterdam (GA);991.6;650.6;66;12.3;14;17.8;12
71;Dordrecht (GA);245.5;163.5;67;12.7;11;18.2;10
72;Breda (GA);169.7;116.0;68;13.3;7;18.6;7
73;Tilburg (GA);222.5;152.2;68;12.1;18;16.9;16
74;'s-Hertogenbosch (GA);160.0;110.6;69;13.4;5;18.7;6
75;Eindhoven (GA);322.4;221.4;69;13.1;9;18.2;9
76;Geleen/Sittard (GA);140.2;95.6;68;12.5;13;17.4;14
77;Heerlen (GA);209.6;144.2;69;11.9;20;16.0;21
78;Maastricht (GA);120.2;81.8;68;12.2;17;16.8;18
79;Groningen (SG);342.7;229.6;67;12.2;19;17.2;19
80;Leeuwarden (SG);159.3;106.0;67;11.7;21;16.7;20
81;Zwolle (SG);169.5;114.3;67;12.6;13;17.9;13
82;Enschede (SG);310.0;205.2;66;11.6;22;16.5;21
83;Apeldoorn (SG);212.6;144.4;68;12.7;10;17.9;12
84;Arnhem (SG);347.3;235.2;68;12.6;12;17.8;14
85;Nijmegen (SG);277.2;188.1;68;12.5;16;17.5;15
86;Amersfoort (SG);269.3;178.3;66;13.4;5;19.5;3
87;Utrecht (SG);577.2;387.9;67;13.6;3;19.3;5
88;Amsterdam (SG);1464.8;962.7;66;13.3;7;19.2;6
89;Haarlem (SG);405.5;277.6;68;14.2;1;19.9;1
90;Leiden (SG);332.8;219.7;66;13.7;2;19.8;2
91;'s-Gravenhage (SG);991.0;651.6;66;13.4;6;19.4;4
92;Rotterdam (SG);1177.1;775.2;66;12.5;14;18.1;11
93;Dordrecht (SG);288.4;191.0;66;12.6;11;18.3;10
94;Breda (SG);310.3;211.9;68;13.1;9;18.4;9
95;Tilburg (SG);288.8;197.2;68;12.3;18;17.3;17
96;'s-Hertogenbosch (SG);188.0;129.6;69;13.4;4;18.7;7
97;Eindhoven (SG);405.2;277.4;68;13.2;8;18.4;8
98;Geleen/Sittard (SG);153.7;104.8;68;12.5;15;17.4;16
99;Heerlen (SG);258.2;177.3;69;12.0;20;16.3;22
100;Maastricht (SG);182.5;124.8;68;12.4;17;17.2;18
101;Aa en Hunze;25.5;17.5;69;12.6;213;17.8;256
102;Aalburg;12.2;7.5;61;11.8;362;18.5;157
103;Aalsmeer;24.1;16.5;68;13.8;69;19.4;94
104;Aalten;27.5;18.4;67;11.5;403;16.3;423
105;Abcoude;8.7;5.6;64;17.4;6;26.5;6
106;Achtkarspelen;28.2;18.1;64;10.7;449;15.9;441
107;Alblasserdam;18.4;11.9;65;11.9;341;17.8;252
108;Alkmaar;94.5;64.9;69;12.6;208;17.6;288
109;Albrandswaard;21.1;14.1;67;14.3;43;20.9;37
110;Alkemade;14.5;9.8;68;12.7;200;18.0;213
111;Almelo;72.0;47.9;67;11.4;414;16.3;418
112;Almere;178.5;109.8;62;11.8;358;18.3;186
113;Alphen aan den Rijn;71.0;47.4;67;13.4;95;19.2;103
114;Alphen-Chaam;9.5;6.4;67;13.1;129;18.8;136
115;Ambt Montfort;11.0;7.4;68;12.1;315;16.7;389
116;Ameland;3.5;2.3;68;11.6;388;16.4;410
117;Amersfoort;137.0;90.7;66;13.3;98;19.4;95
118;Amstelveen;78.8;53.2;68;15.9;15;22.6;16
119;Amsterdam;743.1;486.8;66;13.3;113;19.0;118
120;Andijk;6.5;4.3;67;12.2;302;17.6;286
121;Anna Paulowna;14.0;9.1;65;11.5;405;16.9;366
122;Apeldoorn;156.1;105.9;68;12.8;182;18.0;216
123;Appingedam;12.3;8.3;68;11.7;380;16.4;414
124;Arcen en Velden;8.9;6.1;69;12.9;149;17.7;267
125;Arnhem;142.2;96.2;68;12.2;298;17.1;354
126;Assen;63.4;42.6;67;12.0;326;17.3;328
127;Asten;16.3;11.0;68;12.6;219;17.9;232
128;Baarle-Nassau;6.6;4.7;71;12.6;225;16.8;381
129;Baarn;24.5;16.9;69;14.6;34;20.3;57
130;Barendrecht;41.2;27.2;66;13.8;67;20.3;56
131;Barneveld;50.4;30.7;61;11.6;385;18.5;163
132;Bedum;10.7;7.2;67;12.1;316;17.6;278
133;Beek (L.);16.9;11.4;68;12.7;201;17.8;244
134;Beemster;8.5;5.8;68;14.3;48;20.0;65
135;Beesel;13.5;9.0;67;11.8;371;16.7;394
136;Bellingwedde;9.7;6.5;67;11.0;444;15.5;453
137;Bennebroek;5.1;3.6;70;17.2;7;23.8;13
138;Bergambacht;9.4;6.0;64;13.3;106;20.0;67
139;Bergeijk;18.1;12.1;67;12.9;151;18.6;156
140;Bergen (L.);13.6;9.2;67;11.3;426;15.9;442
141;Bergen (NH.);31.5;21.7;69;14.9;29;20.7;39
142;Bergen op Zoom;65.8;44.1;67;12.5;239;17.6;280
143;Bergschenhoek;16.6;10.1;61;13.9;63;21.9;22
144;Berkel en Rodenrijs;19.2;12.8;67;13.8;70;19.9;68
145;Berkelland;45.3;31.1;69;11.9;342;16.8;384
146;Bernheze;29.5;19.8;67;12.5;241;18.1;209
147;Bernisse;12.7;8.4;66;13.4;89;19.5;88
148;Best;29.0;19.3;67;13.1;135;19.0;122
149;Beuningen;25.1;16.6;66;12.6;207;18.4;172
150;Beverwijk;36.5;25.2;69;12.8;170;17.9;242
151;Binnenmaas;19.6;13.3;68;14.3;44;20.5;50
152;Bladel;19.1;12.9;67;12.4;270;17.8;262
153;Blaricum;9.1;5.9;65;16.9;9;29.0;3
154;Bleiswijk;10.2;6.5;64;14.1;53;21.2;28
155;Bloemendaal;17.0;11.0;65;20.8;1;31.4;1
156;Boarnsterhim;19.2;12.8;66;11.7;383;16.8;379
157;Bodegraven;19.4;12.6;65;12.9;155;19.2;102
158;Boekel;9.4;6.2;66;11.6;393;16.9;373
159;Bolsward;9.5;6.3;67;11.8;372;16.9;372
160;Borger-Odoorn;26.3;17.6;67;11.5;404;16.4;409
161;Borne;20.5;13.5;66;12.5;243;18.3;178
162;Borsele;22.4;14.6;65;12.2;296;18.1;206
163;Boskoop;15.3;9.8;64;12.9;150;19.4;98
164;Boxmeer;29.0;19.7;68;12.4;259;17.6;282
165;Boxtel;29.7;20.2;68;12.9;161;18.3;182
166;Breda;169.7;116.0;68;13.3;100;18.6;153
167;Breukelen;14.6;9.4;65;14.2;51;21.1;31
168;Brielle;16.0;10.8;67;13.9;61;20.1;63
169;Bronckhorst;37.7;25.8;68;12.6;221;17.8;254
170;Brummen;21.4;14.4;68;12.7;199;18.1;211
171;Brunssum;29.6;20.5;69;11.8;373;16.0;439
172;Bunnik;14.2;9.6;68;15.2;22;21.9;23
173;Bunschoten;19.5;12.5;64;11.7;381;17.6;291
174;Buren;25.6;16.7;65;12.7;190;18.9;131
175;Bussum;31.2;21.1;68;16.8;10;24.1;11
176;Capelle aan den IJssel;65.6;44.0;67;13.4;90;19.2;107
177;Castricum;35.0;23.8;68;14.5;38;20.7;40
178;Coevorden;36.1;24.5;68;11.7;377;16.5;405
179;Cranendonck;20.1;13.7;68;12.7;202;17.8;245
180;Cromstrijen;13.0;8.8;67;13.5;78;19.4;92
181;Cuijk;24.2;16.4;68;12.0;328;17.1;350
182;Culemborg;27.2;17.4;64;12.8;174;19.2;105
183;Dalfsen;26.4;17.4;66;12.1;310;17.8;250
184;Dantumadeel;19.6;12.4;63;10.6;452;15.9;443
185;De Bilt;42.0;28.1;67;16.0;14;23.0;14
186;De Marne;11.1;7.4;67;11.4;421;16.4;417
187;De Ronde Venen;34.4;22.6;66;14.5;37;21.2;27
188;De Wolden;23.8;16.0;67;12.0;327;17.2;344
