ID;Woninginboedel;Perioden;Prijsindexcijfers_1;Wegingscoefficienten_2
0;0;1996 Januari;97.6;100000
1;0;1996 Februari;98.3;100000
2;0;1996 Maart;100.4;100000
3;0;1996 April;100.5;100000
4;0;1996 Mei;100.5;100000
5;0;1996 Juni;99.7;100000
6;0;1996 Juli;97.3;100000
7;0;1996 Augustus;97.7;100000
8;0;1996 September;100.2;100000
9;0;1996 Oktober;100.5;100000
10;0;1996 November;100.3;100000
11;0;1996 December;99.4;100000
12;0;1996;99.4;100000
13;0;1997 Januari;97.2;100000
14;0;1997 Februari;97.9;100000
15;0;1997 Maart;100.5;100000
16;0;1997 April;100.5;100000
17;0;1997 Mei;100.4;100000
18;0;1997 Juni;99.0;100000
19;0;1997 Juli;97.3;100000
20;0;1997 Augustus;97.8;100000
21;0;1997 September;100.4;100000
22;0;1997 Oktober;100.7;100000
23;0;1997 November;100.7;100000
24;0;1997 December;99.9;100000
25;0;1997;99.4;100000
26;0;1998 Januari;97.6;100000
27;0;1998 Februari;99.3;100000
28;0;1998 Maart;101.7;100000
29;0;1998 April;102.1;100000
30;0;1998 Mei;101.8;100000
31;0;1998 Juni;100.8;100000
32;0;1998 Juli;99.0;100000
33;0;1998 Augustus;99.3;100000
34;0;1998 September;101.9;100000
35;0;1998 Oktober;102.0;100000
36;0;1998 November;101.9;100000
37;0;1998 December;100.7;100000
38;0;1998;100.7;100000
39;0;1999 Januari;99.3;100000
40;0;1999 Februari;100.8;100000
41;0;1999 Maart;103.4;100000
42;0;1999 April;103.7;100000
43;0;1999 Mei;103.8;100000
44;0;1999 Juni;102.9;100000
45;0;1999 Juli;101.2;100000
46;0;1999 Augustus;102.2;100000
47;0;1999 September;103.8;100000
48;0;1999 Oktober;103.7;100000
49;0;1999 November;103.9;100000
50;0;1999 December;102.7;100000
51;0;1999;102.6;100000
52;0;2000 Januari;100.6;100000
53;0;2000 Februari;101.8;100000
54;0;2000 Maart;104.2;100000
55;0;2000 April;104.9;100000
56;0;2000 Mei;105.2;100000
57;0;2000 Juni;104.2;100000
58;0;2000 Juli;102.3;100000
59;0;2000 Augustus;103.1;100000
60;0;2000 September;105.6;100000
61;0;2000 Oktober;106.1;100000
62;0;2000 November;106.2;100000
63;0;2000 December;105.2;100000
64;0;2000;104.1;100000
65;0;2001 Januari;104.9;100000
66;0;2001 Februari;106.5;100000
67;0;2001 Maart;109.2;100000
68;0;2001 April;109.5;100000
69;0;2001 Mei;109.8;100000
70;0;2001 Juni;109.3;100000
71;0;2001 Juli;107.3;100000
72;0;2001 Augustus;107.8;100000
73;0;2001 September;110.4;100000
74;0;2001 Oktober;110.7;100000
75;0;2001 November;110.8;100000
76;0;2001 December;110.5;100000
77;0;2001;108.9;100000
78;1;1996 Januari;99.7;39989
79;1;1996 Februari;99.7;39989
80;1;1996 Maart;99.7;39989
81;1;1996 April;99.9;39989
82;1;1996 Mei;99.9;39989
83;1;1996 Juni;99.6;39989
84;1;1996 Juli;99.7;39989
85;1;1996 Augustus;99.8;39989
86;1;1996 September;99.9;39989
87;1;1996 Oktober;100.0;39989
88;1;1996 November;100.0;39989
89;1;1996 December;100.1;39989
90;1;1996;99.8;39989
91;1;1997 Januari;99.9;39989
92;1;1997 Februari;100.0;39989
93;1;1997 Maart;99.8;39989
94;1;1997 April;99.8;39989
95;1;1997 Mei;99.9;39989
96;1;1997 Juni;99.7;39989
97;1;1997 Juli;99.9;39989
98;1;1997 Augustus;100.1;39989
99;1;1997 September;100.0;39989
100;1;1997 Oktober;100.5;39989
101;1;1997 November;100.5;39989
102;1;1997 December;100.5;39989
103;1;1997;100.0;39989
104;1;1998 Januari;100.9;39989
105;1;1998 Februari;101.3;39989
106;1;1998 Maart;101.4;39989
107;1;1998 April;102.2;39989
108;1;1998 Mei;102.1;39989
109;1;1998 Juni;102.1;39989
110;1;1998 Juli;101.9;39989
111;1;1998 Augustus;102.3;39989
112;1;1998 September;102.5;39989
113;1;1998 Oktober;102.5;39989
114;1;1998 November;102.4;39989
115;1;1998 December;102.4;39989
116;1;1998;102.0;39989
117;1;1999 Januari;103.3;39989
118;1;1999 Februari;104.1;39989
119;1;1999 Maart;104.8;39989
120;1;1999 April;105.0;39989
121;1;1999 Mei;105.7;39989
122;1;1999 Juni;105.9;39989
123;1;1999 Juli;106.3;39989
124;1;1999 Augustus;106.4;39989
125;1;1999 September;106.4;39989
126;1;1999 Oktober;106.8;39989
127;1;1999 November;107.0;39989
128;1;1999 December;106.9;39989
129;1;1999;105.7;39989
130;1;2000 Januari;107.0;39989
131;1;2000 Februari;107.4;39989
132;1;2000 Maart;107.6;39989
133;1;2000 April;108.1;39989
134;1;2000 Mei;108.5;39989
135;1;2000 Juni;108.5;39989
136;1;2000 Juli;109.7;39989
137;1;2000 Augustus;109.6;39989
138;1;2000 September;110.2;39989
139;1;2000 Oktober;110.6;39989
140;1;2000 November;111.1;39989
141;1;2000 December;111.1;39989
142;1;2000;109.1;39989
143;1;2001 Januari;113.2;39989
144;1;2001 Februari;114.3;39989
145;1;2001 Maart;114.3;39989
146;1;2001 April;114.5;39989
147;1;2001 Mei;115.0;39989
148;1;2001 Juni;115.6;39989
149;1;2001 Juli;116.1;39989
150;1;2001 Augustus;116.1;39989
151;1;2001 September;116.6;39989
152;1;2001 Oktober;116.8;39989
153;1;2001 November;116.9;39989
154;1;2001 December;117.7;39989
155;1;2001;115.6;39989
156;10   Meubelen;1996 Januari;99.7;21772
157;10   Meubelen;1996 Februari;100.0;21772
158;10   Meubelen;1996 Maart;100.0;21772
159;10   Meubelen;1996 April;100.3;21772
160;10   Meubelen;1996 Mei;100.3;21772
161;10   Meubelen;1996 Juni;100.2;21772
162;10   Meubelen;1996 Juli;100.6;21772
163;10   Meubelen;1996 Augustus;100.7;21772
164;10   Meubelen;1996 September;100.9;21772
165;10   Meubelen;1996 Oktober;100.9;21772
166;10   Meubelen;1996 November;100.9;21772
167;10   Meubelen;1996 December;100.9;21772
168;10   Meubelen;1996;100.4;21772
169;10   Meubelen;1997 Januari;100.6;21772
170;10   Meubelen;1997 Februari;100.6;21772
171;10   Meubelen;1997 Maart;100.6;21772
172;10   Meubelen;1997 April;100.7;21772
173;10   Meubelen;1997 Mei;100.7;21772
174;10   Meubelen;1997 Juni;100.7;21772
175;10   Meubelen;1997 Juli;101.1;21772
176;10   Meubelen;1997 Augustus;101.3;21772
177;10   Meubelen;1997 September;101.2;21772
178;10   Meubelen;1997 Oktober;101.9;21772
179;10   Meubelen;1997 November;101.8;21772
180;10   Meubelen;1997 December;101.8;21772
181;10   Meubelen;1997;101.1;21772
182;10   Meubelen;1998 Januari;102.4;21772
183;10   Meubelen;1998 Februari;102.9;21772
184;10   Meubelen;1998 Maart;102.9;21772
185;10   Meubelen;1998 April;104.1;21772
186;10   Meubelen;1998 Mei;104.0;21772
187;10   Meubelen;1998 Juni;104.0;21772
188;10   Meubelen;1998 Juli;103.8;21772
189;10   Meubelen;1998 Augustus;104.4;21772
190;10   Meubelen;1998 September;104.5;21772
191;10   Meubelen;1998 Oktober;104.5;21772
192;10   Meubelen;1998 November;104.5;21772
193;10   Meubelen;1998 December;104.5;21772
194;10   Meubelen;1998;103.9;21772
195;10   Meubelen;1999 Januari;106.1;21772
196;10   Meubelen;1999 Februari;107.2;21772
197;10   Meubelen;1999 Maart;107.8;21772
198;10   Meubelen;1999 April;108.1;21772
199;10   Meubelen;1999 Mei;109.3;21772
200;10   Meubelen;1999 Juni;109.7;21772
201;10   Meubelen;1999 Juli;110.8;21772
202;10   Meubelen;1999 Augustus;110.5;21772
203;10   Meubelen;1999 September;110.3;21772
204;10   Meubelen;1999 Oktober;110.6;21772
205;10   Meubelen;1999 November;111.0;21772
206;10   Meubelen;1999 December;110.8;21772
207;10   Meubelen;1999;109.4;21772
208;10   Meubelen;2000 Januari;111.1;21772
209;10   Meubelen;2000 Februari;111.6;21772
210;10   Meubelen;2000 Maart;111.8;21772
211;10   Meubelen;2000 April;112.4;21772
212;10   Meubelen;2000 Mei;113.3;21772
213;10   Meubelen;2000 Juni;113.1;21772
214;10   Meubelen;2000 Juli;115.1;21772
215;10   Meubelen;2000 Augustus;114.8;21772
216;10   Meubelen;2000 September;115.3;21772
217;10   Meubelen;2000 Oktober;116.0;21772
218;10   Meubelen;2000 November;116.7;21772
219;10   Meubelen;2000 December;116.6;21772
220;10   Meubelen;2000;114.0;21772
221;10   Meubelen;2001 Januari;118.6;21772
222;10   Meubelen;2001 Februari;120.0;21772
223;10   Meubelen;2001 Maart;119.7;21772
