ID;Accuracy;OwnerOrTenant;HouseholdCharacteristics;DwellingCharacteristics;Period;TotalHousingCosts_1;NetRentOrMortgage_2;AdditionalHousingCosts_3;HousingCostRatio_4;NonSkewedRent_5;SkewedTowardsCheapRent_6;SkewedTowardsExpensiveRent_7
0;Value;Total;Households in autonomous homes;Total;2009;773.4;554.6;218.8;31.8;85.4;11.3;3.3
1;Value;Total;Households in autonomous homes;Total;2012;822.9;601.1;221.8;33.5;85.1;9.7;5.3
2;Value;Total;Households in autonomous homes;Total;2015;798.8;599.0;199.8;32.5;85.5;7.2;7.3
3;Value;Total;Households in autonomous homes;Bathing facilities:bath, separate shower;2009;991.9;724.0;267.9;29.7;97.0;1.9;1.2
4;Value;Total;Households in autonomous homes;Bathing facilities:bath, separate shower;2012;1052.7;783.1;269.6;30.7;97.1;1.5;1.3
5;Value;Total;Households in autonomous homes;Bathing facilities:bath, separate shower;2015;991.4;751.4;240.0;28.3;97.0;1.3;1.7
6;Value;Total;Households in autonomous homes;Bathing facilities: bath or bath/shower;2009;860.7;626.1;234.6;31.7;91.1;6.4;2.4
7;Value;Total;Households in autonomous homes;Bathing facilities: bath or bath/shower;2012;902.5;662.3;240.1;33.2;90.9;5.8;3.3
8;Value;Total;Households in autonomous homes;Bathing facilities: bath or bath/shower;2015;839.0;630.1;208.9;31.3;89.8;5.0;5.2
9;Value;Total;Households in autonomous homes;Bathing facilities: shower/ no bath;2009;647.4;455.8;191.6;32.8;78.5;17.0;4.6
10;Value;Total;Households in autonomous homes;Bathing facilities: shower/ no bath;2012;697.8;502.5;195.3;34.8;78.1;14.4;7.6
11;Value;Total;Households in autonomous homes;Bathing facilities: shower/ no bath;2015;697.7;519.1;178.6;34.7;79.1;10.5;10.5
12;Value;Total;Households in autonomous homes;Year of construction: .. to 1945;2009;884.1;646.3;237.8;34.7;88.8;9.1;2.1
13;Value;Total;Households in autonomous homes;Year of construction: .. to 1945;2012;932.5;694.3;238.2;36.1;88.9;7.8;3.3
14;Value;Total;Households in autonomous homes;Year of construction: .. to 1945;2015;900.8;686.8;214.0;34.3;88.8;6.6;4.6
15;Value;Total;Households in autonomous homes;Year of construction: 1946 to 1970;2009;681.5;469.1;212.3;32.1;81.8;15.2;3.0
16;Value;Total;Households in autonomous homes;Year of construction: 1946 to 1970;2012;730.5;515.2;215.3;33.8;81.2;13.3;5.5
17;Value;Total;Households in autonomous homes;Year of construction: 1946 to 1970;2015;708.3;511.4;196.9;33.1;83.5;9.5;7.1
18;Value;Total;Households in autonomous homes;Year of construction: 1971 to 1985;2009;739.0;519.7;219.3;30.9;82.5;13.4;4.1
19;Value;Total;Households in autonomous homes;Year of construction: 1971 to 1985;2012;788.5;566.8;221.7;32.7;83.4;11.0;5.7
20;Value;Total;Households in autonomous homes;Year of construction: 1971 to 1985;2015;744.1;545.1;199.0;31.8;83.5;8.3;8.1
21;Value;Total;Households in autonomous homes;Year of construction: 1986 to 2000;2009;800.2;584.4;215.8;29.9;90.0;7.1;2.9
22;Value;Total;Households in autonomous homes;Year of construction: 1986 to 2000;2012;843.2;622.7;220.5;31.4;88.3;6.9;4.8
23;Value;Total;Households in autonomous homes;Year of construction: 1986 to 2000;2015;804.0;606.7;197.3;30.4;87.5;5.5;7.0
