ID;Sales;Products;Periods;IndexNumbers_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3;IndexNumbers_4;MonthOnMonthDevelopment_5;YearOnYearDevelopment_6
0;Total sales;C MINING AND QUARRYING;2000 January;81.0;;;81.0;;
1;Total sales;C MINING AND QUARRYING;2000 February;82.8;2.3;;82.8;2.3;
2;Total sales;C MINING AND QUARRYING;2000 March;84.1;1.6;;84.1;1.6;
3;Total sales;C MINING AND QUARRYING;2000 April;93.2;10.9;;93.2;10.9;
4;Total sales;C MINING AND QUARRYING;2000 May;97.3;4.3;;97.3;4.3;
5;Total sales;C MINING AND QUARRYING;2000 June;98.5;1.3;;98.5;1.3;
6;Total sales;C MINING AND QUARRYING;2000 July;105.7;7.3;;105.7;7.3;
7;Total sales;C MINING AND QUARRYING;2000 August;107.2;1.3;;107.2;1.3;
8;Total sales;C MINING AND QUARRYING;2000 September;108.9;1.6;;108.9;1.6;
9;Total sales;C MINING AND QUARRYING;2000 October;113.0;3.8;;113.0;3.8;
10;Total sales;C MINING AND QUARRYING;2000 November;113.7;0.6;;113.7;0.6;
11;Total sales;C MINING AND QUARRYING;2000 December;114.6;0.7;;114.6;0.7;
12;Total sales;C MINING AND QUARRYING;2000;100.0;;;100.0;;
13;Total sales;C MINING AND QUARRYING;2001 January;118.6;3.5;46.5;118.6;3.5;46.5
14;Total sales;C MINING AND QUARRYING;2001 February;122.5;3.3;47.9;122.5;3.3;47.9
15;Total sales;C MINING AND QUARRYING;2001 March;122.4;-0.1;45.5;122.4;-0.1;45.5
16;Total sales;C MINING AND QUARRYING;2001 April;117.1;-4.3;25.6;117.1;-4.3;25.6
17;Total sales;C MINING AND QUARRYING;2001 May;118.4;1.0;21.7;118.4;1.0;21.7
18;Total sales;C MINING AND QUARRYING;2001 June;119.9;1.3;21.7;119.9;1.3;21.7
19;Total sales;C MINING AND QUARRYING;2001 July;117.4;-2.1;11.0;117.4;-2.1;11.0
20;Total sales;C MINING AND QUARRYING;2001 August;113.1;-3.7;5.6;113.1;-3.7;5.6
21;Total sales;C MINING AND QUARRYING;2001 September;110.8;-2.1;1.7;110.8;-2.1;1.7
22;Total sales;C MINING AND QUARRYING;2001 October;107.2;-3.2;-5.2;107.2;-3.2;-5.2
23;Total sales;C MINING AND QUARRYING;2001 November;105.2;-1.9;-7.5;105.2;-1.9;-7.5
24;Total sales;C MINING AND QUARRYING;2001 December;103.8;-1.3;-9.4;103.8;-1.3;-9.4
25;Total sales;C MINING AND QUARRYING;2001;114.7;;14.7;114.7;;14.7
26;Total sales;C MINING AND QUARRYING;2002 January;101.2;-2.6;-14.7;101.2;-2.6;-14.7
27;Total sales;C MINING AND QUARRYING;2002 February;103.2;2.0;-15.8;103.2;2.0;-15.8
28;Total sales;C MINING AND QUARRYING;2002 March;102.6;-0.6;-16.2;102.6;-0.6;-16.2
29;Total sales;C MINING AND QUARRYING;2002 April;103.7;1.1;-11.5;103.7;1.1;-11.5
30;Total sales;C MINING AND QUARRYING;2002 May;102.5;-1.2;-13.4;102.5;-1.2;-13.4
31;Total sales;C MINING AND QUARRYING;2002 June;99.9;-2.5;-16.7;99.9;-2.5;-16.7
32;Total sales;C MINING AND QUARRYING;2002 July;104.5;4.6;-11.0;104.5;4.6;-11.0
33;Total sales;C MINING AND QUARRYING;2002 August;104.2;-0.3;-7.9;104.2;-0.3;-7.9
34;Total sales;C MINING AND QUARRYING;2002 September;103.8;-0.4;-6.3;103.8;-0.4;-6.3
35;Total sales;C MINING AND QUARRYING;2002 October;108.3;4.3;1.0;108.3;4.3;1.0
36;Total sales;C MINING AND QUARRYING;2002 November;109.8;1.5;4.4;109.8;1.5;4.4
37;Total sales;C MINING AND QUARRYING;2002 December;113.2;3.1;9.0;113.2;3.1;9.0
38;Total sales;C MINING AND QUARRYING;2002;104.7;;-8.7;104.7;;-8.7
39;Total sales;C MINING AND QUARRYING;2003 January;117.6;3.9;16.2;117.6;3.9;16.2
40;Total sales;C MINING AND QUARRYING;2003 February;117.5;0.0;13.9;117.5;0.0;13.9
41;Total sales;C MINING AND QUARRYING;2003 March;116.4;-0.9;13.5;116.4;-0.9;13.5
42;Total sales;C MINING AND QUARRYING;2003 April;116.9;0.4;12.8;116.9;0.4;12.8
43;Total sales;C MINING AND QUARRYING;2003 May;117.6;0.6;14.7;117.6;0.6;14.7
44;Total sales;C MINING AND QUARRYING;2003 June;118.2;0.5;18.3;118.2;0.5;18.3
45;Total sales;C MINING AND QUARRYING;2003 July;106.8;-9.6;2.2;106.8;-9.6;2.2
46;Total sales;C MINING AND QUARRYING;2003 August;105.9;-0.8;1.7;105.9;-0.8;1.7
47;Total sales;C MINING AND QUARRYING;2003 September;104.1;-1.7;0.4;104.1;-1.7;0.4
48;Total sales;C MINING AND QUARRYING;2003 October;104.6;0.5;-3.4;104.6;0.5;-3.4
49;Total sales;C MINING AND QUARRYING;2003 November;105.8;1.2;-3.6;105.8;1.2;-3.6
50;Total sales;C MINING AND QUARRYING;2003 December;109.5;3.5;-3.2;109.5;3.5;-3.2
51;Total sales;C MINING AND QUARRYING;2003;111.7;;6.7;111.7;;6.7
52;Total sales;C MINING AND QUARRYING;2004 January;107.7;-1.7;-8.4;107.7;-1.7;-8.4
53;Total sales;C MINING AND QUARRYING;2004 February;108.2;0.5;-8.0;108.2;0.5;-8.0
54;Total sales;C MINING AND QUARRYING;2004 March;107.8;-0.4;-7.4;107.8;-0.4;-7.4
