ID;BedrijfstakkenBranchesSBI93;LandVanUiteindelijkeZeggenschapUCI;Perioden;AantalBedrijven_1;Omzet_2;Productiewaarde_3;ToegevoegdeWaardeTegenFactorkosten_4;TotaleAankoopVanGoederenEnDiensten_5;AankoopVanGoederenEnDiensten_6;Personeelskosten_7;BrutoInvesteringenInMateriele_8;AantalWerkzamePersonen_9;AantalWerknemers_10;TotaleOOUitgavenBinnenshuis_11;TotaalAantalOOWerknemers_12
0;Business Economy, sectie C-K exclusief J;99001;2006;508505.0;1129874.0;744254.0;259944.0;859034.0;389633.0;147413.0;38507.0;5094.0;4588.0;4226.0;40.0
1;Business Economy, sectie C-K exclusief J;99001;2007;540280.0;1243153.0;810017.0;282348.0;951401.0;440613.0;156171.0;38732.0;5254.0;4735.0;4145.0;39.0
2;Business Economy, sectie C-K exclusief J;99001;2008;572075.0;1330097.0;854789.0;292794.0;1024771.0;480544.0;163505.0;44004.0;5438.0;4832.0;;
3;Business Economy, sectie C-K exclusief J;99003;2006;503115.0;791698.0;530043.0;199184.0;587000.0;265158.0;116005.0;30796.0;4385.0;3879.0;3120.0;27.0
4;Business Economy, sectie C-K exclusief J;99003;2007;534955.0;877123.0;582436.0;219313.0;653156.0;301173.0;124435.0;30759.0;4550.0;4031.0;2972.0;26.0
5;Business Economy, sectie C-K exclusief J;99003;2008;566100.0;910513.0;600545.0;220816.0;681960.0;313992.0;125560.0;34136.0;4633.0;4026.0;;
6;Business Economy, sectie C-K exclusief J;99002;2006;5395.0;338176.0;214211.0;60759.0;272035.0;124475.0;31408.0;7711.0;709.0;709.0;1106.0;13.0
7;Business Economy, sectie C-K exclusief J;99002;2007;5320.0;366030.0;227581.0;63036.0;298245.0;139440.0;31735.0;7973.0;704.0;704.0;1173.0;13.0
8;Business Economy, sectie C-K exclusief J;99002;2008;5975.0;419584.0;254244.0;71977.0;342810.0;166552.0;37945.0;9868.0;806.0;806.0;;
9;Business Economy, sectie C-K exclusief J;99004;2006;3240.0;;;;;;;4775.0;436.0;436.0;556.0;6.0
10;Business Economy, sectie C-K exclusief J;99004;2007;3205.0;176699.0;111421.0;35567.0;138816.0;65703.0;18580.0;4768.0;430.0;430.0;525.0;6.0
11;Business Economy, sectie C-K exclusief J;99004;2008;3645.0;206752.0;127295.0;39689.0;164721.0;80227.0;22170.0;6742.0;502.0;502.0;;
12;Business Economy, sectie C-K exclusief J;99005;2006;5.0;;;;;;;11.0;3.0;3.0;;
13;Business Economy, sectie C-K exclusief J;99005;2007;10.0;;;;;;;21.0;3.0;3.0;;
14;Business Economy, sectie C-K exclusief J;99005;2008;10.0;4375.0;3695.0;426.0;3434.0;680.0;242.0;30.0;4.0;4.0;;
15;Business Economy, sectie C-K exclusief J;99006;2006;2155.0;;;;;;;2936.0;274.0;274.0;550.0;7.0
16;Business Economy, sectie C-K exclusief J;99006;2007;2115.0;189331.0;116159.0;27469.0;159428.0;73737.0;13155.0;3205.0;274.0;274.0;649.0;7.0
17;Business Economy, sectie C-K exclusief J;99006;2008;2330.0;212832.0;126949.0;32288.0;178089.0;86325.0;15775.0;3126.0;303.0;303.0;;
18;Business Economy, sectie C-K exclusief J;99007;2006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;Business Economy, sectie C-K exclusief J;99007;2007;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
