ID;RegioS;Perioden;TotaalAantalIOAWEnIOAZUitkeringen_1;IOAWEnIOAZUitkeringenVanMannen_2;IOAWEnIOAZUitkeringenVanVrouwen_3
0;Nederland;1998 januari;23350.0;21120.0;2220.0
1;Nederland;1998 februari;23310.0;21080.0;2220.0
2;Nederland;1998 maart;23140.0;20930.0;2200.0
3;Nederland;1998 april;23140.0;20930.0;2200.0
4;Nederland;1998 mei;23250.0;21040.0;2210.0
5;Nederland;1998 juni;23270.0;21070.0;2200.0
6;Nederland;1998 juli;23480.0;21260.0;2210.0
7;Nederland;1998 augustus;23630.0;21420.0;2210.0
8;Nederland;1998 september;23720.0;21500.0;2220.0
9;Nederland;1998 oktober;23770.0;21540.0;2220.0
10;Nederland;1998 november;23770.0;21550.0;2210.0
11;Nederland;1998 december;23910.0;21680.0;2220.0
12;Nederland;1998;23910.0;21680.0;2220.0
13;Nederland;1999 januari;24640.0;22390.0;2240.0
14;Nederland;1999 februari;24800.0;22520.0;2260.0
15;Nederland;1999 maart;24820.0;22550.0;2260.0
16;Nederland;1999 april;24890.0;22610.0;2270.0
17;Nederland;1999 mei;24920.0;22660.0;2250.0
18;Nederland;1999 juni;25000.0;22740.0;2250.0
19;Nederland;1999 juli;25050.0;22800.0;2240.0
20;Nederland;1999 augustus;25190.0;22930.0;2250.0
21;Nederland;1999 september;25240.0;22980.0;2240.0
22;Nederland;1999 oktober;25240.0;23010.0;2220.0
23;Nederland;1999 november;25220.0;22990.0;2210.0
24;Nederland;1999 december;25170.0;22960.0;2200.0
25;Nederland;1999;25170.0;22960.0;2200.0
26;Nederland;2000 januari;25320.0;23100.0;2210.0
27;Nederland;2000 februari;25290.0;23070.0;2210.0
28;Nederland;2000 maart;25010.0;22800.0;2190.0
29;Nederland;2000 april;24740.0;22550.0;2180.0
30;Nederland;2000 mei;24440.0;22280.0;2160.0
31;Nederland;2000 juni;24160.0;22020.0;2130.0
32;Nederland;2000 juli;23830.0;21720.0;2110.0
33;Nederland;2000 augustus;23530.0;21430.0;2090.0
34;Nederland;2000 september;23300.0;21200.0;2080.0
35;Nederland;2000 oktober;23090.0;21010.0;2070.0
36;Nederland;2000 november;22870.0;20790.0;2070.0
37;Nederland;2000 december;22620.0;20550.0;2070.0
38;Nederland;2000;22620.0;20550.0;2070.0
39;Nederland;2001 januari;22510.0;20430.0;2070.0
40;Nederland;2001 februari;22240.0;20170.0;2050.0
41;Nederland;2001 maart;22130.0;20070.0;2060.0
42;Nederland;2001 april;22060.0;19990.0;2060.0
43;Nederland;2001 mei;21890.0;19830.0;2050.0
44;Nederland;2001 juni;21800.0;19750.0;2040.0
45;Nederland;2001 juli;21730.0;19680.0;2050.0
46;Nederland;2001 augustus;21670.0;19620.0;2050.0
47;Nederland;2001 september;21620.0;19570.0;2050.0
48;Nederland;2001 oktober;21620.0;19570.0;2050.0
49;Nederland;2001 november;21660.0;19600.0;2060.0
50;Nederland;2001 december;22060.0;19990.0;2060.0
