ID;Geslacht;Leeftijd;Geboorteland;CaribischNederland;Perioden;BevolkingOp1Januari_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2011;21087
1;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2012;22304
2;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2013;23296
3;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2014;24279
4;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2015;24593
5;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2016;24548
6;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2017;24439
7;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2018;25052
8;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2019;25157
9;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2020;25987
10;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2021;26805
11;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2022;27726
12;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2023;29418
13;Totaal mannen en vrouwen;Totaal;Totaal;Caribisch Nederland;2024;30397
14;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2011;15679
15;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2012;16541
16;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2013;17408
17;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2014;18413
18;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2015;18905
19;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2016;19408
20;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2017;19179
21;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2018;19549
22;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2019;20104
23;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2020;20915
24;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2021;21745
25;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2022;22573
26;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2023;24090
27;Totaal mannen en vrouwen;Totaal;Totaal;Bonaire;2024;25133
28;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2011;3611
29;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2012;3792
30;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2013;3897
31;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2014;4020
32;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2015;3877
33;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2016;3193
34;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2017;3250
35;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2018;3348
36;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2019;3138
37;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2020;3139
38;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2021;3142
39;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2022;3242
40;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2023;3293
41;Totaal mannen en vrouwen;Totaal;Totaal;Sint Eustatius;2024;3204
42;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2011;1797
43;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2012;1971
44;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2013;1991
45;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2014;1846
46;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2015;1811
47;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2016;1947
48;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2017;2010
49;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2018;2155
50;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2019;1915
51;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2020;1933
52;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2021;1918
53;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2022;1911
54;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2023;2035
55;Totaal mannen en vrouwen;Totaal;Totaal;Saba;2024;2060
56;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2011;12869
57;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2012;14033
58;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2013;14904
59;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2014;15647
60;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2015;15761
61;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2016;15617
62;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2017;15386
63;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2018;15910
64;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2019;15955
65;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2020;16733
66;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2021;17380
67;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2022;18183
68;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2023;19826
69;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Caribisch Nederland;2024;20802
70;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2011;9146
71;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2012;9972
72;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2013;10685
73;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2014;11464
74;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2015;11739
75;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2016;12141
76;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2017;11792
77;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2018;12089
78;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2019;12542
79;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2020;13283
80;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2021;13958
81;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2022;14674
82;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2023;16113
83;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Bonaire;2024;17120
84;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2011;2496
85;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2012;2662
86;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2013;2790
87;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2014;2893
88;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2015;2760
89;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2016;2086
90;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2017;2132
91;Totaal mannen en vrouwen;Totaal;Buiten Caribisch Nederland geboren;Sint Eustatius;2018;2211
