ID;CaribischNederland;Perioden;BbpWaardeInWerkelijkePrijzen_1;BbpWaardePrijsniveau2017_2;BbpWaardemutatie_3;BbpVolumemutatie_4
0;Caribisch Nederland;2012;593;627;;
1;Caribisch Nederland;2013;617;641;4.1;2.3
2;Caribisch Nederland;2014;629;639;2.0;-0.4
3;Caribisch Nederland;2015;647;659;2.7;3.2
4;Caribisch Nederland;2016;666;668;3.1;1.3
5;Caribisch Nederland;2017;670;670;0.5;0.2
6;Caribisch Nederland;2018;680;671;1.6;0.1
7;Caribisch Nederland;2019;720;689;5.9;2.7
8;Caribisch Nederland;2020;637;612;-11.5;-11.2
9;Caribisch Nederland;2021;735;688;15.4;12.4
10;Caribisch Nederland;2022;800;725;8.8;5.4
11;Bonaire;2012;417;443;;
12;Bonaire;2013;434;453;4.1;2.4
13;Bonaire;2014;452;461;4.1;1.6
14;Bonaire;2015;466;476;3.0;3.4
15;Bonaire;2016;487;487;4.6;2.2
16;Bonaire;2017;480;480;-1.4;-1.3
17;Bonaire;2018;505;499;5.0;3.9
18;Bonaire;2019;553;531;9.6;6.3
19;Bonaire;2020;505;486;-8.8;-8.4
20;Bonaire;2021;583;543;15.4;11.7
21;Bonaire;2022;662;590;13.6;8.8
22;Sint Eustatius;2012;133;139;;
23;Sint Eustatius;2013;137;140;3.1;0.8
24;Sint Eustatius;2014;131;130;-4.4;-6.8
25;Sint Eustatius;2015;134;135;2.1;3.2
26;Sint Eustatius;2016;131;133;-2.1;-1.0
27;Sint Eustatius;2017;142;142;8.6;6.6
28;Sint Eustatius;2018;128;125;-9.8;-11.8
29;Sint Eustatius;2019;120;115;-6.0;-8.6
30;Sint Eustatius;2020;89;85;-26.4;-25.9
31;Sint Eustatius;2021;107;103;20.4;21.1
32;Sint Eustatius;2022;89;92;-16.4;-11.0
33;Saba;2012;43;46;;
34;Saba;2013;46;48;6.9;5.5
35;Saba;2014;47;48;1.8;-0.2
36;Saba;2015;47;49;1.6;1.2
37;Saba;2016;48;48;2.6;-0.5
38;Saba;2017;48;48;-1.8;-1.4
39;Saba;2018;48;46;0.5;-2.5
40;Saba;2019;47;44;-2.2;-5.3
41;Saba;2020;44;41;-6.2;-6.3
42;Saba;2021;46;42;4.9;3.0
43;Saba;2022;49;43;5.9;1.5
