ID;Perioden;TotaalInkomsten_1;OntvangenRente_2;WettelijkeSocialePremies_3;Rijksbijdrage_4;OverigeInkomsten_5;InterneKasstromen_6;TotaalUitgaven_7;BeloningVanWerknemers_8;UitkeringenEnZorguitgaven_9;Overdrachten_10;AankopenVanGoederenEnDiensten_11;OverigeUitgaven_12;InterneKasstromen_13;Kassaldo_14
0;2014 januari;10.0;0.0;7.9;1.8;0;0.3;9.6;0.1;9.1;0.1;0.1;0;0.3;0.4
1;2014 februari;8.3;0.0;7.1;1.0;0;0.3;11.0;0.1;10.3;0.3;0.1;0;0.3;-2.6
2;2014 maart;7.6;0.0;6.3;1.0;0;0.3;9.9;0.1;9.3;0.2;0.1;0;0.3;-2.3
3;2014 april;8.7;0.0;6.6;1.8;0;0.3;8.8;0.1;8.1;0.1;0.2;0;0.3;-0.1
4;2014 mei;4.3;0.0;2.9;1.0;0;0.4;12.0;0.1;11.2;0.2;0.0;0;0.4;-7.7
5;2014 juni;19.3;0.0;8.1;10.9;0;0.3;8.3;0.1;7.7;0.2;0.1;0;0.3;11.0
6;2014 juli;9.7;0.0;7.3;2.2;0;0.3;11.1;0.1;10.5;0.1;0.1;0;0.3;-1.3
7;2014 augustus;7.4;0.0;6.0;1.2;0;0.2;8.5;0.1;7.9;0.2;0.0;0;0.2;-1.1
8;2014 september;7.5;0.0;5.9;1.4;0;0.3;9.5;0.1;9.0;0.1;0.1;0;0.3;-2.0
9;2014 oktober;8.6;0.0;6.3;2.1;0;0.2;10.6;0.1;10.1;0.1;0.0;0;0.2;-2.0
10;2014 november;7.6;0.0;6.1;1.2;0;0.2;10.8;0.1;10.3;0.1;0.1;0;0.2;-3.2
11;2014 december;13.9;0.0;12.0;1.6;0;0.3;9.8;0.2;9.2;0.1;0.1;0;0.3;4.1
12;2015 januari;10.6;0.0;8.6;1.7;0;0.2;6.8;0.1;6.2;0.1;0.1;0;0.2;3.8
13;2015 februari;8.4;0.0;7.3;0.8;0;0.3;14.9;0.1;14.2;0.1;0.2;0;0.3;-6.6
14;2015 maart;8.2;0.0;6.9;1.0;0;0.3;8.6;0.1;8.0;0.2;0.1;0;0.3;-0.5
15;2015 april;8.3;0.0;6.4;1.6;0;0.3;8.3;0.1;7.8;0.1;0.0;0;0.3;0.0
16;2015 mei;2.7;0.0;1.6;0.9;0;0.3;8.7;0.2;8.1;0.2;0.0;0;0.3;-6.0
17;2015 juni;18.3;0.0;6.0;11.9;0;0.4;9.2;0.2;8.5;0.1;0.1;0;0.4;9.0
18;2015 juli;10.7;0.0;7.7;2.8;0;0.2;7.9;0.1;7.3;0.2;0.1;0;0.2;2.8
19;2015 augustus;6.9;0.0;5.7;1.0;0;0.2;10.0;0.1;9.5;0.1;0.0;0;0.2;-3.1
20;2015 september;7.4;0.0;5.9;1.2;0;0.3;9.0;0.1;8.5;0.2;0.0;0;0.3;-1.6
21;2015 oktober;8.9;0.0;6.7;1.9;0;0.2;9.3;0.1;8.7;0.2;0.0;0;0.2;-0.4
22;2015 november;9.2;0.0;7.9;1.0;0;0.2;10.3;0.1;9.7;0.1;0.0;0;0.2;-1.1
