ID;Goederenstromen;Goederengroepen;Werelddelen;Perioden;Schatting_1;Ondergrens95Interval_2;Bovengrens95Interval_3;Betrouwbaarheidsmarge_4;AandeelInGoederenstroom_5;GroeiIndicatie_6;Schatting_7;Ondergrens95Interval_8;Bovengrens95Interval_9;Betrouwbaarheidsmarge_10;AandeelInGoederenstroom_11;GroeiIndicatie_12
0;"Inkomend transport; totaal";Totaal;Totaal alle werelddelen;2007;454976;414760;495192;9.0;100;;586619;563947;609291;4.0;100;
1;"Inkomend transport; totaal";Totaal;Totaal alle werelddelen;2008;512560;472561;552560;8.0;100;5.0;594685;572389;616980;4.0;100;9.0
2;"Inkomend transport; totaal";Totaal;Totaal alle werelddelen;2009;427225;388065;466385;9.0;100;1.0;524454;502586;546322;4.0;100;1.0
3;"Inkomend transport; totaal";Totaal;Totaal alle werelddelen;2010;511786;467645;555928;9.0;100;5.0;570522;547744;593301;4.0;100;4.0
4;"Inkomend transport; totaal";Totaal;Totaal alle werelddelen;2011;527113;485562;568664;8.0;100;9.0;573216;551488;594944;4.0;100;9.0
5;"Inkomend transport; totaal";Totaal;Totaal alle werelddelen;2012;586128;540019;632238;8.0;100;5.0;567724;545494;589954;4.0;100;9.0
6;"Inkomend transport; totaal";Totaal;Totaal alle werelddelen;2013;574778;528596;620961;8.0;100;9.0;564886;542211;587560;4.0;100;9.0
7;"Inkomend transport; totaal";Totaal;Totaal alle werelddelen;2014;567226;516786;617666;9.0;100;9.0;577191;552153;602229;4.0;100;9.0
8;"Inkomend transport; totaal";Totaal;Totaal alle werelddelen;2015;609925;549432;670418;10.0;100;9.0;591188;565186;617190;4.0;100;9.0
9;"Inkomend transport; totaal";Totaal;Totaal alle werelddelen;2016;581417;523725;639109;10.0;100;9.0;590101;566361;613842;4.0;100;9.0
10;"Inkomend transport; totaal";Totaal;Totaal alle werelddelen;2017;650556;593942;707171;9.0;100;5.0;604351;581903;626799;4.0;100;9.0
11;"Inkomend transport; totaal";Totaal;Afrika;2007;20249;17198;23299;15.0;4;;52287;46101;58474;12.0;9;
12;"Inkomend transport; totaal";Totaal;Afrika;2008;22948;19129;26766;17.0;4;9.0;51426;44683;58168;13.0;9;9.0
13;"Inkomend transport; totaal";Totaal;Afrika;2009;14977;12810;17143;14.0;4;1.0;42373;37065;47681;13.0;8;1.0
14;"Inkomend transport; totaal";Totaal;Afrika;2010;19398;16592;22204;14.0;4;5.0;38450;33487;43412;13.0;7;9.0
15;"Inkomend transport; totaal";Totaal;Afrika;2011;24390;20154;28625;17.0;5;5.0;39133;33607;44658;14.0;7;9.0
16;"Inkomend transport; totaal";Totaal;Afrika;2012;28456;23420;33493;18.0;5;9.0;46609;40002;53217;14.0;8;5.0
17;"Inkomend transport; totaal";Totaal;Afrika;2013;24573;20640;28505;16.0;4;1.0;44833;38842;50823;13.0;8;9.0
18;"Inkomend transport; totaal";Totaal;Afrika;2014;28054;23108;32999;18.0;5;9.0;53634;46515;60753;13.0;9;5.0
19;"Inkomend transport; totaal";Totaal;Afrika;2015;24590;20786;28395;15.0;4;9.0;51465;43664;59266;15.0;9;9.0
20;"Inkomend transport; totaal";Totaal;Afrika;2016;16571;14560;18582;12.0;3;1.0;35345;30838;39851;13.0;6;1.0
21;"Inkomend transport; totaal";Totaal;Afrika;2017;19607;17122;22092;13.0;3;5.0;39620;34701;44539;12.0;7;9.0
22;"Inkomend transport; totaal";Totaal;Amerika;2007;72717;61555;83879;15.0;16;;103722;94933;112512;8.0;18;
23;"Inkomend transport; totaal";Totaal;Amerika;2008;82803;70822;94784;14.0;16;9.0;117892;107703;128081;9.0;20;5.0
24;"Inkomend transport; totaal";Totaal;Amerika;2009;65717;54665;76769;17.0;15;1.0;84049;77335;90763;8.0;16;1.0
25;"Inkomend transport; totaal";Totaal;Amerika;2010;74959;64626;85291;14.0;15;9.0;107933;99429;116436;8.0;19;5.0
26;"Inkomend transport; totaal";Totaal;Amerika;2011;75914;66309;85520;13.0;14;9.0;117620;108707;126533;8.0;21;4.0
27;"Inkomend transport; totaal";Totaal;Amerika;2012;83444;72330;94558;13.0;14;9.0;108423;100921;115925;7.0;19;2.0
28;"Inkomend transport; totaal";Totaal;Amerika;2013;86989;73835;100143;15.0;15;9.0;114730;106063;123398;8.0;20;9.0
29;"Inkomend transport; totaal";Totaal;Amerika;2014;82489;70879;94099;14.0;15;9.0;109766;101307;118225;8.0;19;9.0
30;"Inkomend transport; totaal";Totaal;Amerika;2015;80650;69249;92052;14.0;13;9.0;110452;102353;118551;7.0;19;9.0
31;"Inkomend transport; totaal";Totaal;Amerika;2016;77631;66026;89236;15.0;13;9.0;106634;99391;113878;7.0;18;9.0
32;"Inkomend transport; totaal";Totaal;Amerika;2017;99764;78156;121372;22.0;15;5.0;95576;88073;103080;8.0;16;1.0
33;"Inkomend transport; totaal";Totaal;Azië;2007;123174;87647;158701;29.0;27;;77590;70678;84502;9.0;13;
34;"Inkomend transport; totaal";Totaal;Azië;2008;140452;106969;173935;24.0;27;9.0;73813;66878;80748;9.0;12;9.0
35;"Inkomend transport; totaal";Totaal;Azië;2009;128895;97378;160412;24.0;30;9.0;67086;59873;74300;11.0;13;2.0
36;"Inkomend transport; totaal";Totaal;Azië;2010;160792;122590;198994;24.0;31;9.0;71636;64143;79128;10.0;13;9.0
37;"Inkomend transport; totaal";Totaal;Azië;2011;150412;113773;187051;24.0;29;9.0;72750;65333;80168;10.0;13;9.0
38;"Inkomend transport; totaal";Totaal;Azië;2012;174819;136036;213603;22.0;30;9.0;69093;62324;75862;10.0;12;9.0
39;"Inkomend transport; totaal";Totaal;Azië;2013;168148;128126;208171;24.0;29;9.0;62263;55982;68544;10.0;11;2.0
40;"Inkomend transport; totaal";Totaal;Azië;2014;168789;125403;212176;26.0;30;9.0;63736;57323;70149;10.0;11;9.0
41;"Inkomend transport; totaal";Totaal;Azië;2015;198609;149270;247949;25.0;33;9.0;65849;59112;72585;10.0;11;9.0
42;"Inkomend transport; totaal";Totaal;Azië;2016;195780;146735;244825;25.0;34;9.0;74990;67081;82900;11.0;13;5.0
43;"Inkomend transport; totaal";Totaal;Azië;2017;212712;164030;261394;23.0;33;9.0;79882;71374;88389;11.0;13;9.0
44;"Inkomend transport; totaal";Totaal;Europa;2007;235493;219343;251644;7.0;52;;340084;319835;360334;6.0;58;
45;"Inkomend transport; totaal";Totaal;Europa;2008;262096;240123;284069;8.0;51;5.0;340886;320323;361449;6.0;57;9.0
46;"Inkomend transport; totaal";Totaal;Europa;2009;214417;189462;239372;12.0;50;1.0;322632;302277;342986;6.0;62;9.0
47;"Inkomend transport; totaal";Totaal;Europa;2010;252067;228459;275675;9.0;49;5.0;343342;321655;365029;6.0;60;4.0
48;"Inkomend transport; totaal";Totaal;Europa;2011;267500;248791;286208;7.0;51;9.0;330022;309707;350337;6.0;58;9.0
49;"Inkomend transport; totaal";Totaal;Europa;2012;291562;264607;318518;9.0;50;4.0;328658;308271;349045;6.0;58;9.0
50;"Inkomend transport; totaal";Totaal;Europa;2013;287589;262624;312554;9.0;50;9.0;327893;307692;348093;6.0;58;9.0
51;"Inkomend transport; totaal";Totaal;Europa;2014;281871;256530;307211;9.0;50;9.0;338784;315243;362325;7.0;59;9.0
52;"Inkomend transport; totaal";Totaal;Europa;2015;299852;259597;340107;13.0;49;9.0;350073;325609;374537;7.0;59;9.0
53;"Inkomend transport; totaal";Totaal;Europa;2016;284780;249916;319644;12.0;49;9.0;355773;334158;377388;6.0;60;9.0
54;"Inkomend transport; totaal";Totaal;Europa;2017;310087;280053;340120;10.0;48;9.0;370404;350452;390357;5.0;61;9.0
55;"Inkomend transport; totaal";Totaal;Oceanië;2007;2946;2669;3223;9.0;1;;10940;9106;12773;17.0;2;
56;"Inkomend transport; totaal";Totaal;Oceanië;2008;3650;3236;4065;11.0;1;5.0;9798;8158;11439;17.0;2;9.0
57;"Inkomend transport; totaal";Totaal;Oceanië;2009;2665;2417;2913;9.0;1;1.0;6557;5599;7515;15.0;1;1.0
58;"Inkomend transport; totaal";Totaal;Oceanië;2010;3886;3432;4340;12.0;1;5.0;8345;6772;9918;19.0;1;5.0
59;"Inkomend transport; totaal";Totaal;Oceanië;2011;5638;5005;6270;11.0;1;5.0;9186;7641;10731;17.0;2;9.0
60;"Inkomend transport; totaal";Totaal;Oceanië;2012;3991;3504;4477;12.0;1;1.0;8731;7057;10404;19.0;2;9.0
61;"Inkomend transport; totaal";Totaal;Oceanië;2013;3693;3305;4081;11.0;1;9.0;8407;6674;10141;21.0;1;9.0
62;"Inkomend transport; totaal";Totaal;Oceanië;2014;4196;3754;4639;11.0;1;5.0;9982;7921;12043;21.0;2;9.0
63;"Inkomend transport; totaal";Totaal;Oceanië;2015;3595;3179;4011;12.0;1;1.0;8698;6872;10523;21.0;1;9.0
64;"Inkomend transport; totaal";Totaal;Oceanië;2016;3850;3425;4274;11.0;1;9.0;10531;8335;12726;21.0;2;9.0
65;"Inkomend transport; totaal";Totaal;Oceanië;2017;4855;4382;5327;10.0;1;5.0;10381;8804;11958;15.0;2;9.0
66;"Inkomend transport; totaal";Totaal;Niet nader aangegeven landen en gebieden;2007;397;368;426;7.0;0;;1995;1561;2429;22.0;0;
67;"Inkomend transport; totaal";Totaal;Niet nader aangegeven landen en gebieden;2008;612;512;712;16.0;0;5.0;870;718;1021;17.0;0;1.0
