ID;Perioden;TotaleLuchtvloot_1;TotaalVleugelvliegtuigen_2;TotaalStraalmotoren_3;k_4Motorig_4;k_3Motorig_5;k_2Motorig_6;k_1Motorig_7;TotaalSchroefturbinemotoren_8;k_4Motorig_9;k_3Motorig_10;k_2Motorig_11;k_1Motorig_12;TotaalZuigermotoren_13;k_4Motorig_14;k_2Motorig_15;k_1Motorig_16;TotaalUltraLightS_17;VeryLightVLA_18;MicroLightMLA_19;TotaalZweefvliegtuigen_20;k_1Motorig_21;GeenMotor_22;TotaalHefschroefvliegtuigen_23;k_2Motorig_24;k_1Motorig_25;Ballonvaartuigen_26
0;1961;;;11;11;0;0;0;24;20;0;4;0;139;31;30;78;0;0.0;0.0;;;;6;;;0
1;1962;;;14;14;0;0;0;25;20;0;5;0;127;21;33;73;0;0.0;0.0;;;;8;;;0
2;1963;;;14;14;0;0;0;24;20;0;4;0;120;19;27;74;0;0.0;0.0;;;;9;;;0
3;1964;;;24;16;0;0;8;26;20;0;6;0;196;13;37;146;0;0.0;0.0;;;;11;;;0
4;1965;;;24;16;0;0;8;25;18;0;7;0;219;11;35;173;0;0.0;0.0;;;;9;;;0
5;1966;466.0;457.0;32;18;0;13;1;22;11;0;11;0;246;16;33;197;0;0.0;0.0;157.0;;;9;;;0
6;1967;492.0;482.0;38;19;0;18;1;23;11;0;12;0;247;12;29;206;0;0.0;0.0;174.0;;;10;;;0
7;1968;503.0;496.0;52;23;0;28;1;15;3;0;12;0;251;14;28;209;0;0.0;0.0;178.0;;;7;;;0
8;1969;535.0;526.0;68;28;0;39;1;12;0;0;12;0;260;3;25;232;0;0.0;0.0;186.0;;;9;;;0
9;1970;576.0;565.0;81;31;0;49;1;16;0;0;16;0;272;1;22;249;0;0.0;0.0;196.0;;;11;;;0
10;1971;591.0;580.0;89;37;0;51;1;16;0;0;16;0;275;0;22;253;0;0.0;0.0;200.0;;;11;;;0
11;1972;597.0;589.0;93;35;1;56;1;15;0;0;15;0;278;0;22;256;0;0.0;0.0;203.0;;;8;;;0
12;1973;615.0;610.0;93;33;6;53;1;10;0;0;10;0;288;0;23;265;0;0.0;0.0;219.0;;;5;;;0
13;1974;702.0;692.0;95;30;9;55;1;12;0;0;12;0;328;0;29;299;0;0.0;0.0;257.0;;;6;;;4
14;1975;772.0;754.0;101;30;13;57;1;10;0;0;10;0;362;0;32;330;0;0.0;0.0;281.0;;;13;;;5
15;1976;788.0;763.0;90;28;13;48;1;10;0;0;10;0;374;0;34;340;0;0.0;0.0;289.0;;;18;10.0;8.0;7
16;1977;865.0;836.0;87;25;13;48;1;14;0;0;14;0;416;0;42;374;0;0.0;0.0;319.0;;;20;12.0;8.0;9
