ID;RegionalDivisions;Periods;TotalMunicipalWaste_1;TotalHouseholdWaste_2;MixedHouseholdWaste_3;BulkyHouseholdWaste_4;RenovationWaste_5;OrganicKitchenAndGardenWaste_6;PaperAndCardboard_7;Textiles_8;ContainerGlass_9;PlasticPackaging_10;CartonsForBeverages_11;MetalPackaging_12;MixedPackaging_13;HouseholdHazardousWaste_14;Diapers_15;FryingFatAndOils_16;MixedRecyclables_17;BulkyGardenWaste_18;WasteElectricalAndElectronicEquipm_19;Furniture_20;Plastics_21;Carpeting_22;Mattresses_23;Rubble_24;Wood_25;PreservedWood_26;ScrapMetals_27;FlatGlass_28;BitumenRoofCoveringMaterials_29;Gypsum_30;WasteContainingAsbestos_31;UncontaminatedSoil_32;UsedTyres_33;ExpandedPolystyrene_34;GasCylindersAndFireExtinguishers_35;Carcasses_36;OtherWasteCategories_37;TotalHouseholdWaste_38;MixedHouseholdWaste_39;BulkyHouseholdWaste_40;RenovationWaste_41;OrganicKitchenAndGardenWaste_42;PaperAndCardboard_43;Textiles_44;ContainerGlass_45;PlasticPackaging_46;CartonsForBeverages_47;MetalPackaging_48;MixedPackaging_49;HouseholdHazardousWaste_50;Diapers_51;FryingFatAndOils_52;MixedRecyclables_53;BulkyGardenWaste_54;WasteElectricalAndElectronicEquipm_55;Furniture_56;Plastics_57;Carpeting_58;Mattresses_59;Rubble_60;Wood_61;PreservedWood_62;ScrapMetals_63;FlatGlass_64;BitumenRoofCoveringMaterials_65;Gypsum_66;WasteContainingAsbestos_67;UncontaminatedSoil_68;UsedTyres_69;ExpandedPolystyrene_70;GasCylindersAndFireExtinguishers_71;Carcasses_72;OtherWasteCategories_73;TotalHouseholdWaste_74;MixedHouseholdWaste_75;BulkyHouseholdWaste_76;RenovationWaste_77;OrganicKitchenAndGardenWaste_78;PaperAndCardboard_79;Textiles_80;ContainerGlass_81;PlasticPackaging_82;CartonsForBeverages_83;MetalPackaging_84;MixedPackaging_85;HouseholdHazardousWaste_86;Diapers_87;FryingFatAndOils_88;MixedRecyclables_89;BulkyGardenWaste_90;WasteElectricalAndElectronicEquipm_91;Furniture_92;Plastics_93;Carpeting_94;Mattresses_95;Rubble_96;Wood_97;PreservedWood_98;ScrapMetals_99;FlatGlass_100;BitumenRoofCoveringMaterials_101;Gypsum_102;WasteContainingAsbestos_103;UncontaminatedSoil_104;UsedTyres_105;ExpandedPolystyrene_106;GasCylindersAndFireExtinguishers_107;Carcasses_108;OtherWasteCategories_109;TotalCleansingServicesAndOtherWaste_110;Litter_111;WasteFromSeweragesPumpingStations_112;FloatingWaste_113;OrganicWaste_114;MixedWasteFromFestivities_115;MixedMarketWaste_116;OtherCleansingServicesWaste_117;OfficeShopAndServicesWaste_118;ConstructionAndDemolitionWaste_119;HazardousWaste_120;TotalMunicipalWaste_121;TotalHouseholdWaste_122;MixedHouseholdWaste_123;BulkyHouseholdWaste_124;RenovationWaste_125;OrganicKitchenAndGardenWaste_126;PaperAndCardboard_127;Textiles_128;ContainerGlass_129;PlasticPackaging_130;CartonsForBeverages_131;MetalPackaging_132;MixedPackaging_133;HouseholdHazardousWaste_134;Diapers_135;FryingFatAndOils_136;MixedRecyclables_137;BulkyGardenWaste_138;WasteElectricalAndElectronicEquipm_139;Furniture_140;Plastics_141;Carpeting_142;Mattresses_143;Rubble_144;Wood_145;PreservedWood_146;ScrapMetals_147;FlatGlass_148;BitumenRoofCoveringMaterials_149;Gypsum_150;WasteContainingAsbestos_151;UncontaminatedSoil_152;UsedTyres_153;ExpandedPolystyrene_154;Carcasses_155;GasCylindersAndFireExtinguishers_156;OtherWasteCategories_157;TotalCleansingServicesAndOtherWaste_158;Litter_159;WasteFromSeweragesPumpingStations_160;FloatingWaste_161;OrganicWaste_162;MixedWasteFromFestivities_163;MixedMarketWaste_164;OtherCleansingServicesWaste_165;OfficeShopAndServicesWaste_166;ConstructionAndDemolitionWaste_167;HazardousWaste_168;SmallHouseholdWaste_169;BulkyHouseholdWaste_170;HouseholdWaste_171;SmallHouseholdWaste_172;BulkyHouseholdWaste_173;RecyclingAndReuse_174;Composting_175;SeparationAfterwards_176;Incineration_177;Landfilling_178;RecyclingAndReuse_179;Composting_180;SeparationAfterwards_181;Incineration_182;Landfilling_183;RecyclingAndReuse_184;Composting_185;SeparationAfterwards_186;Incineration_187;Landfilling_188;RecyclingAndReuse_189;Composting_190;SeparationAfterwards_191;Incineration_192;Landfilling_193;RecyclingAndReuse_194;Composting_195;SeparationAfterwards_196;Incineration_197;Landfilling_198;NumberOfDutchMunicipalities_199;RespondingMunicipalities_200;TotalNumberOfInhabitants_201;InhabitantsInRespondingMunicipalities_202
0;Nederland;1993;8907;7274;4006;717;246;874;724;24;286;5;;5.8;;21;;;;124;9;;;;;182;6.0;;34;;;;;;;;;;8.5;6081;4006;698;0;874;439;9;17;2;;2.3;;8;;;;;7;;;;;;;;11;;;;;;;;;;8.1;1193;0;20;246;0;285;14;270;3;;3.5;;13;;;;124;3;;;;;182;6.0;;23;;;;;;;;;;0.4;1634;327;106;60;596;;53;;425;62;3;585;478;263;47;16;57;48;2;19;0;;0.4;;1.4;;;;8;1;;;;;12;0.0;;2;;;;;;;;;;0.6;107;22;7;4;39;;4;;28;4;0;82;18;32;33;27;;;;;;;;;;;;;;;;;;;;;;;;;;646;90;15220;94
1;Nederland;1994;8983;7331;3648;756;171;1231;716;29;298;5;;2.4;;21;;;;153;16;;;;;229;;;43;;;;;;;;;;12.1;6162;3648;749;0;1230;463;13;13;1;;0.4;;8;;;;0.0;10;;;;;0.0;;;15;;;;;;;;;;11.9;1169;0;7;171;1;253;16;285;4;;2.0;;13;;;;153;6;;;;;229;;;28;;;;;;;;;;0.2;1652;353;109;31;658;;48;;406;43;3;586;478;238;49;11;80;47;2;19;0;;0.2;;1.4;;;;10;1;;;;;15;;;3;;;;;;;;;;0.8;108;23;7;2;43;;3;;26;3;0;81;19;38;39;33;;;;;;;;;;;;;;;;;;;;;;;;;;636;93;15340;96
2;Nederland;1995;8811;7443;3432;742;126;1427;727;35;302;5;0.5;2.5;;22;;;;244;12;5.0;;;;252;37.0;;49;3.0;;;11.0;;;;;;10.1;6209;3432;734;0;1427;496;16;16;1;0.2;0.5;;8;;;;42.0;8;4.0;;;;0.0;2.0;;15;0.0;;;0.0;;;;;;8.4;1233;0;8;126;0;231;19;286;4;0.4;2.0;;14;;;;202;4;1.0;;;;252;35.0;;34;3.0;;;11.0;;;;;;1.7;1368;331;105;17;483;;31;;371;29;2;571;482;222;48;8;92;47;2;20;0;0.0;0.2;;1.4;;;;16;1;0.0;;;;16;2.0;;3;0.2;;;0.7;;;;;;0.7;89;21;7;1;31;;2;;24;2;0;80;20;42;42;42;;;;;;;;;;;0.0;0.0;9.0;47.0;45.0;0.0;0.0;14.0;29.0;57.0;;;;;;633;93;15432;95
3;Nederland;1996;9082;7710;3478;675;116;1459;840;41;306;2;0.5;3.2;;21;;;;288;12;5.0;;;;310;60.0;;56;3.0;;;11.0;;;;;;20.0;6303;3478;657;0;1459;572;19;18;0;0.2;0.6;;7;;;;51.0;8;4.0;;;;0.0;2.0;;16;0.0;;;0.0;;;;;;10.5;1406;0;18;116;0;267;22;288;2;0.3;2.6;;14;;;;237;4;2.0;;;;310;58.0;;40;3.0;;;11.0;;;;;;9.4;1373;337;100;17;475;;26;;391;24;3;586;498;224;44;7;94;54;3;20;0;0.0;0.2;;1.4;;;;19;1;0.0;;;;20;4.0;;4;0.2;;;0.7;;;;;;1.3;89;22;6;1;31;;2;;25;2;0;80;20;45;43;49;;;;;;;;;;;0.0;0.0;10.0;57.0;33.0;0.0;0.0;22.0;43.0;35.0;;;;;;625;89;15494;91
4;Nederland;1997;9542;8139;3557;724;82;1531;922;41;316;4;1.7;6.2;;22;;;;304;16;11.0;;;;370;107.0;;60;5.0;;;15.0;;;;;;45.2;6597;3557;724;0;1531;631;17;19;0;0.2;1.2;;8;;;;65.0;10;8.0;;;;0.0;4.0;;15;0.0;;;0.0;;;;;;7.9;1542;0;0;82;0;291;24;296;3;1.6;5.0;;15;;;;239;6;3.0;;;;370;104.0;;46;5.0;;;15.0;;;;;;37.3;1403;325;93;22;535;;27;;378;21;2;613;523;228;46;5;98;59;3;20;0;0.1;0.4;;1.4;;;;20;1;1.0;;;;24;7.0;;4;0.3;;;0.9;;;;;;2.9;90;21;6;1;34;;2;;24;1;0;79;21;46;44;54;;;;;;;;;;;0.0;0.0;8.0;74.0;18.0;0.0;0.0;24.0;52.0;24.0;;;;;;572;93;15567;94
5;Nederland;1998;9692;8346;3650;728;74;1488;1012;43;317;2;0.4;2.7;;21;;;;292;25;9.0;;;;400;142.0;;74;5.0;;;17.0;;3.7;;;;39.5;6625;3650;670;0;1488;675;17;18;0;0.0;0.8;;7;;;;54.0;15;6.0;;;;0.0;6.0;;16;0.0;;;0.0;;0.9;;;;2.9;1721;0;58;74;0;337;26;299;2;0.4;2.0;;15;;;;239;10;3.0;;;;400;137.0;;58;5.0;;;17.0;;2.8;;;;36.6;1346;334;98;20;539;;21;;313;18;2;619;533;233;47;5;95;65;3;20;0;0.0;0.2;;1.4;;;;19;2;1.0;;;;26;9.0;;5;0.3;;;1.1;;0.2;;;;2.5;86;21;6;1;34;;1;;20;1;0;78;22;47;44;56;;;;;;;;;;;0.0;0.0;18.0;68.0;14.0;0.0;0.0;39.0;43.0;18.0;;;;;;548;91;15654;95
6;Nederland;1999;9913;8697;3810;741;99;1443;1035;46;318;2;0.9;2.2;;22;;;;325;33;8.0;;2.0;;433;195.0;;72;6.0;4.0;;19.0;71.0;2.0;;;;7.3;6435;3785;354;10;1433;718;17;13;0;0.1;0.4;;6;;;;58.0;15;5.0;;0.0;;3.0;3.0;;14;0.0;0.0;;0.0;0.0;0.0;;;;1.3;2263;25;388;90;11;318;29;305;2;0.8;1.8;;16;;;;267;18;3.0;;1.0;;431;192.0;;58;5.0;4.0;;19.0;71.0;2.0;;;;6.0;1216;331;94;16;520;4.0;14;;214;22;2;629;552;242;47;6;92;66;3;20;0;0.1;0.1;;1.4;;;;21;2;1.0;;0.1;;28;12.0;;5;0.3;0.3;;1.2;4.0;0.1;;;;0.5;77;21;6;1;33;0.0;1;;14;1;0;77;23;47;43;58;23.0;22.0;16.0;32.0;7.0;26.0;20.0;14.0;34.0;6.0;0.0;0.0;20.0;69.0;11.0;1.0;0.0;47.0;42.0;11.0;4.0;39.0;25.0;20.0;12.0;538;92;15760;95
7;Nederland;2000;10262;8986;3935;794;98;1457;1022;50;326;2;1.0;2.8;;21;;;;359;43;10.0;;2.0;;451;225.0;;73;7.0;4.0;;18.0;76.0;2.3;;;;6.6;6560;3912;327;7;1449;724;17;15;0;0.2;0.6;;4;;;;61.0;15;7.0;;0.0;;5.0;3.0;;13;0.0;0.0;;0.0;0.0;0.1;;;;1.2;2426;23;467;92;8;298;33;311;2;0.8;2.1;;17;;;;298;28;3.0;;2.0;;446;222.0;;60;7.0;4.0;;18.0;76.0;2.3;;;;5.4;1276;339;98;8;578;3.0;11;30.0;197;9;2;647;566;248;50;6;92;64;3;21;0;0.1;0.2;;1.3;;;;23;3;1.0;;0.1;;28;14.0;;5;0.4;0.3;;1.1;5.0;0.1;;;;0.4;80;21;6;0;36;0.0;1;2.0;12;1;0;76;24;46;42;59;23.0;22.0;15.0;29.0;9.0;26.0;20.0;13.0;31.0;9.0;0.0;0.0;19.0;64.0;17.0;0.0;0.0;46.0;36.0;18.0;5.0;42.0;29.0;16.0;8.0;537;91;15864;96
8;Nederland;2001;10286;8990;3958;793;98;1404;1013;50;335;2;1.3;2.5;;21;;;;353;53;14.0;;4.0;;437;246.0;;75;7.0;5.0;;17.0;90.0;2.4;;;;8.0;6496;3930;326;6;1394;710;15;15;0;0.3;0.9;;4;;;;47.0;17;11.0;;0.0;;3.0;3.0;;11;0.0;0.0;;0.0;0.0;0.1;;;;0.5;2494;28;467;91;10;303;34;320;2;1.0;1.6;;17;;;;307;36;3.0;;3.0;;435;243.0;;64;7.0;5.0;;17.0;90.0;2.3;;;;7.5;1296;337;106;12;575;4.0;9;37.0;201;13;2;643;562;248;50;6;88;63;3;21;0;0.1;0.2;;1.3;;;;22;3;1.0;;0.2;;27;15.0;;5;0.4;0.3;;1.1;6.0;0.2;;;;0.5;81;21;7;1;36;0.0;1;2.0;13;1;0;75;25;46;42;60;23.0;22.0;16.0;31.0;8.0;26.0;19.0;14.0;33.0;8.0;0.0;0.0;18.0;67.0;15.0;0.0;0.0;49.0;37.0;14.0;5.0;42.0;29.0;17.0;7.0;504;95;15987;96
9;Nederland;2002;10372;9043;3938;754;95;1406;1006;49;342;3;1.4;2.4;;21;;;;396;57;24.0;;7.0;;448;273.0;;76;8.0;4.0;;17.0;103.0;2.5;;;;8.3;6461;3910;295;5;1400;710;15;14;0;0.2;0.6;;3;;;;55.0;17;18.0;;0.0;;3.0;4.0;;11;0.0;0.0;;0.0;0.0;0.0;;;;0.0;2582;28;459;90;6;296;34;329;3;1.2;1.7;;17;;;;342;40;6.0;;6.0;;445;269.0;;66;8.0;4.0;;17.0;103.0;2.5;;;;8.3;1329;338;98;16;649;3.0;8;45.0;163;7;2;644;562;245;47;6;87;62;3;21;0;0.1;0.1;;1.3;;;;25;4;1.0;;0.4;;28;17.0;;5;0.5;0.3;;1.1;6.0;0.2;;;;0.5;83;21;6;1;40;0.0;0;3.0;10;0;0;75;25;47;42;63;24.0;23.0;15.0;30.0;8.0;27.0;20.0;13.0;33.0;8.0;0.0;0.0;17.0;68.0;15.0;0.0;0.0;50.0;36.0;14.0;5.0;44.0;29.0;13.0;9.0;496;94;16100;95
