ID;SIC93;Periods;NumberOfBusinesses_1;PercentageEstablishments_2;PersonsEmployed_3;AveragePersonsEmployed_4;NumberOfBusinesses_5;PercentageClosures_6;PersonsEmployed_7;AveragePersonsEmployed_8;TotalNumberOfBusinesses_9
0;Total SIC '93;January 1st 1993;28,6; 7,6;46,5; 1,6;15,1; 4,0;27,8; 1,8;376300
1;Total SIC '93;January 1st 1994;25,6; 6,7;41,2; 1,6;15,0; 3,9;22,9; 1,5;382080
2;Total SIC '93;January 1st 1995;32,5; 8,4;54,6; 1,7;14,3; 3,7;23,2; 1,6;386360
3;Total SIC '93;January 1st 1996;33,6; 8,3;58,9; 1,8;13,0; 3,2;22,9; 1,7;406585
4;Total SIC '93;January 1st 1997;30,6; 7,2;53,3; 1,7;   .;   .;   .;   .;425780
5;Total SIC '93;January 1st 1998;29,8; 6,6;47,1; 1,6;   .;   .;   .;   .;452450
6;Total SIC '93;January 1st 1999;30,5; 6,6;54,1; 1,8;   .;   .;   .;   .;464620
7;Total SIC '93;January 1st 2000;38,5; 8,1;64,6; 1,7;   .;   .;   .;   .;473095
8;Total SIC '93;January 1st 2001;39,7; 8,2;58,9; 1,5;   .;   .;   .;   .;482295
9;Total SIC '93;January 1st 2002;37,5; 7,7;58,5; 1,6;   .;   .;   .;   .;486575
10;C/D Mining and quarrying/manufacturing;January 1st 1993; 2,4; 5,8; 4,4; 1,8; 1,1; 2,7; 2,6; 2,4;41280
11;C/D Mining and quarrying/manufacturing;January 1st 1994; 2,1; 4,9; 3,8; 1,8; 1,0; 2,3; 1,8; 1,8;42660
12;C/D Mining and quarrying/manufacturing;January 1st 1995; 2,3; 5,3; 4,1; 1,8; 1,4; 3,3; 2,3; 1,7;43035
13;C/D Mining and quarrying/manufacturing;January 1st 1996; 2,5; 5,7; 5,4; 2,1; 1,1; 2,5; 1,9; 1,7;44005
14;C/D Mining and quarrying/manufacturing;January 1st 1997; 2,2; 5,0; 4,2; 1,9;   .;   .;   .;   .;45275
15;C/D Mining and quarrying/manufacturing;January 1st 1998; 2,1; 4,4; 3,4; 1,6;   .;   .;   .;   .;47330
16;C/D Mining and quarrying/manufacturing;January 1st 1999; 2,3; 4,9; 4,8; 2,1;   .;   .;   .;   .;46470
17;C/D Mining and quarrying/manufacturing;January 1st 2000; 2,5; 5,5; 4,9; 1,9;   .;   .;   .;   .;45600
18;C/D Mining and quarrying/manufacturing;January 1st 2001; 2,4; 5,1; 3,8; 1,6;   .;   .;   .;   .;47215
19;C/D Mining and quarrying/manufacturing;January 1st 2002; 2,2; 4,8; 3,9; 1,8;   .;   .;   .;   .;46700
20;F Construction;January 1st 1993; 3,0; 7,3; 5,3; 1,7; 1,4; 3,4; 3,0; 2,1;40875
21;F Construction;January 1st 1994; 2,8; 6,7; 4,0; 1,4; 1,5; 3,6; 2,3; 1,6;41880
22;F Construction;January 1st 1995; 4,2; 9,6; 8,3; 2,0; 1,3; 3,0; 2,2; 1,7;43940
23;F Construction;January 1st 1996; 4,7;10,0; 8,4; 1,8; 1,3; 2,8; 2,4; 1,8;46825
24;F Construction;January 1st 1997; 4,5; 9,0; 7,1; 1,6;   .;   .;   .;   .;50650
25;F Construction;January 1st 1998; 4,7; 8,0; 7,0; 1,5;   .;   .;   .;   .;58340
26;F Construction;January 1st 1999; 4,9; 7,8; 7,4; 1,5;   .;   .;   .;   .;62330
27;F Construction;January 1st 2000; 7,4;11,7;10,8; 1,5;   .;   .;   .;   .;63380
28;F Construction;January 1st 2001; 8,1;12,0;10,2; 1,3;   .;   .;   .;   .;67595
29;F Construction;January 1st 2002; 6,6; 9,5; 9,2; 1,4;   .;   .;   .;   .;69440
30;50 Sale, maintenance, repair of cars;January 1st 1993; 0,9; 4,7; 1,4; 1,5; 0,6; 3,1; 0,9; 1,6;19340
31;50 Sale, maintenance, repair of cars;January 1st 1994; 1,4; 7,2; 2,2; 1,6; 0,5; 2,6; 0,8; 1,5;19455
32;50 Sale, maintenance, repair of cars;January 1st 1995; 1,2; 6,3; 1,9; 1,5; 0,4; 2,1; 1,1; 2,5;19165
33;50 Sale, maintenance, repair of cars;January 1st 1996; 1,1; 5,5; 1,8; 1,7; 0,4; 2,0; 0,8; 2,0;20010
34;50 Sale, maintenance, repair of cars;January 1st 1997; 0,9; 4,5; 1,6; 1,7;   .;   .;   .;   .;20635
35;50 Sale, maintenance, repair of cars;January 1st 1998; 1,0; 4,6; 1,4; 1,4;   .;   .;   .;   .;21485
36;50 Sale, maintenance, repair of cars;January 1st 1999; 0,9; 3,9; 1,3; 1,5;   .;   .;   .;   .;22585
37;50 Sale, maintenance, repair of cars;January 1st 2000; 1,0; 4,3; 1,6; 1,6;   .;   .;   .;   .;23350
38;50 Sale, maintenance, repair of cars;January 1st 2001; 1,1; 5,0; 1,9; 1,7;   .;   .;   .;   .;23090
39;50 Sale, maintenance, repair of cars;January 1st 2002; 1,1; 4,7; 1,8; 1,7;   .;   .;   .;   .;22840
40;51 Wholesale trade and commission trade;January 1st 1993; 4,7; 9,8; 7,1; 1,5; 2,4; 5,0; 4,3; 1,8;48105
41;51 Wholesale trade and commission trade;January 1st 1994; 3,9; 8,1; 5,8; 1,5; 2,5; 5,2; 3,8; 1,5;48340
42;51 Wholesale trade and commission trade;January 1st 1995; 4,9;10,3; 8,4; 1,7; 2,1; 4,4; 3,6; 1,7;47785
43;51 Wholesale trade and commission trade;January 1st 1996; 4,9; 9,7; 8,6; 1,8; 2,1; 4,1; 4,5; 2,1;50605
44;51 Wholesale trade and commission trade;January 1st 1997; 4,1; 8,0; 7,3; 1,8;   .;   .;   .;   .;51540
45;51 Wholesale trade and commission trade;January 1st 1998; 3,7; 6,8; 6,2; 1,7;   .;   .;   .;   .;54295
46;51 Wholesale trade and commission trade;January 1st 1999; 3,6; 6,6; 5,9; 1,7;   .;   .;   .;   .;53880
47;51 Wholesale trade and commission trade;January 1st 2000; 3,4; 6,2; 6,0; 1,8;   .;   .;   .;   .;55195
48;51 Wholesale trade and commission trade;January 1st 2001; 3,8; 6,9; 6,1; 1,6;   .;   .;   .;   .;54970
49;51 Wholesale trade and commission trade;January 1st 2002; 3,9; 7,0; 6,4; 1,6;   .;   .;   .;   .;55965
