ID;EconomischeActiviteit;TotaleArbeidskosten_1;PerVoltijdeenheid_2;PerGewerktUur_3;PerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5;TotaleStructuur_6;Lonen_7;WettelijkeSocialePremies_8;ContractueleSocialePremies_9;ToegerekendeSocialePremies_10;OverigeKosten_11
0;0;246.4;46.2;27.16;22.98;1701.0;100.0;75.9;7.8;8.0;5.9;2.4
1;1;2.4;35.8;20.36;17.67;1759.0;100.0;78.3;10.7;8.4;2.4;0.2
2;2;0.7;82.2;46.23;39.78;1778.0;100.0;74.4;4.8;12.8;5.8;2.1
3;3;;;;;;;;;;;
4;4;;;;;;;;;;;
5;5;;;;;;;;;;;
6;6;36.5;46.7;27.5;23.31;1697.0;100.0;76.1;8.3;9.3;4.9;1.3
7;7;5.1;48.8;28.43;24.11;1717.0;100.0;74.2;8.6;11.3;4.2;1.7
8;8;0.3;67.1;40.54;33.77;1655.0;100.0;73.7;6.5;12.4;5.3;2.1
9;9;0.5;40.5;24.69;20.34;1642.0;100.0;76.4;9.1;8.7;4.5;1.3
10;18 Kleding- en bontindustrie;0.1;39.3;23.54;19.63;1671.0;100.0;77.8;9.7;7.6;3.7;1.2
11;19 Leer-, lederwaren- en schoenindustrie;;;;;;;;;;;
12;20 Hout-,kurk-,rietwarenind,geen meubels;0.6;37.8;22.0;18.95;1719.0;100.0;77.8;10.3;6.8;3.6;1.6
13;21 Papier(waren)- en karton(waren)ind.;1.1;50.9;30.14;25.52;1688.0;100.0;76.0;8.8;8.6;4.9;1.7
14;22 Uitgeverijen,drukkerijen,reproductie;3.2;50.2;30.43;25.53;1650.0;100.0;76.7;7.7;7.8;6.0;1.8
15;23 Aardolie-, steenkoolverwerkende ind.;0.5;85.2;50.41;41.86;1689.0;100.0;69.8;4.6;17.4;6.0;2.2
16;24 Chemische industrie;4.1;66.0;39.49;32.98;1671.0;100.0;73.9;6.2;13.5;4.7;1.7
17;25 Rubber- en kunststofverwerkende ind.;1.4;44.4;26.13;21.91;1699.0;100.0;76.5;9.6;8.1;4.4;1.4
18;26 Glas-, aardewerk-, cement-, kalkind.;1.3;47.9;26.97;23.31;1775.0;100.0;75.8;8.8;10.1;3.7;1.7
19;27 Basismetaalindustrie;1.1;54.8;32.2;26.88;1701.0;100.0;76.9;8.0;8.4;4.8;1.9
20;28 Metaalproductenindustrie;3.5;42.0;24.03;20.6;1749.0;100.0;78.0;9.0;7.6;3.9;1.4
21;29 Machine- en apparatenindustrie;3.7;46.7;26.37;22.83;1769.0;100.0;79.5;7.8;7.6;4.1;1.0
22;30 Kantoormachine- en computerindustrie;0.3;49.3;30.02;24.58;1642.0;100.0;79.6;7.8;8.3;4.4;-0.1
23;31 Overige elektrische apparatenindustr.;0.7;45.8;26.44;22.5;1732.0;100.0;78.4;8.7;7.2;4.4;1.3
24;32 Audio-, video-, telecomapparatenind.;;;;;;;;;;;
25;33 Medische en optische apparatenind.;1.0;46.9;27.74;23.27;1690.0;100.0;79.2;8.4;7.3;4.5;0.5
26;34 Auto-, aanhangwagen-, opleggerind.;1.0;45.1;27.14;22.59;1663.0;100.0;76.6;9.0;8.4;4.5;1.5
27;35 Overige transportmiddelenindustrie;1.1;46.5;27.72;23.22;1678.0;100.0;78.7;8.1;6.4;5.4;1.5
28;36 Meubelind en overige industrie n.e.g.;3.8;31.0;18.92;16.11;1636.0;100.0;73.6;10.5;7.9;8.1;-0.1
29;37 Voorbereiding tot recycling;;;;;;;;;;;
30;E Openbare voorzieningsbedrijven;1.8;64.9;39.07;32.38;1662.0;100.0;75.6;4.1;10.2;7.7;2.3
31;40 Openbare energievoorzieningsbedr.;1.4;66.5;39.79;33.1;1672.0;100.0;75.7;4.1;10.3;7.6;2.3
32;41 Waterleidingbedrijven;0.3;58.8;36.28;29.62;1622.0;100.0;75.3;4.3;9.8;8.3;2.3
33;F Bouwnijverheid;16.1;46.0;26.44;22.83;1739.0;100.0;76.7;8.9;8.2;4.0;2.1
34;"G Reparatie consumentenartikelen; handel";32.6;40.2;22.91;19.79;1753.0;100.0;77.1;8.6;8.3;3.8;2.1
35;50 Handel,reparatie auto's, motorfietsen;4.0;40.5;23.37;20.09;1735.0;100.0;77.4;9.1;8.0;3.7;1.8
36;51 Groothandel en handelsbemiddeling;18.0;49.0;27.55;23.74;1777.0;100.0;77.3;7.5;8.9;4.0;2.3
37;52 Detailhandel (incl. reparatie);10.6;30.7;17.71;15.35;1732.0;100.0;76.6;10.3;7.5;3.6;1.9
38;H Horeca;3.5;29.2;16.7;14.27;1749.0;100.0;79.5;11.3;5.0;2.5;1.7
39;I Vervoer, opslag en communicatie;16.4;45.5;25.13;21.24;1810.0;100.0;76.5;8.6;8.5;4.5;1.8
40;60 Vervoer over land;6.8;42.9;21.57;18.83;1987.0;100.0;76.5;9.6;8.1;4.0;1.7
41;61 Vervoer over water;;;;;;;;;;;
42;62 Vervoer door de lucht;;;;;;;;;;;
43;63 Dienstverlening voor het vervoer;3.6;46.8;28.38;23.27;1648.0;100.0;77.0;8.1;8.6;4.6;1.7
44;64 Post en telecommunicatie;3.8;42.8;25.7;21.07;1665.0;100.0;75.2;8.9;8.8;5.1;2.0
45;J Financiële instellingen;14.9;69.3;41.34;34.96;1677.0;100.0;73.5;5.2;12.2;5.7;3.4
46;65 Financiële instell.(geen verzekering);9.2;73.1;44.85;37.54;1631.0;100.0;74.0;4.8;12.1;5.7;3.5
47;66 Verzekeringswezen en pensioenfondsen;3.5;71.4;41.88;35.66;1705.0;100.0;69.4;5.6;15.3;6.4;3.3
48;67 Activit.tbv financiële instellingen;2.2;54.8;30.61;26.45;1789.0;100.0;78.0;6.5;7.9;4.4;3.1
49;K Verhuur en zakelijke dienstverlening;39.4;46.8;26.63;22.94;1757.0;100.0;78.3;9.0;6.4;4.1;2.1
50;70 Verhuur v./handel in onroerend goed;2.7;51.7;31.29;26.59;1654.0;100.0;78.4;7.1;7.4;4.3;2.9
51;71 Verhuur van roerende goederen;0.8;41.7;21.69;19.95;1921.0;100.0;78.4;8.6;6.7;3.5;2.8
52;72 Computerservice,informatietechnologie;5.5;58.2;32.21;27.99;1808.0;100.0;79.6;7.1;6.6;4.1;2.7
53;73 Research;2.1;71.9;42.06;35.57;1710.0;100.0;76.8;6.1;10.8;4.9;1.5
54;74 Overige zakelijke dienstverlening;28.3;43.7;24.91;21.43;1756.0;100.0;78.2;9.8;6.0;4.0;2.0
55;"L Openbaar bestuur;sociale verzekeringen";25.6;54.9;34.39;28.42;1595.0;100.0;70.2;4.8;8.8;12.9;3.3
56;M Onderwijs;18.7;51.6;31.09;25.56;1659.0;100.0;73.4;5.1;8.1;9.7;3.7
57;N Gezondheids- en welzijnszorg;29.6;41.1;25.92;21.09;1587.0;100.0;77.0;9.0;5.2;6.0;2.8
58;O Cultuur, recreatie en ov. dienstverl.;8.1;41.3;23.83;20.61;1733.0;100.0;78.0;8.4;6.8;5.0;1.9
59;90 Milieudienstverlening;1.3;48.3;24.13;23.6;2001.0;100.0;73.2;7.5;8.9;7.7;2.6
60;91 Ideële en belangenorganisaties;2.4;44.5;27.01;22.6;1648.0;100.0;78.7;7.7;6.7;5.2;1.7
61;92 Cultuur, sport en recreatie;3.5;42.4;25.03;21.21;1695.0;100.0;79.0;8.4;6.1;4.4;2.1
62;93 Overige dienstverlening;1.0;29.0;16.52;14.24;1752.0;100.0;78.4;10.9;6.7;3.4;0.6
