ID;Geslacht;Leeftijd;Generatie;Perioden;TotaleBevolking_1;Autochtoon_2;Allochtoon_3;TotaalWesterseAllochtonen_4;k_27EULanden_5;OverigEuropa_6;Indonesie_7;OverigBuitenEuropa_8;TotaalNietWesterseAllochtonen_9;Afrika_10;Azie_11;LatijnsAmerika_12;Marokko_13;NederlandseAntillenEnAruba_14;Suriname_15;Turkije_16
0;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2015;16898898;13237048.0;3661852;1625087;1009440;165648;369418;80581;2036765;245648;415194;101428;380697;148846;348802;396150
1;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2016;16971477;13240988.0;3730488;1650707;1032844;169430;366544;81889;2079781;253746;437653;105432;386189;150942;349685;396134
2;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2017;17045155;13244815.0;3800339;1676558;1056295;173446;363632;83185;2123781;261736;460599;109488;391391;153153;350830;396584
3;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2018;17118413;13247571.0;3870843;1702046;1079217;177659;360710;84460;2168797;269654;483846;113619;396339;155525;352219;397595
4;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2019;17186001;13249316.0;3936686;1726853;1101041;182432;357744;85636;2209833;277081;503056;117802;400982;158033;353727;399152
5;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2020;17248834;13250371.0;3998462;1750789;1121899;187446;354702;86742;2247673;283902;519284;122050;405343;160682;355289;401123
6;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2021;17306578;13250898.0;4055681;1773402;1141592;192432;351592;87786;2282279;290015;533148;126356;409372;163318;356763;403307
7;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2022;17363351;13251393.0;4111958;1794907;1160196;197470;348442;88799;2317051;296254;547266;130729;413170;165938;358154;405540
8;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2023;17418656;13251665.0;4166992;1815295;1177719;202518;345245;89813;2351697;302588;561512;135107;416756;168531;359459;407744
9;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2024;17472464;13251459.0;4221005;1834680;1194234;207594;342003;90849;2386325;308962;576046;139511;420156;171094;360651;409905
10;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2025;17524137;13250340.0;4273798;1853015;1209674;212707;338721;91913;2420783;315366;590642;143937;423409;173627;361746;412056
11;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2026;17573728;13248035.0;4325693;1870797;1224586;217849;335372;92990;2454896;321789;605193;148366;426551;176133;362657;414207
12;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2027;17621011;13244380.0;4376632;1888020;1238969;223028;331949;94074;2488612;328224;619626;152778;429607;178611;363400;416366
13;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2028;17666038;13239253.0;4426785;1904865;1253016;228246;328442;95161;2521920;334674;633914;157181;432577;181068;363966;418540
14;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2029;17708713;13232503.0;4476211;1921358;1266756;233500;324843;96259;2554853;341124;648054;161574;435487;183505;364372;420737
15;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2030;17748974;13223986.0;4524987;1937555;1280261;238801;321140;97353;2587432;347578;662060;165956;438332;185931;364630;422945
16;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2031;17786414;13213521.0;4572895;1953385;1293502;244079;317340;98464;2619510;354023;675942;170338;441088;188359;364760;425000
17;Mannen en Vrouwen;Totaal over alle leeftijden;Totaal bevolking;2032;17820930;13200916.0;4620013;1968887;1306539;249330;313437;99581;2651126;360468;689727;174722;443766;190774;364761;426908
