ID;BedrijfstakkenBranchesSBI2008;RegioS;Perioden;BedrijfsbestelautoS_1;KilometersBedrijfsbestelautoS_2;GemiddeldJaarkilometrage_3
0;A-U Alle economische activiteiten;Nederland;2009;814444.0;15271.6;18751.0
1;A-U Alle economische activiteiten;Nederland;2010;817280.0;15295.4;18715.0
2;A-U Alle economische activiteiten;Nederland;2011;825724.0;15331.0;18567.0
3;A-U Alle economische activiteiten;Nederland;2012;820841.0;15101.8;18398.0
4;A-U Alle economische activiteiten;Nederland;2013;808302.0;14902.2;18436.0
5;A-U Alle economische activiteiten;Nederland;2014;804084.0;14996.0;18650.0
6;A-U Alle economische activiteiten;Nederland;2015;815365.0;15351.0;18827.0
7;A-U Alle economische activiteiten;Nederland;2016;850606.0;16135.8;18970.0
8;A-U Alle economische activiteiten;Noord-Nederland (LD);2009;88792.0;1640.5;18475.0
9;A-U Alle economische activiteiten;Noord-Nederland (LD);2010;89431.0;1620.3;18118.0
10;A-U Alle economische activiteiten;Noord-Nederland (LD);2011;90329.0;1633.7;18086.0
11;A-U Alle economische activiteiten;Noord-Nederland (LD);2012;90069.0;1610.1;17877.0
12;A-U Alle economische activiteiten;Noord-Nederland (LD);2013;88053.0;1562.0;17740.0
13;A-U Alle economische activiteiten;Noord-Nederland (LD);2014;88027.0;1572.2;17861.0
14;A-U Alle economische activiteiten;Noord-Nederland (LD);2015;90236.0;1627.9;18040.0
15;A-U Alle economische activiteiten;Noord-Nederland (LD);2016;95037.0;1728.0;18183.0
16;A-U Alle economische activiteiten;Oost-Nederland (LD);2009;184747.0;3611.6;19549.0
17;A-U Alle economische activiteiten;Oost-Nederland (LD);2010;186355.0;3641.8;19542.0
18;A-U Alle economische activiteiten;Oost-Nederland (LD);2011;188563.0;3658.1;19400.0
19;A-U Alle economische activiteiten;Oost-Nederland (LD);2012;186828.0;3559.2;19051.0
20;A-U Alle economische activiteiten;Oost-Nederland (LD);2013;183149.0;3496.5;19091.0
21;A-U Alle economische activiteiten;Oost-Nederland (LD);2014;183842.0;3560.3;19366.0
22;A-U Alle economische activiteiten;Oost-Nederland (LD);2015;188005.0;3688.4;19619.0
23;A-U Alle economische activiteiten;Oost-Nederland (LD);2016;196614.0;3897.9;19825.0
24;A-U Alle economische activiteiten;West-Nederland (LD);2009;359888.0;6713.4;18654.0
25;A-U Alle economische activiteiten;West-Nederland (LD);2010;359149.0;6672.2;18578.0
26;A-U Alle economische activiteiten;West-Nederland (LD);2011;361877.0;6677.2;18452.0
27;A-U Alle economische activiteiten;West-Nederland (LD);2012;360184.0;6614.5;18364.0
28;A-U Alle economische activiteiten;West-Nederland (LD);2013;356319.0;6572.3;18445.0
29;A-U Alle economische activiteiten;West-Nederland (LD);2014;353088.0;6592.3;18670.0
30;A-U Alle economische activiteiten;West-Nederland (LD);2015;353940.0;6659.0;18814.0
31;A-U Alle economische activiteiten;West-Nederland (LD);2016;369904.0;7013.3;18960.0
32;A-U Alle economische activiteiten;Zuid-Nederland (LD);2009;181017.0;3306.2;18264.0
33;A-U Alle economische activiteiten;Zuid-Nederland (LD);2010;182345.0;3361.1;18433.0
34;A-U Alle economische activiteiten;Zuid-Nederland (LD);2011;184955.0;3362.1;18178.0
35;A-U Alle economische activiteiten;Zuid-Nederland (LD);2012;183760.0;3318.0;18056.0
36;A-U Alle economische activiteiten;Zuid-Nederland (LD);2013;180781.0;3271.4;18096.0
37;A-U Alle economische activiteiten;Zuid-Nederland (LD);2014;179127.0;3271.2;18262.0
38;A-U Alle economische activiteiten;Zuid-Nederland (LD);2015;183184.0;3375.7;18428.0
