ID;ForecastInterval;Periods;TotalPopulation_1;k_0To20Years_2;k_20To65Years_3;k_65YearsAndOlder_4;k_0To20Years_5;k_20To65Years_6;k_65YearsAndOlder_7;TotalPressure_8;GreenPressure_9;GreyPressure_10;LiveBirths_11;TotalFertilityRate_12;Deaths_13;Total_14;Men_15;Women_16;Total_17;Men_18;Women_19;Immigration_20;EmigrationInclNetAdmCorr_21;NetMigrationInclNetAdmCorr_22
0;Forecast;2012;;;;;;;;;;;175779.0;1.72;139404.0;81.09;79.22;82.82;19.52;17.95;20.88;154705.0;143788.0;10917.0
1;Forecast;2013;16777636.0;3870727.0;10081648.0;2825264.0;23.1;60.1;16.8;66.4;38.4;28.0;175916.0;1.72;141166.0;81.24;79.41;82.94;19.61;18.09;20.96;152909.0;141165.0;11744.0
2;Forecast;2014;16824132.0;3849435.0;10055085.0;2919615.0;22.9;59.8;17.4;67.3;38.3;29.0;176533.0;1.73;142899.0;81.4;79.61;83.07;19.71;18.22;21.03;151977.0;139094.0;12883.0
3;Forecast;2015;16870652.0;3828640.0;10037291.0;3004721.0;22.7;59.5;17.8;68.1;38.1;29.9;178091.0;1.74;144614.0;81.55;79.79;83.19;19.81;18.35;21.11;153485.0;137430.0;16055.0
4;Forecast;2016;16920182.0;3815449.0;10020683.0;3084051.0;22.5;59.2;18.2;68.9;38.1;30.8;179448.0;1.74;146317.0;81.7;79.98;83.32;19.91;18.48;21.18;155373.0;135634.0;19739.0
5;Forecast;2017;16973054.0;3804619.0;10008973.0;3159462.0;22.4;59.0;18.6;69.6;38.0;31.6;181209.0;1.75;148019.0;81.86;80.17;83.45;20.0;18.61;21.25;157374.0;133446.0;23928.0
6;Forecast;2018;17030172.0;3794862.0;9996355.0;3238955.0;22.3;58.7;19.0;70.4;38.0;32.4;182519.0;1.75;149731.0;82.01;80.36;83.58;20.1;18.74;21.32;157331.0;133973.0;23358.0
7;Forecast;2019;17086316.0;3780176.0;9991140.0;3315002.0;22.1;58.5;19.4;71.0;37.8;33.2;183807.0;1.75;151464.0;82.17;80.54;83.71;20.19;18.87;21.4;156685.0;134333.0;22352.0
8;Forecast;2020;17141012.0;3765007.0;9984904.0;3391102.0;22.0;58.3;19.8;71.7;37.7;34.0;184957.0;1.75;153230.0;82.32;80.73;83.84;20.29;19.0;21.47;155562.0;134431.0;21131.0
9;Forecast;2021;17193872.0;3745993.0;9980829.0;3467050.0;21.8;58.0;20.2;72.3;37.5;34.7;186117.0;1.75;155058.0;82.47;80.91;83.97;20.39;19.13;21.54;154447.0;134274.0;20173.0
10;Forecast;2022;17245100.0;3731299.0;9968666.0;3545137.0;21.6;57.8;20.6;73.0;37.4;35.6;186908.0;1.75;156967.0;82.63;81.09;84.1;20.48;19.26;21.6;153323.0;133986.0;19337.0
