ID;Geslacht;Persoonskenmerken;RegioS;WmoClientenGebruikWlz2018Totaal_1;WmoClienten2017InstroomWlz2018_2;SamenloopWmoWlz2017Wlz2018_3;WmoClientenGebruikWlz2018Totaal_4;WmoClienten2017InstroomWlzIn2018_5;SamenloopWmoWlz2017WlzIn2018_6;WmoClientenGebruikWlz2018Totaal_7;WmoClienten2017InstroomWlzIn2018_8;SamenloopWmoWlz2017WlzIn2018_9
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aa en Hunze;230.0;45.0;185.0;19.13;3.74;15.39;11.0;2.0;9.0
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aalburg;165.0;35.0;135.0;23.71;4.71;19.0;16.0;3.0;13.0
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aalsmeer;425.0;95.0;335.0;22.3;4.86;17.44;17.0;4.0;13.0
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aalten;250.0;90.0;160.0;16.26;5.77;10.49;11.0;4.0;7.0
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Achtkarspelen;320.0;70.0;250.0;19.34;4.14;15.21;14.0;3.0;11.0
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alblasserdam;;;;;;;;;
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Albrandswaard;280.0;55.0;225.0;23.09;4.4;18.69;14.0;3.0;11.0
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alkmaar;945.0;250.0;695.0;15.98;4.23;11.75;10.0;3.0;8.0
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Almelo;435.0;195.0;240.0;10.32;4.65;5.67;7.0;3.0;4.0
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Almere;1360.0;325.0;1030.0;14.95;3.6;11.35;8.0;2.0;6.0
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alphen aan den Rijn;670.0;195.0;475.0;18.76;5.46;13.3;7.0;2.0;5.0
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alphen-Chaam;60.0;30.0;30.0;18.93;8.83;10.09;7.0;3.0;4.0
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Ameland;40.0;5.0;35.0;19.6;2.51;17.09;13.0;2.0;11.0
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Amersfoort;1505.0;380.0;1120.0;16.19;4.1;12.09;12.0;3.0;9.0
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Amstelveen;655.0;220.0;435.0;16.9;5.71;11.19;9.0;3.0;6.0
15;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Amsterdam;7755.0;1905.0;5850.0;12.81;3.14;9.67;10.0;3.0;8.0
16;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Apeldoorn;2410.0;435.0;1975.0;24.0;4.33;19.66;18.0;3.0;15.0
17;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Appingedam;;;;;;;;;
18;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Arnhem;1935.0;390.0;1545.0;18.29;3.67;14.62;15.0;3.0;12.0
19;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Assen;835.0;195.0;640.0;18.28;4.28;14.0;15.0;4.0;12.0
20;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Asten;125.0;50.0;75.0;20.13;8.02;12.11;9.0;3.0;5.0
21;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Baarle-Nassau;45.0;20.0;25.0;15.67;7.0;8.67;8.0;4.0;5.0
