ID;RegioS;Perioden;TotaalBedrijfsafvalstoffen_1;TotaalNietChemischAfval_2;Metaalafval_3;GlasPapierHoutKunststofRubberED_4;DierlijkPlantaardigAfval_5;GemengdAfval_6;Slib_7;MineralenSteenachtigAfval_8;OverigNietChemischAfval_9;ChemischAfval_10;TotaalBedrijfsafvalstoffen_11;Hergebruik_12;Eindverwerking_13
0;Totaal Nederland;2004;19156;17934;734;1642;6595;1257;751;6939;16;1223;19156;17052;2104
1;Totaal Nederland;2006;18506;17255;790;1694;6551;1282;735;6176;28;1251;18506;16250;2255
2;Totaal Nederland;2008;18771;17384;835;1651;6457;967;768;6695;10;1387;18771;16807;1964
3;Noord-Nederland;2004;1929;1830;82;146;691;158;113;633;7;100;1929;1719;210
4;Noord-Nederland;2006;2088;2016;70;198;858;192;118;576;4;72;2088;1857;231
5;Noord-Nederland;2008;1869;1774;65;218;613;119;126;633;0;95;1869;1606;263
6;Oost-Nederland;2004;2529;2385;133;452;763;262;189;585;1;144;2529;2148;382
7;Oost-Nederland;2006;2631;2466;161;465;819;218;203;596;3;165;2631;2324;307
8;Oost-Nederland;2008;2535;2290;184;450;650;208;167;630;1;245;2535;2160;375
9;West-Nederland;2004;10070;9311;217;405;3731;263;226;4463;6;759;10070;9253;818
10;West-Nederland;2006;9337;8575;284;399;3573;321;249;3746;2;762;9336;8358;978
11;West-Nederland;2008;10070;9241;331;377;3719;293;254;4266;1;829;10070;9232;838
12;Zuid-Nederland;2004;4624;4403;301;637;1409;573;222;1259;2;220;4624;3931;693
13;Zuid-Nederland;2006;4449;4197;274;631;1300;549;165;1258;18;251;4448;3709;739
14;Zuid-Nederland;2008;4293;4076;255;605;1476;346;221;1165;7;218;4293;3807;486
15;Groningen;2004;1462;1366;37;64;569;102;64;528;2;97;1462;1328;134
16;Groningen;2006;1514;1446;30;55;694;133;78;452;3;67;1514;1402;112
17;Groningen;2008;1173;1118;22;56;447;78;80;433;0;56;1173;1064;109
18;Friesland;2004;270;268;31;51;86;28;35;37;0;1;270;225;45
19;Friesland;2006;282;278;24;91;82;33;19;28;0;4;282;244;38
20;Friesland;2008;285;283;22;76;61;29;34;60;0;3;285;249;36
21;Drenthe;2004;197;195;14;31;36;28;14;67;5;2;197;166;31
22;Drenthe;2006;292;291;16;51;81;26;22;95;0;1;292;212;80
23;Drenthe;2008;411;374;20;86;104;11;11;140;0;37;411;292;118
24;Overijssel;2004;483;475;65;135;127;75;19;54;0;7;483;368;115
25;Overijssel;2006;638;626;69;160;178;60;55;104;0;12;638;549;89
26;Overijssel;2008;528;517;59;151;136;63;29;78;0;11;528;459;68
27;Flevoland;2004;205;200;5;11;112;19;16;37;0;3;205;185;20
28;Flevoland;2006;165;164;19;19;62;22;8;34;0;1;164;127;37
29;Flevoland;2008;99;98;7;18;30;11;11;21;0;0;99;85;14
30;Gelderland;2004;1842;1708;64;306;523;168;153;493;1;134;1842;1595;247
31;Gelderland;2006;1829;1676;73;286;580;137;140;457;3;153;1829;1648;180
32;Gelderland;2008;1909;1675;117;282;484;134;126;531;0;234;1909;1616;293
33;Utrecht;2004;519;513;108;111;31;61;2;200;0;5;519;278;241
34;Utrecht;2006;529;524;71;79;78;58;14;224;0;5;528;261;267
35;Utrecht;2008;749;748;86;83;47;59;30;443;0;1;749;562;187
36;Noord-Holland;2004;4660;4531;28;123;1569;80;97;2629;5;129;4660;4495;165
37;Noord-Holland;2006;4446;4297;101;134;1560;82;113;2306;1;149;4445;4211;234
38;Noord-Holland;2008;4548;4397;92;107;1696;84;55;2362;0;151;4548;4376;172
39;Zuid-Holland;2004;3769;3193;61;138;1981;106;94;812;1;576;3769;3426;344
40;Zuid-Holland;2006;3300;2735;95;145;1781;156;80;477;1;566;3300;2883;417
41;Zuid-Holland;2008;3380;2820;91;146;1795;109;100;578;1;560;3380;3014;365
42;Zeeland;2004;1122;1075;20;33;150;16;34;822;0;48;1122;1054;68
43;Zeeland;2006;1063;1020;18;42;154;25;42;739;0;43;1063;1003;60
44;Zeeland;2008;1394;1277;62;41;181;41;68;883;0;117;1394;1280;114
45;Noord-Brabant;2004;3532;3389;171;460;1228;447;128;953;2;144;3532;3006;527
46;Noord-Brabant;2006;3294;3147;181;479;1118;383;100;876;10;147;3294;2737;556
47;Noord-Brabant;2008;3307;3187;192;441;1373;215;166;795;5;120;3307;2954;353
48;Limburg;2004;1092;1016;131;177;181;126;94;306;1;76;1092;926;166
49;Limburg;2006;1154;1050;94;151;182;167;65;382;8;104;1154;972;183
50;Limburg;2008;987;889;63;164;103;131;55;370;2;98;987;853;133
