ID;Migratiemotieven;Geslacht;JaarVanVestigingInNederland;Perioden;TotaalNietNederlandseImmigranten_1;WerknemersZelfstandigen_2;WerkloosheidsBijstandsuitkering_3;OverigeNietNederlandseImmigranten_4
0;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1990;1995;100.0;53.0;16.0;31.0
1;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1990;1996;100.0;56.0;14.0;30.0
2;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1990;1997;100.0;58.0;14.0;28.0
3;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1990;1998;100.0;60.0;12.0;28.0
4;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1990;1999;100.0;63.0;12.0;26.0
5;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1990;2000;100.0;65.0;10.0;25.0
6;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1991;1995;100.0;50.0;18.0;32.0
7;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1991;1996;100.0;53.0;16.0;31.0
8;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1991;1997;100.0;57.0;16.0;27.0
9;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1991;1998;100.0;60.0;14.0;26.0
10;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1991;1999;100.0;63.0;12.0;25.0
11;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1991;2000;100.0;64.0;11.0;25.0
12;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1992;1995;100.0;45.0;17.0;38.0
13;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1992;1996;100.0;50.0;15.0;35.0
14;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1992;1997;100.0;54.0;14.0;32.0
15;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1992;1998;100.0;57.0;13.0;30.0
16;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1992;1999;100.0;61.0;12.0;27.0
17;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1992;2000;100.0;62.0;11.0;27.0
18;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1993;1995;100.0;35.0;24.0;41.0
19;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1993;1996;100.0;41.0;23.0;36.0
20;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1993;1997;100.0;46.0;21.0;33.0
21;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1993;1998;100.0;53.0;18.0;29.0
22;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1993;1999;100.0;58.0;17.0;25.0
23;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1993;2000;100.0;61.0;15.0;24.0
24;Totaal alle motieven;Totaal mannen en vrouwen;Vestigingsjaar 1994;1995;100.0;29.0;22.0;50.0
