ID;Uitval;RegioS;Perioden;TotaalVoertuigen_1;PersonenautoS_2;TotaalBedrijfsvoertuigen_3;BestelautoS_4;VrachtautoS_5;Trekkers_6;SpecialeVoertuigen_7;Autobussen_8;TotaalGewichtVoertuigen_9;PersonenautoS_10;TotaalGewichtBedrijfsvoertuigen_11;BestelautoS_12;VrachtautoS_13;Trekkers_14;SpecialeVoertuigen_15;Autobussen_16
0;Totaal uitval;Totaal Nederland;1996;424001;375449;48552;36208;5836;4321;1378;809;499331;353368;145963;49135;48756;29992;9931;8149
1;Totaal uitval;Totaal Nederland;1997;448598;396456;52142;37164;6747;5642;1623;966;542734;374085;168649;50219;57412;39048;12026;9944
2;Totaal uitval;Totaal Nederland;1998;406934;360276;46658;33417;5932;5364;1322;623;488477;337859;150618;45032;51334;37606;10124;6522
3;Totaal uitval;Totaal Nederland;1999;421231;377138;44093;31552;5805;4920;1346;470;492029;349285;142744;42115;50384;34423;10851;4971
4;Totaal uitval;Noord-Nederland (LD);1996;38259;35797;2462;2008;156;87;120;91;38449;32555;5894;2522;1267;595;533;977
5;Totaal uitval;Noord-Nederland (LD);1997;38237;35594;2643;2001;216;174;149;103;39402;32299;7103;2413;1780;1171;654;1085
6;Totaal uitval;Noord-Nederland (LD);1998;34956;32399;2557;2012;200;148;128;69;36028;29545;6483;2442;1671;1014;562;794
7;Totaal uitval;Noord-Nederland (LD);1999;34675;32223;2452;1905;218;156;113;60;35580;29228;6352;2233;1921;1077;477;644
8;Totaal uitval;Oost-Nederland (LD);1996;91154;78475;12679;9023;1829;1431;283;113;115007;73972;41035;12483;15564;9967;1896;1125
9;Totaal uitval;Oost-Nederland (LD);1997;96676;83390;13286;8932;1955;1911;375;113;125209;78660;46549;12338;16918;13227;2993;1073
10;Totaal uitval;Oost-Nederland (LD);1998;88151;76283;11868;7880;1782;1812;298;96;112814;71124;41690;10848;15236;12591;1970;1045
11;Totaal uitval;Oost-Nederland (LD);1999;94561;83144;11417;7446;1841;1683;318;129;118042;76663;41379;10185;15852;11774;2165;1403
12;Totaal uitval;West-Nederland (LD);1996;195385;172730;22655;17426;2350;1848;672;359;229714;164194;65520;23231;20052;12865;5829;3543
13;Totaal uitval;West-Nederland (LD);1997;209829;184752;25077;18544;2978;2334;728;493;255105;177091;78014;24749;25831;16212;6098;5124
14;Totaal uitval;West-Nederland (LD);1998;188004;166165;21839;16265;2569;2088;596;321;226518;158357;68161;21827;22806;14656;5595;3277
15;Totaal uitval;West-Nederland (LD);1999;202226;181107;21119;16105;2339;1924;602;149;233251;169949;63302;21361;20868;13491;6110;1472
16;Totaal uitval;Zuid-Nederland (LD);1996;97751;87145;10606;7620;1492;948;300;246;114614;81412;33202;10719;11806;6508;1664;2505
17;Totaal uitval;Zuid-Nederland (LD);1997;103673;92589;11084;7658;1591;1222;364;249;122626;85896;36730;10677;12840;8427;2205;2581
18;Totaal uitval;Zuid-Nederland (LD);1998;95738;85365;10373;7249;1377;1312;298;137;112957;78759;34198;9899;11584;9314;1994;1407
19;Totaal uitval;Zuid-Nederland (LD);1999;89740;80643;9097;6092;1404;1156;313;132;105106;73423;31683;8331;11724;8076;2099;1453
20;Totaal uitval;Groningen (PV);1996;14586;13747;839;733;34;11;44;17;14047;12451;1596;894;278;72;172;180
21;Totaal uitval;Groningen (PV);1997;14674;13812;862;715;42;49;50;6;14231;12461;1770;832;322;337;221;58
22;Totaal uitval;Groningen (PV);1998;12951;12141;810;678;31;53;44;4;12709;11072;1637;817;243;370;170;37
23;Totaal uitval;Groningen (PV);1999;12550;11837;713;610;23;39;36;5;12189;10783;1406;699;220;273;175;39
24;Totaal uitval;Friesland (PV);1996;14234;13236;998;800;69;18;40;71;14729;12115;2614;971;559;120;189;775
25;Totaal uitval;Friesland (PV);1997;13483;12356;1127;823;100;58;57;89;14678;11346;3332;988;773;376;263;932
26;Totaal uitval;Friesland (PV);1998;13005;11940;1065;851;80;31;52;51;13554;10916;2638;1018;587;206;216;611
27;Totaal uitval;Friesland (PV);1999;13333;12225;1108;842;112;51;54;49;14065;11080;2985;988;925;336;194;542
28;Totaal uitval;Drenthe (PV);1996;9439;8814;625;475;53;58;36;3;9673;7989;1684;657;430;403;172;22
29;Totaal uitval;Drenthe (PV);1997;10080;9426;654;463;74;67;42;8;10493;8492;2001;593;685;458;170;95
30;Totaal uitval;Drenthe (PV);1998;9000;8318;682;483;89;64;32;14;9765;7557;2208;607;841;438;176;146
31;Totaal uitval;Drenthe (PV);1999;8792;8161;631;453;83;66;23;6;9326;7365;1961;546;776;468;108;63
32;Totaal uitval;Overijssel (PV);1996;25408;22553;2855;2160;348;245;62;40;29486;21173;8313;2944;2847;1674;433;415
33;Totaal uitval;Overijssel (PV);1997;26173;23277;2896;2131;333;316;74;42;30571;21797;8774;2853;2810;2142;502;467
34;Totaal uitval;Overijssel (PV);1998;25981;23583;2398;1790;248;288;60;12;28551;21735;6816;2362;2062;1993;246;153
35;Totaal uitval;Overijssel (PV);1999;25596;23412;2184;1593;238;274;69;10;27610;21218;6392;2066;1863;1887;463;113
36;Totaal uitval;Flevoland (PV);1996;9776;8605;1171;1057;29;66;16;3;10218;8098;2120;1345;232;467;51;25
37;Totaal uitval;Flevoland (PV);1997;9800;8574;1226;1088;46;58;29;5;10415;7994;2421;1369;383;420;230;19
38;Totaal uitval;Flevoland (PV);1998;10418;9035;1383;1276;47;37;23;0;11012;8538;2474;1681;365;257;171;0
39;Totaal uitval;Flevoland (PV);1999;10448;9138;1310;1217;32;40;20;1;10818;8599;2219;1603;272;271;69;4
40;Totaal uitval;Gelderland (PV);1996;55970;47317;8653;5806;1452;1120;205;70;75303;44701;30602;8194;12485;7826;1412;685
41;Totaal uitval;Gelderland (PV);1997;60703;51539;9164;5713;1576;1537;272;66;84223;48869;35354;8116;13725;10665;2261;587
42;Totaal uitval;Gelderland (PV);1998;51752;43665;8087;4814;1487;1487;215;84;73251;40851;32400;6805;12809;10341;1553;892
43;Totaal uitval;Gelderland (PV);1999;58517;50594;7923;4636;1571;1369;229;118;79614;46846;32768;6516;13717;9616;1633;1286
44;Totaal uitval;Utrecht (PV);1996;23316;20915;2401;1813;220;204;99;65;27239;19611;7628;2363;1884;1416;1306;659
45;Totaal uitval;Utrecht (PV);1997;24273;21390;2883;2077;291;292;118;105;29679;20025;9654;2721;2498;2026;1379;1030
46;Totaal uitval;Utrecht (PV);1998;21905;19616;2289;1738;213;190;72;76;25223;18073;7150;2257;1849;1317;940;787
47;Totaal uitval;Utrecht (PV);1999;21717;19670;2047;1498;186;252;95;16;23943;17721;6222;1885;1573;1736;851;177
48;Totaal uitval;Noord-Holland (PV);1996;90424;81280;9144;8101;482;277;212;72;97008;78809;18199;10868;3949;1926;797;659
49;Totaal uitval;Noord-Holland (PV);1997;101706;91199;10507;9136;609;366;279;117;112465;89709;22756;12288;5172;2528;1743;1025
50;Totaal uitval;Noord-Holland (PV);1998;92359;82921;9438;8157;609;412;219;41;101981;81014;20967;11003;5187;2855;1519;403
51;Totaal uitval;Noord-Holland (PV);1999;107429;97771;9658;8544;520;316;214;64;114180;93994;20186;11261;4460;2209;1662;594
52;Totaal uitval;Zuid-Holland (PV);1996;71589;61242;10347;6911;1582;1317;332;205;94762;57105;37657;9271;13604;9180;3569;2033
53;Totaal uitval;Zuid-Holland (PV);1997;72909;62084;10825;6685;1962;1616;309;253;101028;57907;43121;8968;17218;11245;2816;2874
54;Totaal uitval;Zuid-Holland (PV);1998;64173;54727;9446;5872;1683;1410;280;201;89101;50953;38148;7949;15197;9954;2989;2059
55;Totaal uitval;Zuid-Holland (PV);1999;63086;54270;8816;5571;1591;1315;270;69;85191;49647;35544;7622;14474;9253;3494;701
56;Totaal uitval;Zeeland (PV);1996;10056;9293;763;601;66;50;29;17;10705;8669;2036;729;615;343;157;192
57;Totaal uitval;Zeeland (PV);1997;10941;10079;862;646;116;60;22;18;11933;9450;2483;772;943;413;160;195
58;Totaal uitval;Zeeland (PV);1998;9567;8901;666;498;64;76;25;3;10213;8317;1896;618;573;530;147;28
59;Totaal uitval;Zeeland (PV);1999;9994;9396;598;492;42;41;23;0;9937;8587;1350;593;361;293;103;0
60;Totaal uitval;Noord-Brabant (PV);1996;71378;62658;8720;6288;1248;742;237;205;85895;58628;27267;8913;9765;5116;1361;2112
61;Totaal uitval;Noord-Brabant (PV);1997;73877;65003;8874;6174;1327;854;300;219;90126;60663;29463;8712;10701;5882;1876;2292
62;Totaal uitval;Noord-Brabant (PV);1998;67318;59170;8148;5778;1112;912;232;114;81443;54794;26649;8014;9434;6467;1552;1182
63;Totaal uitval;Noord-Brabant (PV);1999;61234;54189;7045;4691;1131;845;258;120;74363;49446;24917;6477;9356;5876;1869;1339
64;Totaal uitval;Limburg (PV);1996;26373;24487;1886;1332;244;206;63;41;28719;22784;5935;1806;2041;1392;303;393
65;Totaal uitval;Limburg (PV);1997;29796;27586;2210;1484;264;368;64;30;32500;25233;7267;1965;2139;2545;329;289
66;Totaal uitval;Limburg (PV);1998;28420;26195;2225;1471;265;400;66;23;31514;23965;7549;1885;2150;2847;442;225
67;Totaal uitval;Limburg (PV);1999;28506;26454;2052;1401;273;311;55;12;30743;23977;6766;1854;2368;2200;230;114
68;Totaal uitval;Onbekend;1996;1452;1302;150;131;9;7;3;0;1547;1235;313;180;67;57;9;0
69;Totaal uitval;Onbekend;1997;183;131;52;29;7;1;7;8;392;139;253;42;43;11;76;81
70;Totaal uitval;Onbekend;1998;85;64;21;11;4;4;2;0;160;74;87;16;37;31;3;0
71;Totaal uitval;Onbekend;1999;29;21;8;4;3;1;0;0;50;22;29;5;19;5;0;0
72;Demontage;Totaal Nederland;1996;266691;253357;13334;10891;1300;458;584;101;251083;223196;27888;12011;9418;3018;2470;971
73;Demontage;Totaal Nederland;1997;273030;259116;13914;11298;1285;615;641;75;256554;227209;29346;12315;9533;4079;2675;744
