ID;CaribischNederland;Perioden;Productie_1;VerliezenStatistischVerschil_2;TotaalHuishoudensEnBedrijven_3;Huishoudens_4;Bedrijven_5;TotaalHuishoudensEnBedrijven_6;Huishoudens_7;Bedrijven_8
0;Caribisch Nederland;2020;2083.0;350.0;1732.0;1241.0;492.0;11595.0;9852.0;1743.0
1;Caribisch Nederland;2021;2294.0;358.0;1936.0;1369.0;567.0;12394.0;10387.0;2007.0
2;Caribisch Nederland;2022;2488.0;367.0;2121.0;1409.0;713.0;12977.0;10834.0;2143.0
3;Caribisch Nederland;2023;2760.0;196.0;2564.0;1690.0;874.0;13246.0;11182.0;2064.0
4;Bonaire;2020;1953.0;307.0;1646.0;1178.0;468.0;10604.0;8971.0;1633.0
5;Bonaire;2021;2120.0;293.0;1827.0;1285.0;542.0;11323.0;9434.0;1889.0
6;Bonaire;2022;2301.0;294.0;2006.0;1321.0;686.0;11792.0;9773.0;2019.0
7;Bonaire;2023;2570.0;122.0;2448.0;1598.0;849.0;11985.0;10051.0;1934.0
8;Sint-Eustatius;2020;130.0;43.0;86.0;63.0;23.0;991.0;881.0;110.0
9;Sint-Eustatius;2021;175.0;65.0;109.0;84.0;25.0;1071.0;953.0;118.0
10;Sint-Eustatius;2022;188.0;73.0;115.0;88.0;27.0;1185.0;1061.0;124.0
11;Sint-Eustatius;2023;190.0;73.0;117.0;92.0;25.0;1261.0;1131.0;130.0
12;Saba;2020;;;;;;;;
13;Saba;2021;;;;;;;;
14;Saba;2022;;;;;;;;
15;Saba;2023;;;;;;;;
