ID;TypeMaatwerkvoorziening;RegioS;Perioden;Stand_1;Instroom_2;Uitstroom_3
96;Totaal;Achtkarspelen;2019;2070.0;985.0;2065.0
97;Totaal;Achtkarspelen;1e halfjaar 2020;925.0;1740.0;370.0
98;Totaal;Achtkarspelen;2e halfjaar 2020;2295.0;340.0;500.0
99;Totaal;Achtkarspelen;2020;925.0;2080.0;870.0
100;Totaal;Achtkarspelen;1e halfjaar 2021;2045.0;585.0;355.0
101;Totaal;Achtkarspelen;2e halfjaar 2021;2280.0;380.0;555.0
102;Totaal;Achtkarspelen;2021;2045.0;965.0;915.0
103;Totaal;Achtkarspelen;1e halfjaar 2022;1965.0;530.0;300.0
104;Totaal;Achtkarspelen;2e halfjaar 2022;2195.0;415.0;500.0
105;Totaal;Achtkarspelen;2022;1965.0;945.0;800.0
106;Totaal;Achtkarspelen;1e halfjaar 2023;1895.0;580.0;305.0
107;Totaal;Achtkarspelen;2e halfjaar 2023;2165.0;320.0;375.0
108;Totaal;Achtkarspelen;2023;1895.0;900.0;680.0
109;Totaal;Achtkarspelen;1e halfjaar 2024;1855.0;395.0;285.0
110;Totaal;Alblasserdam;1e halfjaar 2017;;;
111;Totaal;Alblasserdam;2e halfjaar 2017;840.0;120.0;145.0
112;Totaal;Alblasserdam;2017;;;
113;Totaal;Alblasserdam;1e halfjaar 2018;1340.0;290.0;65.0
114;Totaal;Alblasserdam;2e halfjaar 2018;1565.0;190.0;165.0
115;Totaal;Alblasserdam;2018;1340.0;480.0;230.0
116;Totaal;Alblasserdam;1e halfjaar 2019;1570.0;270.0;190.0
117;Totaal;Alblasserdam;2e halfjaar 2019;1650.0;200.0;140.0
118;Totaal;Alblasserdam;2019;1570.0;470.0;330.0
119;Totaal;Alblasserdam;1e halfjaar 2020;1690.0;225.0;165.0
120;Totaal;Alblasserdam;2e halfjaar 2020;1750.0;250.0;280.0
121;Totaal;Alblasserdam;2020;1690.0;475.0;445.0
122;Totaal;Alblasserdam;1e halfjaar 2021;1690.0;305.0;220.0
123;Totaal;Alblasserdam;2e halfjaar 2021;1770.0;210.0;210.0
124;Totaal;Alblasserdam;2021;1690.0;520.0;430.0
125;Totaal;Alblasserdam;1e halfjaar 2022;1740.0;215.0;195.0
126;Totaal;Alblasserdam;2e halfjaar 2022;1765.0;215.0;185.0
127;Totaal;Alblasserdam;2022;1740.0;435.0;380.0
128;Totaal;Alblasserdam;1e halfjaar 2023;1775.0;225.0;155.0
129;Totaal;Alblasserdam;2e halfjaar 2023;1845.0;195.0;140.0
130;Totaal;Alblasserdam;2023;1775.0;420.0;295.0
131;Totaal;Alblasserdam;1e halfjaar 2024;1855.0;285.0;235.0
132;Totaal;Albrandswaard;1e halfjaar 2017;1540.0;190.0;160.0
133;Totaal;Albrandswaard;2e halfjaar 2017;1570.0;140.0;285.0
134;Totaal;Albrandswaard;2017;1540.0;330.0;445.0
135;Totaal;Albrandswaard;1e halfjaar 2018;1415.0;290.0;150.0
136;Totaal;Albrandswaard;2e halfjaar 2018;1555.0;175.0;140.0
137;Totaal;Albrandswaard;2018;1415.0;470.0;290.0
138;Totaal;Albrandswaard;1e halfjaar 2019;1590.0;395.0;140.0
139;Totaal;Albrandswaard;2e halfjaar 2019;1840.0;255.0;145.0
140;Totaal;Albrandswaard;2019;1590.0;650.0;285.0
141;Totaal;Albrandswaard;1e halfjaar 2020;1930.0;225.0;185.0
142;Totaal;Albrandswaard;2e halfjaar 2020;1970.0;210.0;665.0
143;Totaal;Albrandswaard;2020;1930.0;430.0;845.0
144;Totaal;Albrandswaard;1e halfjaar 2021;1450.0;660.0;200.0
145;Totaal;Albrandswaard;2e halfjaar 2021;1905.0;225.0;440.0
146;Totaal;Albrandswaard;2021;1450.0;885.0;640.0
147;Totaal;Albrandswaard;1e halfjaar 2022;1645.0;500.0;200.0
148;Totaal;Albrandswaard;2e halfjaar 2022;1945.0;225.0;260.0
149;Totaal;Albrandswaard;2022;1645.0;725.0;465.0
150;Totaal;Albrandswaard;1e halfjaar 2023;1855.0;310.0;225.0
151;Totaal;Albrandswaard;2e halfjaar 2023;1940.0;270.0;245.0
152;Totaal;Albrandswaard;2023;1855.0;580.0;470.0
153;Totaal;Albrandswaard;1e halfjaar 2024;1890.0;305.0;225.0
154;Totaal;Alkmaar;1e halfjaar 2017;8510.0;1080.0;910.0
155;Totaal;Alkmaar;2e halfjaar 2017;8735.0;1350.0;2700.0
156;Totaal;Alkmaar;2017;8510.0;2430.0;3610.0
157;Totaal;Alkmaar;1e halfjaar 2018;6655.0;3040.0;610.0
158;Totaal;Alkmaar;2e halfjaar 2018;9075.0;1465.0;1180.0
159;Totaal;Alkmaar;2018;6655.0;4505.0;1790.0
160;Totaal;Alkmaar;1e halfjaar 2019;8990.0;1755.0;1015.0
161;Totaal;Alkmaar;2e halfjaar 2019;9730.0;1640.0;1335.0
162;Totaal;Alkmaar;2019;8990.0;3390.0;2350.0
163;Totaal;Alkmaar;1e halfjaar 2020;9790.0;1405.0;1220.0
164;Totaal;Alkmaar;2e halfjaar 2020;9980.0;1245.0;3510.0
165;Totaal;Alkmaar;2020;9790.0;2655.0;4730.0
166;Totaal;Alkmaar;1e halfjaar 2021;7565.0;3330.0;1355.0
167;Totaal;Alkmaar;2e halfjaar 2021;9535.0;1130.0;1485.0
168;Totaal;Alkmaar;2021;7565.0;4455.0;2840.0
169;Totaal;Alkmaar;1e halfjaar 2022;9100.0;1395.0;1140.0
170;Totaal;Alkmaar;2e halfjaar 2022;9355.0;1115.0;1295.0
171;Totaal;Alkmaar;2022;9100.0;2515.0;2435.0
172;Totaal;Alkmaar;1e halfjaar 2023;8890.0;1690.0;1200.0
173;Totaal;Alkmaar;2e halfjaar 2023;9405.0;1250.0;1355.0
174;Totaal;Alkmaar;2023;8890.0;2940.0;2555.0
175;Totaal;Alkmaar;1e halfjaar 2024;9085.0;1925.0;1350.0
176;Totaal;Almelo;1e halfjaar 2017;4370.0;1595.0;1095.0
177;Totaal;Almelo;2e halfjaar 2017;4940.0;720.0;3280.0
178;Totaal;Almelo;2017;4370.0;2315.0;4375.0
179;Totaal;Almelo;1e halfjaar 2018;1785.0;3695.0;445.0
180;Totaal;Almelo;2e halfjaar 2018;5040.0;810.0;1365.0
181;Totaal;Almelo;2018;1785.0;4505.0;1810.0
182;Totaal;Almelo;1e halfjaar 2019;4405.0;1575.0;1035.0
183;Totaal;Almelo;2e halfjaar 2019;4965.0;900.0;1525.0
184;Totaal;Almelo;2019;4405.0;2475.0;2560.0
185;Totaal;Almelo;1e halfjaar 2020;5010.0;1490.0;745.0
186;Totaal;Almelo;2e halfjaar 2020;5770.0;890.0;3825.0
187;Totaal;Almelo;2020;5010.0;2380.0;4570.0
188;Totaal;Almelo;1e halfjaar 2021;2735.0;3800.0;920.0
189;Totaal;Almelo;2e halfjaar 2021;5630.0;930.0;1260.0
190;Totaal;Almelo;2021;2735.0;4730.0;2180.0
191;Totaal;Almelo;1e halfjaar 2022;5290.0;1205.0;875.0
192;Totaal;Almelo;2e halfjaar 2022;5620.0;810.0;1025.0
193;Totaal;Almelo;2022;5290.0;2015.0;1900.0
194;Totaal;Almelo;1e halfjaar 2023;5305.0;1220.0;865.0
195;Totaal;Almelo;2e halfjaar 2023;5655.0;895.0;3545.0
196;Totaal;Almelo;2023;5305.0;2115.0;4410.0
197;Totaal;Almelo;1e halfjaar 2024;2920.0;3805.0;1195.0
198;Totaal;Almere;1e halfjaar 2017;11950.0;4395.0;1395.0
199;Totaal;Almere;2e halfjaar 2017;14965.0;1595.0;2295.0
200;Totaal;Almere;2017;11950.0;5990.0;3690.0
201;Totaal;Almere;1e halfjaar 2018;12160.0;4090.0;780.0
202;Totaal;Almere;2e halfjaar 2018;15450.0;5220.0;5845.0
203;Totaal;Almere;2018;12160.0;9310.0;6625.0
204;Totaal;Almere;1e halfjaar 2019;14655.0;2330.0;1370.0
205;Totaal;Almere;2e halfjaar 2019;15640.0;2120.0;1910.0
206;Totaal;Almere;2019;14655.0;4450.0;3280.0
207;Totaal;Almere;1e halfjaar 2020;15925.0;2230.0;1380.0
208;Totaal;Almere;2e halfjaar 2020;16770.0;1795.0;6900.0
209;Totaal;Almere;2020;15925.0;4030.0;8280.0
210;Totaal;Almere;1e halfjaar 2021;11470.0;7415.0;2320.0
211;Totaal;Almere;2e halfjaar 2021;16555.0;1950.0;2050.0
212;Totaal;Almere;2021;11470.0;9365.0;4370.0
213;Totaal;Almere;1e halfjaar 2022;16430.0;2080.0;1670.0
214;Totaal;Almere;2e halfjaar 2022;16835.0;1765.0;2795.0
215;Totaal;Almere;2022;16430.0;3840.0;4465.0
216;Totaal;Almere;1e halfjaar 2023;6025.0;7240.0;2710.0
217;Totaal;Almere;2e halfjaar 2023;10545.0;2930.0;4370.0
218;Totaal;Almere;2023;6025.0;10170.0;7080.0
219;Totaal;Almere;1e halfjaar 2024;8890.0;3995.0;1465.0
220;Totaal;Alphen aan den Rijn;1e halfjaar 2017;4130.0;1490.0;450.0
221;Totaal;Alphen aan den Rijn;2e halfjaar 2017;5175.0;435.0;570.0
222;Totaal;Alphen aan den Rijn;2017;4130.0;1930.0;1020.0
223;Totaal;Alphen aan den Rijn;1e halfjaar 2018;4075.0;1140.0;210.0
224;Totaal;Alphen aan den Rijn;2e halfjaar 2018;5005.0;490.0;550.0
225;Totaal;Alphen aan den Rijn;2018;4075.0;1630.0;760.0
226;Totaal;Alphen aan den Rijn;1e halfjaar 2019;4845.0;710.0;495.0
227;Totaal;Alphen aan den Rijn;2e halfjaar 2019;5070.0;625.0;1090.0
228;Totaal;Alphen aan den Rijn;2019;4845.0;1335.0;1585.0
229;Totaal;Alphen aan den Rijn;1e halfjaar 2020;4470.0;1175.0;500.0
230;Totaal;Alphen aan den Rijn;2e halfjaar 2020;5140.0;645.0;2435.0
231;Totaal;Alphen aan den Rijn;2020;4470.0;1815.0;2935.0
232;Totaal;Alphen aan den Rijn;1e halfjaar 2021;3515.0;2550.0;525.0
233;Totaal;Alphen aan den Rijn;2e halfjaar 2021;5540.0;750.0;1480.0
234;Totaal;Alphen aan den Rijn;2021;3515.0;3300.0;2005.0
235;Totaal;Alphen aan den Rijn;1e halfjaar 2022;3645.0;2685.0;620.0
236;Totaal;Alphen aan den Rijn;2e halfjaar 2022;5715.0;620.0;765.0
237;Totaal;Alphen aan den Rijn;2022;3645.0;3305.0;1390.0
238;Totaal;Alphen aan den Rijn;1e halfjaar 2023;5315.0;815.0;720.0
239;Totaal;Alphen aan den Rijn;2e halfjaar 2023;5405.0;690.0;735.0
240;Totaal;Alphen aan den Rijn;2023;5315.0;1505.0;1455.0
241;Totaal;Alphen aan den Rijn;1e halfjaar 2024;5370.0;790.0;755.0
242;Totaal;Alphen-Chaam;1e halfjaar 2017;245.0;95.0;50.0
243;Totaal;Alphen-Chaam;2e halfjaar 2017;285.0;75.0;55.0
244;Totaal;Alphen-Chaam;2017;245.0;175.0;105.0
245;Totaal;Alphen-Chaam;1e halfjaar 2018;245.0;115.0;20.0
246;Totaal;Alphen-Chaam;2e halfjaar 2018;340.0;115.0;55.0
247;Totaal;Alphen-Chaam;2018;245.0;230.0;75.0
248;Totaal;Alphen-Chaam;1e halfjaar 2019;425.0;150.0;60.0
249;Totaal;Alphen-Chaam;2e halfjaar 2019;510.0;115.0;60.0
250;Totaal;Alphen-Chaam;2019;425.0;260.0;120.0
251;Totaal;Alphen-Chaam;1e halfjaar 2020;580.0;120.0;80.0
252;Totaal;Alphen-Chaam;2e halfjaar 2020;620.0;105.0;140.0
253;Totaal;Alphen-Chaam;2020;580.0;225.0;215.0
254;Totaal;Alphen-Chaam;1e halfjaar 2021;585.0;170.0;80.0
255;Totaal;Alphen-Chaam;2e halfjaar 2021;670.0;110.0;100.0
256;Totaal;Alphen-Chaam;2021;585.0;280.0;180.0
257;Totaal;Alphen-Chaam;1e halfjaar 2022;680.0;130.0;80.0
258;Totaal;Alphen-Chaam;2e halfjaar 2022;730.0;115.0;250.0
259;Totaal;Alphen-Chaam;2022;680.0;245.0;335.0
260;Totaal;Alphen-Chaam;1e halfjaar 2023;575.0;275.0;115.0
261;Totaal;Alphen-Chaam;2e halfjaar 2023;735.0;125.0;105.0
262;Totaal;Alphen-Chaam;2023;575.0;395.0;220.0
263;Totaal;Alphen-Chaam;1e halfjaar 2024;725.0;150.0;95.0
264;Totaal;Altena;1e halfjaar 2017;;;
265;Totaal;Altena;2e halfjaar 2017;;;
266;Totaal;Altena;2017;;;
267;Totaal;Altena;1e halfjaar 2018;;;
268;Totaal;Altena;2e halfjaar 2018;;;
269;Totaal;Altena;2018;;;
270;Totaal;Altena;1e halfjaar 2019;;4275.0;345.0
271;Totaal;Altena;2e halfjaar 2019;3925.0;685.0;445.0
272;Totaal;Altena;2019;;4960.0;790.0
273;Totaal;Altena;1e halfjaar 2020;4290.0;585.0;415.0
274;Totaal;Altena;2e halfjaar 2020;4460.0;540.0;1150.0
275;Totaal;Altena;2020;4290.0;1130.0;1560.0
276;Totaal;Altena;1e halfjaar 2021;3740.0;1195.0;530.0
277;Totaal;Altena;2e halfjaar 2021;4400.0;575.0;590.0
278;Totaal;Altena;2021;3740.0;1770.0;1120.0
279;Totaal;Altena;1e halfjaar 2022;4330.0;750.0;495.0
280;Totaal;Altena;2e halfjaar 2022;4580.0;505.0;525.0
281;Totaal;Altena;2022;4330.0;1255.0;1020.0
282;Totaal;Altena;1e halfjaar 2023;4410.0;710.0;570.0
283;Totaal;Altena;2e halfjaar 2023;4550.0;530.0;830.0
284;Totaal;Altena;2023;4410.0;1240.0;1400.0
285;Totaal;Altena;1e halfjaar 2024;4115.0;1150.0;650.0
286;Totaal;Ameland;1e halfjaar 2017;225.0;60.0;15.0
287;Totaal;Ameland;2e halfjaar 2017;275.0;35.0;55.0
288;Totaal;Ameland;2017;225.0;100.0;70.0
289;Totaal;Ameland;1e halfjaar 2018;210.0;60.0;20.0
290;Totaal;Ameland;2e halfjaar 2018;250.0;40.0;55.0
291;Totaal;Ameland;2018;210.0;100.0;75.0
292;Totaal;Ameland;1e halfjaar 2019;230.0;55.0;25.0
293;Totaal;Ameland;2e halfjaar 2019;260.0;35.0;40.0
294;Totaal;Ameland;2019;230.0;90.0;60.0
295;Totaal;Ameland;1e halfjaar 2020;240.0;105.0;35.0
296;Totaal;Ameland;2e halfjaar 2020;320.0;45.0;30.0
297;Totaal;Ameland;2020;240.0;150.0;70.0
298;Totaal;Ameland;1e halfjaar 2021;335.0;45.0;35.0
299;Totaal;Ameland;2e halfjaar 2021;350.0;35.0;70.0
300;Totaal;Ameland;2021;335.0;80.0;105.0
301;Totaal;Ameland;1e halfjaar 2022;415.0;105.0;35.0
302;Totaal;Ameland;2e halfjaar 2022;490.0;40.0;70.0
303;Totaal;Ameland;2022;415.0;145.0;105.0
304;Totaal;Ameland;1e halfjaar 2023;295.0;55.0;35.0
305;Totaal;Ameland;2e halfjaar 2023;315.0;40.0;40.0
306;Totaal;Ameland;2023;295.0;95.0;75.0
307;Totaal;Ameland;1e halfjaar 2024;300.0;45.0;30.0
