ID;NederlandEnHerkomstgroeperingen;Perioden;TotaalImmigratie_1;ImmigratieMannen_2;ImmigratieVrouwen_3;TotaalEmigratie_4;EmigratieMannen_5;EmigratieVrouwen_6;TotaalMigratiesaldo_7;MigratieSaldoMannen_8;MigratieSaldoVrouwen_9
0;Totaal herkomstgroeperingen;2006;100358;50416;49942;131656;74017;57639;-31298;-23601;-7697
1;Totaal herkomstgroeperingen;2007;105610;53204;52406;129901;72610;57291;-24291;-19406;-4885
2;Totaal herkomstgroeperingen;2008;111055;56288;54767;128302;71375;56928;-17247;-15087;-2161
3;Totaal herkomstgroeperingen;2009;116160;59306;56854;126773;70259;56514;-10613;-10953;340
4;Totaal herkomstgroeperingen;2010;120113;61717;58396;125296;69244;56052;-5183;-7527;2344
5;Totaal herkomstgroeperingen;2011;122744;63377;59367;123825;68288;55536;-1081;-4911;3831
6;Totaal herkomstgroeperingen;2012;123970;64126;59844;122346;67375;54970;1624;-3249;4874
7;Totaal herkomstgroeperingen;2013;124214;64232;59982;120908;66501;54408;3306;-2269;5574
8;Totaal herkomstgroeperingen;2014;123905;64056;59849;119546;65677;53870;4359;-1621;5979
9;Totaal herkomstgroeperingen;2015;123583;63872;59711;118330;64941;53389;5253;-1069;6322
10;Totaal herkomstgroeperingen;2016;123267;63716;59551;117364;64344;53021;5903;-628;6531
11;Totaal herkomstgroeperingen;2017;122942;63546;59396;116533;63820;52713;6409;-274;6683
12;Totaal herkomstgroeperingen;2018;122629;63389;59240;115707;63308;52399;6922;81;6841
13;Totaal herkomstgroeperingen;2019;122323;63236;59087;114875;62805;52071;7448;431;7017
14;Totaal herkomstgroeperingen;2020;122026;63086;58940;114046;62319;51727;7980;767;7213
15;Totaal herkomstgroeperingen;2021;121725;62932;58793;113215;61839;51376;8510;1093;7417
16;Totaal herkomstgroeperingen;2022;121426;62775;58651;112374;61370;51004;9052;1405;7647
17;Totaal herkomstgroeperingen;2023;121149;62635;58514;111520;60899;50621;9629;1736;7893
18;Totaal herkomstgroeperingen;2024;120861;62486;58375;110666;60438;50228;10195;2049;8147
19;Totaal herkomstgroeperingen;2025;120602;62355;58247;109794;59978;49816;10808;2378;8431
20;Totaal herkomstgroeperingen;2026;120348;62222;58126;108917;59527;49390;11431;2695;8736
21;Totaal herkomstgroeperingen;2027;120085;62088;57997;108034;59079;48955;12052;3009;9042
