ID;Geslacht;Leeftijd;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;Totaal leeftijd;2016;16974193
1;Totaal mannen en vrouwen;Totaal leeftijd;2017;17087099
2;Totaal mannen en vrouwen;Totaal leeftijd;2018;17195054
3;Totaal mannen en vrouwen;Totaal leeftijd;2019;17273328
4;Totaal mannen en vrouwen;Totaal leeftijd;2020;17337817
5;Totaal mannen en vrouwen;Totaal leeftijd;2021;17399677
6;Totaal mannen en vrouwen;Totaal leeftijd;2022;17459036
7;Totaal mannen en vrouwen;Totaal leeftijd;2023;17514581
8;Totaal mannen en vrouwen;Totaal leeftijd;2024;17566577
9;Totaal mannen en vrouwen;Totaal leeftijd;2025;17616310
10;Totaal mannen en vrouwen;Totaal leeftijd;2026;17664233
11;Totaal mannen en vrouwen;Totaal leeftijd;2027;17710086
12;Totaal mannen en vrouwen;Totaal leeftijd;2028;17753993
13;Totaal mannen en vrouwen;Totaal leeftijd;2029;17796232
14;Totaal mannen en vrouwen;Totaal leeftijd;2030;17837003
15;Totaal mannen en vrouwen;Totaal leeftijd;2031;17875926
16;Totaal mannen en vrouwen;Totaal leeftijd;2032;17912825
17;Totaal mannen en vrouwen;Totaal leeftijd;2033;17947478
18;Totaal mannen en vrouwen;Totaal leeftijd;2034;17979555
19;Totaal mannen en vrouwen;Totaal leeftijd;2035;18008838
20;Totaal mannen en vrouwen;Totaal leeftijd;2036;18035074
21;Totaal mannen en vrouwen;Totaal leeftijd;2037;18058174
22;Totaal mannen en vrouwen;Totaal leeftijd;2038;18078024
23;Totaal mannen en vrouwen;Totaal leeftijd;2039;18094623
24;Totaal mannen en vrouwen;Totaal leeftijd;2040;18108168
25;Totaal mannen en vrouwen;Totaal leeftijd;2041;18118920
26;Totaal mannen en vrouwen;Totaal leeftijd;2042;18127057
27;Totaal mannen en vrouwen;Totaal leeftijd;2043;18132905
28;Totaal mannen en vrouwen;Totaal leeftijd;2044;18136769
29;Totaal mannen en vrouwen;Totaal leeftijd;2045;18139076
30;Totaal mannen en vrouwen;Totaal leeftijd;2046;18140152
31;Totaal mannen en vrouwen;Totaal leeftijd;2047;18140512
32;Totaal mannen en vrouwen;Totaal leeftijd;2048;18140471
33;Totaal mannen en vrouwen;Totaal leeftijd;2049;18140348
34;Totaal mannen en vrouwen;Totaal leeftijd;2050;18140343
35;Totaal mannen en vrouwen;Totaal leeftijd;2051;18140590
36;Totaal mannen en vrouwen;Totaal leeftijd;2052;18141232
37;Totaal mannen en vrouwen;Totaal leeftijd;2053;18142381
38;Totaal mannen en vrouwen;Totaal leeftijd;2054;18144179
39;Totaal mannen en vrouwen;Totaal leeftijd;2055;18146753
40;Totaal mannen en vrouwen;Totaal leeftijd;2056;18150234
41;Totaal mannen en vrouwen;Totaal leeftijd;2057;18154727
42;Totaal mannen en vrouwen;Totaal leeftijd;2058;18160340
43;Totaal mannen en vrouwen;Totaal leeftijd;2059;18167212
44;Totaal mannen en vrouwen;Totaal leeftijd;2060;18175442
45;Totaal mannen en vrouwen;0 jaar;2016;170640
46;Totaal mannen en vrouwen;0 jaar;2017;173804
47;Totaal mannen en vrouwen;0 jaar;2018;177566
48;Totaal mannen en vrouwen;0 jaar;2019;180562
49;Totaal mannen en vrouwen;0 jaar;2020;183774
50;Totaal mannen en vrouwen;0 jaar;2021;185921
51;Totaal mannen en vrouwen;0 jaar;2022;187876
52;Totaal mannen en vrouwen;0 jaar;2023;189801
53;Totaal mannen en vrouwen;0 jaar;2024;191511
54;Totaal mannen en vrouwen;0 jaar;2025;193004
55;Totaal mannen en vrouwen;0 jaar;2026;194069
56;Totaal mannen en vrouwen;0 jaar;2027;194819
57;Totaal mannen en vrouwen;0 jaar;2028;195362
58;Totaal mannen en vrouwen;0 jaar;2029;195748
59;Totaal mannen en vrouwen;0 jaar;2030;195970
60;Totaal mannen en vrouwen;0 jaar;2031;195986
61;Totaal mannen en vrouwen;0 jaar;2032;195785
62;Totaal mannen en vrouwen;0 jaar;2033;195363
63;Totaal mannen en vrouwen;0 jaar;2034;194704
64;Totaal mannen en vrouwen;0 jaar;2035;193815
65;Totaal mannen en vrouwen;0 jaar;2036;192722
66;Totaal mannen en vrouwen;0 jaar;2037;191493
67;Totaal mannen en vrouwen;0 jaar;2038;190194
68;Totaal mannen en vrouwen;0 jaar;2039;188896
69;Totaal mannen en vrouwen;0 jaar;2040;187643
70;Totaal mannen en vrouwen;0 jaar;2041;186481
71;Totaal mannen en vrouwen;0 jaar;2042;185443
72;Totaal mannen en vrouwen;0 jaar;2043;184558
73;Totaal mannen en vrouwen;0 jaar;2044;183870
