ID;Persoonskenmerken;Perioden;ZeerTevreden_1;Tevreden_2;NietTevredenNietOntevreden_3;Ontevreden_4;ZeerOntevreden_5;PvdA_6;CDA_7;VVD_8;D66_9;GROENLINKS_10;SGPChristenUnie_11;SP_12;LeefbaarNederland_13;LijstPimFortuyn_14;AnderePartij_15;NietOfBlancoStemmer_16;WeetNiet_17;HeeftGestemd_18;PvdA_19;CDA_20;VVD_21;D66_22;GROENLINKS_23;SGPChristenUnie_24;SP_25;LeefbaarNederland_26;LijstPimFortuyn_27;AnderePartij_28;BlancoStemmer_29;WeetNiet_30;ZeerGeinteresseerd_31;TamelijkGeinteresseerd_32;WeinigGeinteresseerd_33;GeenInteresse_34;IsActiefInGesprek_35;Luistert_36;LuistertNiet_37;LidPolitiekePartij_38;BezVergaderingenPolPartij15Tot30_39;BandMetPolitiekePartij_40;ZeerSterkeBand_41;TamelijkSterkeBand_42;MatigSterkeBand_43;ZwakTotZeerZwakkeBand_44;IsLidVanEenVakStudentenbond_45;BezoektVergWerkgNemersorgVakbond_46;OnbeperktMogelijkZijn_47;BeperktWorden_48;VolledigGestoptWorden_49;OnbeperktMogelijkZijn_50;BeperktWorden_51;VolledigGestoptWorden_52;OnbeperktMogelijkZijn_53;BeperktWorden_54;VolledigGestoptWorden_55;VeelMoeilijkerMaken_56;MoeilijkerMaken_57;NietMoeilijkerNietMakkelijkerMaken_58;MakkelijkerMaken_59;VeelMakkelijkerMaken_60;EigenCultuurVolledigBehouden_61;EigenCultuurGrotendeelsBehouden_62;CultuurNietBehoudenNietAanpassen_63;GrotendeelsAanpassenAanNLCultuur_64;VolledigAanpassenAanNLCultuur_65;HelemaalMeeEens_66;MeeEens_67;NietEensNietOneens_68;MeeOneens_69;HelemaalMeeOneens_70;HelemaalMeeEens_71;MeeEens_72;NietEensNietOneens_73;MeeOneens_74;HelemaalMeeOneens_75;GezinEtnischeMinderheid_76;NederlandsGezin_77;MagGeenVerschilMaken_78;WerknemerMetGezin_79;WerknemerZonderGezin_80;MagGeenVerschilMaken_81;EenBuitenlander_82;EenNederlander_83;MagGeenVerschilMaken_84;EenMan_85;EenVrouw_86;MagGeenVerschilMaken_87;EenJongere_88;EenOudere_89;MagGeenVerschilMaken_90;EenBlanke_91;AndereHuidskleur_92;MagGeenVerschilMaken_93;Hinderlijk_94;NietHinderlijk_95;WeetNiet_96;Hinderlijk_97;NietHinderlijk_98;WeetNiet_99;HeelErgBelangrijk_100;ErgBelangrijk_101;Belangrijk_102;IsErOnzekerOver_103;Onbelangrijk_104;HeelErgBelangrijk_105;ErgBelangrijk_106;Belangrijk_107;IsErOnzekerOver_108;Onbelangrijk_109;HeelErgBelangrijk_110;ErgBelangrijk_111;Belangrijk_112;IsErOnzekerOver_113;Onbelangrijk_114;HeelErgBelangrijk_115;ErgBelangrijk_116;Belangrijk_117;IsErOnzekerOver_118;Onbelangrijk_119;HeelErgBelangrijk_120;ErgBelangrijk_121;Belangrijk_122;IsErOnzekerOver_123;Onbelangrijk_124;HeelErgBelangrijk_125;ErgBelangrijk_126;Belangrijk_127;IsErOnzekerOver_128;Onbelangrijk_129;HeelErgBelangrijk_130;ErgBelangrijk_131;Belangrijk_132;IsErOnzekerOver_133;Onbelangrijk_134;HeelErgBelangrijk_135;ErgBelangrijk_136;Belangrijk_137;IsErOnzekerOver_138;Onbelangrijk_139;HeelErgBelangrijk_140;ErgBelangrijk_141;Belangrijk_142;IsErOnzekerOver_143;Onbelangrijk_144;HeelErgBelangrijk_145;ErgBelangrijk_146;Belangrijk_147;IsErOnzekerOver_148;Onbelangrijk_149;HeelErgBelangrijk_150;ErgBelangrijk_151;Belangrijk_152;IsErOnzekerOver_153;Onbelangrijk_154;HeelErgBelangrijk_155;ErgBelangrijk_156;Belangrijk_157;IsErOnzekerOver_158;Onbelangrijk_159;HeelErgBelangrijk_160;ErgBelangrijk_161;Belangrijk_162;IsErOnzekerOver_163;Onbelangrijk_164;HeelErgBelangrijk_165;ErgBelangrijk_166;Belangrijk_167;IsErOnzekerOver_168;Onbelangrijk_169;HelemaalGrotendeelsMeeEens_170;NietMeeEensNietMeeOneens_171;HelemaalNietMeeEens_172;HelemaalGrotendeelsMeeEens_173;NietMeeEensNietMeeOneens_174;HelemaalNietMeeEens_175;HelemaalGrotendeelsMeeEens_176;NietMeeEensNietMeeOneens_177;HelemaalNietMeeEens_178;HelemaalGrotendeelsMeeEens_179;NietMeeEensNietMeeOneens_180;HelemaalNietMeeEens_181;HelemaalGrotendeelsMeeEens_182;NietMeeEensNietMeeOneens_183;HelemaalNietMeeEens_184;HelemaalGrotendeelsMeeEens_185;NietMeeEensNietMeeOneens_186;HelemaalNietMeeEens_187;OverspelIsBreekpuntInRelatie_188;OverspelIsFoutMaarRelatieNietStuk_189;OverspelMoetMogelijkZijn_190;GeenMeningWeetNietWeigert_191
0;Totaal persoonskenmerken;1997;1.0;36.0;48.0;13.0;2.0;20.0;15.0;18.0;8.0;5.0;3.0;2.0;;;2.0;14.0;12.0;;;;;;;;;;;;;;10.0;40.0;30.0;19.0;40.0;43.0;18.0;4.0;1.0;59.0;14.0;43.0;38.0;5.0;10.0;5.0;8.0;73.0;19.0;22.0;64.0;13.0;8.0;66.0;26.0;24.0;26.0;34.0;11.0;5.0;4.0;7.0;35.0;28.0;26.0;2.0;16.0;24.0;33.0;24.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63.0;20.0;2.0;15.0
1;Totaal persoonskenmerken;1998;1.0;41.0;44.0;11.0;2.0;25.0;15.0;20.0;6.0;7.0;4.0;3.0;;;1.0;12.0;8.0;81.0;30.0;17.0;24.0;9.0;8.0;5.0;4.0;;;2.0;1.0;0.0;12.0;41.0;29.0;18.0;43.0;40.0;18.0;5.0;;60.0;16.0;47.0;33.0;4.0;;;9.0;76.0;15.0;26.0;63.0;11.0;11.0;67.0;22.0;22.0;27.0;34.0;11.0;5.0;4.0;8.0;35.0;29.0;24.0;2.0;18.0;25.0;33.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Totaal persoonskenmerken;1999;1.0;33.0;48.0;15.0;3.0;21.0;15.0;19.0;5.0;9.0;4.0;3.0;;;1.0;15.0;10.0;;;;;;;;;;;;;;11.0;40.0;29.0;20.0;43.0;41.0;17.0;5.0;;60.0;16.0;45.0;34.0;5.0;;;8.0;75.0;17.0;27.0;62.0;11.0;11.0;67.0;22.0;22.0;26.0;34.0;12.0;7.0;3.0;7.0;36.0;29.0;25.0;3.0;21.0;24.0;33.0;19.0;16.0;56.0;13.0;10.0;5.0;1.0;21.0;78.0;4.0;38.0;58.0;9.0;3.0;88.0;1.0;6.0;93.0;19.0;14.0;67.0;1.0;3.0;95.0;12.0;80.0;8.0;7.0;87.0;6.0;15.0;14.0;32.0;4.0;34.0;37.0;29.0;26.0;2.0;6.0;53.0;23.0;14.0;3.0;7.0;48.0;28.0;20.0;1.0;3.0;19.0;27.0;45.0;3.0;6.0;17.0;25.0;54.0;2.0;2.0;18.0;30.0;44.0;4.0;4.0;16.0;30.0;49.0;3.0;2.0;7.0;14.0;43.0;19.0;17.0;13.0;23.0;44.0;12.0;8.0;10.0;17.0;38.0;21.0;14.0;12.0;24.0;46.0;10.0;7.0;48.0;28.0;22.0;1.0;1.0;32.0;32.0;33.0;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;
3;Totaal persoonskenmerken;2000;1.0;38.0;46.0;13.0;2.0;21.0;14.0;18.0;4.0;8.0;4.0;2.0;;;1.0;15.0;13.0;;;;;;;;;;;;;;10.0;39.0;30.0;21.0;42.0;41.0;17.0;4.0;;58.0;14.0;44.0;37.0;5.0;;;9.0;75.0;16.0;29.0;62.0;9.0;11.0;69.0;19.0;21.0;25.0;35.0;13.0;6.0;3.0;7.0;34.0;30.0;26.0;3.0;22.0;24.0;35.0;16.0;17.0;56.0;13.0;10.0;4.0;1.0;18.0;81.0;3.0;37.0;59.0;8.0;2.0;89.0;1.0;5.0;94.0;17.0;13.0;70.0;1.0;3.0;96.0;11.0;81.0;8.0;6.0;87.0;7.0;14.0;13.0;33.0;5.0;35.0;37.0;29.0;27.0;3.0;5.0;55.0;21.0;14.0;4.0;6.0;49.0;28.0;19.0;2.0;3.0;18.0;27.0;46.0;3.0;7.0;17.0;26.0;54.0;2.0;2.0;18.0;29.0;44.0;4.0;5.0;15.0;31.0;49.0;3.0;2.0;7.0;14.0;45.0;18.0;16.0;12.0;23.0;45.0;11.0;8.0;10.0;16.0;39.0;21.0;14.0;13.0;23.0;47.0;10.0;6.0;49.0;29.0;21.0;1.0;0.0;35.0;32.0;30.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;
4;Totaal persoonskenmerken;2001;1.0;37.0;45.0;14.0;2.0;21.0;13.0;18.0;4.0;7.0;3.0;2.0;;;3.0;14.0;14.0;;;;;;;;;;;;;;11.0;40.0;29.0;19.0;46.0;40.0;14.0;4.0;2.0;57.0;14.0;45.0;36.0;5.0;11.0;5.0;8.0;76.0;17.0;28.0;63.0;9.0;11.0;69.0;19.0;22.0;26.0;34.0;12.0;5.0;3.0;6.0;34.0;32.0;25.0;3.0;22.0;23.0;35.0;17.0;16.0;57.0;13.0;10.0;4.0;1.0;19.0;80.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61.0;22.0;16.0;40.0;27.0;32.0;69.0;16.0;15.0;37.0;32.0;30.0;73.0;12.0;15.0;14.0;23.0;62.0;70.0;16.0;2.0;12.0
5;Totaal persoonskenmerken;2002;1.0;24.0;45.0;24.0;6.0;15.0;23.0;14.0;4.0;6.0;3.0;5.0;2.0;4.0;1.0;9.0;14.0;88.0;17.0;31.0;16.0;6.0;8.0;4.0;5.0;1.0;11.0;0.0;0.0;1.0;16.0;44.0;25.0;15.0;52.0;36.0;12.0;4.0;;58.0;16.0;47.0;33.0;4.0;;;7.0;77.0;16.0;27.0;63.0;10.0;11.0;68.0;21.0;20.0;25.0;36.0;12.0;7.0;2.0;5.0;32.0;33.0;28.0;2.0;20.0;24.0;37.0;18.0;14.0;56.0;14.0;10.0;5.0;1.0;19.0;81.0;;;;;;;;;;;;;;;;;;;;;;14.0;15.0;32.0;5.0;33.0;39.0;30.0;24.0;2.0;4.0;57.0;22.0;13.0;3.0;5.0;50.0;30.0;17.0;1.0;2.0;18.0;27.0;47.0;3.0;6.0;17.0;26.0;54.0;2.0;2.0;18.0;31.0;44.0;4.0;4.0;15.0;31.0;49.0;3.0;2.0;5.0;12.0;46.0;19.0;17.0;11.0;22.0;48.0;12.0;8.0;10.0;17.0;41.0;20.0;12.0;12.0;24.0;46.0;12.0;6.0;49.0;30.0;20.0;1.0;0.0;36.0;33.0;29.0;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;
6;Totaal persoonskenmerken;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;11.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62.0;21.0;16.0;38.0;26.0;35.0;69.0;16.0;15.0;36.0;33.0;30.0;72.0;12.0;15.0;14.0;22.0;63.0;70.0;16.0;2.0;11.0
7;Totaal persoonskenmerken;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Mannen;1997;1.0;42.0;41.0;13.0;3.0;20.0;15.0;22.0;8.0;4.0;3.0;3.0;;;2.0;13.0;10.0;;;;;;;;;;;;;;14.0;44.0;26.0;16.0;49.0;36.0;16.0;5.0;1.0;62.0;16.0;44.0;35.0;5.0;12.0;5.0;8.0;74.0;19.0;28.0;59.0;13.0;8.0;65.0;27.0;25.0;28.0;31.0;10.0;5.0;5.0;7.0;30.0;30.0;27.0;3.0;17.0;21.0;33.0;26.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60.0;21.0;2.0;17.0
9;Mannen;1998;2.0;46.0;38.0;11.0;2.0;25.0;14.0;23.0;6.0;6.0;3.0;3.0;;;1.0;12.0;6.0;81.0;27.0;17.0;26.0;9.0;7.0;5.0;4.0;;;2.0;1.0;0.0;16.0;44.0;25.0;15.0;51.0;34.0;15.0;5.0;;62.0;18.0;47.0;32.0;4.0;;;10.0;75.0;15.0;33.0;56.0;10.0;11.0;66.0;23.0;23.0;28.0;32.0;11.0;6.0;4.0;9.0;31.0;33.0;23.0;3.0;19.0;24.0;32.0;22.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
