ID;GeslachtEnLeeftijd;Perioden;TotaalAantalAdopties_1;Polen_2;Roemenie_3;Litouwen_4;Bulgarije_5;Slowakije_6;Hongarije_7;Filippijnen_8;SriLanka_9;India_10;Thailand_11;Mongolie_12;Brazilie_13;Colombia_14;Peru_15;Mexico_16;CostaRica_17;Equador_18;Panama_19;BurkinaFaso_20;Burundi_21;ZuidAfrika_22
0;Totaal geslacht en leeftijd;1999;272;18;31;0;0;0;0;13;4;0;0;0;0;196;3;0;2;4;0;1;0;0
1;Totaal geslacht en leeftijd;2000;310;30;28;0;0;0;0;8;2;0;0;0;0;226;5;3;3;4;0;1;0;0
2;Totaal geslacht en leeftijd;2001;271;15;1;2;0;0;0;18;5;0;0;0;29;190;4;0;0;7;0;0;0;0
3;Totaal geslacht en leeftijd;2002;265;22;0;0;0;0;0;13;6;0;0;0;20;197;1;3;0;3;0;0;0;0
4;Totaal geslacht en leeftijd;2003;237;20;0;0;1;0;0;8;8;0;0;0;25;171;4;0;0;0;0;0;0;0
5;Totaal geslacht en leeftijd;2004;265;22;0;0;1;3;0;11;9;29;0;0;30;104;1;2;0;2;1;0;1;49
6;Totaal geslacht en leeftijd;2005;269;30;0;1;1;2;4;9;9;20;13;2;28;89;2;0;0;1;0;0;0;58
7;Jongens;1999;153;7;19;0;0;0;0;6;3;0;0;0;0;111;2;0;1;3;0;1;0;0
8;Jongens;2000;164;13;12;0;0;0;0;6;0;0;0;0;0;122;4;2;2;2;0;1;0;0
9;Jongens;2001;169;11;0;1;0;0;0;13;3;0;0;0;24;111;3;0;0;3;0;0;0;0
10;Jongens;2002;145;10;0;0;0;0;0;9;2;0;0;0;9;110;0;2;0;3;0;0;0;0
11;Jongens;2003;134;12;0;0;0;0;0;7;2;0;0;0;18;92;3;0;0;0;0;0;0;0
12;Jongens;2004;144;10;0;0;0;3;0;10;4;12;0;0;18;55;1;0;0;0;1;0;0;30
13;Jongens;2005;161;13;0;1;1;2;2;8;5;10;13;0;18;54;2;0;0;1;0;0;0;31
14;Meisjes;1999;119;11;12;0;0;0;0;7;1;0;0;0;0;85;1;0;1;1;0;0;0;0
15;Meisjes;2000;146;17;16;0;0;0;0;2;2;0;0;0;0;104;1;1;1;2;0;0;0;0
16;Meisjes;2001;102;4;1;1;0;0;0;5;2;0;0;0;5;79;1;0;0;4;0;0;0;0
17;Meisjes;2002;120;12;0;0;0;0;0;4;4;0;0;0;11;87;1;1;0;0;0;0;0;0
18;Meisjes;2003;103;8;0;0;1;0;0;1;6;0;0;0;7;79;1;0;0;0;0;0;0;0
19;Meisjes;2004;121;12;0;0;1;0;0;1;5;17;0;0;12;49;0;2;0;2;0;0;1;19
20;Meisjes;2005;108;17;0;0;0;0;2;1;4;10;0;2;10;35;0;0;0;0;0;0;0;27
21;0-1 jaar;1999;99;1;0;0;0;0;0;0;2;0;0;0;0;90;3;0;0;2;0;1;0;0
22;0-1 jaar;2000;95;1;0;0;0;0;0;0;0;0;0;0;0;91;3;0;0;0;0;0;0;0
23;0-1 jaar;2001;114;1;0;0;0;0;0;3;3;0;0;0;3;103;1;0;0;0;0;0;0;0
24;0-1 jaar;2002;111;3;0;0;0;0;0;1;1;0;0;0;1;104;0;1;0;0;0;0;0;0
25;0-1 jaar;2003;65;0;0;0;0;0;0;1;2;0;0;0;2;60;0;0;0;0;0;0;0;0
26;0-1 jaar;2004;84;1;0;0;0;0;0;4;7;1;0;0;2;36;0;0;0;0;0;0;0;33
27;0-1 jaar;2005;78;2;0;0;0;0;0;0;5;0;1;0;0;22;0;0;0;0;0;0;0;48
28;1-2 jaar;1999;46;4;5;0;0;0;0;9;1;0;0;0;0;26;0;0;0;1;0;0;0;0
29;1-2 jaar;2000;56;7;5;0;0;0;0;5;2;0;0;0;0;35;1;0;0;0;0;1;0;0
30;1-2 jaar;2001;69;6;0;0;0;0;0;10;2;0;0;0;4;42;1;0;0;4;0;0;0;0
31;1-2 jaar;2002;51;5;0;0;0;0;0;8;3;0;0;0;0;33;1;0;0;1;0;0;0;0
32;1-2 jaar;2003;51;3;0;0;1;0;0;2;3;0;0;0;4;36;2;0;0;0;0;0;0;0
33;1-2 jaar;2004;50;9;0;0;0;0;0;3;1;7;0;0;2;21;0;0;0;0;0;0;0;7
34;1-2 jaar;2005;54;8;0;1;0;0;0;3;3;9;2;1;1;19;0;0;0;0;0;0;0;7
35;2-3 jaar;1999;47;6;7;0;0;0;0;4;1;0;0;0;0;28;0;0;0;1;0;0;0;0
36;2-3 jaar;2000;64;7;11;0;0;0;0;2;0;0;0;0;0;41;1;0;0;2;0;0;0;0
37;2-3 jaar;2001;40;6;0;1;0;0;0;5;0;0;0;0;7;18;2;0;0;1;0;0;0;0
38;2-3 jaar;2002;34;5;0;0;0;0;0;2;1;0;0;0;4;21;0;0;0;1;0;0;0;0
39;2-3 jaar;2003;51;6;0;0;0;0;0;5;2;0;0;0;4;33;1;0;0;0;0;0;0;0
40;2-3 jaar;2004;42;7;0;0;1;0;0;2;0;10;0;0;5;12;1;0;0;2;1;0;0;1
41;2-3 jaar;2005;37;9;0;0;0;0;0;1;0;5;5;0;4;9;2;0;0;0;0;0;0;2
42;3-5 jaar;1999;52;5;13;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0
43;3-5 jaar;2000;58;11;7;0;0;0;0;1;0;0;0;0;0;35;0;2;1;1;0;0;0;0
44;3-5 jaar;2001;31;2;1;0;0;0;0;0;0;0;0;0;10;16;0;0;0;2;0;0;0;0
45;3-5 jaar;2002;51;7;0;0;0;0;0;2;1;0;0;0;10;28;0;2;0;1;0;0;0;0
46;3-5 jaar;2003;47;5;0;0;0;0;0;0;1;0;0;0;8;33;0;0;0;0;0;0;0;0
47;3-5 jaar;2004;48;3;0;0;0;2;0;2;1;5;0;0;5;25;0;2;0;0;0;0;0;3
48;3-5 jaar;2005;55;7;0;0;1;1;3;4;0;2;5;1;8;21;0;0;0;1;0;0;0;1
49;5 jaar en ouder;1999;28;2;6;0;0;0;0;0;0;0;0;0;0;18;0;0;2;0;0;0;0;0
50;5 jaar en ouder;2000;37;4;5;0;0;0;0;0;0;0;0;0;0;24;0;1;2;1;0;0;0;0
