ID;Services;Countries;Periods;ImportsOfServices_1;ExportsOfServices_2;NetServices_3
0;S Total Services;Total countries;2014 1st quarter;32575.0;34698.0;2123.0
1;S Total Services;Total countries;2014 2nd quarter;35222.0;36875.0;1653.0
2;S Total Services;Total countries;2014 3rd quarter;37151.0;39641.0;2491.0
3;S Total Services;Total countries;2014 4th quarter;40344.0;44096.0;3752.0
4;S Total Services;Total countries;2014;145292.0;155310.0;10018.0
5;S Total Services;Total countries;2015 1st quarter;35147.0;45812.0;10665.0
6;S Total Services;Total countries;2015 2nd quarter;71965.0;43927.0;-28038.0
7;S Total Services;Total countries;2015 3rd quarter;41350.0;42403.0;1053.0
8;S Total Services;Total countries;2015 4th quarter;43912.0;46190.0;2278.0
9;S Total Services;Total countries;2015;192373.0;178332.0;-14041.0
10;S Total Services;Total countries;2016 1st quarter;38840.0;41136.0;2295.0
11;S Total Services;Total countries;2016 2nd quarter;40480.0;41428.0;948.0
12;S Total Services;Total countries;2016 3rd quarter;43394.0;42851.0;-543.0
13;S Total Services;Total countries;2016 4th quarter;43113.0;47088.0;3975.0
14;S Total Services;Total countries;2016;165827.0;172502.0;6675.0
15;S Total Services;Total countries;2017 1st quarter;44641.0;45525.0;884.0
16;S Total Services;Total countries;2017 2nd quarter;46674.0;49089.0;2415.0
17;S Total Services;Total countries;2017 3rd quarter;49883.0;48002.0;-1880.0
18;S Total Services;Total countries;2017 4th quarter;50464.0;52771.0;2308.0
19;S Total Services;Total countries;2017;191660.0;195388.0;3728.0
20;S Total Services;Total countries;2018 1st quarter;49580.0;48874.0;-706.0
21;S Total Services;Total countries;2018 2nd quarter;53852.0;54747.0;896.0
22;S Total Services;Total countries;2018 3rd quarter;58053.0;56289.0;-1764.0
23;S Total Services;Total countries;2018 4th quarter;58247.0;60402.0;2154.0
24;S Total Services;Total countries;2018;219731.0;220311.0;580.0
25;S Total Services;Total countries;2019 1st quarter;53081.0;56509.0;3429.0
26;S Total Services;Total countries;2019 2nd quarter;57794.0;60114.0;2320.0
27;S Total Services;Total countries;2019 3rd quarter;61550.0;62529.0;979.0
28;S Total Services;Total countries;2019 4th quarter;64836.0;67332.0;2496.0
29;S Total Services;Total countries;2019;237261.0;246484.0;9223.0
30;S Total Services;Total countries;2020 1st quarter;55621.0;57710.0;2090.0
31;S Total Services;Total countries;2020 2nd quarter;48252.0;53240.0;4988.0
32;S Total Services;Total countries;2020 3rd quarter;51710.0;56110.0;4400.0
33;S Total Services;Total countries;2020 4th quarter;54555.0;59475.0;4920.0
34;S Total Services;Total countries;2020;210138.0;226535.0;16397.0
35;S Total Services;Algeria;2014 1st quarter;13.0;17.0;5.0
36;S Total Services;Algeria;2014 2nd quarter;17.0;19.0;2.0
37;S Total Services;Algeria;2014 3rd quarter;16.0;16.0;0.0
38;S Total Services;Algeria;2014 4th quarter;19.0;21.0;2.0
39;S Total Services;Algeria;2014;65.0;73.0;8.0
40;S Total Services;Algeria;2015 1st quarter;16.0;30.0;14.0
41;S Total Services;Algeria;2015 2nd quarter;16.0;29.0;13.0
42;S Total Services;Algeria;2015 3rd quarter;15.0;21.0;6.0
43;S Total Services;Algeria;2015 4th quarter;15.0;23.0;9.0
44;S Total Services;Algeria;2015;62.0;104.0;41.0
45;S Total Services;Algeria;2016 1st quarter;15.0;18.0;3.0
46;S Total Services;Algeria;2016 2nd quarter;14.0;15.0;1.0
47;S Total Services;Algeria;2016 3rd quarter;12.0;13.0;1.0
48;S Total Services;Algeria;2016 4th quarter;13.0;16.0;3.0
49;S Total Services;Algeria;2016;55.0;63.0;8.0
50;S Total Services;Algeria;2017 1st quarter;11.0;16.0;5.0
51;S Total Services;Algeria;2017 2nd quarter;10.0;13.0;3.0
52;S Total Services;Algeria;2017 3rd quarter;9.0;12.0;3.0
53;S Total Services;Algeria;2017 4th quarter;7.0;12.0;5.0
54;S Total Services;Algeria;2017;38.0;53.0;15.0
55;S Total Services;Algeria;2018 1st quarter;7.0;9.0;2.0
56;S Total Services;Algeria;2018 2nd quarter;7.0;8.0;1.0
57;S Total Services;Algeria;2018 3rd quarter;6.0;8.0;2.0
58;S Total Services;Algeria;2018 4th quarter;4.0;12.0;8.0
59;S Total Services;Algeria;2018;24.0;36.0;12.0
60;S Total Services;Algeria;2019 1st quarter;6.0;8.0;2.0
61;S Total Services;Algeria;2019 2nd quarter;5.0;7.0;2.0
62;S Total Services;Algeria;2019 3rd quarter;4.0;8.0;4.0
63;S Total Services;Algeria;2019 4th quarter;6.0;10.0;4.0
64;S Total Services;Algeria;2019;20.0;34.0;14.0
65;S Total Services;Algeria;2020 1st quarter;7.0;8.0;1.0
66;S Total Services;Algeria;2020 2nd quarter;4.0;6.0;2.0
67;S Total Services;Algeria;2020 3rd quarter;2.0;5.0;3.0
68;S Total Services;Algeria;2020 4th quarter;3.0;6.0;4.0
69;S Total Services;Algeria;2020;16.0;26.0;10.0
70;S Total Services;Argentina;2014 1st quarter;36.0;114.0;78.0
71;S Total Services;Argentina;2014 2nd quarter;48.0;109.0;61.0
72;S Total Services;Argentina;2014 3rd quarter;59.0;105.0;45.0
73;S Total Services;Argentina;2014 4th quarter;56.0;135.0;79.0
74;S Total Services;Argentina;2014;200.0;463.0;264.0
75;S Total Services;Argentina;2015 1st quarter;48.0;136.0;89.0
76;S Total Services;Argentina;2015 2nd quarter;41.0;146.0;105.0
77;S Total Services;Argentina;2015 3rd quarter;41.0;146.0;106.0
78;S Total Services;Argentina;2015 4th quarter;48.0;130.0;82.0
79;S Total Services;Argentina;2015;178.0;559.0;381.0
80;S Total Services;Argentina;2016 1st quarter;41.0;144.0;103.0
81;S Total Services;Argentina;2016 2nd quarter;38.0;93.0;55.0
82;S Total Services;Argentina;2016 3rd quarter;31.0;126.0;95.0
83;S Total Services;Argentina;2016 4th quarter;32.0;122.0;90.0
84;S Total Services;Argentina;2016;142.0;485.0;343.0
85;S Total Services;Argentina;2017 1st quarter;46.0;123.0;77.0
86;S Total Services;Argentina;2017 2nd quarter;45.0;153.0;109.0
87;S Total Services;Argentina;2017 3rd quarter;40.0;158.0;118.0
88;S Total Services;Argentina;2017 4th quarter;58.0;177.0;119.0
89;S Total Services;Argentina;2017;190.0;612.0;422.0
90;S Total Services;Argentina;2018 1st quarter;62.0;190.0;128.0
91;S Total Services;Argentina;2018 2nd quarter;43.0;193.0;150.0
92;S Total Services;Argentina;2018 3rd quarter;54.0;177.0;122.0
93;S Total Services;Argentina;2018 4th quarter;67.0;179.0;112.0
94;S Total Services;Argentina;2018;226.0;739.0;513.0
95;S Total Services;Argentina;2019 1st quarter;60.0;179.0;119.0
96;S Total Services;Argentina;2019 2nd quarter;52.0;188.0;136.0
97;S Total Services;Argentina;2019 3rd quarter;67.0;197.0;130.0
98;S Total Services;Argentina;2019 4th quarter;;;114.0
99;S Total Services;Argentina;2019;;;499.0
100;S Total Services;Argentina;2020 1st quarter;71.0;145.0;74.0
101;S Total Services;Argentina;2020 2nd quarter;61.0;124.0;63.0
102;S Total Services;Argentina;2020 3rd quarter;53.0;116.0;63.0
103;S Total Services;Argentina;2020 4th quarter;;;70.0
104;S Total Services;Argentina;2020;;;271.0
105;S Total Services;Australia;2014 1st quarter;119.0;379.0;259.0
106;S Total Services;Australia;2014 2nd quarter;153.0;376.0;223.0
107;S Total Services;Australia;2014 3rd quarter;130.0;381.0;252.0
108;S Total Services;Australia;2014 4th quarter;129.0;426.0;297.0
109;S Total Services;Australia;2014;531.0;1562.0;1031.0
110;S Total Services;Australia;2015 1st quarter;165.0;363.0;198.0
111;S Total Services;Australia;2015 2nd quarter;174.0;389.0;215.0
112;S Total Services;Australia;2015 3rd quarter;168.0;406.0;238.0
113;S Total Services;Australia;2015 4th quarter;244.0;429.0;185.0
114;S Total Services;Australia;2015;751.0;1587.0;836.0
115;S Total Services;Australia;2016 1st quarter;189.0;415.0;226.0
116;S Total Services;Australia;2016 2nd quarter;197.0;470.0;273.0
117;S Total Services;Australia;2016 3rd quarter;156.0;491.0;335.0
118;S Total Services;Australia;2016 4th quarter;253.0;525.0;272.0
119;S Total Services;Australia;2016;795.0;1901.0;1107.0
120;S Total Services;Australia;2017 1st quarter;269.0;541.0;273.0
121;S Total Services;Australia;2017 2nd quarter;211.0;613.0;402.0
122;S Total Services;Australia;2017 3rd quarter;236.0;679.0;443.0
123;S Total Services;Australia;2017 4th quarter;301.0;585.0;284.0
124;S Total Services;Australia;2017;1017.0;2419.0;1402.0
125;S Total Services;Australia;2018 1st quarter;270.0;473.0;204.0
126;S Total Services;Australia;2018 2nd quarter;340.0;572.0;232.0
127;S Total Services;Australia;2018 3rd quarter;273.0;550.0;277.0
128;S Total Services;Australia;2018 4th quarter;377.0;601.0;223.0
129;S Total Services;Australia;2018;1260.0;2195.0;935.0
130;S Total Services;Australia;2019 1st quarter;316.0;455.0;139.0
131;S Total Services;Australia;2019 2nd quarter;333.0;509.0;176.0
132;S Total Services;Australia;2019 3rd quarter;318.0;572.0;254.0
133;S Total Services;Australia;2019 4th quarter;;;223.0
134;S Total Services;Australia;2019;;;792.0
135;S Total Services;Australia;2020 1st quarter;298.0;724.0;426.0
136;S Total Services;Australia;2020 2nd quarter;263.0;709.0;446.0
137;S Total Services;Australia;2020 3rd quarter;233.0;463.0;230.0
138;S Total Services;Australia;2020 4th quarter;;;194.0
139;S Total Services;Australia;2020;;;1296.0
140;S Total Services;Austria;2014 1st quarter;501.0;228.0;-273.0
141;S Total Services;Austria;2014 2nd quarter;253.0;238.0;-14.0
142;S Total Services;Austria;2014 3rd quarter;416.0;249.0;-166.0
143;S Total Services;Austria;2014 4th quarter;298.0;236.0;-62.0
144;S Total Services;Austria;2014;1468.0;952.0;-516.0
145;S Total Services;Austria;2015 1st quarter;521.0;246.0;-275.0
146;S Total Services;Austria;2015 2nd quarter;298.0;258.0;-40.0
147;S Total Services;Austria;2015 3rd quarter;479.0;272.0;-207.0
148;S Total Services;Austria;2015 4th quarter;302.0;254.0;-48.0
149;S Total Services;Austria;2015;1601.0;1031.0;-570.0
150;S Total Services;Austria;2016 1st quarter;564.0;262.0;-302.0
151;S Total Services;Austria;2016 2nd quarter;301.0;270.0;-32.0
152;S Total Services;Austria;2016 3rd quarter;433.0;278.0;-156.0
153;S Total Services;Austria;2016 4th quarter;293.0;280.0;-12.0
154;S Total Services;Austria;2016;1591.0;1089.0;-501.0
155;S Total Services;Austria;2017 1st quarter;562.0;327.0;-235.0
156;S Total Services;Austria;2017 2nd quarter;349.0;329.0;-20.0
157;S Total Services;Austria;2017 3rd quarter;419.0;327.0;-91.0
158;S Total Services;Austria;2017 4th quarter;331.0;333.0;2.0
159;S Total Services;Austria;2017;1660.0;1316.0;-343.0
160;S Total Services;Austria;2018 1st quarter;562.0;369.0;-193.0
161;S Total Services;Austria;2018 2nd quarter;378.0;375.0;-3.0
162;S Total Services;Austria;2018 3rd quarter;521.0;385.0;-136.0
163;S Total Services;Austria;2018 4th quarter;379.0;405.0;26.0
164;S Total Services;Austria;2018;1839.0;1534.0;-305.0
165;S Total Services;Austria;2019 1st quarter;732.0;384.0;-348.0
166;S Total Services;Austria;2019 2nd quarter;400.0;408.0;8.0
167;S Total Services;Austria;2019 3rd quarter;477.0;530.0;52.0
168;S Total Services;Austria;2019 4th quarter;426.0;509.0;82.0
169;S Total Services;Austria;2019;2035.0;1830.0;-205.0
170;S Total Services;Austria;2020 1st quarter;674.0;426.0;-248.0
171;S Total Services;Austria;2020 2nd quarter;279.0;359.0;80.0
172;S Total Services;Austria;2020 3rd quarter;392.0;478.0;86.0
173;S Total Services;Austria;2020 4th quarter;305.0;465.0;159.0
174;S Total Services;Austria;2020;1651.0;1727.0;77.0
175;S Total Services;Bahamas;2014 1st quarter;4.0;3.0;-1.0
176;S Total Services;Bahamas;2014 2nd quarter;15.0;2.0;-12.0
177;S Total Services;Bahamas;2014 3rd quarter;4.0;3.0;-1.0
178;S Total Services;Bahamas;2014 4th quarter;18.0;3.0;-16.0
179;S Total Services;Bahamas;2014;41.0;11.0;-29.0
180;S Total Services;Bahamas;2015 1st quarter;2.0;4.0;1.0
181;S Total Services;Bahamas;2015 2nd quarter;11.0;4.0;-7.0
182;S Total Services;Bahamas;2015 3rd quarter;3.0;11.0;8.0
183;S Total Services;Bahamas;2015 4th quarter;2.0;3.0;1.0
184;S Total Services;Bahamas;2015;19.0;23.0;4.0
185;S Total Services;Bahamas;2016 1st quarter;7.0;3.0;-4.0
186;S Total Services;Bahamas;2016 2nd quarter;6.0;5.0;-1.0
187;S Total Services;Bahamas;2016 3rd quarter;5.0;5.0;0.0
188;S Total Services;Bahamas;2016 4th quarter;3.0;3.0;0.0
189;S Total Services;Bahamas;2016;21.0;16.0;-5.0
190;S Total Services;Bahamas;2017 1st quarter;3.0;6.0;3.0
191;S Total Services;Bahamas;2017 2nd quarter;5.0;6.0;1.0
192;S Total Services;Bahamas;2017 3rd quarter;5.0;6.0;1.0
193;S Total Services;Bahamas;2017 4th quarter;5.0;7.0;1.0
194;S Total Services;Bahamas;2017;18.0;25.0;7.0
195;S Total Services;Bahamas;2018 1st quarter;4.0;6.0;2.0
196;S Total Services;Bahamas;2018 2nd quarter;3.0;7.0;4.0
197;S Total Services;Bahamas;2018 3rd quarter;1.0;6.0;5.0
198;S Total Services;Bahamas;2018 4th quarter;4.0;7.0;3.0
199;S Total Services;Bahamas;2018;12.0;26.0;13.0
200;S Total Services;Bahamas;2019 1st quarter;4.0;10.0;6.0
201;S Total Services;Bahamas;2019 2nd quarter;2.0;9.0;7.0
202;S Total Services;Bahamas;2019 3rd quarter;17.0;21.0;4.0
203;S Total Services;Bahamas;2019 4th quarter;5.0;13.0;8.0
204;S Total Services;Bahamas;2019;27.0;53.0;26.0
205;S Total Services;Bahamas;2020 1st quarter;4.0;8.0;3.0
206;S Total Services;Bahamas;2020 2nd quarter;1.0;7.0;6.0
207;S Total Services;Bahamas;2020 3rd quarter;3.0;9.0;5.0
208;S Total Services;Bahamas;2020 4th quarter;2.0;10.0;9.0
209;S Total Services;Bahamas;2020;10.0;33.0;23.0
210;S Total Services;Belgium;2014 1st quarter;1693.0;2121.0;428.0
211;S Total Services;Belgium;2014 2nd quarter;1768.0;2250.0;483.0
212;S Total Services;Belgium;2014 3rd quarter;1761.0;2261.0;500.0
213;S Total Services;Belgium;2014 4th quarter;2162.0;2480.0;317.0
214;S Total Services;Belgium;2014;7384.0;9112.0;1728.0
215;S Total Services;Belgium;2015 1st quarter;2005.0;2254.0;249.0
216;S Total Services;Belgium;2015 2nd quarter;2017.0;2454.0;437.0
217;S Total Services;Belgium;2015 3rd quarter;1966.0;2435.0;469.0
218;S Total Services;Belgium;2015 4th quarter;2267.0;2674.0;407.0
219;S Total Services;Belgium;2015;8255.0;9816.0;1561.0
220;S Total Services;Belgium;2016 1st quarter;1878.0;2390.0;513.0
221;S Total Services;Belgium;2016 2nd quarter;2053.0;2592.0;539.0
222;S Total Services;Belgium;2016 3rd quarter;1989.0;2578.0;589.0
223;S Total Services;Belgium;2016 4th quarter;2300.0;2850.0;550.0
224;S Total Services;Belgium;2016;8220.0;10411.0;2191.0
225;S Total Services;Belgium;2017 1st quarter;2348.0;2648.0;300.0
226;S Total Services;Belgium;2017 2nd quarter;2387.0;2824.0;437.0
227;S Total Services;Belgium;2017 3rd quarter;2477.0;2786.0;309.0
228;S Total Services;Belgium;2017 4th quarter;2865.0;2961.0;96.0
229;S Total Services;Belgium;2017;10078.0;11220.0;1142.0
230;S Total Services;Belgium;2018 1st quarter;2392.0;2661.0;269.0
231;S Total Services;Belgium;2018 2nd quarter;2829.0;2867.0;39.0
232;S Total Services;Belgium;2018 3rd quarter;2881.0;3096.0;215.0
233;S Total Services;Belgium;2018 4th quarter;3346.0;3186.0;-160.0
234;S Total Services;Belgium;2018;11447.0;11810.0;362.0
235;S Total Services;Belgium;2019 1st quarter;2894.0;3183.0;289.0
236;S Total Services;Belgium;2019 2nd quarter;3020.0;3284.0;264.0
237;S Total Services;Belgium;2019 3rd quarter;2945.0;3540.0;594.0
238;S Total Services;Belgium;2019 4th quarter;3421.0;3743.0;322.0
239;S Total Services;Belgium;2019;12280.0;13750.0;1469.0
240;S Total Services;Belgium;2020 1st quarter;3024.0;3095.0;70.0
241;S Total Services;Belgium;2020 2nd quarter;2834.0;2668.0;-166.0
242;S Total Services;Belgium;2020 3rd quarter;3025.0;3356.0;332.0
243;S Total Services;Belgium;2020 4th quarter;3578.0;3263.0;-315.0
244;S Total Services;Belgium;2020;12460.0;12382.0;-79.0
245;S Total Services;Bermuda;2014 1st quarter;3604.0;50.0;-3554.0
246;S Total Services;Bermuda;2014 2nd quarter;3326.0;82.0;-3244.0
247;S Total Services;Bermuda;2014 3rd quarter;3768.0;54.0;-3714.0
248;S Total Services;Bermuda;2014 4th quarter;3868.0;46.0;-3822.0
249;S Total Services;Bermuda;2014;14565.0;232.0;-14333.0
250;S Total Services;Bermuda;2015 1st quarter;4119.0;;
251;S Total Services;Bermuda;2015 2nd quarter;4445.0;104.0;-4341.0
252;S Total Services;Bermuda;2015 3rd quarter;4242.0;;
253;S Total Services;Bermuda;2015 4th quarter;4864.0;;
254;S Total Services;Bermuda;2015;17669.0;1349.0;-16320.0
255;S Total Services;Bermuda;2016 1st quarter;4308.0;40.0;-4268.0
256;S Total Services;Bermuda;2016 2nd quarter;4401.0;67.0;-4334.0
257;S Total Services;Bermuda;2016 3rd quarter;4210.0;;
258;S Total Services;Bermuda;2016 4th quarter;3862.0;;
259;S Total Services;Bermuda;2016;16781.0;1897.0;-14883.0
260;S Total Services;Bermuda;2017 1st quarter;4902.0;334.0;-4568.0
261;S Total Services;Bermuda;2017 2nd quarter;4864.0;390.0;-4474.0
262;S Total Services;Bermuda;2017 3rd quarter;5313.0;;
263;S Total Services;Bermuda;2017 4th quarter;4989.0;;
264;S Total Services;Bermuda;2017;20069.0;1005.0;-19064.0
265;S Total Services;Bermuda;2018 1st quarter;5418.0;;
266;S Total Services;Bermuda;2018 2nd quarter;5805.0;;
267;S Total Services;Bermuda;2018 3rd quarter;5912.0;;
268;S Total Services;Bermuda;2018 4th quarter;6080.0;;
269;S Total Services;Bermuda;2018;23216.0;;
270;S Total Services;Bermuda;2019 1st quarter;6195.0;;
271;S Total Services;Bermuda;2019 2nd quarter;6393.0;;
272;S Total Services;Bermuda;2019 3rd quarter;7831.0;;
273;S Total Services;Bermuda;2019 4th quarter;7322.0;;
274;S Total Services;Bermuda;2019;27741.0;;
275;S Total Services;Bermuda;2020 1st quarter;6137.0;;
276;S Total Services;Bermuda;2020 2nd quarter;6340.0;;
277;S Total Services;Bermuda;2020 3rd quarter;7760.0;;
278;S Total Services;Bermuda;2020 4th quarter;7257.0;;
279;S Total Services;Bermuda;2020;27493.0;;
280;S Total Services;Bolivia;2014 1st quarter;2.0;8.0;6.0
281;S Total Services;Bolivia;2014 2nd quarter;2.0;9.0;7.0
282;S Total Services;Bolivia;2014 3rd quarter;8.0;10.0;2.0
283;S Total Services;Bolivia;2014 4th quarter;2.0;11.0;8.0
284;S Total Services;Bolivia;2014;14.0;37.0;24.0
285;S Total Services;Bolivia;2015 1st quarter;1.0;10.0;9.0
286;S Total Services;Bolivia;2015 2nd quarter;7.0;8.0;1.0
287;S Total Services;Bolivia;2015 3rd quarter;5.0;13.0;8.0
288;S Total Services;Bolivia;2015 4th quarter;1.0;9.0;8.0
289;S Total Services;Bolivia;2015;14.0;40.0;27.0
290;S Total Services;Bolivia;2016 1st quarter;5.0;8.0;3.0
291;S Total Services;Bolivia;2016 2nd quarter;3.0;7.0;3.0
292;S Total Services;Bolivia;2016 3rd quarter;1.0;10.0;9.0
293;S Total Services;Bolivia;2016 4th quarter;3.0;11.0;8.0
294;S Total Services;Bolivia;2016;12.0;34.0;22.0
295;S Total Services;Bolivia;2017 1st quarter;1.0;8.0;7.0
296;S Total Services;Bolivia;2017 2nd quarter;1.0;9.0;8.0
297;S Total Services;Bolivia;2017 3rd quarter;1.0;12.0;12.0
298;S Total Services;Bolivia;2017 4th quarter;1.0;22.0;22.0
299;S Total Services;Bolivia;2017;4.0;52.0;48.0
300;S Total Services;Bolivia;2018 1st quarter;1.0;19.0;17.0
301;S Total Services;Bolivia;2018 2nd quarter;6.0;13.0;7.0
302;S Total Services;Bolivia;2018 3rd quarter;2.0;14.0;12.0
303;S Total Services;Bolivia;2018 4th quarter;6.0;17.0;11.0
304;S Total Services;Bolivia;2018;16.0;63.0;47.0
305;S Total Services;Bolivia;2019 1st quarter;1.0;12.0;11.0
306;S Total Services;Bolivia;2019 2nd quarter;2.0;15.0;13.0
307;S Total Services;Bolivia;2019 3rd quarter;16.0;15.0;-1.0
308;S Total Services;Bolivia;2019 4th quarter;2.0;19.0;18.0
309;S Total Services;Bolivia;2019;21.0;61.0;41.0
310;S Total Services;Bolivia;2020 1st quarter;2.0;10.0;8.0
