ID;Landen;Jaren;Totaal_1;Mannen_2;Vrouwen_3;k_1524Jaar_4;k_2544Jaar_5;k_45Jaar_6;LandbouwVisserij_7;DelfstoffenwIndustrieOpNutsbedr_8;Bouwnijverheid_9;ReparatieHandel_10;Horeca_11;VervoerCommunicatie_12;FinancieleInstZakelijkeDienstv_13;OpenbaarBestuur_14;Onderwijs_15;GezondheidsEnWelzijnszorg_16;CultuurOvDienstverlHuishPersoneel_17
0;Totaal;1979;182;141;41;31;126;25;2.0;101.0;14.0;12.0;6.0;9.0;10.0;4.0;4.0;11.0;8.0
1;Totaal;1981;196;152;44;40;127;30;3.0;102.0;16.0;15.0;7.0;8.0;13.0;5.0;5.0;13.0;9.0
2;Totaal;1983;173;134;39;32;109;32;3.0;85.0;11.0;14.0;7.0;9.0;15.0;5.0;5.0;13.0;9.0
3;Totaal;1985;166;126;40;31;101;33;2.0;79.0;11.0;13.0;7.0;9.0;15.0;5.0;5.0;13.0;9.0
4;Totaal;1987;175;129;46;35;107;33;2.0;74.0;14.0;15.0;8.0;9.0;18.0;6.0;5.0;15.0;10.0
5;Totaal;1988;176;128;48;36;108;31;2.0;69.0;16.0;15.0;8.0;10.0;19.0;6.0;6.0;15.0;11.0
6;Totaal;1989;192;139;53;39;119;34;3.0;75.0;16.0;18.0;9.0;10.0;19.0;7.0;6.0;18.0;12.0
7;Totaal;1990;197;144;53;42;120;35;3.0;76.0;14.0;20.0;10.0;9.0;21.0;7.0;7.0;18.0;12.0
8;Totaal;1991;214;150;64;46;133;34;4.0;85.0;11.0;23.0;12.0;9.0;24.0;7.0;7.0;19.0;13.0
9;Totaal;1992;229;160;69;49;144;36;5.0;84.0;10.0;27.0;14.0;10.0;27.0;8.0;8.0;21.0;15.0
10;Totaal;1993;219;152;67;46;136;37;5.0;79.0;11.0;26.0;13.0;10.0;27.0;8.0;7.0;20.0;14.0
11;Totaal;1994;216;149;67;45;136;35;6.0;75.0;11.0;26.0;13.0;10.0;27.0;7.0;7.0;19.0;14.0
12;Totaal;1995;221;154;67;38;143;41;6.0;70.0;8.0;29.0;15.0;10.0;28.0;8.0;8.0;22.0;15.0
