ID;Componenten;Perioden;InputprijsindexBouwkosten_1;OntwikkelingTOVEenJaarEerder_2
0;Bouwkosten totaal;2012 januari;97.1;
1;Bouwkosten totaal;2012 februari;97.3;
2;Bouwkosten totaal;2012 maart;97.4;
3;Bouwkosten totaal;2012 april;97.6;
4;Bouwkosten totaal;2012 mei;97.6;
5;Bouwkosten totaal;2012 juni;97.7;
6;Bouwkosten totaal;2012 juli;97.6;
7;Bouwkosten totaal;2012 augustus;98.0;
8;Bouwkosten totaal;2012 september;97.9;
9;Bouwkosten totaal;2012 oktober;97.8;
10;Bouwkosten totaal;2012 november;97.8;
11;Bouwkosten totaal;2012 december;97.7;
12;Bouwkosten totaal;2012;97.6;
13;Bouwkosten totaal;2013 januari;97.8;0.8
14;Bouwkosten totaal;2013 februari;98.0;0.8
15;Bouwkosten totaal;2013 maart;98.0;0.6
16;Bouwkosten totaal;2013 april;97.9;0.3
17;Bouwkosten totaal;2013 mei;97.9;0.3
18;Bouwkosten totaal;2013 juni;97.8;0.1
19;Bouwkosten totaal;2013 juli;97.6;0.1
20;Bouwkosten totaal;2013 augustus;97.7;-0.3
21;Bouwkosten totaal;2013 september;97.6;-0.3
22;Bouwkosten totaal;2013 oktober;97.6;-0.2
23;Bouwkosten totaal;2013 november;97.7;-0.1
24;Bouwkosten totaal;2013 december;97.7;-0.1
25;Bouwkosten totaal;2013;97.8;0.2
26;Bouwkosten totaal;2014 januari;98.6;0.8
27;Bouwkosten totaal;2014 februari;98.5;0.5
28;Bouwkosten totaal;2014 maart;98.5;0.5
29;Bouwkosten totaal;2014 april;98.5;0.6
30;Bouwkosten totaal;2014 mei;98.5;0.6
31;Bouwkosten totaal;2014 juni;98.5;0.7
32;Bouwkosten totaal;2014 juli;98.5;0.9
33;Bouwkosten totaal;2014 augustus;98.6;0.9
34;Bouwkosten totaal;2014 september;98.6;1.0
35;Bouwkosten totaal;2014 oktober;99.1;1.5
36;Bouwkosten totaal;2014 november;99.1;1.5
37;Bouwkosten totaal;2014 december;99.3;1.6
38;Bouwkosten totaal;2014;98.7;0.9
39;Bouwkosten totaal;2015 januari;99.2;0.6
40;Bouwkosten totaal;2015 februari;99.2;0.7
41;Bouwkosten totaal;2015 maart;99.4;0.9
42;Bouwkosten totaal;2015 april;99.6;1.2
43;Bouwkosten totaal;2015 mei;99.6;1.1
44;Bouwkosten totaal;2015 juni;99.6;1.1
45;Bouwkosten totaal;2015 juli;100.2;1.7
46;Bouwkosten totaal;2015 augustus;100.3;1.7
47;Bouwkosten totaal;2015 september;100.3;1.7
48;Bouwkosten totaal;2015 oktober;100.7;1.7
49;Bouwkosten totaal;2015 november;100.8;1.7
50;Bouwkosten totaal;2015 december;101.1;1.9
51;Bouwkosten totaal;2015;100.0;1.3
52;Bouwkosten totaal;2016 januari;101.2;2.0
53;Bouwkosten totaal;2016 februari;101.2;2.0
54;Bouwkosten totaal;2016 maart;101.3;2.0
55;Bouwkosten totaal;2016 april;100.9;1.2
56;Bouwkosten totaal;2016 mei;101.1;1.5
57;Bouwkosten totaal;2016 juni;101.2;1.6
58;Bouwkosten totaal;2016 juli;102.0;1.8
59;Bouwkosten totaal;2016 augustus;102.1;1.8
60;Bouwkosten totaal;2016 september;102.0;1.7
61;Bouwkosten totaal;2016 oktober;102.1;1.4
62;Bouwkosten totaal;2016 november;102.3;1.5
63;Bouwkosten totaal;2016 december;102.3;1.2
64;Bouwkosten totaal;2016;101.7;1.7
65;Bouwkosten totaal;2017 januari;102.9;1.7
66;Bouwkosten totaal;2017 februari;103.0;1.8
67;Bouwkosten totaal;2017 maart;103.2;1.8
68;Bouwkosten totaal;2017 april;103.5;2.6
69;Bouwkosten totaal;2017 mei;103.4;2.3
70;Bouwkosten totaal;2017 juni;103.5;2.3
71;Bouwkosten totaal;2017 juli;103.6;1.6
72;Bouwkosten totaal;2017 augustus;104.4;2.2
73;Bouwkosten totaal;2017 september;104.4;2.3
74;Bouwkosten totaal;2017 oktober;104.7;2.5
75;Bouwkosten totaal;2017 november;105.0;2.6
76;Bouwkosten totaal;2017 december;104.6;2.2
77;Bouwkosten totaal;2017;103.9;2.2
78;Bouwkosten totaal;2018 januari;105.5;2.5
79;Bouwkosten totaal;2018 februari;105.6;2.5
80;Bouwkosten totaal;2018 maart;105.3;2.1
81;Bouwkosten totaal;2018 april;105.6;2.0
82;Bouwkosten totaal;2018 mei;105.8;2.3
83;Bouwkosten totaal;2018 juni;106.0;2.4
84;Bouwkosten totaal;2018 juli;106.6;2.9
85;Bouwkosten totaal;2018 augustus;107.3;2.8
86;Bouwkosten totaal;2018 september;107.7;3.2
87;Bouwkosten totaal;2018 oktober;107.5;2.7
88;Bouwkosten totaal;2018 november;107.3;2.2
89;Bouwkosten totaal;2018 december;107.6;2.9
