ID;Sex;Periods;TotalPopulationAged1564_1;LabourForce_2;EmployedLabourForce_3;UnemployedLabourForce_4;GrossLabourParticipation_5;NetLabourParticipation_6;RegisteredUnemployed_7
0;Total sex;1970;;4711;4681;31;;;44
1;Total sex;1971;;4749;4706;43;;;62
2;Total sex;1972;;4809;4736;73;;;108
3;Total sex;1973;;4846;4769;77;;;110
4;Total sex;1974;;4867;4771;95;;;135
5;Total sex;1975;;4883;4744;139;;;195
6;Total sex;1976;;4915;4762;153;;;211
7;Total sex;1977;;4944;4792;152;;;204
8;Total sex;1978;;4949;4790;159;;;201
9;Total sex;1979;;4967;4800;166;;;194
10;Total sex;1980;;5075;4881;194;;;217
11;Total sex;1981;9365.0;5154;4848;307;55.0;52.0;317
12;Total sex;1982;;5189;4752;437;;;468
13;Total sex;1983;9577.0;5232;4699;533;55.0;49.0;612
14;Total sex;1984;;5253;4720;534;;;591
15;Total sex;1985;9805.0;5293;4811;482;54.0;49.0;511
16;Total sex;1986;;5515;5040;475;;;474
17;Total sex;1987;10024.0;5743;5257;486;57.0;52.0;456
18;Total sex;1988;10107.0;5867;5378;490;58.0;53.0;453
19;Total sex;1989;10168.0;5929;5477;452;58.0;54.0;407
20;Total sex;1990;10228.0;6063;5644;419;59.0;55.0;358
21;Total sex;1991;10294.0;6189;5790;400;60.0;56.0;334
22;Total sex;1992;10349.0;6296;5885;411;61.0;57.0;336
23;Total sex;1993;10420.0;6406;5925;481;61.0;57.0;415
24;Total sex;1994;10473.0;6466;5920;547;62.0;57.0;486
25;Total sex;1995;10498.0;6596;6063;533;63.0;58.0;464
26;Total sex;1996;10534.0;6686;6185;501;63.0;59.0;440
27;Total sex;1997;10566.0;6832;6384;448;65.0;60.0;375
28;Total sex;1998;10606.0;6941;6587;354;65.0;62.0;287
29;Total sex;1999;10665.0;7069;6768;301;66.0;63.0;220
30;Total sex;2000;10729.0;7187;6917;270;67.0;64.0;188
31;Total sex;2001;10801.0;7273;7021;252;67.0;65.0;146
32;Total sex;2002;10863.0;7337;7035;302;68.0;65.0;170
33;Total sex;2003;10903.0;7401;7001;399;68.0;64.0;255
34;Total sex;2004;10925.0;7398;6919;479;68.0;63.0;319
35;Total sex;2005;10943.0;7401;6918;483;68.0;63.0;311
36;Total sex;2006;10964.0;7486;7074;413;68.0;65.0;260
37;Men;1970;;3518;3496;22;;;36
38;Men;1971;;3522;3492;30;;;51
39;Men;1972;;3544;3490;54;;;91
40;Men;1973;;3560;3507;53;;;88
41;Men;1974;;3567;3504;64;;;107
42;Men;1975;;3572;3481;91;;;153
43;Men;1976;;3593;3498;95;;;160
44;Men;1977;;3612;3525;86;;;145
45;Men;1978;;3591;3510;81;;;134
46;Men;1979;;3580;3501;79;;;123
47;Men;1980;;3603;3508;95;;;141
48;Men;1981;4738.0;3615;3447;168;76.0;73.0;217
49;Men;1982;;3613;3358;255;;;333
50;Men;1983;4843.0;3618;3290;329;75.0;68.0;446
51;Men;1984;;3613;3289;324;;;425
52;Men;1985;4955.0;3625;3342;283;73.0;67.0;358
53;Men;1986;;3692;3443;248;;;310
54;Men;1987;5071.0;3763;3536;226;74.0;70.0;278
55;Men;1988;5115.0;3797;3564;233;74.0;70.0;281
56;Men;1989;5148.0;3825;3619;206;74.0;70.0;244
57;Men;1990;5182.0;3865;3686;179;75.0;71.0;209
58;Men;1991;5219.0;3912;3732;180;75.0;72.0;190
59;Men;1992;5250.0;3967;3781;186;76.0;72.0;195
60;Men;1993;5295.0;3999;3771;228;76.0;71.0;240
61;Men;1994;5317.0;4014;3747;266;75.0;70.0;283
62;Men;1995;5329.0;4067;3814;253;76.0;72.0;260
63;Men;1996;5343.0;4098;3870;228;77.0;72.0;240
64;Men;1997;5356.0;4140;3940;200;77.0;74.0;199
65;Men;1998;5368.0;4190;4036;153;78.0;75.0;155
66;Men;1999;5401.0;4233;4105;128;78.0;76.0;115
67;Men;2000;5434.0;4275;4162;114;79.0;77.0;98
68;Men;2001;5470.0;4293;4185;109;78.0;77.0;77
69;Men;2002;5497.0;4305;4157;147;78.0;76.0;91
70;Men;2003;5512.0;4301;4096;205;78.0;74.0;144
71;Men;2004;5516.0;4266;4019;246;77.0;73.0;179
72;Men;2005;5519.0;4219;3981;238;76.0;72.0;164
73;Men;2006;5524.0;4231;4040;191;77.0;73.0;133
74;Women;1970;;1194;1184;9;;;8
75;Women;1971;;1227;1214;13;;;11
76;Women;1972;;1265;1245;20;;;17
77;Women;1973;;1286;1262;24;;;21
78;Women;1974;;1299;1267;32;;;28
79;Women;1975;;1311;1263;48;;;42
80;Women;1976;;1322;1265;58;;;51
81;Women;1977;;1333;1267;66;;;58
82;Women;1978;;1358;1280;78;;;67
83;Women;1979;;1386;1299;87;;;71
84;Women;1980;;1472;1372;99;;;76
85;Women;1981;4627.0;1539;1400;139;33.0;30.0;100
86;Women;1982;;1576;1394;182;;;135
87;Women;1983;4734.0;1613;1410;204;34.0;30.0;166
88;Women;1984;;1640;1430;210;;;166
89;Women;1985;4850.0;1668;1469;199;34.0;30.0;153
90;Women;1986;;1824;1597;227;;;164
91;Women;1987;4953.0;1980;1721;259;40.0;35.0;178
92;Women;1988;4992.0;2070;1814;257;41.0;36.0;173
93;Women;1989;5020.0;2104;1858;246;42.0;37.0;163
94;Women;1990;5046.0;2198;1958;240;44.0;39.0;149
