ID;Geslacht;Leeftijd;Leerweg;OpleidingsrichtingEnSector;Herkomstgroepering;Perioden;TotaalDeelnemers_1;EntreeopleidingNiveau1_2;BasisberoepsopleidingNiveau2_3;VakopleidingNiveau3_4;MiddenkaderopleidingNiveau4a_5;SpecialistenopleidingNiveau4b_6;KorteOpleiding_7;LangeOpleiding_8;PrimaireOpleiding_9;VoortgezetteOpleiding_10
0;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1990/'91;;;;;;;;;;
1;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1991/'92;;;;;;;;;;
2;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1992/'93;;;;;;;;;;
3;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1993/'94;;;;;;;;;;
4;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1994/'95;;;;;;;;;;
5;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1995/'96;;;;;;;;;;
6;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1996/'97;;;;;;;;;;
7;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1997/'98;;;;;;;;;;
8;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1998/'99;;;;;;;;;;
9;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1999/'00;;;;;;;;;;
10;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2000/'01;;;;;;;;;;
11;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2001/'02;;;;;;;;;;
12;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2002/'03;;;;;;;;;;
13;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2003/'04;;;;;;;;;;
14;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2004/'05;;;;;;;;;;
15;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2005/'06;491721.0;23846.0;127351.0;128157.0;204793.0;7574.0;;;;
16;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2006/'07;505756.0;23641.0;129457.0;131988.0;213506.0;7164.0;;;;
17;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2007/'08;521187.0;23449.0;135411.0;136369.0;219210.0;6748.0;;;;
18;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2008/'09;526040.0;22478.0;137362.0;140613.0;219663.0;5924.0;;;;
19;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2009/'10;535759.0;25489.0;134520.0;146303.0;224461.0;4986.0;;;;
20;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2010/'11;545640.0;26532.0;137566.0;148768.0;228719.0;4055.0;;;;
21;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2011/'12;534647.0;25080.0;129343.0;146827.0;230629.0;2768.0;;;;
22;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2012/'13;525300.0;24180.0;122758.0;143653.0;232941.0;1768.0;;;;
23;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2013/'14;512202.0;20853.0;113146.0;139380.0;238164.0;659.0;;;;
24;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2014/'15;491731.0;14463.0;100004.0;132060.0;244991.0;213.0;;;;
25;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2015/'16;484141.0;13237.0;91201.0;130544.0;249130.0;29.0;;;;
26;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2016/'17;492298.0;13083.0;87025.0;131087.0;261006.0;97.0;;;;
27;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Autochtoon;1990/'91;;;;;;;;;;
28;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Autochtoon;1991/'92;;;;;;;;;;
29;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Autochtoon;1992/'93;;;;;;;;;;
30;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Autochtoon;1993/'94;;;;;;;;;;
31;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Autochtoon;1994/'95;;;;;;;;;;
32;Totaal mannen en vrouwen;Totaal leeftijden;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Autochtoon;1995/'96;;;;;;;;;;
