ID;Beroepen;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1;TotaalWerknemers_2;WerknemersVasteArbeidsrelatie_3;WerknemersFlexibeleArbeidsrelatie_4;Zelfstandigen_5;Arbeidsduur12Tot20UurPerWeek_6;Arbeidsduur20Tot35UurPerWeek_7;Arbeidsduur35UurOfMeerPerWeek_8;ArbeidsduurOnbekend_9
0;Totaal beroepen;Mannen en vrouwen;1996;6185.0;5456.0;4911.0;545.0;728.0;418.0;1323.0;4443.0;
1;Totaal beroepen;Mannen en vrouwen;1997;6384.0;5628.0;5055.0;573.0;755.0;450.0;1393.0;4540.0;
2;Totaal beroepen;Mannen en vrouwen;1998;6587.0;5850.0;5244.0;606.0;737.0;525.0;1463.0;4599.0;
3;Totaal beroepen;Mannen en vrouwen;1999;6768.0;6042.0;5464.0;578.0;726.0;545.0;1528.0;4695.0;
4;Totaal beroepen;Mannen en vrouwen;2000;6917.0;6116.0;5584.0;532.0;801.0;578.0;1645.0;4694.0;
5;Totaal beroepen;Mannen en vrouwen;2001;7021.0;6256.0;5753.0;503.0;765.0;603.0;1691.0;4727.0;
6;Totaal beroepen;Mannen en vrouwen;2002;7035.0;6256.0;5774.0;482.0;779.0;638.0;1800.0;4597.0;
7;Totaal beroepen;Mannen en vrouwen;2003;7001.0;6213.0;5754.0;459.0;788.0;636.0;1858.0;4507.0;
8;Totaal beroepen;Mannen en vrouwen;2004;6919.0;6116.0;5646.0;471.0;802.0;642.0;1853.0;4424.0;
9;Totaal beroepen;Mannen en vrouwen;2005;6918.0;6103.0;5590.0;513.0;816.0;662.0;1898.0;4359.0;
10;Totaal beroepen;Mannen en vrouwen;2006;7074.0;6195.0;5631.0;564.0;879.0;674.0;1950.0;4450.0;
11;Totaal beroepen;Mannen;1996;3870.0;3364.0;3113.0;250.0;507.0;71.0;330.0;3469.0;
12;Totaal beroepen;Mannen;1997;3940.0;3417.0;3160.0;257.0;522.0;70.0;348.0;3521.0;
