ID;Perioden;UitstaandDebiteurensaldo_1
0;2010 juni;13945
1;2010 juli;14100
2;2010 augustus;14284
3;2010 september;14253
4;2010 oktober;14158
5;2010 november;14159
6;2010 december;14230
7;2011 januari;14174
8;2011 februari;13788
9;2011 maart;13770
10;2011 april;13721
11;2011 mei;13332
12;2011 juni;13399
13;2011 juli;13396
14;2011 augustus;13599
15;2011 september;13687
16;2011 oktober;13672
17;2011 november;13552
18;2011 december;13678
19;2012 januari;13394
20;2012 februari;13438
21;2012 maart;13235
22;2012 april;13224
23;2012 mei;12801
24;2012 juni;13005
25;2012 juli;13167
26;2012 augustus;13341
27;2012 september;13319
28;2012 oktober;13276
29;2012 november;13199
30;2012 december;13237
31;2013 januari;13083
32;2013 februari;12959
33;2013 maart;12952
34;2013 april;13171
35;2013 mei;12623
36;2013 juni;12594
37;2013 juli;12744
38;2013 augustus;12778
39;2013 september;12788
40;2013 oktober;12767
41;2013 november;13005
42;2013 december;13012
43;2014 januari;12720
44;2014 februari;12596
45;2014 maart;12603
46;2014 april;12527
47;2014 mei;12144
48;2014 juni;11991
49;2014 juli;12078
50;2014 augustus;11958
51;2014 september;12043
52;2014 oktober;12018
53;2014 november;11734
54;2014 december;12532
55;2015 januari;12354
56;2015 februari;12180
57;2015 maart;12338
58;2015 april;12062
59;2015 mei;11733
60;2015 juni;11872
61;2015 juli;11794
62;2015 augustus;12164
63;2015 september;11746
64;2015 oktober;11732
65;2015 november;11736
66;2015 december;11179
67;2016 januari;11068
68;2016 februari;11037
69;2016 maart;10915
70;2016 april;10881
71;2016 mei;10640
72;2016 juni;10547
73;2016 juli;10546
74;2016 augustus;10539
75;2016 september;9946
76;2016 oktober;9956
77;2016 november;9833
78;2016 december;9613
79;2017 januari;9453
80;2017 februari;9363
81;2017 maart;9302
82;2017 april;9279
83;2017 mei;8930
84;2017 juni;8892
85;2017 juli;8974
86;2017 augustus;8956
87;2017 september;8871
88;2017 oktober;8837
89;2017 november;8789
90;2017 december;9025
