ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;UitzendenVanPersoneel_26;UitlenenEnDetacherenVanPersoneel_27;Arbeidsbemiddeling_28;TestenWervenEnSelecterenPersoneel_29;DetacherenVanGesubsidieerdPersoneel_30;OverigeDiensten_31;TotaalVerleendeDiensten_32;OntvangstenVoorUitleenEnSubsidie_33;TotaalPersoneelskosten_34;BrutoLonenEnSalarissen_35;SocialeLasten_36;Pensioenpremies_37;KostenUitzendkrachten_38;KostenIngeleendPersoneel_39;OverigePersoneelskosten_40;TotaalOverigeBedrijfslasten_41;TotaalHuisvestingskosten_42;BetaaldeHurenPachtenEDVanLeasing_43;OnroerendeZaakbelastingMilieuheffing_44;Energiekosten_45;ReparatieEnOnderhoudskosten_46;Verzekeringen_47;OverigeHuisvestingskosten_48;TotaalInventarisEnMachinekosten_49;BetaaldeHurenEnKostenVanOperLease_50;Onderhoudskosten_51;OverigeInventarisEnMachinekosten_52;TotaalAutokosten_53;BetaaldeHurenEnKostenVanOperLease_54;Brandstof_55;OverigeAutokosten_56;TotaalVerkoopkosten_57;ReclameEnAdvertentiekosten_58;ReisVerblijfsEnRepresentatiekosten_59;OverigeVerkoopkosten_60;TotaalAndereKosten_61;AccountantsEnAdviesdiensten_62;KantoorbenodigdhDrukwerkVakliteratuur_63;OverigeVerzekeringen_64;OverigeKostprijsverhogendeBelastingen_65;Communicatiekosten_66;Beheerskosten_67;OverigeAutomatiseringskosten_68;NogNietEerderGenoemdeBedrijfskosten_69;TotaalAantalWerkzamePersonen_70;WerknemersOpDeLoonlijst_71;WerknemersNietOpLoonlijst_72;OverigPersoneel_73;TotaalInvesteringen_74;TotaalMaterieleVasteActiva_75;Bedrijfsruimten_76;Vervoermiddelen_77;Computers_78;OverigeMachinesApparatenED_79;OverigeMaterieleVasteActiva_80;TotaalImmaterieleVasteActiva_81
0;Totaal SBI 74504;1996;1.3;612.0;612.0;611.0;1.0;0.0;599.0;0.4;93.7;0.5;5.4;33.0;5.0;1.0;0.0;1.0;25.0;14.0;-1.0;13.0;99.7;2.2;2.1;0.2;612.0;0.0;0.0;0.3;0.0;99.5;0.1;99.9;0.1;561.0;89.2;3.2;0.1;0.3;2.5;4.9;33.0;5.0;69.4;1.1;5.3;6.8;1.0;16.4;1.0;6.7;33.7;59.6;0.0;0.0;19.9;80.1;1.0;37.6;39.4;23.0;25.0;14.6;5.1;0.3;0.0;5.0;57.9;5.3;11.9;509.0;98.9;0.0;1.1;1.0;88.4;5.0;1.0;45.4;8.0;29.0;11.6
1;Totaal SBI 74504;1997;1.3;655.0;653.0;653.0;1.0;2.0;651.0;0.5;92.6;0.4;6.6;43.0;6.0;1.0;0.0;1.0;33.0;3.0;1.0;4.0;99.5;0.6;0.5;0.6;653.0;0.0;0.0;0.3;0.1;99.4;0.1;99.9;1.6;603.0;90.3;3.3;0.2;0.5;2.0;5.4;43.0;6.0;68.5;1.5;5.4;7.4;0.7;16.5;1.0;2.9;38.3;58.8;0.0;6.1;19.3;74.6;1.0;28.4;39.6;32.0;33.0;12.6;5.1;0.3;0.2;4.7;59.7;4.1;13.3;501.0;99.1;0.1;0.8;4.0;83.1;15.8;2.7;40.3;6.3;18.1;16.9
2;Totaal SBI 74504;1998;1.2;554.0;552.0;549.0;3.0;2.0;557.0;0.6;92.3;0.5;6.7;37.0;7.0;2.0;0.0;1.0;27.0;-3.0;0.0;-3.0;99.4;-0.4;-0.5;0.9;552.0;0.1;0.5;0.2;0.0;97.6;1.0;99.5;4.1;514.0;89.9;4.6;0.2;0.5;3.8;5.1;37.0;7.0;;;;;;;2.0;;;;0.0;;;;1.0;;;;27.0;;;;;;;;;426.0;98.4;0.1;1.5;5.0;92.7;21.7;3.3;23.6;21.1;23.0;7.3
3;Totaal SBI 74504;1999;1.3;560.0;558.0;555.0;3.0;2.0;562.0;0.5;92.3;0.4;6.7;38.0;7.0;2.0;0.0;1.0;27.0;-3.0;;;;;;;558.0;;;;;;;;4.3;519.0;90.1;4.4;0.1;0.5;3.9;5.3;38.0;7.0;;;;;;;2.0;;;;0.0;;;;1.0;;;;27.0;;;;;;;;;424.0;98.3;0.1;1.5;;;;;;;;
4;Tot 1 000 000 euro;1996;0.3;13.0;13.0;13.0;0.0;0.0;13.0;0.2;92.3;0.0;7.4;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;99.8;-0.1;-0.2;0.0;13.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;12.0;92.5;2.0;0.0;0.0;1.3;4.1;1.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;50.0;0.0;0.0;0.0;0.0;0.0;17.6;64.7;17.6;1.0;15.3;3.3;0.4;0.0;0.9;69.8;1.2;9.0;12.0;98.9;0.1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;Tot 1 000 000 euro;1997;0.3;14.0;14.0;14.0;0.0;0.0;14.0;0.0;91.8;0.1;8.1;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;100.0;0.8;0.8;0.0;14.0;0.0;0.0;0.0;0.0;99.9;0.0;100.0;2.1;13.0;93.9;2.3;0.0;0.0;1.3;4.6;1.0;0.0;90.2;0.0;1.9;2.8;0.0;5.1;0.0;7.7;88.5;3.8;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;1.0;14.9;5.2;1.1;0.0;1.8;71.1;1.4;4.5;13.0;99.3;0.1;0.6;0.0;100.0;0.0;0.0;0.0;0.0;100.0;0.0
6;Tot 1 000 000 euro;1998;0.3;17.0;17.0;17.0;0.0;0.0;17.0;0.2;90.7;0.9;8.1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;99.8;3.6;3.1;2.0;17.0;3.1;0.0;1.2;0.0;95.6;0.0;100.0;1.1;15.0;89.3;4.3;0.2;0.2;2.4;4.7;1.0;0.0;;;;;;;0.0;;;;0.0;;;;0.0;;;;1.0;;;;;;;;;15.0;99.0;0.4;0.6;0.0;88.7;50.4;1.0;11.1;13.3;12.8;11.3
7;Tot 1 000 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1 000 000 tot 3 000 000 euro;1996;0.5;90.0;90.0;90.0;0.0;0.0;87.0;0.7;91.2;0.3;7.8;7.0;1.0;0.0;0.0;0.0;6.0;3.0;0.0;3.0;99.3;3.6;3.5;0.1;90.0;0.0;0.0;0.5;0.0;99.0;0.6;100.0;0.2;79.0;90.0;3.0;0.1;0.2;2.5;4.5;7.0;1.0;78.1;0.5;4.0;6.9;0.3;10.2;0.0;0.5;23.6;75.9;0.0;0.0;2.7;97.3;0.0;15.5;50.8;33.7;6.0;15.3;3.6;0.1;0.0;2.4;67.5;2.3;8.7;80.0;99.0;0.0;1.0;0.0;79.6;4.2;0.0;31.1;3.6;40.7;20.4
9;1 000 000 tot 3 000 000 euro;1997;0.4;77.0;77.0;77.0;0.0;0.0;75.0;0.5;92.0;0.3;7.2;5.0;1.0;0.0;0.0;0.0;5.0;1.0;0.0;1.0;99.5;1.7;1.7;0.3;77.0;0.0;0.0;0.3;0.2;99.4;0.0;100.0;1.6;69.0;88.5;3.9;0.1;0.1;3.7;5.2;5.0;1.0;76.5;1.4;5.0;8.3;0.5;8.2;0.0;0.4;22.6;77.0;0.0;0.0;0.0;100.0;0.0;13.0;66.3;20.7;5.0;18.3;4.3;0.4;0.0;2.8;60.1;3.3;10.8;64.0;98.6;0.1;1.3;0.0;91.5;7.9;13.0;30.8;10.3;29.4;8.5
