ID;Geslacht;Leeftijd;Perioden;BuitenlandGeborenWerknemersTotaal_1;BuitenlandGeborenWerknemersIngesc_2;BuitenlandGeborenWerknemersNietI_3
0;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;1999, vrijdag 24 september;417.3;355.2;62.1
1;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;2000, vrijdag 29 september;459.9;382.8;77.2
2;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;2001, vrijdag 28 september;499.6;403.1;96.6
3;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;2002, vrijdag 27 september;517.2;413.2;104.0
4;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;2003, vrijdag 26 september;513.8;408.8;105.0
5;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;2004, vrijdag 24 september;506.4;398.0;108.4
6;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;2005, vrijdag 30 september;514.8;401.1;113.6
7;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;2006, vrijdag 29 september;536.2;414.9;121.3
8;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;2007, vrijdag 28 september;615.4;443.6;171.9
9;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;2008, vrijdag 26 september;662.4;472.1;190.3
10;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;2009, vrijdag 25 september;648.0;469.8;178.2
11;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;2010, vrijdag 24 september;659.5;477.3;182.2
12;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;2011, vrijdag 23 september;683.5;492.7;190.8
13;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;2012, vrijdag 28 september;680.4;494.9;185.5
14;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;2013, vrijdag 28 september;677.9;495.1;182.8
15;Totaal mannen en vrouwen;Totaal 18 tot 75 jaar;2014, vrijdag 26 september;676.9;501.9;175.0
16;Totaal mannen en vrouwen;18 tot 20 jaar;1999, vrijdag 24 september;1.9;0.9;1.1
17;Totaal mannen en vrouwen;18 tot 20 jaar;2000, vrijdag 29 september;2.9;1.0;1.8
18;Totaal mannen en vrouwen;18 tot 20 jaar;2001, vrijdag 28 september;3.9;1.2;2.6
19;Totaal mannen en vrouwen;18 tot 20 jaar;2002, vrijdag 27 september;4.3;1.3;3.1
20;Totaal mannen en vrouwen;18 tot 20 jaar;2003, vrijdag 26 september;4.0;0.9;3.0
21;Totaal mannen en vrouwen;18 tot 20 jaar;2004, vrijdag 24 september;3.6;0.6;3.0
22;Totaal mannen en vrouwen;18 tot 20 jaar;2005, vrijdag 30 september;3.3;0.5;2.8
23;Totaal mannen en vrouwen;18 tot 20 jaar;2006, vrijdag 29 september;3.6;0.5;3.1
24;Totaal mannen en vrouwen;18 tot 20 jaar;2007, vrijdag 28 september;5.5;0.6;4.8
25;Totaal mannen en vrouwen;18 tot 20 jaar;2008, vrijdag 26 september;5.8;0.8;5.0
26;Totaal mannen en vrouwen;18 tot 20 jaar;2009, vrijdag 25 september;5.0;0.9;4.1
27;Totaal mannen en vrouwen;18 tot 20 jaar;2010, vrijdag 24 september;4.9;0.8;4.1
28;Totaal mannen en vrouwen;18 tot 20 jaar;2011, vrijdag 23 september;4.8;0.8;4.0
29;Totaal mannen en vrouwen;18 tot 20 jaar;2012, vrijdag 28 september;4.1;0.8;3.3
30;Totaal mannen en vrouwen;18 tot 20 jaar;2013, vrijdag 28 september;5.2;0.7;4.5
31;Totaal mannen en vrouwen;18 tot 20 jaar;2014, vrijdag 26 september;4.8;0.9;3.9
32;Totaal mannen en vrouwen;18 tot 25 jaar;1999, vrijdag 24 september;25.4;17.5;8.0
33;Totaal mannen en vrouwen;18 tot 25 jaar;2000, vrijdag 29 september;32.0;19.7;12.3
34;Totaal mannen en vrouwen;18 tot 25 jaar;2001, vrijdag 28 september;37.4;20.9;16.6
35;Totaal mannen en vrouwen;18 tot 25 jaar;2002, vrijdag 27 september;40.2;21.2;19.0
36;Totaal mannen en vrouwen;18 tot 25 jaar;2003, vrijdag 26 september;39.3;19.4;19.9
37;Totaal mannen en vrouwen;18 tot 25 jaar;2004, vrijdag 24 september;37.8;17.0;20.8
38;Totaal mannen en vrouwen;18 tot 25 jaar;2005, vrijdag 30 september;37.3;16.1;21.2
39;Totaal mannen en vrouwen;18 tot 25 jaar;2006, vrijdag 29 september;39.6;15.8;23.8
40;Totaal mannen en vrouwen;18 tot 25 jaar;2007, vrijdag 28 september;56.6;17.3;39.3
41;Totaal mannen en vrouwen;18 tot 25 jaar;2008, vrijdag 26 september;61.8;19.6;42.2
42;Totaal mannen en vrouwen;18 tot 25 jaar;2009, vrijdag 25 september;55.2;18.6;36.6
43;Totaal mannen en vrouwen;18 tot 25 jaar;2010, vrijdag 24 september;56.2;18.8;37.4
44;Totaal mannen en vrouwen;18 tot 25 jaar;2011, vrijdag 23 september;58.1;20.1;38.0
45;Totaal mannen en vrouwen;18 tot 25 jaar;2012, vrijdag 28 september;56.2;20.1;36.1
46;Totaal mannen en vrouwen;18 tot 25 jaar;2013, vrijdag 28 september;56.8;19.2;37.6
47;Totaal mannen en vrouwen;18 tot 25 jaar;2014, vrijdag 26 september;56.1;20.4;35.7
48;Totaal mannen en vrouwen;18 tot 30 jaar;1999, vrijdag 24 september;82.4;65.5;16.9
49;Totaal mannen en vrouwen;18 tot 30 jaar;2000, vrijdag 29 september;93.7;69.5;24.2
50;Totaal mannen en vrouwen;18 tot 30 jaar;2001, vrijdag 28 september;102.5;71.0;31.5
51;Totaal mannen en vrouwen;18 tot 30 jaar;2002, vrijdag 27 september;105.4;70.4;35.0
52;Totaal mannen en vrouwen;18 tot 30 jaar;2003, vrijdag 26 september;102.5;66.2;36.3
53;Totaal mannen en vrouwen;18 tot 30 jaar;2004, vrijdag 24 september;98.6;60.5;38.1
54;Totaal mannen en vrouwen;18 tot 30 jaar;2005, vrijdag 30 september;98.3;58.9;39.4
55;Totaal mannen en vrouwen;18 tot 30 jaar;2006, vrijdag 29 september;103.3;59.5;43.8
56;Totaal mannen en vrouwen;18 tot 30 jaar;2007, vrijdag 28 september;134.9;65.0;69.9
57;Totaal mannen en vrouwen;18 tot 30 jaar;2008, vrijdag 26 september;149.3;72.5;76.8
58;Totaal mannen en vrouwen;18 tot 30 jaar;2009, vrijdag 25 september;141.8;71.3;70.4
59;Totaal mannen en vrouwen;18 tot 30 jaar;2010, vrijdag 24 september;145.4;72.6;72.8
60;Totaal mannen en vrouwen;18 tot 30 jaar;2011, vrijdag 23 september;151.9;76.2;75.6
61;Totaal mannen en vrouwen;18 tot 30 jaar;2012, vrijdag 28 september;149.2;76.4;72.7
62;Totaal mannen en vrouwen;18 tot 30 jaar;2013, vrijdag 28 september;147.2;74.9;72.4
63;Totaal mannen en vrouwen;18 tot 30 jaar;2014, vrijdag 26 september;145.9;77.7;68.3
64;Totaal mannen en vrouwen;25 tot 35 jaar;1999, vrijdag 24 september;132.1;113.6;18.5
65;Totaal mannen en vrouwen;25 tot 35 jaar;2000, vrijdag 29 september;143.4;119.6;23.7
66;Totaal mannen en vrouwen;25 tot 35 jaar;2001, vrijdag 28 september;151.2;122.0;29.2
67;Totaal mannen en vrouwen;25 tot 35 jaar;2002, vrijdag 27 september;151.5;121.0;30.4
68;Totaal mannen en vrouwen;25 tot 35 jaar;2003, vrijdag 26 september;145.9;115.5;30.4
69;Totaal mannen en vrouwen;25 tot 35 jaar;2004, vrijdag 24 september;139.0;107.8;31.2
70;Totaal mannen en vrouwen;25 tot 35 jaar;2005, vrijdag 30 september;137.7;105.1;32.6
71;Totaal mannen en vrouwen;25 tot 35 jaar;2006, vrijdag 29 september;141.3;106.2;35.1
72;Totaal mannen en vrouwen;25 tot 35 jaar;2007, vrijdag 28 september;165.2;112.7;52.5
73;Totaal mannen en vrouwen;25 tot 35 jaar;2008, vrijdag 26 september;180.2;121.1;59.1
74;Totaal mannen en vrouwen;25 tot 35 jaar;2009, vrijdag 25 september;177.2;119.5;57.7
75;Totaal mannen en vrouwen;25 tot 35 jaar;2010, vrijdag 24 september;181.9;121.7;60.2
76;Totaal mannen en vrouwen;25 tot 35 jaar;2011, vrijdag 23 september;190.7;126.4;64.3
77;Totaal mannen en vrouwen;25 tot 35 jaar;2012, vrijdag 28 september;190.4;127.3;63.1
78;Totaal mannen en vrouwen;25 tot 35 jaar;2013, vrijdag 28 september;188.2;127.1;61.1
79;Totaal mannen en vrouwen;25 tot 35 jaar;2014, vrijdag 26 september;189.6;131.2;58.4
80;Totaal mannen en vrouwen;30 tot 45 jaar;1999, vrijdag 24 september;212.7;186.2;26.5
81;Totaal mannen en vrouwen;30 tot 45 jaar;2000, vrijdag 29 september;233.2;200.0;33.2
82;Totaal mannen en vrouwen;30 tot 45 jaar;2001, vrijdag 28 september;249.8;208.9;40.9
83;Totaal mannen en vrouwen;30 tot 45 jaar;2002, vrijdag 27 september;254.7;212.3;42.4
84;Totaal mannen en vrouwen;30 tot 45 jaar;2003, vrijdag 26 september;250.1;208.3;41.9
85;Totaal mannen en vrouwen;30 tot 45 jaar;2004, vrijdag 24 september;243.0;201.0;42.0
86;Totaal mannen en vrouwen;30 tot 45 jaar;2005, vrijdag 30 september;242.9;199.4;43.5
87;Totaal mannen en vrouwen;30 tot 45 jaar;2006, vrijdag 29 september;250.0;205.0;45.0
88;Totaal mannen en vrouwen;30 tot 45 jaar;2007, vrijdag 28 september;276.7;215.3;61.4
89;Totaal mannen en vrouwen;30 tot 45 jaar;2008, vrijdag 26 september;292.3;224.6;67.7
90;Totaal mannen en vrouwen;30 tot 45 jaar;2009, vrijdag 25 september;282.8;218.9;63.9
91;Totaal mannen en vrouwen;30 tot 45 jaar;2010, vrijdag 24 september;283.3;218.9;64.4
92;Totaal mannen en vrouwen;30 tot 45 jaar;2011, vrijdag 23 september;289.9;222.1;67.7
93;Totaal mannen en vrouwen;30 tot 45 jaar;2012, vrijdag 28 september;287.0;220.8;66.2
94;Totaal mannen en vrouwen;30 tot 45 jaar;2013, vrijdag 28 september;283.3;218.3;65.0
95;Totaal mannen en vrouwen;30 tot 45 jaar;2014, vrijdag 26 september;283.1;220.0;63.1
96;Totaal mannen en vrouwen;35 tot 45 jaar;1999, vrijdag 24 september;137.6;120.7;16.9
97;Totaal mannen en vrouwen;35 tot 45 jaar;2000, vrijdag 29 september;151.5;130.2;21.3
98;Totaal mannen en vrouwen;35 tot 45 jaar;2001, vrijdag 28 september;163.7;137.1;26.6
99;Totaal mannen en vrouwen;35 tot 45 jaar;2002, vrijdag 27 september;168.4;140.5;28.0
