ID;Periods;IndexFigures_1;ChangesComparedTo1YearAgo_2;IndexFigures_3;ChangesComparedTo1YearAgo_4
112;1999 May;107.0;0.9;121.0;0.9
113;1999 June;108.0;1.7;122.0;1.7
114;1999 July;108.0;2.4;123.0;2.4
115;1999 August;108.0;2.1;123.0;2.1
116;1999 September;108.0;2.2;123.0;2.2
117;1999 October;108.0;2.6;123.0;2.6
118;1999 November;109.0;3.3;124.0;3.3
119;1999 December;109.0;3.4;124.0;3.4
120;2000 January;111.0;4.1;;
121;2000 February;111.0;4.4;;
122;2000 March;111.0;4.3;;
123;2000 April;111.0;4.5;;
124;2000 May;112.0;4.7;;
125;2000 June;111.0;3.3;;
126;2000 July;112.0;3.4;;
127;2000 August;112.0;3.7;;
128;2000 September;113.0;3.9;;
129;2000 October;113.0;3.7;;
130;2000 November;112.0;2.8;;
131;2000 December;112.0;2.8;;
132;2001 January;115.0;4.1;;
133;2001 February;117.0;4.9;;
134;2001 March;117.0;5.0;;
135;2001 April;118.0;6.4;;
136;2001 May;119.0;6.7;;
137;2001 June;120.0;7.8;;
138;2001 July;121.0;7.6;;
139;2001 August;121.0;7.6;;
140;2001 September;121.0;7.2;;
141;2001 October;121.0;7.4;;
142;2001 November;121.0;7.3;;
143;2001 December;121.0;7.5;;
144;2002 January;122.0;5.5;;
145;2002 February;122.0;4.7;;
146;2002 March;123.0;5.2;;
147;2002 April;123.0;3.5;;
148;2002 May;124.0;4.1;;
149;2002 June;124.0;3.7;;
150;2002 July;126.0;4.0;;
151;2002 August;126.0;4.0;;
152;2002 September;126.0;4.2;;
153;2002 October;126.0;4.3;;
154;2002 November;126.0;4.4;;
155;2002 December;126.0;4.1;;
156;2003 January;127.0;4.1;;
157;2003 February;127.0;4.0;;
158;2003 March;127.0;3.4;;
159;2003 April;127.0;3.7;;
160;2003 May;128.0;2.8;;
161;2003 June;127.0;2.2;;
162;2003 July;127.0;1.3;;
163;2003 August;128.0;1.6;;
164;2003 September;128.0;1.5;;
165;2003 October;128.0;1.3;;
166;2003 November;128.0;2.0;;
167;2003 December;128.0;1.9;;
