ID;WaardeklasseWOZObjecten;RegioS;Perioden;TotaalWOZObjecten_1;WOZObjectenWoningen_2;RecreatiewoningenEnOverigeWoningen_3;NietWoningenGedeeltelijkBewoond_4;NietWoningenNietBewoond_5
0;Totaal;Nederland;1997;7319130.0;6216391.0;287704.0;171839.0;643196.0
1;Totaal;Nederland;1998;7467080.0;6324240.0;325567.0;170744.0;646529.0
2;Totaal;Nederland;1999;7607508.0;6425332.0;351556.0;169041.0;661579.0
3;Totaal;Nederland;2000;7720019.0;6520910.0;350756.0;166448.0;681905.0
4;Totaal;Nederland;2001;7811179.0;6607835.0;372925.0;148088.0;682331.0
5;Totaal;Nederland;2002;7888733.0;6657513.0;389054.0;146556.0;695610.0
6;Totaal;Nederland;2003;7950128.0;6715556.0;391697.0;143115.0;699760.0
7;Totaal;Nederland;2004;8009421.0;6765031.0;396287.0;140416.0;707687.0
8;Totaal;Nederland;2005;8065373.0;6836397.0;400492.0;126222.0;702262.0
9;Totaal;Nederland;2006;8131187.0;6898824.0;406626.0;122039.0;703698.0
10;Totaal;Nederland;2007;8202867.0;6976078.0;408057.0;108674.0;710058.0
11;Totaal;Nederland;2008;8277360.0;7043736.0;412658.0;97363.0;723603.0
12;Totaal;Nederland;2009;8355947.0;7113370.0;411763.0;95490.0;735324.0
13;Totaal;Nederland;2010;8402000.0;7149037.0;414609.0;94722.0;743632.0
14;Totaal;Nederland;2011;8475939.0;7204367.0;418303.0;93487.0;759782.0
15;Totaal;Noord-Nederland (LD);1997;785436.0;649698.0;35112.0;28698.0;71928.0
16;Totaal;Noord-Nederland (LD);1998;800805.0;659919.0;41102.0;28711.0;71073.0
17;Totaal;Noord-Nederland (LD);1999;814959.0;668356.0;42390.0;29252.0;74961.0
18;Totaal;Noord-Nederland (LD);2000;827460.0;675103.0;42983.0;29147.0;80227.0
19;Totaal;Noord-Nederland (LD);2001;833143.0;681632.0;47165.0;27236.0;77110.0
20;Totaal;Noord-Nederland (LD);2002;842262.0;686739.0;49365.0;26938.0;79220.0
21;Totaal;Noord-Nederland (LD);2003;847934.0;690079.0;50104.0;26451.0;81300.0
22;Totaal;Noord-Nederland (LD);2004;852759.0;694649.0;50939.0;26043.0;81128.0
23;Totaal;Noord-Nederland (LD);2005;857275.0;702148.0;50565.0;23923.0;80639.0
24;Totaal;Noord-Nederland (LD);2006;862002.0;706859.0;50866.0;22567.0;81710.0
25;Totaal;Noord-Nederland (LD);2007;869111.0;714246.0;50753.0;21665.0;82447.0
26;Totaal;Noord-Nederland (LD);2008;877002.0;720257.0;51099.0;20129.0;85517.0
27;Totaal;Noord-Nederland (LD);2009;884871.0;726026.0;50957.0;19624.0;88264.0
28;Totaal;Noord-Nederland (LD);2010;889234.0;729186.0;51116.0;19041.0;89891.0
29;Totaal;Noord-Nederland (LD);2011;894642.0;731000.0;52189.0;19716.0;91737.0
30;Totaal;Oost-Nederland (LD);1997;1422284.0;1198568.0;49016.0;52254.0;122446.0
31;Totaal;Oost-Nederland (LD);1998;1457571.0;1225084.0;55285.0;49589.0;127613.0
32;Totaal;Oost-Nederland (LD);1999;1501588.0;1250483.0;60132.0;49057.0;141916.0
33;Totaal;Oost-Nederland (LD);2000;1526313.0;1275845.0;58548.0;48609.0;143311.0
34;Totaal;Oost-Nederland (LD);2001;1547258.0;1296620.0;61825.0;42213.0;146600.0
35;Totaal;Oost-Nederland (LD);2002;1566113.0;1311995.0;63771.0;41876.0;148471.0
36;Totaal;Oost-Nederland (LD);2003;1587271.0;1326273.0;65029.0;41097.0;154872.0
37;Totaal;Oost-Nederland (LD);2004;1603681.0;1339875.0;66599.0;40318.0;156889.0
38;Totaal;Oost-Nederland (LD);2005;1614702.0;1356944.0;67865.0;36097.0;153796.0
39;Totaal;Oost-Nederland (LD);2006;1630327.0;1369907.0;71874.0;35309.0;153237.0
40;Totaal;Oost-Nederland (LD);2007;1645244.0;1385707.0;72127.0;32193.0;155217.0
41;Totaal;Oost-Nederland (LD);2008;1662788.0;1401386.0;73902.0;29681.0;157819.0
42;Totaal;Oost-Nederland (LD);2009;1682195.0;1416701.0;74457.0;29564.0;161473.0
43;Totaal;Oost-Nederland (LD);2010;1695559.0;1426858.0;75054.0;29304.0;164343.0
44;Totaal;Oost-Nederland (LD);2011;1709704.0;1438146.0;75587.0;28731.0;167240.0
45;Totaal;West-Nederland (LD);1997;3564180.0;3049198.0;144916.0;42575.0;327491.0
46;Totaal;West-Nederland (LD);1998;3627041.0;3095239.0;164702.0;44666.0;322434.0
47;Totaal;West-Nederland (LD);1999;3681121.0;3140984.0;176921.0;44088.0;319128.0
48;Totaal;West-Nederland (LD);2000;3733273.0;3177870.0;183861.0;42689.0;328853.0
