ID;Populatie;Vervoerwijzen;Reismotieven;RegioS;Perioden;Verplaatsingen_1;Afstand_2;Reisduur_3;Afstand_4;ReisduurPerVerplaatsing_5;Verplaatsingen_6;Afstand_7;Reisduur_8
0;Totaal;Totaal;Totaal;Nederland;2010;2.77;30.31;62.54;10.94;22.57;963.0;10536.0;362.3
1;Totaal;Totaal;Totaal;Nederland;2011;2.67;30.69;61.33;11.5;22.98;928.0;10675.0;355.5
2;Totaal;Totaal;Totaal;Nederland;2012;2.68;29.39;60.45;10.96;22.54;936.0;10253.0;351.5
3;Totaal;Totaal;Totaal;Nederland;2013;2.68;30.49;61.18;11.38;22.83;933.0;10611.0;354.8
4;Totaal;Totaal;Totaal;Nederland;2014;2.69;30.74;62.74;11.41;23.3;937.0;10694.0;363.8
5;Totaal;Totaal;Totaal;Nederland;2015;2.6;29.46;59.89;11.32;23.02;906.0;10264.0;347.8
6;Totaal;Totaal;Totaal;Nederland;2016;2.55;29.38;59.44;11.53;23.33;890.0;10264.0;346.1
7;Totaal;Totaal;Totaal;Nederland;2017;2.5;29.11;58.34;11.66;23.36;865.0;10089.0;337.0
8;Totaal;Totaal;Totaal;Noord-Nederland (LD);2010;2.71;34.45;62.85;12.7;23.18;943.0;11973.0;364.1
9;Totaal;Totaal;Totaal;Noord-Nederland (LD);2011;2.6;33.49;59.55;12.89;22.91;904.0;11654.0;345.3
10;Totaal;Totaal;Totaal;Noord-Nederland (LD);2012;2.64;32.14;59.9;12.18;22.7;921.0;11214.0;348.3
11;Totaal;Totaal;Totaal;Noord-Nederland (LD);2013;2.65;33.56;58.85;12.66;22.2;922.0;11671.0;341.1
12;Totaal;Totaal;Totaal;Noord-Nederland (LD);2014;2.62;33.85;62.79;12.91;23.94;912.0;11778.0;364.2
13;Totaal;Totaal;Totaal;Noord-Nederland (LD);2015;2.53;32.96;59.53;13.0;23.48;884.0;11489.0;345.8
14;Totaal;Totaal;Totaal;Noord-Nederland (LD);2016;2.51;33.2;59.98;13.22;23.89;877.0;11596.0;349.1
15;Totaal;Totaal;Totaal;Noord-Nederland (LD);2017;2.49;30.92;56.74;12.4;22.75;864.0;10711.0;327.6
16;Totaal;Totaal;Totaal;Oost-Nederland (LD);2010;2.86;32.78;63.54;11.47;22.24;993.0;11396.0;368.2
17;Totaal;Totaal;Totaal;Oost-Nederland (LD);2011;2.72;31.96;59.75;11.75;21.97;945.0;11106.0;346.1
18;Totaal;Totaal;Totaal;Oost-Nederland (LD);2012;2.7;29.82;58.35;11.05;21.62;941.0;10400.0;339.1
19;Totaal;Totaal;Totaal;Oost-Nederland (LD);2013;2.72;30.96;59.31;11.39;21.81;946.0;10775.0;344.0
20;Totaal;Totaal;Totaal;Oost-Nederland (LD);2014;2.7;32.62;61.66;12.08;22.84;939.0;11349.0;357.6
21;Totaal;Totaal;Totaal;Oost-Nederland (LD);2015;2.67;31.24;58.38;11.7;21.87;930.0;10885.0;339.0
22;Totaal;Totaal;Totaal;Oost-Nederland (LD);2016;2.55;31.27;58.74;12.29;23.08;889.0;10924.0;342.0
23;Totaal;Totaal;Totaal;Oost-Nederland (LD);2017;2.52;31.04;58.53;12.3;23.2;874.0;10755.0;338.0
24;Totaal;Totaal;Totaal;West-Nederland (LD);2010;2.73;28.6;63.04;10.46;23.06;950.0;9941.0;365.2
25;Totaal;Totaal;Totaal;West-Nederland (LD);2011;2.64;29.4;63.52;11.12;24.02;920.0;10229.0;368.3
26;Totaal;Totaal;Totaal;West-Nederland (LD);2012;2.68;28.93;62.5;10.8;23.33;935.0;10098.0;363.6
27;Totaal;Totaal;Totaal;West-Nederland (LD);2013;2.65;29.28;62.95;11.06;23.77;922.0;10190.0;365.2
28;Totaal;Totaal;Totaal;West-Nederland (LD);2014;2.68;29.64;64.68;11.07;24.15;932.0;10314.0;375.1
29;Totaal;Totaal;Totaal;West-Nederland (LD);2015;2.57;28.13;61.67;10.94;23.99;896.0;9805.0;358.3
30;Totaal;Totaal;Totaal;West-Nederland (LD);2016;2.54;28.17;60.71;11.1;23.91;887.0;9841.0;353.5
31;Totaal;Totaal;Totaal;West-Nederland (LD);2017;2.46;27.87;59.72;11.31;24.24;854.0;9663.0;345.1
32;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2010;2.79;29.62;60.29;10.6;21.58;971.0;10293.0;349.2
33;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2011;2.7;30.92;58.93;11.43;21.79;941.0;10757.0;341.7
34;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2012;2.69;28.65;58.29;10.65;21.66;938.0;9988.0;338.6
35;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2013;2.73;31.25;60.25;11.46;22.09;949.0;10870.0;349.3
36;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2014;2.75;29.82;59.5;10.84;21.63;957.0;10370.0;344.9
37;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2015;2.63;28.98;57.57;11.01;21.86;917.0;10091.0;334.1
38;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2016;2.59;28.4;57.06;10.97;22.04;904.0;9923.0;332.3
39;Totaal;Totaal;Totaal;Zuid-Nederland (LD);2017;2.55;29.11;55.81;11.43;21.91;883.0;10090.0;322.4
40;Totaal;Totaal;Totaal;Groningen (PV);2010;2.75;35.75;65.47;12.99;23.79;956.0;12427.0;379.3
41;Totaal;Totaal;Totaal;Groningen (PV);2011;2.68;35.85;63.57;13.35;23.68;935.0;12485.0;369.0
42;Totaal;Totaal;Totaal;Groningen (PV);2012;2.62;33.01;61.51;12.58;23.43;916.0;11522.0;357.8
43;Totaal;Totaal;Totaal;Groningen (PV);2013;2.62;31.84;57.71;12.17;22.06;910.0;11076.0;334.6
44;Totaal;Totaal;Totaal;Groningen (PV);2014;2.65;32.12;61.76;12.13;23.32;922.0;11183.0;358.4
45;Totaal;Totaal;Totaal;Groningen (PV);2015;2.6;32.39;60.21;12.47;23.18;906.0;11301.0;350.1
46;Totaal;Totaal;Totaal;Groningen (PV);2016;2.44;32.0;59.85;13.1;24.5;854.0;11187.0;348.7
47;Totaal;Totaal;Totaal;Groningen (PV);2017;2.63;32.19;60.08;12.24;22.84;912.0;11156.0;347.0
48;Totaal;Totaal;Totaal;Friesland (PV);2010;2.64;32.36;61.58;12.25;23.3;919.0;11250.0;356.8
49;Totaal;Totaal;Totaal;Friesland (PV);2011;2.5;30.31;55.31;12.12;22.12;870.0;10551.0;320.8
50;Totaal;Totaal;Totaal;Friesland (PV);2012;2.66;30.98;59.48;11.64;22.36;928.0;10809.0;345.9
51;Totaal;Totaal;Totaal;Friesland (PV);2013;2.71;32.99;58.31;12.16;21.49;944.0;11474.0;338.0
52;Totaal;Totaal;Totaal;Friesland (PV);2014;2.59;33.95;63.99;13.1;24.69;902.0;11812.0;371.0
53;Totaal;Totaal;Totaal;Friesland (PV);2015;2.51;31.65;58.0;12.6;23.09;875.0;11025.0;336.7
54;Totaal;Totaal;Totaal;Friesland (PV);2016;2.56;32.47;60.82;12.69;23.78;893.0;11335.0;353.8
55;Totaal;Totaal;Totaal;Friesland (PV);2017;2.43;28.84;55.42;11.89;22.84;841.0;9992.0;320.0
56;Totaal;Totaal;Totaal;Drenthe (PV);2010;2.76;35.66;61.49;12.94;22.31;958.0;12391.0;356.2
57;Totaal;Totaal;Totaal;Drenthe (PV);2011;2.63;34.9;60.4;13.28;22.97;913.0;12126.0;349.7
58;Totaal;Totaal;Totaal;Drenthe (PV);2012;2.63;32.65;58.56;12.42;22.28;916.0;11384.0;340.3
59;Totaal;Totaal;Totaal;Drenthe (PV);2013;2.61;36.36;60.9;13.93;23.34;907.0;12635.0;352.7
60;Totaal;Totaal;Totaal;Drenthe (PV);2014;2.63;35.77;62.45;13.58;23.71;916.0;12439.0;361.9
61;Totaal;Totaal;Totaal;Drenthe (PV);2015;2.49;35.38;60.73;14.22;24.4;867.0;12328.0;352.7
62;Totaal;Totaal;Totaal;Drenthe (PV);2016;2.53;35.6;59.01;14.08;23.33;883.0;12433.0;343.4
63;Totaal;Totaal;Totaal;Drenthe (PV);2017;2.42;32.15;54.51;13.28;22.52;838.0;11132.0;314.6
64;Totaal;Totaal;Totaal;Overijssel (PV);2010;2.89;30.38;61.44;10.51;21.26;1005.0;10566.0;356.2
65;Totaal;Totaal;Totaal;Overijssel (PV);2011;2.8;31.25;59.53;11.15;21.25;974.0;10866.0;345.0
66;Totaal;Totaal;Totaal;Overijssel (PV);2012;2.72;29.47;59.04;10.85;21.74;946.0;10270.0;342.9
67;Totaal;Totaal;Totaal;Overijssel (PV);2013;2.71;29.98;58.78;11.06;21.69;943.0;10438.0;341.1
68;Totaal;Totaal;Totaal;Overijssel (PV);2014;2.69;30.87;60.67;11.49;22.59;935.0;10741.0;351.8
69;Totaal;Totaal;Totaal;Overijssel (PV);2015;2.65;28.19;54.5;10.63;20.56;924.0;9826.0;316.6
70;Totaal;Totaal;Totaal;Overijssel (PV);2016;2.48;28.41;55.43;11.45;22.33;867.0;9925.0;322.7
71;Totaal;Totaal;Totaal;Overijssel (PV);2017;2.51;30.28;55.35;12.07;22.06;870.0;10495.0;319.7
72;Totaal;Totaal;Totaal;Flevoland (PV);2010;2.77;38.05;66.52;13.75;24.04;963.0;13237.0;385.7
73;Totaal;Totaal;Totaal;Flevoland (PV);2011;2.67;35.32;60.01;13.23;22.48;928.0;12282.0;347.9
74;Totaal;Totaal;Totaal;Flevoland (PV);2012;2.67;35.92;62.43;13.46;23.4;931.0;12529.0;363.0
75;Totaal;Totaal;Totaal;Flevoland (PV);2013;2.66;32.94;60.96;12.4;22.96;925.0;11475.0;354.0
76;Totaal;Totaal;Totaal;Flevoland (PV);2014;2.68;35.75;63.63;13.36;23.78;933.0;12460.0;369.6
77;Totaal;Totaal;Totaal;Flevoland (PV);2015;2.59;38.76;64.78;14.96;25.0;902.0;13495.0;376.0
78;Totaal;Totaal;Totaal;Flevoland (PV);2016;2.45;34.85;62.66;14.25;25.62;855.0;12178.0;364.9
79;Totaal;Totaal;Totaal;Flevoland (PV);2017;2.47;37.03;64.37;15.02;26.11;855.0;12839.0;372.0
80;Totaal;Totaal;Totaal;Gelderland (PV);2010;2.86;33.11;64.15;11.59;22.46;993.0;11504.0;371.5
81;Totaal;Totaal;Totaal;Gelderland (PV);2011;2.68;31.69;59.81;11.82;22.3;932.0;11010.0;346.3
82;Totaal;Totaal;Totaal;Gelderland (PV);2012;2.69;28.82;57.15;10.69;21.21;940.0;10051.0;332.2
83;Totaal;Totaal;Totaal;Gelderland (PV);2013;2.74;31.12;59.28;11.37;21.66;952.0;10825.0;343.7
84;Totaal;Totaal;Totaal;Gelderland (PV);2014;2.71;32.98;61.83;12.16;22.79;944.0;11471.0;358.4
85;Totaal;Totaal;Totaal;Gelderland (PV);2015;2.7;31.47;59.3;11.68;22.0;939.0;10963.0;344.3
86;Totaal;Totaal;Totaal;Gelderland (PV);2016;2.6;32.17;59.83;12.37;23.0;908.0;11237.0;348.3
87;Totaal;Totaal;Totaal;Gelderland (PV);2017;2.54;30.26;59.14;11.91;23.27;881.0;10485.0;341.5
88;Totaal;Totaal;Totaal;Utrecht (PV);2010;2.82;30.6;61.69;10.86;21.9;979.0;10638.0;357.4
89;Totaal;Totaal;Totaal;Utrecht (PV);2011;2.72;30.4;63.83;11.18;23.46;947.0;10579.0;370.2
90;Totaal;Totaal;Totaal;Utrecht (PV);2012;2.82;32.8;65.9;11.64;23.38;984.0;11450.0;383.4
91;Totaal;Totaal;Totaal;Utrecht (PV);2013;2.82;33.27;65.39;11.8;23.19;982.0;11586.0;379.5
