ID;Bussen;LeeftijdVoertuig;Perioden;TotaalKilometersInNederland_1;KilometersDoorNederlandseVoertuigen_2;KilometersDoorBuitenlandseVoertuigen_3;TotaalKilometers_4;KilometersInNederland_5;KilometersInHetBuitenland_6;TotaalGemiddeldJaarkilometrage_7;GemiddeldJaarkilometrageInNederland_8;GemiddeldJaarkilometrageInBuitenland_9;NederlandseBussenInGebruik_10
0;Totaal;Totaal;1990;621.0;601.0;20.0;713.0;601.0;112.0;;;;
1;Totaal;Totaal;1991;625.0;605.0;20.0;707.0;605.0;102.0;;;;
2;Totaal;Totaal;1992;622.0;601.0;21.0;702.0;601.0;101.0;;;;
3;Totaal;Totaal;1993;621.0;602.0;19.0;735.0;602.0;133.0;;;;
4;Totaal;Totaal;1994;621.0;600.0;21.0;739.0;600.0;139.0;;;;
5;Totaal;Totaal;1995;644.0;621.0;23.0;759.0;621.0;138.0;;;;
6;Totaal;Totaal;1996;645.0;623.0;22.0;759.0;623.0;136.0;;;;
7;Totaal;Totaal;1997;621.0;599.0;22.0;731.0;599.0;132.0;;;;
8;Totaal;Totaal;1998;619.0;586.0;33.0;716.0;586.0;130.0;;;;
9;Totaal;Totaal;1999;622.0;590.0;33.0;719.0;590.0;130.0;;;;
10;Totaal;Totaal;2000;633.0;600.0;33.0;722.0;600.0;122.0;;;;
11;Totaal;Totaal;2001;623.4;591.5;31.9;710.1;591.5;118.6;56490.0;47056.0;9435.0;12570.0
12;Totaal;Totaal;2002;630.9;599.2;31.7;718.9;599.2;119.7;57659.0;48057.0;9602.0;12469.0
13;Totaal;Totaal;2003;609.7;582.5;27.2;697.2;582.5;114.7;55216.0;46129.0;9087.0;12627.0
14;Totaal;Totaal;2004;594.9;567.3;27.6;681.0;567.3;113.7;53400.0;44481.0;8919.0;12753.0
15;Totaal;Totaal;2005;594.5;566.8;27.6;678.4;566.8;111.6;53069.0;44343.0;8727.0;12783.0
16;Totaal;Totaal;2006;589.2;560.4;28.8;669.3;560.4;108.9;54327.0;45489.0;8839.0;12320.0
17;Totaal;Totaal;2007;611.2;584.1;27.1;692.9;584.1;108.8;55237.0;46560.0;8676.0;12545.0
18;Totaal;Totaal;2008;626.2;600.5;25.7;711.4;600.5;111.0;55966.0;47236.0;8730.0;12712.0
19;Totaal;Totaal;2009;649.5;625.9;23.6;729.3;625.9;103.4;56557.0;48538.0;8018.0;12895.0
20;Totaal;Totaal;2010;661.6;639.5;22.1;734.5;639.5;95.0;57618.0;50165.0;7453.0;12748.0
21;Totaal;Totaal;2011;661.0;637.4;23.7;729.5;637.4;92.2;58387.0;51009.0;7378.0;12495.0
22;Totaal;Totaal;2012;643.5;620.2;23.3;705.8;620.2;85.6;57284.0;50335.0;6949.0;12321.0
23;Totaal;Totaal;2013;641.9;619.2;22.7;698.6;619.2;79.5;58262.0;51636.0;6626.0;11991.0
24;Totaal;Totaal;2014;624.0;601.8;22.2;673.2;601.8;71.4;59609.0;53285.0;6324.0;11294.0
25;Totaal;Totaal;2015;622.9;601.3;21.6;670.3;601.3;69.0;61152.0;54856.0;6296.0;10962.0
26;Totaal;Totaal;2016;611.3;;;656.7;;;60423.0;;;10869.0
27;Totaal;Totaal;2017;654.5;;;695.6;;;61353.0;;;11338.0
28;Totaal;Totaal;2018;664.8;;;706.4;;;62212.0;;;11354.0
29;Totaal;Totaal;2019;638.7;;;684.4;;;59780.0;;;11449.0
30;Totaal;Totaal;2020;507.7;;;523.2;;;47259.0;;;11071.0
31;Totaal;Jonger dan 3 jaar;1990;;;;;;;;;;
32;Totaal;Jonger dan 3 jaar;1991;;;;;;;;;;
33;Totaal;Jonger dan 3 jaar;1992;;;;;;;;;;
34;Totaal;Jonger dan 3 jaar;1993;;;;;;;;;;
35;Totaal;Jonger dan 3 jaar;1994;;;;;;;;;;
36;Totaal;Jonger dan 3 jaar;1995;;;;;;;;;;
37;Totaal;Jonger dan 3 jaar;1996;;;;;;;;;;
38;Totaal;Jonger dan 3 jaar;1997;;;;;;;;;;
39;Totaal;Jonger dan 3 jaar;1998;;;;;;;;;;
40;Totaal;Jonger dan 3 jaar;1999;;;;;;;;;;
41;Totaal;Jonger dan 3 jaar;2000;;;;;;;;;;
42;Totaal;Jonger dan 3 jaar;2001;150.5;142.6;7.9;172.1;142.6;29.5;67292.0;55744.0;11548.0;2558.0
43;Totaal;Jonger dan 3 jaar;2002;139.7;131.8;7.9;161.9;131.8;30.1;64312.0;52347.0;11965.0;2517.0
44;Totaal;Jonger dan 3 jaar;2003;120.3;114.0;6.4;141.4;114.0;27.5;60910.0;49088.0;11822.0;2322.0
45;Totaal;Jonger dan 3 jaar;2004;139.3;132.6;6.7;160.3;132.6;27.7;62905.0;52034.0;10870.0;2549.0
46;Totaal;Jonger dan 3 jaar;2005;175.1;168.5;6.6;194.3;168.5;25.8;64870.0;56264.0;8605.0;2995.0
47;Totaal;Jonger dan 3 jaar;2006;196.5;189.6;6.9;214.3;189.6;24.7;73924.0;65395.0;8528.0;2899.0
48;Totaal;Jonger dan 3 jaar;2007;193.9;187.7;6.2;211.2;187.7;23.5;67857.0;60312.0;7546.0;3112.0
49;Totaal;Jonger dan 3 jaar;2008;176.1;169.9;6.2;196.0;169.9;26.1;61748.0;53530.0;8218.0;3174.0
50;Totaal;Jonger dan 3 jaar;2009;202.4;195.9;6.4;223.4;195.9;27.5;62863.0;55134.0;7729.0;3554.0
51;Totaal;Jonger dan 3 jaar;2010;191.8;185.5;6.4;212.9;185.5;27.4;68602.0;59777.0;8825.0;3103.0
52;Totaal;Jonger dan 3 jaar;2011;154.7;148.6;6.1;172.7;148.6;24.1;68297.0;58762.0;9535.0;2529.0
53;Totaal;Jonger dan 3 jaar;2012;113.3;108.1;5.2;127.8;108.1;19.7;60452.0;51136.0;9316.0;2114.0
54;Totaal;Jonger dan 3 jaar;2013;131.0;125.9;5.1;144.0;125.9;18.1;72632.0;63509.0;9123.0;1983.0
55;Totaal;Jonger dan 3 jaar;2014;135.9;130.5;5.4;148.1;130.5;17.6;72329.0;63721.0;8609.0;2048.0
