ID;SIC93;Destination;Periods;SalesDevelopment_1;Share_2
0;1500d Manufacturing industry total;Destination total;1997 January;7;96
1;1500d Manufacturing industry total;Destination total;1997 February;6;96
2;1500d Manufacturing industry total;Destination total;1997 March;4;96
3;1500d Manufacturing industry total;Destination total;1997 1st quarter;6;96
4;1500d Manufacturing industry total;Destination total;1997 April;13;96
5;1500d Manufacturing industry total;Destination total;1997 May;5;96
6;1500d Manufacturing industry total;Destination total;1997 June;13;96
7;1500d Manufacturing industry total;Destination total;1997 2nd quarter;10;96
8;1500d Manufacturing industry total;Destination total;1997 July;12;96
9;1500d Manufacturing industry total;Destination total;1997 August;6;96
10;1500d Manufacturing industry total;Destination total;1997 September;12;96
11;1500d Manufacturing industry total;Destination total;1997 3rd quarter;10;96
12;1500d Manufacturing industry total;Destination total;1997 October;11;96
13;1500d Manufacturing industry total;Destination total;1997 November;8;96
14;1500d Manufacturing industry total;Destination total;1997 December;15;96
15;1500d Manufacturing industry total;Destination total;1997 4th quarter;11;95
16;1500d Manufacturing industry total;Destination total;1997;10;95
17;1500d Manufacturing industry total;Destination total;1998 January;7;95
18;1500d Manufacturing industry total;Destination total;1998 February;8;95
19;1500d Manufacturing industry total;Destination total;1998 March;12;95
20;1500d Manufacturing industry total;Destination total;1998 1st quarter;10;95
21;1500d Manufacturing industry total;Destination total;1998 April;4;95
22;1500d Manufacturing industry total;Destination total;1998 May;2;95
23;1500d Manufacturing industry total;Destination total;1998 June;2;95
24;1500d Manufacturing industry total;Destination total;1998 2nd quarter;3;95
25;1500d Manufacturing industry total;Destination total;1998 July;4;95
26;1500d Manufacturing industry total;Destination total;1998 August;-2;95
27;1500d Manufacturing industry total;Destination total;1998 September;-1;96
28;1500d Manufacturing industry total;Destination total;1998 3rd quarter;0;95
29;1500d Manufacturing industry total;Destination total;1998 October;-5;95
30;1500d Manufacturing industry total;Destination total;1998 November;-3;96
31;1500d Manufacturing industry total;Destination total;1998 December;-8;95
32;1500d Manufacturing industry total;Destination total;1998 4th quarter;-5;95
33;1500d Manufacturing industry total;Destination total;1998;2;94
34;1500d Manufacturing industry total;Destination total;1999 January;-8;97
35;1500d Manufacturing industry total;Destination total;1999 February;-8;97
36;1500d Manufacturing industry total;Destination total;1999 March;1;97
37;1500d Manufacturing industry total;Destination total;1999 1st quarter;-5;97
38;1500d Manufacturing industry total;Destination total;1999 April;-5;97
39;1500d Manufacturing industry total;Destination total;1999 May;-3;96
40;1500d Manufacturing industry total;Destination total;1999 June;4;96
41;1500d Manufacturing industry total;Destination total;1999 2nd quarter;-1;96
42;1500d Manufacturing industry total;Destination total;1999 July;-3;96
43;1500d Manufacturing industry total;Destination total;1999 August;5;96
44;1500d Manufacturing industry total;Destination total;1999 September;4;96
45;1500d Manufacturing industry total;Destination total;1999 3rd quarter;2;96
46;1500d Manufacturing industry total;Destination total;1999 October;2;96
47;1500d Manufacturing industry total;Destination total;1999 November;14;96
48;1500d Manufacturing industry total;Destination total;1999 December;25;96
49;1500d Manufacturing industry total;Destination total;1999 4th quarter;14;96
50;1500d Manufacturing industry total;Destination total;1999;3;95
51;1500d Manufacturing industry total;Destination total;2000 January;11;97
52;1500d Manufacturing industry total;Destination total;2000 February;22;97
53;1500d Manufacturing industry total;Destination total;2000 March;13;97
54;1500d Manufacturing industry total;Destination total;2000 1st quarter;15;97
55;1500d Manufacturing industry total;Destination total;2000 April;8;98
56;1500d Manufacturing industry total;Destination total;2000 May;29;98
57;1500d Manufacturing industry total;Destination total;2000 June;8;98
58;1500d Manufacturing industry total;Destination total;2000 2nd quarter;15;97
59;1500d Manufacturing industry total;Destination total;2000 July;7;98
60;1500d Manufacturing industry total;Destination total;2000 August;24;98
61;1500d Manufacturing industry total;Destination total;2000 September;13;98
62;1500d Manufacturing industry total;Destination total;2000 3rd quarter;14;98
63;1500d Manufacturing industry total;Destination total;2000 October;17;98
64;1500d Manufacturing industry total;Destination total;2000 November;15;98
65;1500d Manufacturing industry total;Destination total;2000 December;1;98
66;1500d Manufacturing industry total;Destination total;2000 4th quarter;11;98
67;1500d Manufacturing industry total;Destination total;2000;14;95
68;1500d Manufacturing industry total;Destination total;2001 January;13;98
69;1500d Manufacturing industry total;Destination total;2001 February;4;98
70;1500d Manufacturing industry total;Destination total;2001 March;0;98
71;1500d Manufacturing industry total;Destination total;2001 1st quarter;5;98
72;1500d Manufacturing industry total;Destination total;2001 April;6;98
73;1500d Manufacturing industry total;Destination total;2001 May;1;98
74;1500d Manufacturing industry total;Destination total;2001 June;4;98
75;1500d Manufacturing industry total;Destination total;2001 2nd quarter;4;98
76;1500d Manufacturing industry total;Destination total;2001 July;4;98
77;1500d Manufacturing industry total;Destination total;2001 August;-2;98
