ID;StandenEnBeroepOpDeKapitaalmarkt;Perioden;TotaalObligaties_1;TotaalGewoneObligaties_2;Overheid_3;FinancieleInstellingenEuro_4;FinancieleInstEuroGarantieOverheid_5;FinancieleInstellingenUSD_6;FinancieleInstUSDGarantieOverheid_7;FinancieleInstellingenOverigeValuta_8;NietFinancieleInstellingenEuro_9;NietFinancieleInstellingenUSD_10;NietFinancieleInstOverigeValuta_11;DutchTreasuryCertificates_12;Grootboekobligaties_13;TotaalObligatiesOptieConstructieGar_14;FinancieleInstellingenEuro_15;FinancieleInstellingenUSD_16;FinancieleInstellingenOverigeValuta_17;TotaalOblOptieConstructieZonderGar_18;FinancieleInstellingenEuro_19;FinancieleInstellingenUSD_20;FinancieleInstellingenOverigeValuta_21;TotaalAssetBackedSecurities_22;FinancieleInstellingenEuro_23;FinancieleInstellingenUSD_24;FinancieleInstellingenOverigeValuta_25;TotaalConverteerbareObligaties_26;FinancieleInstellingenEuro_27;FinancieleInstellingenUSD_28;FinancieleInstellingenOverigeValuta_29;NietFinancieleInstellingenEuro_30;NietFinancieleInstellingenUSD_31;NietFinancieleInstOverigeValuta_32;TotaalReverseConvertibleObligaties_33;FinancieleInstellingenEuro_34;FinancieleInstellingenUSD_35;FinancieleInstellingenOverigeValuta_36;TotaalFloatingRateObligaties_37;FinancieleInstellingenEuro_38;FinancieleInstEuroGarantieOverheid_39;FinancieleInstellingenUSD_40;FinancieleInstUSDGarantieOverheid_41;FinancieleInstellingenOverigeValuta_42;FinancieleInstOvValGarOverheid_43;NietFinancieleInstellingenEuro_44;NietFinancieleInstellingenUSD_45;NietFinancieleInstOverigeValuta_46;TotaalOverigeObligaties_47;FinancieleInstellingenEuro_48;FinancieleInstellingenUSD_49;FinancieleInstellingenOverigeValuta_50;NietFinancieleInstellingenEuro_51;NietFinancieleInstellingenUSD_52;NietFinancieleInstOverigeValuta_53
0;Openbare emissie;2007 januari;16258;7486;1418;4990;0;962;0;116;0;0;0;7450;0;290;290;0;0;60;60;0;0;0;0;0;0;0;0;0;0;0;0;0;101;101;0;0;771;0;0;771;0;0;0;0;0;0;100;100;0;0;0;0;0
1;Openbare emissie;2007 februari;20862;2536;0;1545;0;0;0;991;0;0;0;10150;0;291;291;0;0;235;235;0;0;7460;7460;0;0;0;0;0;0;0;0;0;38;38;0;0;97;97;0;0;0;0;0;0;0;0;55;55;0;0;0;0;0
2;Openbare emissie;2007 maart;22349;3040;2883;99;0;0;0;59;0;0;0;8120;0;420;420;0;0;56;56;0;0;10608;10608;0;0;0;0;0;0;0;0;0;106;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Openbare emissie;2007 april;12157;4420;0;3999;0;373;0;47;0;0;0;5980;0;479;479;0;0;33;33;0;0;1221;1221;0;0;0;0;0;0;0;0;0;25;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Openbare emissie;2007 mei;13577;5974;2576;1843;0;0;0;0;641;553;361;5460;0;289;289;0;0;143;143;0;0;800;800;0;0;0;0;0;0;0;0;0;61;61;0;0;850;100;0;0;0;0;0;750;0;0;0;0;0;0;0;0;0
5;Openbare emissie;2007 juni;25005;5628;1978;2236;0;930;0;485;0;0;0;7620;0;261;261;0;0;25;25;0;0;9631;9631;0;0;0;0;0;0;0;0;0;29;29;0;0;1811;275;0;1486;0;0;0;50;0;0;0;0;0;0;0;0;0
6;Openbare emissie;2007 juli;15213;6279;6088;70;0;0;0;121;0;0;0;7500;0;363;348;15;0;55;55;0;0;620;620;0;0;0;0;0;0;0;0;0;36;36;0;0;10;10;0;0;0;0;0;0;0;0;350;350;0;0;0;0;0
7;Openbare emissie;2007 augustus;10387;680;0;100;0;0;0;580;0;0;0;4930;0;267;267;0;0;75;75;0;0;4307;4307;0;0;0;0;0;0;0;0;0;56;56;0;0;72;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Openbare emissie;2007 september;15427;3835;3597;92;0;0;0;146;0;0;0;4420;0;135;135;0;0;62;62;0;0;6780;6780;0;0;0;0;0;0;0;0;0;96;96;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Openbare emissie;2007 oktober;13881;871;0;0;0;0;0;59;812;0;0;4120;0;191;191;0;0;30;30;0;0;8072;8072;0;0;0;0;0;0;0;0;0;71;71;0;0;0;0;0;0;0;0;0;0;0;0;525;0;525;0;0;0;0
