ID;RegioS;AutochtonenAllochtonen;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Totaal Herkomst (land);10797.6;18.6
1;Nederland;Herkomst: Nederland;9059.3;18.7
2;Nederland;Herkomst: Niet-Nederland;1738.3;17.7
3;Nederland;Herkomst: Westers land;937.5;19.3
4;Nederland;Herkomst: Niet-westers land;800.8;15.9
5;Noord-Nederland (LD);Totaal Herkomst (land);1123.3;17.2
6;Noord-Nederland (LD);Herkomst: Nederland;1035.4;17.2
7;Noord-Nederland (LD);Herkomst: Niet-Nederland;87.9;16.5
8;Noord-Nederland (LD);Herkomst: Westers land;60.2;17.4
9;Noord-Nederland (LD);Herkomst: Niet-westers land;27.7;14.7
10;Oost-Nederland (LD);Totaal Herkomst (land);2236.0;17.9
11;Oost-Nederland (LD);Herkomst: Nederland;1952.1;18.1
12;Oost-Nederland (LD);Herkomst: Niet-Nederland;283.8;17.0
13;Oost-Nederland (LD);Herkomst: Westers land;170.2;18.1
14;Oost-Nederland (LD);Herkomst: Niet-westers land;113.7;15.3
15;West-Nederland (LD);Totaal Herkomst (land);5048.1;19.4
16;West-Nederland (LD);Herkomst: Nederland;4029.0;19.7
17;West-Nederland (LD);Herkomst: Niet-Nederland;1019.2;18.3
18;West-Nederland (LD);Herkomst: Westers land;468.5;20.9
19;West-Nederland (LD);Herkomst: Niet-westers land;550.7;16.2
20;Zuid-Nederland (LD);Totaal Herkomst (land);2390.2;18.0
21;Zuid-Nederland (LD);Herkomst: Nederland;2042.8;18.2
22;Zuid-Nederland (LD);Herkomst: Niet-Nederland;347.4;16.9
23;Zuid-Nederland (LD);Herkomst: Westers land;238.6;17.7
24;Zuid-Nederland (LD);Herkomst: Niet-westers land;108.8;15.1
25;Groningen (PV);Totaal Herkomst (land);381.8;17.0
26;Groningen (PV);Herkomst: Nederland;344.8;17.1
27;Groningen (PV);Herkomst: Niet-Nederland;37.0;16.5
28;Groningen (PV);Herkomst: Westers land;23.9;17.4
29;Groningen (PV);Herkomst: Niet-westers land;13.1;14.7
30;Friesland (PV);Totaal Herkomst (land);419.0;17.2
31;Friesland (PV);Herkomst: Nederland;391.2;17.3
32;Friesland (PV);Herkomst: Niet-Nederland;27.8;16.1
33;Friesland (PV);Herkomst: Westers land;18.8;16.9
34;Friesland (PV);Herkomst: Niet-westers land;9.0;14.4
35;Drenthe (PV);Totaal Herkomst (land);322.5;17.4
36;Drenthe (PV);Herkomst: Nederland;299.4;17.4
37;Drenthe (PV);Herkomst: Niet-Nederland;23.1;17.2
38;Drenthe (PV);Herkomst: Westers land;17.5;17.8
39;Drenthe (PV);Herkomst: Niet-westers land;5.5;15.4
40;Overijssel (PV);Totaal Herkomst (land);722.5;17.4
41;Overijssel (PV);Herkomst: Nederland;635.4;17.5
42;Overijssel (PV);Herkomst: Niet-Nederland;87.1;16.2
43;Overijssel (PV);Herkomst: Westers land;52.7;17.4
44;Overijssel (PV);Herkomst: Niet-westers land;34.4;14.5
45;Flevoland (PV);Totaal Herkomst (land);219.3;18.4
46;Flevoland (PV);Herkomst: Nederland;175.6;18.7
47;Flevoland (PV);Herkomst: Niet-Nederland;43.7;17.4
48;Flevoland (PV);Herkomst: Westers land;17.6;18.8
49;Flevoland (PV);Herkomst: Niet-westers land;26.1;16.5
50;Gelderland (PV);Totaal Herkomst (land);1294.2;18.2
51;Gelderland (PV);Herkomst: Nederland;1141.1;18.3
52;Gelderland (PV);Herkomst: Niet-Nederland;153.1;17.3
53;Gelderland (PV);Herkomst: Westers land;99.9;18.4
54;Gelderland (PV);Herkomst: Niet-westers land;53.2;15.3
55;Utrecht (PV);Totaal Herkomst (land);773.4;19.9
56;Utrecht (PV);Herkomst: Nederland;646.5;20.2
57;Utrecht (PV);Herkomst: Niet-Nederland;126.9;18.4
58;Utrecht (PV);Herkomst: Westers land;64.9;20.8
59;Utrecht (PV);Herkomst: Niet-westers land;62.0;15.9
60;Noord-Holland (PV);Totaal Herkomst (land);1744.2;19.6
61;Noord-Holland (PV);Herkomst: Nederland;1361.6;19.9
62;Noord-Holland (PV);Herkomst: Niet-Nederland;382.7;18.8
63;Noord-Holland (PV);Herkomst: Westers land;176.6;21.3
64;Noord-Holland (PV);Herkomst: Niet-westers land;206.1;16.6
65;Zuid-Holland (PV);Totaal Herkomst (land);2280.1;19.2
66;Zuid-Holland (PV);Herkomst: Nederland;1801.9;19.5
67;Zuid-Holland (PV);Herkomst: Niet-Nederland;478.2;18.1
68;Zuid-Holland (PV);Herkomst: Westers land;202.8;20.8
69;Zuid-Holland (PV);Herkomst: Niet-westers land;275.4;16.0
70;Zeeland (PV);Totaal Herkomst (land);250.4;18.1
71;Zeeland (PV);Herkomst: Nederland;219.0;18.3
72;Zeeland (PV);Herkomst: Niet-Nederland;31.4;17.1
73;Zeeland (PV);Herkomst: Westers land;24.2;17.6
74;Zeeland (PV);Herkomst: Niet-westers land;7.3;15.2
75;Noord-Brabant (PV);Totaal Herkomst (land);1619.3;18.3
76;Noord-Brabant (PV);Herkomst: Nederland;1411.1;18.4
77;Noord-Brabant (PV);Herkomst: Niet-Nederland;208.2;17.2
78;Noord-Brabant (PV);Herkomst: Westers land;125.5;18.5
79;Noord-Brabant (PV);Herkomst: Niet-westers land;82.7;15.2
80;Limburg (PV);Totaal Herkomst (land);770.9;17.5
81;Limburg (PV);Herkomst: Nederland;631.7;17.7
82;Limburg (PV);Herkomst: Niet-Nederland;139.2;16.5
83;Limburg (PV);Herkomst: Westers land;113.1;16.9
84;Limburg (PV);Herkomst: Niet-westers land;26.0;14.8
85;Oost-Groningen (CR);Totaal Herkomst (land);103.5;16.3
86;Oost-Groningen (CR);Herkomst: Nederland;96.1;16.3
87;Oost-Groningen (CR);Herkomst: Niet-Nederland;7.4;16.0
88;Oost-Groningen (CR);Herkomst: Westers land;5.7;16.5
89;Oost-Groningen (CR);Herkomst: Niet-westers land;1.7;14.4
90;Delfzijl en omgeving (CR);Totaal Herkomst (land);34.6;17.2
91;Delfzijl en omgeving (CR);Herkomst: Nederland;30.8;17.4
92;Delfzijl en omgeving (CR);Herkomst: Niet-Nederland;3.8;15.8
93;Delfzijl en omgeving (CR);Herkomst: Westers land;2.3;16.5
94;Delfzijl en omgeving (CR);Herkomst: Niet-westers land;1.5;14.7
95;Overig Groningen (CR);Totaal Herkomst (land);243.6;17.3
96;Overig Groningen (CR);Herkomst: Nederland;217.9;17.4
97;Overig Groningen (CR);Herkomst: Niet-Nederland;25.8;16.7
98;Overig Groningen (CR);Herkomst: Westers land;15.8;17.9
99;Overig Groningen (CR);Herkomst: Niet-westers land;9.9;14.7
100;Noord-Friesland (CR);Totaal Herkomst (land);215.5;17.1
101;Noord-Friesland (CR);Herkomst: Nederland;201.1;17.2
102;Noord-Friesland (CR);Herkomst: Niet-Nederland;14.4;15.9
103;Noord-Friesland (CR);Herkomst: Westers land;9.4;16.7
104;Noord-Friesland (CR);Herkomst: Niet-westers land;5.0;14.3
105;Zuidwest-Friesland (CR);Totaal Herkomst (land);67.9;17.3
