ID;Omzetklassen;Perioden;Bedrijven_1;Bedrijfsopbrengsten_2;TotaalNettoOmzet_3;VerleendeDiensten_4;Handelsgoederen_5;OverigeOpbrengsten_6;TotaalBedrijfslasten_7;KostprijsVanDeOmzet_8;Personeelskosten_9;Afschrijvingen_10;OverigeBedrijfslasten_11;TotaalOverigeBedrijfslasten_12;Huisvestingskosten_13;InventarisEnMachinekosten_14;Autokosten_15;Verkoopkosten_16;AndereKosten_17;Bedrijfsresultaat_18;SaldoFinancieleResultaten_19;ResultaatVoorBelastingen_20;BrutoWinstmarge_21;OperationeleWinstmarge_22;WinstmargeVoorBelastingen_23;Investeringsquote_24;NettoOmzet_25;UitzendenVanPersoneel_26;UitlenenEnDetacherenVanPersoneel_27;TestenWervenEnSelecterenPersoneel_28;Arbeidsbemiddeling_29;DetacherenVanGesubsidieerdPersoneel_30;OverigeDiensten_31;TotaalVerleendeDiensten_32;OntvangstenVoorUitleenEnSubsidie_33;TotaalPersoneelskosten_34;BrutoLonenEnSalarissen_35;SocialeLasten_36;Pensioenpremies_37;KostenUitzendkrachten_38;KostenIngeleendPersoneel_39;OverigePersoneelskosten_40;TotaalOverigeBedrijfslasten_41;TotaalHuisvestingskosten_42;BetaaldeHurenPachtenEDVanLeasing_43;OnroerendeZaakbelastingMilieuheffing_44;Energiekosten_45;ReparatieEnOnderhoudskosten_46;Verzekeringen_47;OverigeHuisvestingskosten_48;TotaalInventarisEnMachinekosten_49;BetaaldeHurenEnKostenVanOperLease_50;Onderhoudskosten_51;OverigeInventarisEnMachinekosten_52;TotaalAutokosten_53;BetaaldeHurenEnKostenVanOperLease_54;Brandstof_55;OverigeAutokosten_56;TotaalVerkoopkosten_57;ReclameEnAdvertentiekosten_58;ReisVerblijfsEnRepresentatiekosten_59;OverigeVerkoopkosten_60;TotaalAndereKosten_61;AccountantsEnAdviesdiensten_62;KantoorbenodigdhDrukwerkVakliteratuur_63;OverigeVerzekeringen_64;OverigeKostprijsverhogendeBelastingen_65;Communicatiekosten_66;Beheerskosten_67;OverigeAutomatiseringskosten_68;NogNietEerderGenoemdeBedrijfskosten_69;TotaalAantalWerkzamePersonen_70;WerknemersOpDeLoonlijst_71;WerknemersNietOpLoonlijst_72;OverigPersoneel_73;AantalVte_74;TotaalInvesteringen_75;TotaalMaterieleVasteActiva_76;Bedrijfsruimten_77;Vervoermiddelen_78;Computers_79;OverigeMachinesApparatenED_80;OverigeMaterieleVasteActiva_81;TotaalImmaterieleVasteActiva_82
0;Totaal SBI 74503;1996;8.4;831.0;829.0;829.0;0.0;2.0;653.0;4.2;56.4;8.3;31.1;203.0;67.0;2.0;9.0;21.0;105.0;177.0;-23.0;154.0;96.7;18.6;18.5;4.7;829.0;1.8;1.4;0.0;94.8;0.0;1.9;100.0;0.0;368.0;75.3;3.7;5.8;4.5;3.2;7.5;203.0;67.0;63.4;1.4;16.1;5.9;1.3;11.9;2.0;22.7;25.4;51.9;9.0;50.9;17.8;31.3;21.0;23.1;48.5;28.4;105.0;5.7;23.0;2.5;0.0;7.6;15.6;12.0;33.6;117.0;85.8;6.1;8.1;100.0;39.0;99.0;42.4;8.6;6.3;7.3;34.4;1.0
1;Totaal SBI 74503;1997;11.5;841.0;839.0;839.0;0.0;2.0;782.0;5.9;54.4;5.7;34.0;266.0;71.0;2.0;10.0;29.0;154.0;59.0;-71.0;-12.0;94.5;7.8;-1.5;10.0;839.0;3.2;2.1;11.9;77.8;0.4;4.6;100.0;0.0;425.0;77.2;3.3;2.3;4.9;4.4;8.1;266.0;71.0;63.1;1.6;15.8;6.1;1.4;12.0;2.0;41.1;38.2;20.7;10.0;49.1;18.2;32.7;29.0;24.2;56.1;19.7;154.0;5.7;20.4;2.3;0.2;5.5;16.4;16.4;33.1;123.0;86.0;7.8;6.2;106.0;85.0;99.4;23.8;2.6;3.0;4.0;66.0;0.6
2;Totaal SBI 74503;1998;13.3;1098.0;1029.0;1029.0;0.0;69.0;1020.0;6.7;57.0;6.6;29.8;303.0;86.0;2.0;13.0;32.0;169.0;78.0;15.0;93.0;93.4;1.4;8.5;16.6;1029.0;4.0;2.5;15.1;74.6;0.1;3.7;100.0;0.2;581.0;68.2;5.3;4.2;3.9;11.8;6.8;303.0;86.0;;;;;;;2.0;;;;13.0;;;;32.0;;;;169.0;;;;;;;;;155.0;88.2;6.1;5.6;134.0;183.0;91.6;48.9;2.6;16.3;18.9;4.9;8.4
3;Totaal SBI 74503;1999;16.6;1262.0;1251.0;1249.0;1.0;11.0;1102.0;8.4;56.8;5.7;29.1;321.0;95.0;3.0;18.0;44.0;162.0;160.0;;;;;;;1251.0;;;;;;;;0.3;626.0;72.0;5.5;2.8;2.6;11.2;6.2;321.0;95.0;;;;;;;3.0;;;;18.0;;;;44.0;;;;162.0;;;;;;;;;171.0;89.2;6.3;4.5;143.0;;;;;;;;
4;Tot 50 000 euro;1996;3.6;8.0;8.0;8.0;0.0;0.0;6.0;13.1;18.0;10.1;58.8;3.0;1.0;0.0;1.0;1.0;1.0;3.0;0.0;3.0;91.0;32.5;32.6;8.6;8.0;7.6;0.0;0.0;89.1;0.0;2.9;99.6;0.0;1.0;66.6;4.3;5.0;5.5;12.7;6.0;3.0;1.0;93.1;0.0;2.3;0.0;1.0;3.6;0.0;54.4;1.8;43.9;1.0;18.9;28.5;52.6;1.0;55.3;21.7;22.9;1.0;19.8;21.8;0.3;0.0;15.6;6.6;1.0;35.0;5.0;25.1;71.9;3.0;5.0;1.0;100.0;0.2;53.6;10.4;1.8;34.0;0.0
5;Tot 50 000 euro;1997;5.5;18.0;18.0;18.0;0.0;0.0;11.0;31.2;17.6;5.1;46.2;5.0;1.0;0.0;1.0;1.0;2.0;6.0;0.0;6.0;80.1;35.5;35.5;11.0;18.0;15.7;3.0;18.3;60.0;0.1;2.8;99.9;0.5;2.0;67.0;2.7;0.5;1.4;26.8;2.3;5.0;1.0;92.2;0.0;2.0;0.4;1.4;4.0;0.0;51.6;5.5;42.8;1.0;45.9;21.9;32.2;1.0;59.4;23.9;16.6;2.0;23.4;22.0;1.2;0.1;16.7;4.1;0.2;32.3;8.0;18.6;79.5;2.0;7.0;2.0;99.2;26.4;30.0;9.0;6.4;27.4;0.8
6;Tot 50 000 euro;1998;6.6;21.0;21.0;21.0;0.0;0.0;13.0;20.7;19.4;7.5;52.4;7.0;1.0;0.0;1.0;1.0;3.0;8.0;0.0;8.0;87.4;39.4;39.4;8.8;21.0;10.1;3.0;22.1;56.3;0.1;8.4;99.9;0.6;2.0;68.7;5.0;1.2;0.0;22.9;2.8;7.0;1.0;;;;;;;0.0;;;;1.0;;;;1.0;;;;3.0;;;;;;;;;9.0;25.8;73.8;0.4;9.0;2.0;99.6;0.0;42.9;18.0;9.8;28.9;0.4
7;Tot 50 000 euro;1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;50 000 tot 250 000 euro;1996;3.0;44.0;44.0;44.0;0.0;0.0;31.0;15.8;35.1;5.3;43.7;13.0;2.0;0.0;2.0;3.0;6.0;13.0;0.0;13.0;88.9;29.9;29.9;5.4;44.0;7.3;1.5;0.0;86.9;0.3;4.0;100.0;0.6;11.0;72.8;5.0;3.0;1.1;10.9;7.8;13.0;2.0;87.9;0.2;3.8;1.9;0.1;6.2;0.0;23.7;7.2;69.0;2.0;26.3;24.8;48.9;3.0;47.3;27.6;25.1;6.0;15.3;14.7;2.1;0.3;22.0;17.2;1.3;27.2;10.0;70.6;26.1;3.3;7.0;2.0;99.0;6.2;41.7;19.3;19.8;11.9;1.0
9;50 000 tot 250 000 euro;1997;3.7;47.0;46.0;46.0;0.0;1.0;33.0;16.6;37.5;3.5;42.4;14.0;2.0;0.0;2.0;2.0;8.0;14.0;-1.0;13.0;88.1;28.3;27.8;6.3;46.0;6.4;2.9;34.2;48.0;2.0;6.6;100.0;0.7;12.0;74.0;5.2;5.2;0.0;9.2;7.1;14.0;2.0;89.9;0.1;2.7;1.0;0.2;6.1;0.0;73.7;12.1;14.2;2.0;24.1;18.5;57.4;2.0;54.8;32.8;12.4;8.0;19.9;17.1;3.5;0.4;11.6;23.0;1.4;23.0;10.0;73.2;25.2;1.5;7.0;3.0;99.7;40.0;16.5;11.9;5.3;25.9;0.3
