ID;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1;Cursusdeelnemers_2;NietCursusdeelnemers_3;CursusdeelnemersRelatief_4;TenminsteEenCursus_5;TenminsteEenCursusRelatief_6
0;Totaal personen;2007;6670;2370.0;4300.0;35.5;1935.0;81.7
1;Geslacht: mannen;2007;3880;1415.0;2465.0;36.5;1180.0;83.3
2;Geslacht: vrouwen;2007;2790;955.0;1835.0;34.2;760.0;79.4
3;Leeftijd: 25 tot 35 jaar;2007;1750;730.0;1020.0;41.7;615.0;84.1
4;Leeftijd: 35 tot 45 jaar;2007;2130;740.0;1390.0;34.7;590.0;79.7
5;Leeftijd: 45 tot 55 jaar;2007;1855;620.0;1235.0;33.5;515.0;82.6
6;Leeftijd: 55 tot 65 jaar;2007;935;280.0;655.0;29.9;220.0;79.0
7;Migratieachtergrond: Nederland;2007;5975;2130.0;3845.0;35.7;1750.0;82.2
8;Migratieachtergrond: westers;2007;465;;;;;
9;Migratieachtergrond: niet-westers;2007;225;;;;;
10;Onderwijsniveau: 1 Laag;2007;1330;210.0;1120.0;15.8;150.0;71.0
11;Onderwijsniveau: 2 Middelbaar;2007;2855;905.0;1950.0;31.7;715.0;79.1
12;Onderwijsniveau: 3 Hoog;2007;2440;1250.0;1190.0;51.1;1070.0;85.6
13;Onderwijsniveau: weet niet of onbekend;2007;45;10.0;35.0;18.0;5.0;62.5
14;Werkkring: vaste arbeidsrelatie;2007;5280;1980.0;3300.0;37.5;1720.0;86.8
15;Werkkring: flexibele arbeidsrelatie;2007;380;80.0;300.0;21.4;80.0;96.3
16;Werkkring: zelfstandige;2007;1005;310.0;700.0;30.6;140.0;44.8
17;Arbeidsduur: 12 tot 20 uur per week;2007;630;135.0;495.0;21.5;95.0;71.9
18;Arbeidsduur: 20 tot 28 uur per week;2007;1125;345.0;780.0;30.8;275.0;78.9
19;Arbeidsduur: 28 tot 35 uur per week;2007;830;335.0;495.0;40.2;280.0;84.7
20;Arbeidsduur: 35 uur of meer per week;2007;4090;1555.0;2530.0;38.1;1285.0;82.6
21;Anciënniteit: korter dan 2 jaar;2007;1595;580.0;1015.0;36.3;450.0;77.9
22;Anciënniteit: 2 tot 5 jaar;2007;985;395.0;590.0;40.2;345.0;86.8
23;Anciënniteit: 5 tot 10 jaar;2007;1655;555.0;1100.0;33.5;445.0;80.4
24;Anciënniteit: 10 jaar of langer;2007;2400;840.0;1560.0;35.0;690.0;82.4
25;Anciënniteit: onbekend;2007;35;;;;;
26;Bedrijfsgrootte: 1 tot 10 werknemers;2007;1215;340.0;875.0;28.0;165.0;49.1
27;Bedrijfsgrootte: 0 tot 100 werknemers;2007;1185;335.0;850.0;28.1;280.0;83.8
28;Bedrijfsgrootte: 100 werknemers of meer;2007;4170;1665.0;2500.0;40.0;1480.0;88.8
29;Bedrijfsgrootte: aantal onbekend;2007;100;30.0;70.0;29.5;10.0;36.7
