ID;Kenmerken;Perioden;AantalBijstandsfraudezaken_1;TotaalFraudebedrag_2;GemiddeldFraudebedrag_3;AantalHuishoudensMetBijstandsfraude_4;GemiddeldFraudebedragPerHuishouden_5
0;Geconstateerde bijstandsfraude;1e halfjaar 2002;21510;50.0;2325.0;19740;2535.0
1;Geconstateerde bijstandsfraude;2e halfjaar 2002;22350;50.1;2240.0;19680;2545.0
2;Geconstateerde bijstandsfraude;2002;43860;100.1;2280.0;39420;2540.0
3;Geconstateerde bijstandsfraude;1e halfjaar 2003;17200;45.2;2625.0;15370;2935.0
4;Geconstateerde bijstandsfraude;2e halfjaar 2003;23820;61.2;2570.0;20940;2925.0
5;Geconstateerde bijstandsfraude;2003;41020;106.4;2595.0;36310;2930.0
6;Geconstateerde bijstandsfraude;1e halfjaar 2004;22790;58.1;2550.0;20630;2815.0
7;Geconstateerde bijstandsfraude;2e halfjaar 2004;18800;55.8;2970.0;16120;3465.0
8;Geconstateerde bijstandsfraude;2004;41590;113.9;2740.0;36750;3100.0
9;Geconstateerde bijstandsfraude;1e halfjaar 2005;16800;59.8;3560.0;14450;4140.0
10;Geconstateerde bijstandsfraude;2e halfjaar 2005;18120;59.8;3300.0;15390;3885.0
11;Geconstateerde bijstandsfraude;2005;34920;119.6;3425.0;29850;4005.0
12;Geconstateerde bijstandsfraude;1e halfjaar 2006;16640;62.7;3765.0;14460;4335.0
13;Geconstateerde bijstandsfraude;2e halfjaar 2006;18420;71.6;3885.0;15190;4710.0
14;Geconstateerde bijstandsfraude;2006;35060;134.3;3830.0;29650;4530.0
15;Geconstateerde bijstandsfraude;1e halfjaar 2007;16340;61.0;3735.0;14030;4350.0
16;Geconstateerde bijstandsfraude;2e halfjaar 2007;16180;61.4;3790.0;13310;4610.0
17;Geconstateerde bijstandsfraude;2007;32520;122.4;3765.0;27340;4475.0
18;Geconstateerde bijstandsfraude;1e halfjaar 2008;14840;52.9;3565.0;12440;4250.0
19;Geconstateerde bijstandsfraude;2e halfjaar 2008;14340;58.0;4045.0;11990;4835.0
20;Geconstateerde bijstandsfraude;2008;29180;110.9;3800.0;24440;4540.0
21;Gemeenten met minder dan 20 000 inwoners;1e halfjaar 2002;780;2.1;2675.0;730;2865.0
22;Gemeenten met minder dan 20 000 inwoners;2e halfjaar 2002;870;2.4;2715.0;790;3000.0
23;Gemeenten met minder dan 20 000 inwoners;2002;1660;4.5;2695.0;1520;2935.0
24;Gemeenten met minder dan 20 000 inwoners;1e halfjaar 2003;790;2.7;3470.0;720;3780.0
25;Gemeenten met minder dan 20 000 inwoners;2e halfjaar 2003;990;3.2;3290.0;890;3635.0
26;Gemeenten met minder dan 20 000 inwoners;2003;1780;6.0;3370.0;1620;3700.0
27;Gemeenten met minder dan 20 000 inwoners;1e halfjaar 2004;660;1.9;2820.0;600;3090.0
28;Gemeenten met minder dan 20 000 inwoners;2e halfjaar 2004;710;2.6;3705.0;650;4085.0
29;Gemeenten met minder dan 20 000 inwoners;2004;1370;4.5;3280.0;1250;3605.0
30;Gemeenten met minder dan 20 000 inwoners;1e halfjaar 2005;370;2.6;6815.0;350;7215.0
31;Gemeenten met minder dan 20 000 inwoners;2e halfjaar 2005;460;2.1;4580.0;410;5140.0
32;Gemeenten met minder dan 20 000 inwoners;2005;840;4.7;5575.0;770;6095.0
33;Gemeenten met minder dan 20 000 inwoners;1e halfjaar 2006;420;2.2;5150.0;400;5390.0
34;Gemeenten met minder dan 20 000 inwoners;2e halfjaar 2006;410;2.3;5700.0;380;6185.0
35;Gemeenten met minder dan 20 000 inwoners;2006;830;4.5;5420.0;780;5780.0
36;Gemeenten met minder dan 20 000 inwoners;1e halfjaar 2007;430;2.5;5790.0;410;6185.0
37;Gemeenten met minder dan 20 000 inwoners;2e halfjaar 2007;450;2.8;6275.0;410;6905.0
38;Gemeenten met minder dan 20 000 inwoners;2007;880;5.3;6040.0;810;6545.0
39;Gemeenten met minder dan 20 000 inwoners;1e halfjaar 2008;480;2.4;5085.0;450;5435.0
40;Gemeenten met minder dan 20 000 inwoners;2e halfjaar 2008;630;3.4;5325.0;560;6065.0
41;Gemeenten met minder dan 20 000 inwoners;2008;1110;5.8;5225.0;1000;5785.0
42;Gemeenten 20 000-50 000 inwoners;1e halfjaar 2002;2460;6.7;2705.0;2240;2965.0
43;Gemeenten 20 000-50 000 inwoners;2e halfjaar 2002;2550;7.1;2800.0;2270;3140.0
44;Gemeenten 20 000-50 000 inwoners;2002;5010;13.8;2755.0;4520;3055.0
45;Gemeenten 20 000-50 000 inwoners;1e halfjaar 2003;2320;6.4;2745.0;2070;3080.0
46;Gemeenten 20 000-50 000 inwoners;2e halfjaar 2003;2370;7.5;3170.0;2110;3555.0
47;Gemeenten 20 000-50 000 inwoners;2003;4680;13.9;2960.0;4180;3320.0
48;Gemeenten 20 000-50 000 inwoners;1e halfjaar 2004;2020;6.4;3180.0;1810;3550.0
49;Gemeenten 20 000-50 000 inwoners;2e halfjaar 2004;2350;8.2;3490.0;2030;4030.0
50;Gemeenten 20 000-50 000 inwoners;2004;4370;14.6;3350.0;3840;3805.0
51;Gemeenten 20 000-50 000 inwoners;1e halfjaar 2005;2240;10.6;4735.0;1950;5435.0
52;Gemeenten 20 000-50 000 inwoners;2e halfjaar 2005;2540;9.9;3905.0;2250;4410.0
53;Gemeenten 20 000-50 000 inwoners;2005;4780;20.5;4295.0;4200;4885.0
54;Gemeenten 20 000-50 000 inwoners;1e halfjaar 2006;2120;10.1;4760.0;1910;5260.0
55;Gemeenten 20 000-50 000 inwoners;2e halfjaar 2006;1910;11.0;5735.0;1700;6440.0
56;Gemeenten 20 000-50 000 inwoners;2006;4030;21.0;5220.0;3620;5815.0
57;Gemeenten 20 000-50 000 inwoners;1e halfjaar 2007;1830;10.0;5460.0;1620;6185.0
58;Gemeenten 20 000-50 000 inwoners;2e halfjaar 2007;1880;10.1;5380.0;1650;6120.0
59;Gemeenten 20 000-50 000 inwoners;2007;3710;20.1;5420.0;3270;6150.0
60;Gemeenten 20 000-50 000 inwoners;1e halfjaar 2008;1790;7.4;4150.0;1590;4685.0
61;Gemeenten 20 000-50 000 inwoners;2e halfjaar 2008;1790;8.9;4945.0;1540;5770.0
62;Gemeenten 20 000-50 000 inwoners;2008;3580;16.3;4550.0;3120;5220.0
63;Gemeenten 50 000-100 000 inwoners;1e halfjaar 2002;2930;7.1;2445.0;2690;2660.0
64;Gemeenten 50 000-100 000 inwoners;2e halfjaar 2002;3020;7.9;2615.0;2760;2870.0
65;Gemeenten 50 000-100 000 inwoners;2002;5950;15.0;2530.0;5440;2765.0
66;Gemeenten 50 000-100 000 inwoners;1e halfjaar 2003;2890;7.1;2440.0;2620;2685.0
67;Gemeenten 50 000-100 000 inwoners;2e halfjaar 2003;3030;7.7;2555.0;2710;2855.0
68;Gemeenten 50 000-100 000 inwoners;2003;5920;14.8;2500.0;5330;2770.0
69;Gemeenten 50 000-100 000 inwoners;1e halfjaar 2004;2920;7.9;2720.0;2650;2995.0
70;Gemeenten 50 000-100 000 inwoners;2e halfjaar 2004;3300;8.4;2535.0;2910;2875.0
71;Gemeenten 50 000-100 000 inwoners;2004;6220;16.3;2620.0;5560;2930.0
72;Gemeenten 50 000-100 000 inwoners;1e halfjaar 2005;3190;11.0;3455.0;2850;3875.0
73;Gemeenten 50 000-100 000 inwoners;2e halfjaar 2005;2950;10.4;3540.0;2630;3975.0
74;Gemeenten 50 000-100 000 inwoners;2005;6140;21.5;3500.0;5480;3920.0
75;Gemeenten 50 000-100 000 inwoners;1e halfjaar 2006;2700;11.5;4265.0;2460;4695.0
76;Gemeenten 50 000-100 000 inwoners;2e halfjaar 2006;3090;13.0;4210.0;2640;4930.0
77;Gemeenten 50 000-100 000 inwoners;2006;5790;24.5;4235.0;5090;4815.0
78;Gemeenten 50 000-100 000 inwoners;1e halfjaar 2007;3010;11.4;3795.0;2700;4235.0
79;Gemeenten 50 000-100 000 inwoners;2e halfjaar 2007;2900;10.4;3595.0;2540;4100.0
80;Gemeenten 50 000-100 000 inwoners;2007;5910;21.8;3695.0;5240;4170.0
81;Gemeenten 50 000-100 000 inwoners;1e halfjaar 2008;2900;12.6;4345.0;2480;5085.0
82;Gemeenten 50 000-100 000 inwoners;2e halfjaar 2008;2450;11.2;4565.0;2170;5150.0
83;Gemeenten 50 000-100 000 inwoners;2008;5350;23.8;4445.0;4650;5115.0
84;Gemeenten 100 000-150 000 inwoners;1e halfjaar 2002;2320;5.6;2425.0;2060;2730.0
85;Gemeenten 100 000-150 000 inwoners;2e halfjaar 2002;2610;6.2;2360.0;2270;2725.0
86;Gemeenten 100 000-150 000 inwoners;2002;4940;11.8;2390.0;4330;2725.0
87;Gemeenten 100 000-150 000 inwoners;1e halfjaar 2003;1950;6.4;3275.0;1710;3720.0
88;Gemeenten 100 000-150 000 inwoners;2e halfjaar 2003;2050;6.0;2925.0;1780;3360.0
89;Gemeenten 100 000-150 000 inwoners;2003;3990;12.4;3095.0;3490;3535.0
90;Gemeenten 100 000-150 000 inwoners;1e halfjaar 2004;1870;6.9;3665.0;1700;4035.0
91;Gemeenten 100 000-150 000 inwoners;2e halfjaar 2004;1780;5.3;3005.0;1590;3355.0
92;Gemeenten 100 000-150 000 inwoners;2004;3650;12.2;3345.0;3290;3705.0
93;Gemeenten 100 000-150 000 inwoners;1e halfjaar 2005;1790;7.3;4060.0;1570;4630.0
94;Gemeenten 100 000-150 000 inwoners;2e halfjaar 2005;1750;6.3;3595.0;1580;3995.0
95;Gemeenten 100 000-150 000 inwoners;2005;3540;13.6;3830.0;3150;4310.0
96;Gemeenten 100 000-150 000 inwoners;1e halfjaar 2006;2350;7.7;3290.0;2120;3655.0
97;Gemeenten 100 000-150 000 inwoners;2e halfjaar 2006;2420;8.8;3645.0;2100;4210.0
98;Gemeenten 100 000-150 000 inwoners;2006;4780;16.6;3470.0;4210;3930.0
99;Gemeenten 100 000-150 000 inwoners;1e halfjaar 2007;1860;5.7;3090.0;1720;3345.0
100;Gemeenten 100 000-150 000 inwoners;2e halfjaar 2007;1980;8.2;4130.0;1700;4810.0
101;Gemeenten 100 000-150 000 inwoners;2007;3840;13.9;3625.0;3420;4075.0
102;Gemeenten 100 000-150 000 inwoners;1e halfjaar 2008;1840;6.4;3485.0;1620;3960.0
103;Gemeenten 100 000-150 000 inwoners;2e halfjaar 2008;1910;7.6;3980.0;1640;4635.0
104;Gemeenten 100 000-150 000 inwoners;2008;3750;14.0;3735.0;3260;4300.0
105;Gemeenten 150 000-250 000 inwoners;1e halfjaar 2002;3300;6.9;2095.0;2910;2370.0
106;Gemeenten 150 000-250 000 inwoners;2e halfjaar 2002;3230;6.4;1995.0;2530;2550.0
107;Gemeenten 150 000-250 000 inwoners;2002;6530;13.3;2045.0;5440;2455.0
108;Gemeenten 150 000-250 000 inwoners;1e halfjaar 2003;2570;5.8;2275.0;2170;2690.0
109;Gemeenten 150 000-250 000 inwoners;2e halfjaar 2003;2100;4.4;2075.0;1750;2500.0
110;Gemeenten 150 000-250 000 inwoners;2003;4680;10.2;2185.0;3920;2605.0
111;Gemeenten 150 000-250 000 inwoners;1e halfjaar 2004;2490;5.3;2150.0;2110;2535.0
