ID;KenmerkenInstallaties;Perioden;PerKgVerwijderdeBZVRekenkundig_1;PerKgVerwijderdeBZVLandelijk_2;PerIEAangevoerdRekenkundig_3;PerIEAangevoerdLandelijk_4;InstallatiesMetWarmeSlibgisting_5;CapaciteitMetWarmeSlibgisting_6;AsgehalteInAanvoer_7;Gistingstemperatuur_8;Verblijftijd_9;RendementDrogeStofVerwijdering_10;RendementOrganischeStofVerwijdering_11;BiogasproductiePerAangevoerdeKgDS_12;BiogasproductiePerVerwijderdeKgDS_13
0;Totaal alle installaties;1981;1.26;0.68;16.34;13.27;109.0;8236.0;30.0;32.0;44.0;42.0;62.0;406.0;1570.0
1;Totaal alle installaties;1985;0.99;0.59;14.07;13.79;114.0;10869.0;28.0;32.0;43.0;43.0;59.0;308.0;839.0
2;Totaal alle installaties;1990;1.05;0.97;15.56;15.26;124.0;14144.0;31.0;32.0;36.0;37.0;49.0;334.0;989.0
3;Totaal alle installaties;1991;1.03;0.95;16.3;15.46;123.0;14121.0;31.0;32.0;34.0;39.0;52.0;322.0;874.0
4;Totaal alle installaties;1992;1.06;0.97;16.25;15.35;;;;;;;;;
5;Totaal alle installaties;1993;1.06;0.96;16.58;15.29;117.0;13758.0;31.0;32.0;32.0;36.0;49.0;321.0;930.0
6;Totaal alle installaties;1994;1.16;0.89;17.32;15.46;;;;;;;;;
7;Totaal alle installaties;1995;1.17;1.1;17.23;16.62;108.0;13553.0;34.0;32.0;28.0;34.0;47.0;371.0;894.0
8;Totaal alle installaties;1996;1.09;1.1;17.55;17.58;;;;;;;;;
9;Totaal alle installaties;1997;1.07;1.07;17.65;17.59;103.0;13628.0;33.0;32.0;27.0;32.0;47.0;332.0;1059.0
10;Totaal alle installaties;1998;1.16;1.13;18.8;17.48;;;;;;;;;
11;Totaal alle installaties;1999;1.14;1.2;18.56;17.77;100.0;13367.0;36.0;32.0;29.0;30.0;41.0;324.0;1173.0
12;Totaal alle installaties;2000;1.07;1.05;16.45;15.11;;;;;;;;;
13;Totaal alle installaties;2001;1.13;1.1;17.12;15.55;95.0;13241.0;33.0;33.0;26.0;32.0;47.0;310.0;1149.0
14;Totaal alle installaties;2002;1.13;1.1;17.09;15.53;;;;;;;;;
15;Totaal alle installaties;2003;1.1;1.08;16.78;15.78;93.0;13079.0;33.0;33.0;25.0;32.0;50.0;294.0;1032.0
16;Totaal alle installaties;2004;1.07;1.05;16.73;15.85;;;;;;;;;
17;Totaal alle installaties;2005;1.12;1.09;16.16;15.66;92.0;13783.0;33.0;34.0;28.0;35.0;51.0;337.0;1073.0
18;Totaal alle installaties;2006;1.15;1.14;16.44;16.24;;;;;;;;;
