ID;Achtergrondkenmerken;Perioden;DelictenSlachtofferAanwezigGetuige_1;DelictenMetGeweldTegenSlachtoffer_2;GeenLetsel_3;LetselTotaal_4;LichtLetselGeenMedischeHulp_5;LetselEenmaligeMedischeHulp_6;LetselVakerMedischeHulp_7;Ziekenhuisopname_8;GeenEmotioneleGevolgen_9;IkDenkErNogWelEensAan_10;EmotioneleGevolgenTotaal_11;IkMoetErVaakAanDenken_12;IkPiekerErSteedsOver_13;HetBeheerstMijnHeleDoenEnLaten_14;DelictenMetBeroepOpHulpverlening_15
0;Delicten totaal;1997;;;;;;;;;61.4;29.9;8.7;6.8;1.4;0.5;3.1
1;Delicten totaal;1998;;;;;;;;;65.7;26.2;8.1;5.5;2.0;0.7;3.9
2;Delicten totaal;1999;;;;;;;;;62.8;28.8;8.4;6.1;1.5;0.9;3.7
3;Delicten totaal;2000;;;;;;;;;61.8;29.1;9.1;6.5;1.6;1.0;3.1
4;Delicten totaal;2001;;;;;;;;;63.9;29.0;7.1;5.0;1.3;0.7;3.6
5;Delicten totaal;2002;;;;;;;;;63.8;28.2;8.0;5.4;1.9;0.7;3.2
6;Delicten totaal;2003;;;;;;;;;63.6;28.6;7.8;5.6;1.2;1.0;3.4
7;Delicten totaal;2004;;;;;;;;;;;;;;;
8;Geweldsdelicten totaal;1997;100.0;100.0;;;;;;;54.6;33.8;11.6;8.5;1.9;1.2;8.2
9;Geweldsdelicten totaal;1998;100.0;100.0;;;;;;;60.2;28.0;11.8;6.7;3.0;2.1;10.0
10;Geweldsdelicten totaal;1999;100.0;100.0;;;;;;;54.8;33.1;12.1;6.4;3.5;2.3;9.2
11;Geweldsdelicten totaal;2000;100.0;100.0;;;;;;;53.1;34.4;12.5;6.4;3.4;2.7;9.2
12;Geweldsdelicten totaal;2001;100.0;100.0;;;;;;;57.1;32.7;10.2;6.1;1.8;2.3;7.5
13;Geweldsdelicten totaal;2002;100.0;100.0;;;;;;;54.2;32.3;13.5;7.8;4.0;1.7;10.2
14;Geweldsdelicten totaal;2003;100.0;100.0;;;;;;;60.9;28.7;10.4;5.5;2.5;2.4;10.1
15;Geweldsdelicten totaal;2004;;;;;;;;;;;;;;;
16;Seksuele delicten;1997;100.0;100.0;92.7;7.3;6.0;0.0;1.3;0.0;58.4;30.8;10.8;8.2;2.6;0.0;7.4
17;Seksuele delicten;1998;100.0;100.0;94.8;5.2;5.2;0.0;0.0;0.0;59.3;31.9;8.7;4.9;3.1;0.8;7.1
18;Seksuele delicten;1999;100.0;100.0;94.1;5.9;3.6;1.6;0.8;0.0;52.6;35.1;12.3;6.5;5.2;0.6;9.7
19;Seksuele delicten;2000;100.0;100.0;95.9;4.1;3.5;0.6;0.0;0.0;45.6;40.5;13.9;9.0;2.5;2.5;8.0
20;Seksuele delicten;2001;100.0;100.0;93.4;6.6;5.8;0.0;0.7;0.0;50.3;39.5;10.1;4.4;3.1;2.7;6.3
21;Seksuele delicten;2002;100.0;100.0;94.1;5.9;5.2;0.7;0.0;0.0;46.6;41.0;12.4;6.7;5.7;0.0;3.3
22;Seksuele delicten;2003;100.0;100.0;96.4;3.6;2.9;0.8;0.0;0.0;62.4;25.0;12.5;5.8;5.8;0.9;7.2
23;Seksuele delicten;2004;;;;;;;;;;;;;;;
24;Mishandeling;1997;100.0;100.0;50.5;49.5;36.9;8.6;4.0;0.0;41.1;44.1;14.8;9.7;2.5;2.6;15.6
25;Mishandeling;1998;100.0;100.0;54.8;45.2;30.7;11.1;2.9;0.5;48.0;33.6;18.5;10.6;3.4;4.4;14.9
26;Mishandeling;1999;100.0;100.0;52.9;47.1;30.0;7.8;8.9;0.3;50.4;38.0;11.6;5.6;2.8;3.2;12.6
27;Mishandeling;2000;100.0;100.0;55.9;44.1;32.1;7.3;3.8;0.8;41.3;40.7;18.0;8.5;6.6;2.9;14.5
28;Mishandeling;2001;100.0;100.0;57.4;42.6;32.2;5.3;2.0;3.1;51.6;36.4;11.9;7.7;1.1;3.2;8.7
29;Mishandeling;2002;100.0;100.0;55.2;44.8;31.7;7.4;4.0;1.7;44.4;33.3;22.2;13.7;6.4;2.1;20.1
30;Mishandeling;2003;100.0;100.0;52.4;47.4;30.3;9.1;7.6;0.6;47.2;37.1;15.6;9.7;2.3;3.7;14.7
31;Mishandeling;2004;;;;;;;;;;;;;;;
32;Bedreiging;1997;100.0;100.0;;;;;;;59.4;30.3;10.4;8.1;1.2;1.1;5.1
33;Bedreiging;1998;100.0;100.0;;;;;;;67.7;23.2;9.1;5.1;2.7;1.3;8.1
34;Bedreiging;1999;100.0;100.0;;;;;;;57.5;30.2;12.3;6.7;3.2;2.4;7.4
35;Bedreiging;2000;100.0;100.0;;;;;;;60.2;29.9;9.9;4.8;2.3;2.8;7.3
36;Bedreiging;2001;100.0;100.0;;;;;;;61.7;28.9;9.4;5.9;1.7;1.8;7.3
37;Bedreiging;2002;100.0;100.0;;;;;;;60.9;29.1;9.9;5.6;2.4;2.0;8.0
38;Bedreiging;2003;100.0;100.0;;;;;;;66.4;26.0;7.6;3.7;1.8;2.2;8.9
39;Bedreiging;2004;;;;;;;;;;;;;;;
40;Vermogensdelicten totaal;1997;;;;;;;;;58.3;32.4;9.3;7.7;1.2;0.4;1.4
41;Vermogensdelicten totaal;1998;;;;;;;;;61.7;30.8;7.6;5.0;2.4;0.1;1.8
42;Vermogensdelicten totaal;1999;;;;;;;;;59.4;31.4;9.2;7.3;1.2;0.7;2.2
43;Vermogensdelicten totaal;2000;;;;;;;;;59.2;32.0;8.9;7.1;1.3;0.5;1.3
44;Vermogensdelicten totaal;2001;;;;;;;;;61.4;30.6;8.0;5.9;1.9;0.3;2.7
45;Vermogensdelicten totaal;2002;;;;;;;;;60.9;30.8;8.4;6.2;1.5;0.6;1.3
46;Vermogensdelicten totaal;2003;;;;;;;;;59.2;32.9;7.9;6.6;1.0;0.3;1.7
47;Vermogensdelicten totaal;2004;;;;;;;;;;;;;;;
48;Inbraak;1997;44.3;3.0;97.0;3.0;;;;;27.8;51.4;20.7;15.8;3.2;1.8;7.8
49;Inbraak;1998;52.5;1.6;99.7;0.3;;;;;32.7;49.8;17.5;8.9;7.1;1.6;5.7
50;Inbraak;1999;44.9;7.7;95.8;4.2;;;;;35.1;40.8;24.1;18.3;3.6;2.2;12.1
51;Inbraak;2000;42.1;10.2;89.8;10.2;;;;;35.4;49.1;15.5;8.0;5.1;2.5;8.9
52;Inbraak;2001;51.6;7.4;98.8;1.2;;;;;32.1;46.4;21.3;16.4;4.2;0.9;9.4
53;Inbraak;2002;59.0;7.4;98.4;1.6;;;;;33.1;52.1;14.8;12.7;1.5;0.6;3.3
54;Inbraak;2003;46.6;7.6;94.8;5.2;;;;;32.8;52.3;14.9;10.3;3.5;1.1;3.5
55;Inbraak;2004;;;;;;;;;;;;;;;
56;Fietsdiefstal;1997;2.3;;;;;;;;65.8;26.5;7.7;7.2;0.3;0.3;0.4
57;Fietsdiefstal;1998;1.3;;;;;;;;71.9;23.1;5.0;3.2;1.7;0.1;0.3
58;Fietsdiefstal;1999;0.9;;;;;;;;68.7;26.9;4.4;3.4;0.6;0.4;0.0
59;Fietsdiefstal;2000;1.3;;;;;;;;68.3;26.0;5.7;5.4;0.4;0.0;0.4
60;Fietsdiefstal;2001;1.7;;;;;;;;70.2;24.7;5.0;4.3;0.8;0.0;0.7
61;Fietsdiefstal;2002;2.3;;;;;;;;67.4;26.2;6.3;5.4;0.9;0.0;1.2
62;Fietsdiefstal;2003;1.2;;;;;;;;66.6;26.8;6.5;5.9;0.5;0.2;0.6
63;Fietsdiefstal;2004;;;;;;;;;;;;;;;
64;Autodiefstal;1997;5.2;;;;;;;;37.9;34.0;28.2;20.0;8.1;0.0;3.9
65;Autodiefstal;1998;5.2;;;;;;;;37.9;34.0;28.2;20.0;8.1;0.0;3.9
66;Autodiefstal;1999;5.2;;;;;;;;37.9;34.0;28.2;20.0;8.1;0.0;3.9
67;Autodiefstal;2000;5.2;;;;;;;;37.9;34.0;28.2;20.0;8.1;0.0;3.9
68;Autodiefstal;2001;5.2;;;;;;;;37.9;34.0;28.2;20.0;8.1;0.0;3.9
69;Autodiefstal;2002;;;;;;;;;;;;;;;
70;Autodiefstal;2003;;;;;;;;;;;;;;;
71;Autodiefstal;2004;;;;;;;;;;;;;;;
72;Diefstal uit auto;1997;0.6;;;;;;;;61.7;30.5;7.8;7.8;0.0;0.0;0.0
73;Diefstal uit auto;1998;4.0;;;;;;;;61.5;34.0;4.5;1.3;3.2;0.0;2.1
74;Diefstal uit auto;1999;0.9;;;;;;;;51.1;36.4;12.5;10.2;0.5;1.7;2.2
75;Diefstal uit auto;2000;4.4;;;;;;;;53.8;40.0;6.2;5.6;0.6;0.0;1.1
76;Diefstal uit auto;2001;1.7;;;;;;;;56.6;31.2;12.2;9.7;2.1;0.4;2.8
77;Diefstal uit auto;2002;4.3;;;;;;;;61.7;31.2;7.2;4.9;0.9;1.3;1.3
78;Diefstal uit auto;2003;1.7;;;;;;;;52.8;41.2;6.1;4.5;1.6;0.0;1.2
79;Diefstal uit auto;2004;;;;;;;;;;;;;;;
80;Zakkenrollerij;1997;77.4;3.1;100.0;0.0;;;;;47.6;42.5;9.9;7.2;2.1;0.6;2.2
81;Zakkenrollerij;1998;73.7;2.1;100.0;0.0;;;;;47.6;38.7;13.6;10.5;3.1;0.0;2.8
82;Zakkenrollerij;1999;80.5;1.2;100.0;0.0;;;;;51.5;38.8;9.6;8.1;1.2;0.3;4.9
83;Zakkenrollerij;2000;76.2;0.4;100.0;0.0;;;;;44.7;38.1;17.2;12.6;3.5;1.2;1.6
84;Zakkenrollerij;2001;79.4;1.2;99.6;0.4;;;;;53.1;36.6;10.3;7.3;2.0;1.0;5.1
85;Zakkenrollerij;2002;76.1;2.0;95.5;0.5;;;;;56.4;33.9;9.6;6.7;2.0;0.9;1.5
86;Zakkenrollerij;2003;78.1;0.8;99.5;0.5;;;;;53.8;37.4;8.8;7.0;1.7;0.0;3.2
87;Zakkenrollerij;2004;;;;;;;;;;;;;;;
88;Overige diefstal;1997;3.9;;;;;;;;63.9;28.9;7.2;5.0;2.1;0.2;0.9
89;Overige diefstal;1998;4.7;;;;;;;;61.3;32.2;6.4;5.0;1.4;0.0;2.4
90;Overige diefstal;1999;3.3;;;;;;;;63.1;28.9;8.0;6.9;0.8;0.3;0.8
91;Overige diefstal;2000;1.2;;;;;;;;63.4;29.0;7.6;6.3;0.7;0.6;0.6
92;Overige diefstal;2001;3.8;;;;;;;;64.1;31.7;4.2;1.6;2.6;0.0;2.0
93;Overige diefstal;2002;3.3;;;;;;;;63.6;28.2;8.2;4.9;2.6;0.7;0.7
94;Overige diefstal;2003;4.2;;;;;;;;61.7;29.4;8.8;7.6;0.3;0.8;2.7
95;Overige diefstal;2004;;;;;;;;;;;;;;;
96;Vandalismedelicten totaal;1997;;;;;;;;;68.3;24.7;7.0;5.2;1.5;0.3;2.3
97;Vandalismedelicten totaal;1998;;;;;;;;;72.9;20.2;6.9;5.4;1.1;0.4;3.0
98;Vandalismedelicten totaal;1999;;;;;;;;;69.9;24.4;5.7;4.5;0.8;0.3;1.7
99;Vandalismedelicten totaal;2000;;;;;;;;;68.4;24.3;7.3;5.6;1.0;0.6;1.5
100;Vandalismedelicten totaal;2001;;;;;;;;;70.5;25.1;4.4;3.4;0.7;0.2;2.0
101;Vandalismedelicten totaal;2002;;;;;;;;;72.3;23.3;4.4;3.2;0.9;0.3;1.1
102;Vandalismedelicten totaal;2003;;;;;;;;;68.4;25.1;6.5;5.0;0.6;0.9;0.8
103;Vandalismedelicten totaal;2004;;;;;;;;;;;;;;;
104;Beschadiging/diefstal vanaf auto;1997;4.8;;;;;;;;70.8;23.0;6.2;4.6;1.7;0.0;1.9
105;Beschadiging/diefstal vanaf auto;1998;5.3;;;;;;;;74.3;20.7;4.9;4.7;0.2;0.0;1.6
106;Beschadiging/diefstal vanaf auto;1999;3.9;;;;;;;;69.7;25.2;5.1;3.9;0.9;0.3;1.3
107;Beschadiging/diefstal vanaf auto;2000;4.2;;;;;;;;69.5;23.7;6.8;4.9;1.6;0.3;1.2
108;Beschadiging/diefstal vanaf auto;2001;4.8;;;;;;;;68.6;26.8;4.7;4.1;0.4;0.2;1.8
109;Beschadiging/diefstal vanaf auto;2002;4.7;;;;;;;;71.2;24.0;4.8;3.5;1.1;0.2;0.8
110;Beschadiging/diefstal vanaf auto;2003;4.8;;;;;;;;69.2;24.6;6.2;5.2;0.5;0.5;0.6
111;Beschadiging/diefstal vanaf auto;2004;;;;;;;;;;;;;;;
112;Overige vernielingen;1997;;;;;;;;;65.7;26.5;7.8;5.9;1.3;0.6;2.7
113;Overige vernielingen;1998;;;;;;;;;71.3;19.7;9.0;6.1;2.1;0.7;4.5
114;Overige vernielingen;1999;;;;;;;;;70.1;23.5;6.4;5.3;0.8;0.3;2.2
115;Overige vernielingen;2000;;;;;;;;;67.1;25.0;7.8;6.5;0.4;1.0;2.0
116;Overige vernielingen;2001;;;;;;;;;73.0;23.0;4.0;2.6;1.1;0.2;2.3
117;Overige vernielingen;2002;;;;;;;;;73.7;22.4;3.8;2.8;0.6;0.4;1.4
118;Overige vernielingen;2003;;;;;;;;;67.0;26.0;7.0;4.6;0.9;1.6;1.1
119;Overige vernielingen;2004;;;;;;;;;;;;;;;
120;Doorrijden na aanrijding;1997;71.4;;61.4;38.6;24.8;9.6;4.2;0.0;66.7;29.5;3.8;3.2;0.6;0.0;3.1
121;Doorrijden na aanrijding;1998;77.3;;66.5;33.5;21.6;5.9;4.9;1.1;70.1;24.0;5.9;4.0;0.9;1.0;3.3
