ID;Perioden;AlleOndernemingen_1;GroteOndernemingen_2;AlleUitzenduren_3;UitzendurenFase12_4;UitzendurenFase34_5;AlleUitzenduren_6;UitzendurenFase12_7;UitzendurenFase34_8;AlleOndernemingen_9;GroteOndernemingen_10;AlleOndernemingen_11;GroteOndernemingen_12;AlleOndernemingen_13;CumulatiefAlleOndernemingen_14;GroteOndernemingen_15;CumulatiefGroteOndernemingen_16;AlleUitzenduren_17;UitzendurenFase12_18;UitzendurenFase34_19;CumulatiefAlleUitzenduren_20;CumulatiefUitzendurenFase12_21;CumulatiefUitzendurenFase34_22;AlleUitzenduren100Werknemers_23;UitzendurenFase12100Werkn_24;UitzendurenFase34100Werkn_25;CumulatiefAlleUitzenduren_26;AlleUitzendbanen_27;UitzendbanenFase12_28;UitzendbanenFase34_29;BanenSeizoengecorrigeerdFase12_30;KantoorEnAdministratief_31;MedischParamedischEnVerplegend_32;Industrieel_33;Technisch_34;Overig_35;KantoorEnAdministratief_36;MedischParamedischEnVerplegend_37;Industrieel_38;Technisch_39;Overig_40
0;1986 1e kwartaal;21;23;35.0;;;31.6;;;;;;;;;;;;;;;;;;;;;67;;;75;;;;;;;;;;
1;1986 2e kwartaal;24;26;39.0;;;34.9;;;;;;;;;;;;;;;;;;;;;75;;;76;;;;;;;;;;
2;1986 3e kwartaal;25;27;41.8;;;37.4;;;;;;;;;;;;;;;;;;;;;80;;;74;;;;;;;;;;
3;1986 4e kwartaal;24;26;39.7;;;35.8;;;23.0;25.0;38.9;34.9;;;;;;;;;;;;;;;76;;;75;;;;;;;;;;
4;1986;23;25;155.5;;;139.7;;;;;;;;;;;;;;;;;;;;;75;;;75;33.7;6.8;36.1;18.6;4.9;;;;;
5;1987 1e kwartaal;22;24;35.2;;;32.1;;;24.0;26.0;38.9;35.1;1.2;1.2;2.1;2.1;0.6;;;0.6;;;1.6;;;1.6;68;;;75;;;;;;;;;;
6;1987 2e kwartaal;24;26;38.6;;;34.8;;;24.0;26.0;38.8;35.0;0.3;0.7;1.6;1.9;-1.0;;;-0.3;;;-0.3;;;0.6;74;;;75;;;;;;;;;;
7;1987 3e kwartaal;26;28;43.8;;;39.4;;;24.0;26.0;39.3;35.5;2.2;1.3;2.7;2.2;4.8;;;1.6;;;5.3;;;2.3;84;;;78;;;;;;;;;;
8;1987 4e kwartaal;27;29;42.8;;;38.6;;;25.0;27.0;40.1;36.2;13.9;4.4;14.0;5.2;7.8;;;3.2;;;7.8;;;3.7;82;;;81;;;;;;;;;;
9;1987;25;27;160.4;;;144.9;;;;;;;4.4;;5.2;;3.2;;;;;;3.7;;;;77;;;77;32.8;6.1;37.5;18.2;5.4;;;;;
