ID;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;TotaleOppervlakte_4;TotaalVerkeersterrein_5;Spoorterrein_6;Wegverkeersterrein_7;Vliegveld_8;TotaalBebouwdTerrein_9;Woonterrein_10;TerreinVoorDetailhandelEnHoreca_11;TerreinVoorOpenbareVoorzieningen_12;TerreinVoorSociaalCultureleVoorz_13;Bedrijventerrein_14;TotaalSemiBebouwdTerrein_15;Stortplaats_16;Wrakkenopslagplaats_17;Begraafplaats_18;Delfstofwinplaats_19;Bouwterrein_20;SemiVerhardOverigTerrein_21;TotaalRecreatieterrein_22;ParkEnPlantsoen_23;Sportterrein_24;Volkstuin_25;DagrecreatiefTerrein_26;VerblijfsrecreatiefTerrein_27;TotaalAgrarischTerrein_28;TerreinVoorGlastuinbouw_29;OverigAgrarischTerrein_30;TotaalBosEnOpenNatuurlijkTerrein_31;Bos_32;OpenDroogNatuurlijkTerrein_33;OpenNatNatuurlijkTerrein_34;TotaalBinnenwater_35;IJsselmeerMarkermeer_36;AfgeslotenZeearm_37;RijnEnMaas_38;Randmeer_39;Spaarbekken_40;RecreatiefBinnenwater_41;BinnenwaterVoorDelfstofwinning_42;VloeiEnOfSlibveld_43;OverigBinnenwater_44;TotaalBuitenwater_45;WaddenzeeEemsDollard_46;Oosterschelde_47;Westerschelde_48;Noordzee_49
0;Nederland;Nederland                               ;Land      ;NL00      ;4154302;116123;8882;104941;2300;355986;233575;10975;11684;15671;84081;51002;2205;509;4318;3053;36983;3934;102561;29547;35321;3629;11665;22399;2252233;15868;2236365;490088;344043;90016;56029;367982;183145.0;32101.0;18152.0;15573.0;1243;10328;3085;450;103905;418325.0;256231.0;34594.0;29884.0;97615.0
1;Appingedam;Appingedam                              ;Gemeente  ;GM0003    ;2458;111;8;104;0;312;222;20;3;17;49;59;0;1;8;2;48;0;53;27;22;1;0;3;1782;0;1782;60;43;3;14;80;;;;;0;2;0;0;79;;;;;
2;Wijk 00;Appingedam                              ;Wijk      ;WK000300  ;2458;111;8;104;0;312;222;20;3;17;49;59;0;1;8;2;48;0;53;27;22;1;0;3;1782;0;1782;60;43;3;14;80;;;;;0;2;0;0;79;;;;;
3;Appingedam-Centrum;Appingedam                              ;Buurt     ;BU00030000;90;9;3;6;0;53;43;8;0;0;3;6;0;0;1;0;4;0;2;2;0;0;0;0;14;0;14;0;0;0;0;5;;;;;0;0;0;0;5;;;;;
4;Appingedam-West;Appingedam                              ;Buurt     ;BU00030001;163;12;1;11;0;77;75;0;1;0;0;3;0;0;3;0;0;0;6;6;0;0;0;0;60;0;60;0;0;0;0;5;;;;;0;0;0;0;5;;;;;
5;Appingedam-Oost;Appingedam                              ;Buurt     ;BU00030002;295;29;2;27;0;152;95;9;2;17;29;1;0;1;1;0;0;0;21;1;19;1;0;0;81;0;81;0;0;0;0;11;;;;;0;0;0;0;11;;;;;
6;Verspr.h. Damsterdiep en Eemskanaal;Appingedam                              ;Buurt     ;BU00030007;559;10;0;10;0;19;7;0;0;0;11;10;0;0;3;0;7;0;8;6;3;0;0;0;486;0;486;7;7;0;0;18;;;;;0;0;0;0;18;;;;;
7;Verspr.h. ten zuiden van Eemskanaal;Appingedam                              ;Buurt     ;BU00030008;582;27;0;27;0;7;1;0;0;0;5;38;0;0;0;2;37;0;0;0;0;0;0;0;429;0;429;53;35;3;14;28;;;;;0;0;0;0;28;;;;;
8;Verspr.h. ten N. van het Damsterdiep;Appingedam                              ;Buurt     ;BU00030009;769;24;2;22;0;5;1;3;0;0;0;0;0;0;0;0;0;0;15;12;0;0;0;3;713;0;713;0;0;0;0;13;;;;;0;2;0;0;11;;;;;
9;Bedum;Bedum                                   ;Gemeente  ;GM0005    ;4496;116;11;105;0;264;201;7;3;8;46;44;0;0;8;2;34;0;39;10;20;3;3;2;3894;0;3894;98;97;0;1;41;;;;;0;0;0;0;41;;;;;
10;Wijk 00;Bedum                                   ;Wijk      ;WK000500  ;4496;116;11;105;0;264;201;7;3;8;46;44;0;0;8;2;34;0;39;10;20;3;3;2;3894;0;3894;98;97;0;1;41;;;;;0;0;0;0;41;;;;;
11;Bedum;Bedum                                   ;Buurt     ;BU00050000;313;16;3;13;0;202;154;5;0;8;35;10;0;0;5;0;4;0;23;8;13;3;0;0;51;0;51;6;6;0;0;5;;;;;0;0;0;0;5;;;;;
12;Verspreide huizen Bedum;Bedum                                   ;Buurt     ;BU00050001;2190;45;8;37;0;9;2;0;0;0;7;31;0;0;0;2;30;0;4;2;1;0;0;0;2066;0;2066;20;20;0;0;14;;;;;0;0;0;0;14;;;;;
