ID;Selectiegroep;Perioden;CBSKoersindex_1;CBSHerbeleggingsindex_2
0;5;1983 december;;100.0
1;5;1984 januari;;101.0
2;5;1984 februari;;102.1
3;5;1984 maart;;103.1
4;5;1984 april;;103.8
5;5;1984 mei;;103.3
6;5;1984 juni;;104.2
7;5;1984 juli;;104.3
8;5;1984 augustus;;106.3
9;5;1984 september;;108.5
10;5;1984 oktober;;111.0
11;5;1984 november;;111.7
12;5;1984 december;;112.9
13;5;1985 januari;;113.4
14;5;1985 februari;;111.3
15;5;1985 maart;;113.0
16;5;1985 april;;114.3
17;5;1985 mei;;116.4
18;5;1985 juni;;117.5
19;5;1985 juli;;119.1
20;5;1985 augustus;;121.7
21;5;1985 september;;122.3
22;5;1985 oktober;;121.5
23;5;1985 november;;122.8
24;5;1985 december;;124.1
25;5;1986 januari;;124.8
26;5;1986 februari;;126.0
27;5;1986 maart;;128.5
28;5;1986 april;;130.0
29;5;1986 mei;;129.7
30;5;1986 juni;;130.7
31;5;1986 juli;;131.9
32;5;1986 augustus;;134.1
33;5;1986 september;;133.8
34;5;1986 oktober;;133.8
35;5;1986 november;;134.2
36;5;1986 december;;133.9
37;5;1987 januari;;136.2
38;5;1987 februari;;136.7
39;5;1987 maart;;137.5
40;5;1987 april;;138.1
41;5;1987 mei;;139.0
42;5;1987 juni;;139.0
43;5;1987 juli;;139.1
44;5;1987 augustus;;139.6
45;5;1987 september;;138.5
46;5;1987 oktober;;140.0
47;5;1987 november;;142.6
48;5;1987 december;;143.7
49;5;1988 januari;;145.8
50;5;1988 februari;;147.5
51;5;1988 maart;;148.6
52;5;1988 april;;148.9
53;5;1988 mei;;148.7
54;5;1988 juni;;148.6
55;5;1988 juli;;148.2
56;5;1988 augustus;;148.8
57;5;1988 september;;151.1
58;5;1988 oktober;;153.1
59;5;1988 november;;153.2
60;5;1988 december;;153.1
61;5;1989 januari;;151.9
62;5;1989 februari;;150.0
63;5;1989 maart;;151.1
64;5;1989 april;;152.1
65;5;1989 mei;;150.9
66;5;1989 juni;;153.4
67;5;1989 juli;;155.3
68;5;1989 augustus;;155.3
69;5;1989 september;;154.8
70;5;1989 oktober;;154.6
71;5;1989 november;;153.9
72;5;1989 december;;154.4
73;5;1990 januari;;153.1
74;5;1990 februari;;150.5
75;5;1990 maart;;153.2
76;5;1990 april;;152.8
77;5;1990 mei;;154.3
78;5;1990 juni;;155.8
79;5;1990 juli;;158.1
80;5;1990 augustus;;157.1
81;5;1990 september;;157.1
82;5;1990 oktober;;159.0
83;5;1990 november;;160.3
84;5;1990 december;;161.1
85;5;1991 januari;;163.2
86;5;1991 februari;;166.5
87;5;1991 maart;;166.9
88;5;1991 april;;168.6
89;5;1991 mei;;170.2
90;5;1991 juni;;170.7
91;5;1991 juli;;170.7
92;5;1991 augustus;;172.4
93;5;1991 september;;173.6
94;5;1991 oktober;;174.8
95;5;1991 november;;175.8
96;5;1991 december;;177.9
97;5;1992 januari;;181.4
98;5;1992 februari;;183.4
99;5;1992 maart;;183.0
100;5;1992 april;;184.6
101;5;1992 mei;;186.1
102;5;1992 juni;;187.1
103;5;1992 juli;;187.5
104;5;1992 augustus;;189.0
105;5;1992 september;;195.1
106;5;1992 oktober;;199.0
107;5;1992 november;;200.7
108;5;1992 december;;204.2
109;5;1993 januari;;206.5
110;5;1993 februari;;211.8
111;5;1993 maart;;212.6
112;5;1993 april;;213.2
113;5;1993 mei;;214.8
114;5;1993 juni;;218.3
115;5;1993 juli;;220.2
116;5;1993 augustus;;224.3
117;5;1993 september;;226.4
118;5;1993 oktober;;229.4
119;5;1993 november;;231.4
120;5;1993 december;;234.7
121;5;1994 januari;;235.6
122;5;1994 februari;;231.7
123;5;1994 maart;;229.6
124;5;1994 april;;228.5
125;5;1994 mei;;225.6
126;5;1994 juni;;226.6
127;5;1994 juli;;229.4
128;5;1994 augustus;;226.9
129;5;1994 september;;225.3
130;5;1994 oktober;;226.6
131;5;1994 november;;229.2
132;5;1994 december;;228.0
133;5;1995 januari;;231.1
134;5;1995 februari;;233.7
135;5;1995 maart;;238.1
136;5;1995 april;;242.3
137;5;1995 mei;;248.6
138;5;1995 juni;;246.4
139;5;1995 juli;;250.1
140;5;1995 augustus;;253.3
141;5;1995 september;;255.5
142;5;1995 oktober;;258.9
143;5;1995 november;;264.8
144;5;1995 december;;267.3
145;5;1996 januari;;270.6
