ID;BedrijfsklassenSBI93EnSectoren;TypeKapitaalgoed;Perioden;KapitaalgoederenvoorraadEindbalans_1;VolumeIndexcijfers2000100_2;KapitaalgoederenvoorraadBeginbalans_3;Herwaardering_4;InvestInVasteActivaProdEnInvoer_5;Afschrijvingen_6;HandelEnOverigeMutaties_7;StatistischVerschil_8;KapitaalgoederenvoorraadEindbalans_9
0;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1969;139232;42.5;123733;8277.0;13519.0;5767.0;-184.0;-346.0;139232
1;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1970;160928;45.0;139232;12705.0;16358.0;6656.0;-385.0;-326.0;160928
2;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1971;188069;47.6;160928;16936.0;18643.0;7764.0;-270.0;-405.0;188069
3;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1972;214199;50.0;188069;16085.0;19316.0;8751.0;-102.0;-417.0;214199
4;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1973;241665;52.3;214199;16694.0;21072.0;9696.0;-132.0;-472.0;241665
5;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1974;280956;54.2;241665;29292.0;22106.0;11291.0;-399.0;-417.0;280956
6;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1975;320655;56.1;280956;29420.0;23909.0;13035.0;-166.0;-429.0;320655
7;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1976;359706;57.8;320655;28181.0;25969.0;14630.0;-62.0;-407.0;359706
8;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1977;400532;59.7;359706;28266.0;29624.0;16035.0;-321.0;-708.0;400532
9;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1978;443054;61.6;400532;29061.0;32100.0;17512.0;-412.0;-715.0;443054
10;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1979;491140;63.3;443054;35065.0;33265.0;19283.0;-258.0;-704.0;491140
11;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1980;545975;65.0;491140;40567.0;36736.0;21361.0;-333.0;-774.0;545975
12;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1981;593619;66.2;545975;37070.0;35567.0;23460.0;-653.0;-879.0;593619
13;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1982;621338;67.3;593619;17950.0;35682.0;24879.0;-238.0;-795.0;621338
14;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1983;635523;68.4;621338;4164.0;36706.0;25681.0;-449.0;-555.0;635523
15;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1984;654962;69.7;635523;7346.0;39852.0;26736.0;-611.0;-411.0;654962
16;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1985;674477;71.1;654962;5719.0;42814.0;27874.0;-743.0;-401.0;674477
17;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1986;687915;72.7;674477;-1532.0;45174.0;28923.0;-865.0;-415.0;687915
18;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1987;711666;74.4;687915;8252.0;46361.0;30517.0;-843.0;497.0;711666
19;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1988;744280;76.3;711666;13726.0;51491.0;32355.0;-915.0;668.0;744280
20;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1989;780841;78.3;744280;16949.0;53761.0;34382.0;-666.0;899.0;780841
21;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1990;820619;80.2;780841;20704.0;56198.0;36596.0;-1444.0;917.0;820619
22;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1991;861462;81.9;820619;22442.0;57627.0;38773.0;-1322.0;869.0;861462
23;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1992;904694;83.7;861462;24744.0;59623.0;40900.0;-1134.0;899.0;904694
24;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1993;937932;85.2;904694;16676.0;59171.0;42437.0;-1155.0;983.0;937932
25;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1994;967756;86.7;937932;12871.0;60600.0;43636.0;-1023.0;1012.0;967756
26;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1995;1006282;88.4;967756;19871.0;64210.0;45226.0;-1449.0;1121.0;1006282
27;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1996;1052282;90.3;1006282;23857.0;69948.0;47150.0;-1702.0;1046.0;1052282
28;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1997;1097342;92.6;1052282;18956.0;75888.0;49309.0;-1462.0;987.0;1097342
29;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1998;1151527;95.0;1097342;25749.0;81292.0;52383.0;-1208.0;735.0;1151527
30;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;1999;1218028;97.6;1151527;33963.0;89418.0;56326.0;-1523.0;968.0;1218028
31;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;2000;1302493;100.0;1218028;53931.0;92742.0;61308.0;-1518.0;619.0;1302493
32;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;2001;1400124;102.1;1302493;69038.0;96197.0;65865.0;-1760.0;22.0;1400124
33;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;2002;1485560;103.7;1400124;62299.0;94507.0;69427.0;-1943.0;0.0;1485560
34;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;2003;1552950;105.2;1485560;46126.0;94759.0;71461.0;-2034.0;0.0;1552950
35;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;2004;1599876;106.4;1552950;28171.0;94336.0;73498.0;-2083.0;0.0;1599876
36;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;2005;1651478;107.8;1599876;30469.0;99170.0;75709.0;-2328.0;0.0;1651478
37;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;2006;1728575;109.6;1651478;49471.0;108568.0;78594.0;-2348.0;0.0;1728575
38;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;2007;1798658;111.6;1728575;37996.0;116712.0;82072.0;-2554.0;0.0;1798658
39;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;2008;1891541;113.8;1798658;56216.0;125125.0;85854.0;-2604.0;0.0;1891541
40;A-Q Alle economische activiteiten;Totaal kapitaalgoederen;2009;1951139;115.0;1891541;38787.0;111266.0;87857.0;-2598.0;0.0;1951139
41;A-Q Alle economische activiteiten;Woningen;1969;44935;37.1;39152;3411.0;3366.0;772.0;46.0;-268.0;44935
